city,date,ogółem,do 1 roku,2 lata,3 lata,4-5 lat,6-7 lat,8-9 lat,10-11 lat,12-15 lat,16-20 lat
Jelenia Góra,2015,44044,1053,582,603,1607,1972,2579,3167,6980,9063
Jelenia Góra,2016,45587,1080,671,622,1548,1837,2672,3035,7298,9305
Jelenia Góra,2017,46764,1218,663,727,1425,1890,2373,3099,7446,9135
Jelenia Góra,2018,48321,1309,773,752,1556,1852,2231,3108,7548,9032
Jelenia Góra,2019,50265,1413,841,846,1774,1746,2280,2901,7587,9297
Jelenia Góra,2020,51713,1397,848,901,1854,1842,2215,2653,7483,9391
Jelenia Góra,2021,52901,1154,949,917,2018,2060,1980,2644,7275,9582
Jelenia Góra,2022,53973,1131,671,1016,2045,2153,2099,2537,6899,9862
Biała Podlaska,2015,30588,337,158,266,783,1180,1813,2281,5443,8178
Biała Podlaska,2016,32027,374,214,215,789,1029,1926,2219,5579,8416
Biała Podlaska,2017,33496,417,276,294,714,1080,1596,2422,5806,8294
Biała Podlaska,2018,34925,474,250,335,734,1102,1420,2565,6020,8122
Biała Podlaska,2019,36103,462,313,321,893,1014,1523,2156,6246,7989
Biała Podlaska,2020,37284,533,313,376,908,1016,1521,1871,6172,7889
Biała Podlaska,2021,38534,530,357,379,970,1207,1356,2017,5987,7985
Biała Podlaska,2022,39279,459,336,408,1020,1186,1322,1975,5620,8206
Białystok,2015,116510,5134,2299,2470,6031,7986,10971,12136,24147,23363
Białystok,2016,122421,6001,2841,2385,5835,6894,11303,11768,25531,25571
Białystok,2017,127969,7068,3411,2987,5489,7083,9479,12684,26691,26067
Białystok,2018,134603,8386,4022,3442,6121,6842,8423,12950,27703,26709
Białystok,2019,141047,8528,5105,4084,7351,6540,8494,11317,28634,27844
Białystok,2020,145890,7620,5135,5069,8303,7038,8160,9940,28505,29219
Białystok,2021,151556,7156,4987,5020,9605,8275,7676,10039,27929,30791
Białystok,2022,155870,7339,3880,4948,10203,9027,8071,9486,26701,32836
Bielsko-Biała,2015,95805,7335,2873,2488,5303,6295,7619,7739,16033,17825
Bielsko-Biała,2016,101444,9142,3247,2775,5281,5699,8175,7730,16260,18955
Bielsko-Biała,2017,106207,9969,4245,3074,5192,5885,7174,8487,16834,18868
Bielsko-Biała,2018,111466,11273,5239,4003,5458,5743,6453,8920,17297,18684
Bielsko-Biała,2019,116272,11394,5592,4848,6845,5515,6541,8006,17993,18862
Bielsko-Biała,2020,119731,9874,6117,5256,8397,5718,6229,7213,18323,19186
Bielsko-Biała,2021,122931,9382,5761,5418,9291,6773,5862,7193,18140,19516
Bielsko-Biała,2022,124167,8574,4347,5232,9593,7959,5973,6726,17800,20583
Bydgoszcz,2015,188143,7984,3518,3663,8149,10053,12406,13328,26702,33056
Bydgoszcz,2016,194402,9234,4342,3502,8302,8713,12965,13146,27531,34234
Bydgoszcz,2017,200554,10451,5205,4303,7604,9040,11320,13845,28426,33110
Bydgoszcz,2018,208691,12239,5750,5075,8230,8902,9941,14270,29456,32350
Bydgoszcz,2019,215580,12375,7020,5647,9735,8243,9996,12666,30219,32360
Bydgoszcz,2020,221193,11401,7124,6830,10795,8742,9692,11093,30211,32277
Bydgoszcz,2021,225443,10584,6965,6731,12082,9930,8974,11000,29125,32852
Bydgoszcz,2022,229063,10105,5606,6719,12875,10618,9103,10561,27749,34745
Częstochowa,2015,113250,3477,1654,1837,4734,6161,8176,8968,18902,23659
Częstochowa,2016,117480,4346,2014,1762,4625,5427,8467,8729,19648,24378
Częstochowa,2017,121160,5069,2523,2164,4274,5623,7301,9484,20385,23572
Częstochowa,2018,125268,5799,2973,2678,4585,5389,6545,9701,20957,23115
Częstochowa,2019,129365,5729,3616,3024,5497,5003,6612,8735,21531,23515
Częstochowa,2020,133349,5598,3550,3680,6196,5255,6286,7837,21648,23908
Częstochowa,2021,136736,5379,3579,3591,7027,6092,5783,7670,21363,24384
Częstochowa,2022,138807,5340,3055,3483,7293,6516,5847,7127,20400,25525
Dąbrowa Górnicza,2015,66010,1501,1080,1208,2851,3986,5003,5348,11211,13768
Dąbrowa Górnicza,2016,67892,1550,954,1227,2923,3383,5380,5179,11382,14433
Dąbrowa Górnicza,2017,69733,1680,957,1186,3009,3411,4665,5717,11734,14046
Dąbrowa Górnicza,2018,71928,1956,1008,1160,2946,3496,4022,6155,12186,13812
Dąbrowa Górnicza,2019,73610,1983,1244,1230,3008,3569,4083,5445,12678,13570
Dąbrowa Górnicza,2020,75486,1685,1205,1436,3059,3540,4086,4723,13044,13612
Dąbrowa Górnicza,2021,77519,1291,1257,1461,3475,3610,4090,4674,12849,13832
Dąbrowa Górnicza,2022,77874,1344,792,1417,3583,3675,3972,4600,12239,14448
Gdańsk,2015,255176,14832,7142,7225,13828,15783,19023,18796,34109,40106
Gdańsk,2016,265308,18327,8439,7440,15592,13571,20250,18467,35423,40235
Gdańsk,2017,275418,22470,9372,8422,15327,15001,17128,20149,37069,37878
