city,date,no_of_cars
Jelenia Góra,2015,28294
Jelenia Góra,2016,29008
Jelenia Góra,2017,29808
Jelenia Góra,2018,30311
Jelenia Góra,2019,31328
Jelenia Góra,2020,32274
Jelenia Góra,2021,33055
Jelenia Góra,2022,33729
Biała Podlaska,2015,14005
Biała Podlaska,2016,14565
Biała Podlaska,2017,15304
Biała Podlaska,2018,15525
Biała Podlaska,2019,15945
Biała Podlaska,2020,16419
Biała Podlaska,2021,16922
Biała Podlaska,2022,17128
Białystok,2015,58592
Białystok,2016,61565
Białystok,2017,65655
Białystok,2018,68048
Białystok,2019,71521
Białystok,2020,74046
Białystok,2021,76741
Białystok,2022,78526
Bielsko-Biała,2015,58624
Bielsko-Biała,2016,61444
Bielsko-Biała,2017,64135
Bielsko-Biała,2018,66430
Bielsko-Biała,2019,69470
Bielsko-Biała,2020,71221
Bielsko-Biała,2021,72772
Bielsko-Biała,2022,72665
Bydgoszcz,2015,119343
Bydgoszcz,2016,121755
Bydgoszcz,2017,125845
Bydgoszcz,2018,128526
Bydgoszcz,2019,132559
Bydgoszcz,2020,135601
Bydgoszcz,2021,137491
Bydgoszcz,2022,138874
Bydgoszcz,2015,55406
Bydgoszcz,2016,57222
Bydgoszcz,2017,59997
Bydgoszcz,2018,61755
Bydgoszcz,2019,64384
Bydgoszcz,2020,65892
Bydgoszcz,2021,67662
Bydgoszcz,2022,69087
Częstochowa,2015,66843
Częstochowa,2016,68735
Częstochowa,2017,71146
Częstochowa,2018,72384
Częstochowa,2019,74504
Częstochowa,2020,76565
Częstochowa,2021,78399
Częstochowa,2022,79362
Dąbrowa Górnicza,2015,39654
Dąbrowa Górnicza,2016,40368
Dąbrowa Górnicza,2017,41586
Dąbrowa Górnicza,2018,42140
Dąbrowa Górnicza,2019,42951
Dąbrowa Górnicza,2020,43938
Dąbrowa Górnicza,2021,45048
Dąbrowa Górnicza,2022,45338
Dąbrowa Górnicza,2015,27206
Dąbrowa Górnicza,2016,27795
Dąbrowa Górnicza,2017,28692
Dąbrowa Górnicza,2018,28733
Dąbrowa Górnicza,2019,29322
Dąbrowa Górnicza,2020,29872
Dąbrowa Górnicza,2021,30594
Dąbrowa Górnicza,2022,30995
Dąbrowa Górnicza,2015,67398
Dąbrowa Górnicza,2016,68635
Dąbrowa Górnicza,2017,69740
Dąbrowa Górnicza,2018,69838
Dąbrowa Górnicza,2019,71111
Dąbrowa Górnicza,2020,72086
Dąbrowa Górnicza,2021,73143
Dąbrowa Górnicza,2022,73824
Gdańsk,2015,154411
Gdańsk,2016,158444
Gdańsk,2017,164534
Gdańsk,2018,170299
Gdańsk,2019,177914
Gdańsk,2020,183290
Gdańsk,2021,188281
Gdańsk,2022,192460
Gdańsk,2015,52236
Gdańsk,2016,55393
Gdańsk,2017,58517
Gdańsk,2018,60324
Gdańsk,2019,64203
Gdańsk,2020,66276
Gdańsk,2021,69004
Gdańsk,2022,70637
Gdańsk,2015,12223
Gdańsk,2016,12352
Gdańsk,2017,12349
Gdańsk,2018,12434
Gdańsk,2019,12655
Gdańsk,2020,13108
Gdańsk,2021,13201
Gdańsk,2022,13344
Gdynia,2015,154411
Gdynia,2016,158444
Gdynia,2017,164534
Gdynia,2018,170299
Gdynia,2019,177914
Gdynia,2020,183290
Gdynia,2021,188281
Gdynia,2022,192460
Gdynia,2015,52236
Gdynia,2016,55393
Gdynia,2017,58517
Gdynia,2018,60324
Gdynia,2019,64203
Gdynia,2020,66276
Gdynia,2021,69004
Gdynia,2022,70637
Gdynia,2015,12223
Gdynia,2016,12352
Gdynia,2017,12349
Gdynia,2018,12434
Gdynia,2019,12655
Gdynia,2020,13108
Gdynia,2021,13201
Gdynia,2022,13344
Gliwice,2015,71281
Gliwice,2016,73216
Gliwice,2017,68261
Gliwice,2018,74835
Gliwice,2019,76215
Gliwice,2020,78232
Gliwice,2021,79540
Gliwice,2022,80771
Gliwice,2015,52447
Gliwice,2016,53375
Gliwice,2017,55052
Gliwice,2018,55417
Gliwice,2019,56860
Gliwice,2020,57787
Gliwice,2021,59023
Gliwice,2022,59753
Gorzów Wielkopolski,2015,35896
Gorzów Wielkopolski,2016,37345
Gorzów Wielkopolski,2017,38877
Gorzów Wielkopolski,2018,40179
Gorzów Wielkopolski,2019,41997
Gorzów Wielkopolski,2020,43725
Gorzów Wielkopolski,2021,44852
Gorzów Wielkopolski,2022,45967
Grudziądz,2015,20609
Grudziądz,2016,21200
Grudziądz,2017,21920
Grudziądz,2018,22353
Grudziądz,2019,23076
Grudziądz,2020,23679
