city,date,no_of_cars
Jelenia Góra,2015,11515
Jelenia Góra,2016,12144
Jelenia Góra,2017,12470
Jelenia Góra,2018,13034
Jelenia Góra,2019,13673
Jelenia Góra,2020,14047
Jelenia Góra,2021,14339
Jelenia Góra,2022,14465
Biała Podlaska,2015,11777
Biała Podlaska,2016,12428
Biała Podlaska,2017,12944
Biała Podlaska,2018,13765
Biała Podlaska,2019,14428
Biała Podlaska,2020,15036
Biała Podlaska,2021,15668
Biała Podlaska,2022,16047
Białystok,2015,36650
Białystok,2016,38459
Białystok,2017,39681
Białystok,2018,41463
Białystok,2019,42814
Białystok,2020,43929
Białystok,2021,44714
Białystok,2022,44890
Bielsko-Biała,2015,28281
Bielsko-Biała,2016,30639
Bielsko-Biała,2017,32384
Bielsko-Biała,2018,34258
Bielsko-Biała,2019,35378
Bielsko-Biała,2020,36203
Bielsko-Biała,2021,36294
Bielsko-Biała,2022,36028
Bydgoszcz,2015,44946
Bydgoszcz,2016,47692
Bydgoszcz,2017,49458
Bydgoszcz,2018,51615
Bydgoszcz,2019,52944
Bydgoszcz,2020,53974
Bydgoszcz,2021,54042
Bydgoszcz,2022,54023
Bydgoszcz,2015,26837
Bydgoszcz,2016,28543
Bydgoszcz,2017,29904
Bydgoszcz,2018,31328
Bydgoszcz,2019,32131
Bydgoszcz,2020,32729
Bydgoszcz,2021,32771
Bydgoszcz,2022,32537
Częstochowa,2015,28657
Częstochowa,2016,30547
Częstochowa,2017,31787
Częstochowa,2018,33517
Częstochowa,2019,34684
Częstochowa,2020,35960
Częstochowa,2021,36798
Częstochowa,2022,36910
Dąbrowa Górnicza,2015,16878
Dąbrowa Górnicza,2016,17674
Dąbrowa Górnicza,2017,18159
Dąbrowa Górnicza,2018,18956
Dąbrowa Górnicza,2019,19500
Dąbrowa Górnicza,2020,20062
Dąbrowa Górnicza,2021,20747
Dąbrowa Górnicza,2022,20621
Dąbrowa Górnicza,2015,12194
Dąbrowa Górnicza,2016,12690
Dąbrowa Górnicza,2017,13014
Dąbrowa Górnicza,2018,13494
Dąbrowa Górnicza,2019,13811
Dąbrowa Górnicza,2020,14121
Dąbrowa Górnicza,2021,14443
Dąbrowa Górnicza,2022,14598
Dąbrowa Górnicza,2015,23864
Dąbrowa Górnicza,2016,24823
Dąbrowa Górnicza,2017,25031
Dąbrowa Górnicza,2018,25677
Dąbrowa Górnicza,2019,26321
Dąbrowa Górnicza,2020,27089
Dąbrowa Górnicza,2021,27601
Dąbrowa Górnicza,2022,27657
Gdańsk,2015,77361
Gdańsk,2016,82665
Gdańsk,2017,86531
Gdańsk,2018,91049
Gdańsk,2019,93774
Gdańsk,2020,95586
Gdańsk,2021,96179
Gdańsk,2022,95775
Gdańsk,2015,39330
Gdańsk,2016,41804
Gdańsk,2017,43078
Gdańsk,2018,44292
Gdańsk,2019,44600
Gdańsk,2020,44507
Gdańsk,2021,44722
Gdańsk,2022,44096
Gdańsk,2015,6192
Gdańsk,2016,6288
Gdańsk,2017,6171
Gdańsk,2018,6107
Gdańsk,2019,6065
Gdańsk,2020,6154
Gdańsk,2021,6130
Gdańsk,2022,6113
Gdynia,2015,77361
Gdynia,2016,82665
Gdynia,2017,86531
Gdynia,2018,91049
Gdynia,2019,93774
Gdynia,2020,95586
Gdynia,2021,96179
Gdynia,2022,95775
Gdynia,2015,39330
Gdynia,2016,41804
Gdynia,2017,43078
Gdynia,2018,44292
Gdynia,2019,44600
Gdynia,2020,44507
Gdynia,2021,44722
Gdynia,2022,44096
Gdynia,2015,6192
Gdynia,2016,6288
Gdynia,2017,6171
Gdynia,2018,6107
Gdynia,2019,6065
Gdynia,2020,6154
Gdynia,2021,6130
Gdynia,2022,6113
Gliwice,2015,27923
Gliwice,2016,29643
Gliwice,2017,29813
Gliwice,2018,32057
Gliwice,2019,33389
Gliwice,2020,34167
Gliwice,2021,34229
Gliwice,2022,34230
Gliwice,2015,17615
Gliwice,2016,18453
Gliwice,2017,19045
Gliwice,2018,20007
Gliwice,2019,20692
Gliwice,2020,21343
Gliwice,2021,21665
Gliwice,2022,21826
Gorzów Wielkopolski,2015,19601
Gorzów Wielkopolski,2016,20871
Gorzów Wielkopolski,2017,21641
Gorzów Wielkopolski,2018,23229
Gorzów Wielkopolski,2019,24562
Gorzów Wielkopolski,2020,26018
Gorzów Wielkopolski,2021,26924
Gorzów Wielkopolski,2022,27303
Grudziądz,2015,12950
Grudziądz,2016,13544
Grudziądz,2017,14004
Grudziądz,2018,14533
