city,date,no_of_cars
Jelenia Góra,2015,25
Jelenia Góra,2016,28
Jelenia Góra,2017,151
Jelenia Góra,2018,186
Jelenia Góra,2019,347
Jelenia Góra,2020,365
Jelenia Góra,2021,449
Jelenia Góra,2022,619
Biała Podlaska,2015,57
Biała Podlaska,2016,57
Biała Podlaska,2017,305
Biała Podlaska,2018,335
Biała Podlaska,2019,474
Biała Podlaska,2020,551
Biała Podlaska,2021,712
Biała Podlaska,2022,908
Białystok,2015,172
Białystok,2016,260
Białystok,2017,918
Białystok,2018,1420
Białystok,2019,2806
Białystok,2020,3743
Białystok,2021,5562
Białystok,2022,7451
Bielsko-Biała,2015,255
Bielsko-Biała,2016,261
Bielsko-Biała,2017,550
Bielsko-Biała,2018,897
Bielsko-Biała,2019,1399
Bielsko-Biała,2020,1956
Bielsko-Biała,2021,3467
Bielsko-Biała,2022,4954
Bydgoszcz,2015,1028
Bydgoszcz,2016,1159
Bydgoszcz,2017,1701
Bydgoszcz,2018,2884
Bydgoszcz,2019,4085
Bydgoszcz,2020,5241
Bydgoszcz,2021,7361
Bydgoszcz,2022,9185
Bydgoszcz,2015,658
Bydgoszcz,2016,715
Bydgoszcz,2017,1027
Bydgoszcz,2018,1374
Bydgoszcz,2019,2101
Bydgoszcz,2020,2863
Bydgoszcz,2021,4106
Bydgoszcz,2022,5498
Częstochowa,2015,26
Częstochowa,2016,36
Częstochowa,2017,478
Częstochowa,2018,690
Częstochowa,2019,1431
Częstochowa,2020,1901
Częstochowa,2021,2653
Częstochowa,2022,3618
Dąbrowa Górnicza,2015,32
Dąbrowa Górnicza,2016,39
Dąbrowa Górnicza,2017,251
Dąbrowa Górnicza,2018,326
Dąbrowa Górnicza,2019,692
Dąbrowa Górnicza,2020,798
Dąbrowa Górnicza,2021,989
Dąbrowa Górnicza,2022,1242
Dąbrowa Górnicza,2015,37
Dąbrowa Górnicza,2016,50
Dąbrowa Górnicza,2017,172
Dąbrowa Górnicza,2018,249
Dąbrowa Górnicza,2019,558
Dąbrowa Górnicza,2020,671
Dąbrowa Górnicza,2021,803
Dąbrowa Górnicza,2022,1001
Dąbrowa Górnicza,2015,133
Dąbrowa Górnicza,2016,170
Dąbrowa Górnicza,2017,483
Dąbrowa Górnicza,2018,731
