city,date,residents_per_1km2
Jelenia Góra,2002,820.1
Jelenia Góra,2003,812.4
Jelenia Góra,2004,808.8
Jelenia Góra,2005,803.0
Jelenia Góra,2006,792.0
Jelenia Góra,2007,785.4
Jelenia Góra,2008,781.7
Jelenia Góra,2009,774.3
Jelenia Góra,2010,769.2
Jelenia Góra,2011,764.2
Jelenia Góra,2012,758.5
Jelenia Góra,2013,750.6
Jelenia Góra,2014,745.4
Jelenia Góra,2015,741.7
Jelenia Góra,2016,737.3
Jelenia Góra,2017,733.1
Jelenia Góra,2018,727.7
Jelenia Góra,2019,723.9
Jelenia Góra,2020,709.9
Jelenia Góra,2021,701.1
Jelenia Góra,2022,693.4
Biała Podlaska,2002,1176.7
Biała Podlaska,2003,1170.3
Biała Podlaska,2004,1174.8
Biała Podlaska,2005,1175.5
Biała Podlaska,2006,1175.6
Biała Podlaska,2007,1169.7
Biała Podlaska,2008,1169.6
Biała Podlaska,2009,1171.6
Biała Podlaska,2010,1175.1
Biała Podlaska,2011,1174.1
Biała Podlaska,2012,1173.9
Biała Podlaska,2013,1167.2
Biała Podlaska,2014,1163.4
Biała Podlaska,2015,1162.2
Biała Podlaska,2016,1160.0
Biała Podlaska,2017,1164.9
Biała Podlaska,2018,1161.0
Biała Podlaska,2019,1157.3
Biała Podlaska,2020,1124.1
Biała Podlaska,2021,1115.4
Biała Podlaska,2022,1108.7
Białystok,2002,29.2
Białystok,2003,28.9
Białystok,2004,28.8
Białystok,2005,28.7
Białystok,2006,28.4
Białystok,2007,28.1
Białystok,2008,27.9
Białystok,2009,27.6
Białystok,2010,28.6
Białystok,2011,28.1
Białystok,2012,27.8
Białystok,2013,27.5
Białystok,2014,27.1
Białystok,2015,26.8
Białystok,2016,26.4
Białystok,2017,26.1
Białystok,2018,25.7
Białystok,2019,25.2
Białystok,2020,23.2
Białystok,2021,22.6
Białystok,2022,21.9
Bielsko-Biała,2002,1423.5
Bielsko-Biała,2003,1419.9
Bielsko-Biała,2004,1416.7
Bielsko-Biała,2005,1415.7
Bielsko-Biała,2006,1417.2
Bielsko-Biała,2007,1411.1
Bielsko-Biała,2008,1410.9
Bielsko-Biała,2009,1408.7
Bielsko-Biała,2010,1403.5
Bielsko-Biała,2011,1401.5
Bielsko-Biała,2012,1400.4
Bielsko-Biała,2013,1395.1
Bielsko-Biała,2014,1389.6
Bielsko-Biała,2015,1386.2
Bielsko-Biała,2016,1381.7
Bielsko-Biała,2017,1377.4
Bielsko-Biała,2018,1375.5
Bielsko-Biała,2019,1370.7
Bielsko-Biała,2020,1361.8
Bielsko-Biała,2021,1350.1
Bielsko-Biała,2022,1340.0
Bydgoszcz,2002,2132.6
Bydgoszcz,2003,2122.0
Bydgoszcz,2004,2110.5
Bydgoszcz,2005,2098.1
Bydgoszcz,2006,2082.1
Bydgoszcz,2007,2069.2
Bydgoszcz,2008,2056.1
Bydgoszcz,2009,2032.3
Bydgoszcz,2010,2070.9
Bydgoszcz,2011,2062.8
Bydgoszcz,2012,2052.8
Bydgoszcz,2013,2042.4
Bydgoszcz,2014,2032.3
Bydgoszcz,2015,2020.9
Bydgoszcz,2016,2011.2
Bydgoszcz,2017,2002.0
Bydgoszcz,2018,1989.9
Bydgoszcz,2019,1978.6
Bydgoszcz,2020,1926.7
Bydgoszcz,2021,1898.1
Bydgoszcz,2022,1875.6
Cieszyn,2002,1268.2
Cieszyn,2003,1267.0
Cieszyn,2004,1258.6
Cieszyn,2005,1257.6
Cieszyn,2006,1245.8
Cieszyn,2007,1237.4
Cieszyn,2008,1234.1
Cieszyn,2009,1237.5
Cieszyn,2010,1268.3
Cieszyn,2011,1264.5
Cieszyn,2012,1262.5
Cieszyn,2013,1255.4
Cieszyn,2014,1247.3
Cieszyn,2015,1232.9
Cieszyn,2016,1226.9
Cieszyn,2017,1219.0
Cieszyn,2018,1209.8
Cieszyn,2019,1203.2
Cieszyn,2020,1191.3
Cieszyn,2021,1174.4
Cieszyn,2022,1162.6
Częstochowa,2002,1571.7
Częstochowa,2003,1562.9
Częstochowa,2004,1554.0
Częstochowa,2005,1546.8
Częstochowa,2006,1534.2
Częstochowa,2007,1517.1
Częstochowa,2008,1506.6
Częstochowa,2009,1498.5
Częstochowa,2010,1485.2
Częstochowa,2011,1476.4
Częstochowa,2012,1468.1
Częstochowa,2013,1454.6
Częstochowa,2014,1440.9
Częstochowa,2015,1428.7
Częstochowa,2016,1416.5
Częstochowa,2017,1404.9
Częstochowa,2018,1391.8
Częstochowa,2019,1380.2
Częstochowa,2020,1339.6
Częstochowa,2021,1319.7
Częstochowa,2022,1304.0
Dąbrowa Górnicza,2002,702.1
Dąbrowa Górnicza,2003,699.5
Dąbrowa Górnicza,2004,696.4
Dąbrowa Górnicza,2005,692.9
Dąbrowa Górnicza,2006,686.4
Dąbrowa Górnicza,2007,682.4
Dąbrowa Górnicza,2008,679.9
Dąbrowa Górnicza,2009,676.6
Dąbrowa Górnicza,2010,668.0
Dąbrowa Górnicza,2011,664.8
Dąbrowa Górnicza,2012,660.7
Dąbrowa Górnicza,2013,657.0
Dąbrowa Górnicza,2014,653.7
Dąbrowa Górnicza,2015,650.2
Dąbrowa Górnicza,2016,645.4
Dąbrowa Górnicza,2017,641.8
Dąbrowa Górnicza,2018,637.2
Dąbrowa Górnicza,2019,632.5
Dąbrowa Górnicza,2020,621.3
Dąbrowa Górnicza,2021,614.4
Dąbrowa Górnicza,2022,608.1
Dębica,2002,28.6
Dębica,2003,28.6
Dębica,2004,28.5
Dębica,2005,28.6
Dębica,2006,28.4
Dębica,2007,28.2
Dębica,2008,28.4
Dębica,2009,28.3
Dębica,2010,28.4
Dębica,2011,28.3
Dębica,2012,28.2
Dębica,2013,28.0
Dębica,2014,27.9
Dębica,2015,27.6
Dębica,2016,27.5
Dębica,2017,27.3
Dębica,2018,27.0
Dębica,2019,26.9
Dębica,2020,25.6
Dębica,2021,25.3
Dębica,2022,25.3
Dzierżoniów,2002,1760.2
Dzierżoniów,2003,1752.0
Dzierżoniów,2004,1737.8
Dzierżoniów,2005,1734.4
Dzierżoniów,2006,1720.8
Dzierżoniów,2007,1717.5
Dzierżoniów,2008,1707.2
Dzierżoniów,2009,1702.4
Dzierżoniów,2010,1744.7
Dzierżoniów,2011,1735.8
Dzierżoniów,2012,1727.9
Dzierżoniów,2013,1715.4
Dzierżoniów,2014,1702.4
Dzierżoniów,2015,1691.4
Dzierżoniów,2016,1683.4
Dzierżoniów,2017,1676.8
Dzierżoniów,2018,1661.4
Dzierżoniów,2019,1651.1
Dzierżoniów,2020,1594.3
Dzierżoniów,2021,1568.4
Dzierżoniów,2022,1547.6
Gdańsk,2002,1761.8
Gdańsk,2003,1759.4
Gdańsk,2004,1752.0
Gdańsk,2005,1748.1
Gdańsk,2006,1720.0
Gdańsk,2007,1741.9
Gdańsk,2008,1741.4
Gdańsk,2009,1744.8
Gdańsk,2010,1757.9
Gdańsk,2011,1758.0
Gdańsk,2012,1757.6
Gdańsk,2013,1761.8
Gdańsk,2014,1761.7
Gdańsk,2015,1764.6
Gdańsk,2016,1770.3
Gdańsk,2017,1772.2
Gdańsk,2018,1781.3
Gdańsk,2019,1797.6
Gdańsk,2020,1857.3
Gdańsk,2021,1856.3
Gdańsk,2022,1829.3
Gdynia,2002,1871.0
Gdynia,2003,1871.0
Gdynia,2004,1869.7
Gdynia,2005,1865.8
Gdynia,2006,1863.6
Gdynia,2007,1851.7
Gdynia,2008,1844.4
Gdynia,2009,1834.1
Gdynia,2010,1845.9
Gdynia,2011,1842.1
Gdynia,2012,1840.5
Gdynia,2013,1835.4
Gdynia,2014,1833.8
Gdynia,2015,1831.3
Gdynia,2016,1827.7
Gdynia,2017,1822.6
Gdynia,2018,1822.6
Gdynia,2019,1822.9
Gdynia,2020,1818.4
Gdynia,2021,1810.5
Gdynia,2022,1796.4
Gliwice,2002,1513.7
Gliwice,2003,1506.1
Gliwice,2004,1496.9
Gliwice,2005,1490.1
Gliwice,2006,1482.7
Gliwice,2007,1474.4
Gliwice,2008,1469.0
Gliwice,2009,1465.2
Gliwice,2010,1403.0
Gliwice,2011,1395.8
Gliwice,2012,1390.9
Gliwice,2013,1385.2
Gliwice,2014,1377.5
Gliwice,2015,1369.8
Gliwice,2016,1360.6
Gliwice,2017,1354.3
Gliwice,2018,1343.0
Gliwice,2019,1334.1
Gliwice,2020,1304.0
Gliwice,2021,1289.4
Gliwice,2022,1277.4
Gorzów Wielkopolski,2002,1458.5
Gorzów Wielkopolski,2003,1462.0
Gorzów Wielkopolski,2004,1459.7
Gorzów Wielkopolski,2005,1457.8
Gorzów Wielkopolski,2006,1463.9
Gorzów Wielkopolski,2007,1462.9
Gorzów Wielkopolski,2008,1459.9
Gorzów Wielkopolski,2009,1462.7
Gorzów Wielkopolski,2010,1453.3
Gorzów Wielkopolski,2011,1453.0
Gorzów Wielkopolski,2012,1453.7
Gorzów Wielkopolski,2013,1450.6
Gorzów Wielkopolski,2014,1448.3
Gorzów Wielkopolski,2015,1443.8
Gorzów Wielkopolski,2016,1446.5
Gorzów Wielkopolski,2017,1450.0
Gorzów Wielkopolski,2018,1445.6
Gorzów Wielkopolski,2019,1442.0
Gorzów Wielkopolski,2020,1406.0
Gorzów Wielkopolski,2021,1376.7
Gorzów Wielkopolski,2022,1358.2
Grudziądz,2002,1705.6
Grudziądz,2003,1702.8
Grudziądz,2004,1699.5
Grudziądz,2005,1695.2
Grudziądz,2006,1717.6
Grudziądz,2007,1715.5
Grudziądz,2008,1716.3
Grudziądz,2009,1715.3
Grudziądz,2010,1711.7
Grudziądz,2011,1704.3
Grudziądz,2012,1696.2
Grudziądz,2013,1691.1
Grudziądz,2014,1682.4
Grudziądz,2015,1667.6
Grudziądz,2016,1661.4
Grudziądz,2017,1655.6
Grudziądz,2018,1645.5
Grudziądz,2019,1633.8
Grudziądz,2020,1580.5
Grudziądz,2021,1562.9
Grudziądz,2022,1548.6
Inowrocław,2002,2562.0
Inowrocław,2003,2560.5
Inowrocław,2004,2552.5
Inowrocław,2005,2541.5
Inowrocław,2006,2526.3
Inowrocław,2007,2514.4
Inowrocław,2008,2507.1
Inowrocław,2009,2502.9
Inowrocław,2010,2504.7
Inowrocław,2011,2496.3
Inowrocław,2012,2482.5
Inowrocław,2013,2465.5
Inowrocław,2014,2451.2
Inowrocław,2015,2441.1
Inowrocław,2016,2431.6
Inowrocław,2017,2418.7
Inowrocław,2018,2403.5
Inowrocław,2019,2385.3
Inowrocław,2020,2296.8
Inowrocław,2021,2265.2
Inowrocław,2022,2238.7
Jarosław,2002,51.2
Jarosław,2003,51.5
Jarosław,2004,51.2
Jarosław,2005,51.2
Jarosław,2006,50.9
Jarosław,2007,50.4
Jarosław,2008,50.3
Jarosław,2009,50.3
Jarosław,2010,49.5
Jarosław,2011,49.3
Jarosław,2012,48.9
Jarosław,2013,48.5
Jarosław,2014,48.2
Jarosław,2015,47.9
Jarosław,2016,47.6
Jarosław,2017,47.1
Jarosław,2018,46.3
Jarosław,2019,45.9
Jarosław,2020,44.8
Jarosław,2021,44.3
Jarosław,2022,43.9
Jasło,2002,1035.3
Jasło,2003,1033.7
Jasło,2004,1031.5
Jasło,2005,1031.7
Jasło,2006,1028.5
Jasło,2007,1022.5
Jasło,2008,1020.0
Jasło,2009,1015.9
Jasło,2010,1017.2
Jasło,2011,1010.9
Jasło,2012,1003.3
Jasło,2013,995.7
Jasło,2014,992.9
Jasło,2015,985.8
Jasło,2016,977.9
Jasło,2017,970.6
Jasło,2018,963.6
Jasło,2019,955.1
Jasło,2020,930.0
Jasło,2021,916.3
Jasło,2022,906.4
