city,date,residents_1000
Jelenia Góra,1995,93.46
Jelenia Góra,1996,93.57
Jelenia Góra,1997,93.4
Jelenia Góra,1998,93.9
Jelenia Góra,1999,90.57
Jelenia Góra,2000,90.13
Jelenia Góra,2001,89.56
Jelenia Góra,2002,88.87
Jelenia Góra,2003,88.03
Jelenia Góra,2004,87.64
Jelenia Góra,2005,87.02
Jelenia Góra,2006,86.5
Jelenia Góra,2007,85.78
Jelenia Góra,2008,85.38
Jelenia Góra,2009,84.56
Jelenia Góra,2010,84.02
Jelenia Góra,2011,83.46
Jelenia Góra,2012,82.85
Jelenia Góra,2013,81.99
Jelenia Góra,2014,81.41
Jelenia Góra,2015,81.01
Jelenia Góra,2016,80.52
Jelenia Góra,2017,80.07
Jelenia Góra,2018,79.48
Jelenia Góra,2019,79.06
Jelenia Góra,2020,77.54
Jelenia Góra,2021,76.57
Jelenia Góra,2022,75.79
Biała Podlaska,1995,56.45
Biała Podlaska,1996,57.01
Biała Podlaska,1997,57.61
Biała Podlaska,1998,58.35
Biała Podlaska,1999,57.54
Biała Podlaska,2000,57.9
Biała Podlaska,2001,58.27
Biała Podlaska,2002,58.14
Biała Podlaska,2003,57.83
Biała Podlaska,2004,58.05
Biała Podlaska,2005,58.08
Biała Podlaska,2006,58.08
Biała Podlaska,2007,57.78
Biała Podlaska,2008,57.78
Biała Podlaska,2009,57.88
Biała Podlaska,2010,58.05
Biała Podlaska,2011,58.0
Biała Podlaska,2012,57.99
Biała Podlaska,2013,57.66
Biała Podlaska,2014,57.47
Biała Podlaska,2015,57.41
Biała Podlaska,2016,57.3
Biała Podlaska,2017,57.55
Biała Podlaska,2018,57.35
Biała Podlaska,2019,57.17
Biała Podlaska,2020,55.53
Biała Podlaska,2021,55.1
Biała Podlaska,2022,54.77
Białystok,1995,7.01
Białystok,1996,6.92
Białystok,1997,6.9
Białystok,1998,6.71
Białystok,1999,6.41
Białystok,2000,6.36
Białystok,2001,6.37
Białystok,2002,6.25
Białystok,2003,6.2
Białystok,2004,6.18
Białystok,2005,6.14
Białystok,2006,6.05
Białystok,2007,5.97
Białystok,2008,5.94
Białystok,2009,5.87
Białystok,2010,6.08
Białystok,2011,5.97
Białystok,2012,5.9
Białystok,2013,5.85
Białystok,2014,5.76
Białystok,2015,5.7
Białystok,2016,5.61
Białystok,2017,5.54
Białystok,2018,5.45
Białystok,2019,5.35
Białystok,2020,4.92
Białystok,2021,4.81
Białystok,2022,4.7
