date, pm25, pm10, no2
2020/10/1, 80, 56, 5
2020/10/2, 95, 21, 2
2020/10/3, 55, 13, 3
2020/10/4, 36, 14, 6
2020/10/5, 33, 9, 6
2020/10/6, 25, 9, 7
2020/10/7, 27, 14, 6
2020/10/8, 37, 11, 7
2020/10/9, 24, 16, 5
2020/10/10, 50, 16, 6
2020/10/11, 50, 26, 10
2020/10/12, 67, 17, 5
2020/10/13, 52, 8, 4
2020/10/14, 26, 28, 7
2020/10/15, 59, 17, 4
2020/10/16, 32, 18, 5
2020/10/17, 43, 10, 2
2020/10/18, 35, 19, 8
2020/10/19, 51, 35, 8
2020/10/20, 83, 26, 9
2020/10/21, 69, 30, 4
2020/10/22, 73, , 
2020/7/1, 24, 13, 5
2020/7/2, 34, 13, 7
2020/7/3, 35, 12, 4
2020/7/4, 31, 12, 2
2020/7/5, 27, 15, 2
2020/7/6, 23, 12, 3
2020/7/7, 20, 10, 3
2020/7/8, 25, 16, 6
2020/7/9, 49, 15, 3
2020/7/10, 32, 5, 4
2020/7/11, 12, 6, 3
2020/7/12, 14, 10, 7
2020/7/13, 16, 12, 7
2020/7/14, 23, 16, 5
2020/7/15, 41, 9, 5
2020/7/16, 24, 10, 5
2020/7/17, 23, 17, 5
2020/7/18, 50, 19, 4
2020/7/19, 51, 18, 7
2020/7/20, 48, 12, 5
2020/7/21, 18, 10, 5
2020/7/22, 14, 14, 8
2020/7/23, 24, 14, 6
2020/7/24, 31, 14, 6
2020/7/25, 29, 14, 3
2020/7/26, 34, 12, 6
2020/7/27, 33, 21, 5
2020/7/28, 37, 16, 6
2020/7/29, 25, 20, 7
2020/7/30, 26, 14, 5
2020/7/31, 24, 12, 4
2020/8/1, 26, 18, 5
2020/8/2, 40, 12, 5
2020/8/3, 39, 11, 5
2020/8/4, 24, 10, 6
2020/8/5, 19, 13, 6
2020/8/6, 27, 28, 5
2020/8/7, 57, 30, 5
2020/8/8, 67, 27, 3
2020/8/9, 67, 23, 4
2020/8/10, 55, 20, 4
2020/8/11, 41, 21, 5
2020/8/12, 34, 21, 7
2020/8/13, 38, 27, 11
2020/8/14, 55, 17, 4
2020/8/15, 50, 15, 4
2020/8/16, 38, 19, 7
2020/8/17, 45, 23, 6
2020/8/18, 60, , 
2020/9/5, 29, 9, 4
2020/9/6, 26, 14, 9
2020/9/7, 31, 15, 6
2020/9/8, 39, 18, 10
2020/9/9, 40, 12, 6
2020/9/10, 25, 21, 9
2020/9/11, 43, 22, 8
2020/9/12, 54, 13, 7
2020/9/13, 36, 29, 14
2020/9/14, 55, 39, 11
2020/9/15, 72, 36, 8
2020/9/16, 71, 10, 4
2020/9/17, 16, 15, 10
2020/9/18, 26, 25, 9
2020/9/19, 55, 20, 7
2020/9/20, 49, 35, 11
2020/9/21, 61, 46, 9
2020/9/22, 74, 43, 12
2020/9/23, 66, 29, 11
2020/9/24, 64, 22, 8
2020/9/25, 50, 10, 3
2020/9/26, 38, 7, 4
2020/9/27, 27, 13, 7
2020/9/28, 39, 21, 6
2020/9/29, 53, 22, 7
2020/9/30, 51, 50, 5
2020/6/21, 41, 12, 2
2020/6/22, 31, 10, 5
2020/6/23, 21, 15, 5
2020/6/24, 37, 18, 3
2020/6/25, 50, 21, 4
2020/6/26, 51, 21, 3
2020/6/27, 52, 15, 2
2020/6/28, 42, 12, 5
2020/6/29, 32, 18, 5
2020/6/30, 32, 12, 4
2019/7/1, 37, 28, 6
2019/7/2, 32, 19, 6
2019/7/3, 23, 21, 6
2019/7/4, 23, 22, 7
2019/7/5, 26, 9, 5
2019/7/6, 23, 8, 2
2019/7/7, 20, 16, 5
2019/7/8, 19, 18, 6
2019/7/9, 20, 12, 7
2019/7/10, 23, 11, 10
2019/7/11, 20, 22, 12
2019/7/12, 46, 13, 8
2019/7/13, 40, 12, 5
2019/7/14, 32, 13, 7
2019/7/15, 27, 16, 5
2019/7/16, 31, 11, 8
2019/7/17, 21, 12, 11
2019/7/18, 22, 26, 12
2019/7/19, 47, 19, 10
2019/7/20, 50, 12, 4
2019/7/21, 29, 16, 8
2019/7/22, 36, 12, 8
2019/7/23, 35, 13, 7
2019/7/24, 30, 20, 6
2019/7/25, 39, 16, 4
2019/7/26, 26, 17, 4
2019/7/27, 39, 18, 4
2019/7/28, 48, 26, 8
2019/7/29, 65, 25, 9
2019/7/30, 61, 14, 8
2019/7/31, 32, 14, 9
2019/8/1, 31, 12, 7
2019/8/2, 32, 11, 7
2019/8/3, 27, 10, 6
2019/8/4, 26, 13, 7
2019/8/5, 32, 18, 7
2019/8/6, 38, 12, 7
2019/8/7, 31, 15, 6
2019/8/8, 38, 20, 13
2019/8/9, 39, 15, 4
2019/8/10, 40, 11, 6
2019/8/11, 28, 18, 11
2019/8/12, 40, 17, 6
2019/8/13, 31, 15, 12
2019/8/14, 23, 13, 8
2019/8/15, 29, 14, 9
2019/8/16, 27, 14, 7
2019/8/17, 33, 10, 7
2019/8/18, 26, 11, 8
2019/8/19, 28, 18, 11
2019/8/20, 43, 9, 8
2019/8/21, 25, 21, 10
2019/8/22, 45, 23, 11
2019/8/23, 46, 18, 7
2019/8/24, 42, 18, 7
2019/8/25, 45, 29, 9
2019/8/26, 59, 38, 10
2019/8/27, 69, 36, 11
2019/8/28, 76, 33, 12
2019/8/29, 70, 28, 13
2019/8/30, 62, 25, 6
2019/8/31, 62, 24, 4
2019/9/1, 62, 12, 9
2019/9/2, 22, 16, 12
2019/9/3, 28, 21, 9
2019/9/4, 43, 19, 11
2019/9/5, 32, 18, 10
2019/9/6, 24, 15, 10
2019/9/7, 44, 9, 5
2019/9/8, 29, 19, 6
2019/9/9, 60, 9, 6
2019/9/10, 27, , 
2019/6/16, 22, 11, 7
2019/6/17, 24, 16, 5
2019/6/18, 32, 24, 10
2019/6/19, 55, 24, 7
2019/6/20, 61, 20, 8
2019/6/21, 53, 12, 5
2019/6/22, 29, 10, 4
2019/6/23, 28, 13, 7
2019/6/24, 25, 23, 9
2019/6/25, 49, 31, 8
2019/6/26, 64, 22, 3
2019/6/27, 35, 21, 7
2019/6/28, 32, 15, 8
2019/6/29, 28, 18, 7
2019/6/30, 41, 22, 9
2020/9/4, , 9, 3
2020/6/20, , 13, 1
2019/6/15, , 9, 4
