date, pm25, pm10, o3, no2, so2, co
2019/7/1, 37, 17, 34, 3, 1, 
2019/7/2, 23, 14, 33, 2, 1, 
2019/7/3, 18, 13, 35, 3, , 
2019/7/4, 18, 11, 27, 2, 1, 1
2019/7/5, 21, 11, 24, 3, , 1
2019/7/6, 27, 11, 30, 2, , 1
2019/7/7, 26, 9, 32, 2, 1, 1
2019/7/8, 19, 12, 26, 3, 1, 1
2019/7/9, 19, 12, 24, 2, , 1
2019/7/10, 26, 12, 28, 2, , 1
2019/7/11, 25, 23, 43, 6, 1, 1
2019/7/12, 43, 12, 33, 3, 1, 1
2019/7/13, 39, 13, 39, 1, , 1
2019/7/14, 30, 15, 41, 4, , 1
2019/7/15, 33, 14, 29, 3, , 1
2019/7/16, 30, 14, 28, 2, , 1
2019/7/17, 20, 14, 40, 2, , 1
2019/7/18, 28, 24, 26, 6, 1, 1
2019/7/19, 43, , , , , 
2019/4/1, 67, 70, 38, 3, 1, 1
2019/4/2, 56, 53, 42, 3, 1, 2
2019/4/3, 66, 56, 41, 5, 5, 2
2019/4/4, 80, 62, 44, 7, 5, 3
2019/4/5, 91, 53, 44, 5, 6, 3
2019/4/6, 75, 58, 48, 4, 2, 3
2019/4/7, 97, 56, 55, 6, 1, 4
2019/4/8, 91, 21, 39, 2, , 2
2019/4/9, 43, 25, 40, 2, , 2
2019/4/10, 52, 22, 37, 2, , 2
2019/4/11, 43, 23, 36, 2, , 2
2019/4/12, 42, 27, 33, 2, , 3
2019/4/13, 50, 24, 42, 2, , 3
2019/4/14, 45, 23, 44, 2, , 2
2019/4/15, 46, 33, 38, 4, 2, 3
2019/4/16, 53, 36, 44, 3, 1, 3
2019/4/17, 51, 41, 54, 4, 2, 4
2019/4/18, 64, 36, 49, 3, 1, 4
2019/4/19, 46, 22, 49, 2, 1, 3
2019/4/20, 37, 29, 47, 2, 1, 4
2019/4/21, 50, 22, 43, 2, , 4
2019/4/22, 44, 64, 47, 3, 1, 4
2019/4/23, 60, 52, 40, 3, 1, 4
2019/4/24, 60, 53, 43, 4, 1, 5
2019/4/25, 69, 66, 47, 7, 1, 6
2019/4/26, 84, 41, 24, 4, , 5
2019/4/27, 65, 20, 31, 3, , 4
2019/4/28, 36, 27, 38, 2, , 4
2019/4/29, 47, 25, 43, 3, , 4
2019/4/30, 38, 29, 45, 4, , 4
2019/5/1, 52, 23, 34, 3, , 3
2019/5/2, 36, 12, 35, 2, , 3
2019/5/3, 25, 17, 37, 3, , 3
2019/5/4, 35, 13, 32, 2, , 3
2019/5/5, 42, 32, 37, 3, , 3
2019/5/6, 64, 23, 34, 5, , 3
2019/5/7, 37, 37, 43, 7, 1, 4
2019/5/8, 63, 29, 34, 4, , 4
