date, pm10, o3, no2, so2, co
2024/5/1, 27, , 7, , 
2024/5/2, 29, , 7, , 
2024/5/3, 23, , 12, , 
2024/5/4, 30, , 6, , 
2024/5/5, 27, , 9, , 
2024/5/6, 15, , 2, , 
2024/5/7, 11, , 4, , 
2024/5/8, 13, , 12, , 
2024/5/9, 29, , 9, , 
2024/5/10, 20, , 2, , 
2024/5/11, 8, , 2, , 
2024/5/12, 9, , 7, , 
2024/5/13, 17, , 9, , 
2024/5/14, 21, , 7, , 
2024/5/15, 25, , 6, , 
2024/5/16, 30, , 7, , 
2024/5/17, 27, , 7, , 
2024/5/18, 23, , 5, , 
2024/5/19, 21, , 6, , 
2024/5/20, 19, , 6, , 
2024/5/21, 19, , 4, , 
2024/5/22, 14, , , , 
2024/4/1, 72, , 8, , 
2024/4/2, 18, , 2, , 
2024/4/3, 15, , 8, , 
2024/4/4, 25, , 13, , 
2024/4/5, 22, , 8, , 
2024/4/6, 20, , 7, , 
2024/4/7, 28, , 11, , 
2024/4/8, 35, , 11, , 
2024/4/9, 44, , 4, , 
2024/4/10, 24, , 13, , 
2024/4/11, 30, , 11, , 
2024/4/12, 34, , 7, , 
2024/4/13, 23, , 3, , 
2024/4/14, 22, , 11, , 
2024/4/15, 35, , 12, , 
2024/4/16, 19, , 2, , 
2024/4/17, 9, , 4, , 
2024/4/18, 13, , 14, , 
2024/4/19, 37, , 2, , 
2024/4/20, 11, , 1, , 
2024/4/21, 9, , 2, , 
2024/4/22, 9, , 15, , 
2024/4/23, 28, , 7, , 
2024/4/24, 30, , 12, , 
2024/4/25, 32, , 15, , 
2024/4/26, 29, , 11, , 
2024/4/27, 28, , 7, , 
2024/4/28, 28, , 11, , 
2024/4/29, 28, , 8, , 
2024/4/30, 31, , 6, , 
2024/1/7, 22, , 10, , 
2024/1/8, 41, , 28, , 
2024/1/9, 83, , 18, , 
2024/1/10, 25, , 8, , 
2024/1/11, 13, , 17, , 
2024/1/12, 15, , 14, , 
2024/1/13, 13, , 7, , 
2024/1/14, 8, , 13, , 
2024/1/15, 8, , 21, , 
2024/1/16, 26, , 18, , 
2024/1/17, 36, , 18, , 
2024/1/18, 37, , 21, , 
2024/1/19, 22, , 11, , 
2024/1/20, 18, , 12, , 
2024/1/21, 29, , 13, , 
2024/1/22, 24, , 20, , 
2024/1/23, 15, , 20, , 
2024/1/24, 12, , 8, , 
2024/1/25, 6, , 28, , 
2024/1/26, 15, , 15, , 
2024/1/27, 13, , 29, , 
2024/1/28, 20, , 33, , 
2024/1/29, 32, , 48, , 
2024/1/30, 41, , 35, , 
2024/1/31, 23, , 19, , 
2024/2/1, 17, , 24, , 
2024/2/2, 22, , , , 
2024/2/3, 10, , , , 
2024/2/4, 11, , , , 
2024/2/5, 9, , , , 
2024/2/6, 13, , , , 
2024/2/7, 10, , , , 
2024/2/8, 34, , , , 
2024/2/9, 41, , , , 
2024/2/10, 28, , , , 
2024/2/11, 24, , 7, , 
2024/2/12, 21, , 10, , 
2024/2/13, 15, , 14, , 
2024/2/14, 46, , 10, , 
2024/2/15, 31, , 9, , 
2024/2/16, 34, , 5, , 
2024/2/17, 12, , 8, , 
2024/2/18, 23, , 9, , 
2024/2/19, 23, , 6, , 
2024/2/20, 10, , 12, , 
2024/2/21, 19, , 10, , 
2024/2/22, 27, , 16, , 
2024/2/23, 40, , 10, , 
2024/2/24, 28, , 10, , 
2024/2/25, 40, , 11, , 
2024/2/26, 70, , 6, , 
2024/2/27, 24, , 6, , 
2024/2/28, 16, , 10, , 
2024/2/29, 34, , 6, , 
2024/3/1, 48, , 6, , 
2024/3/2, 44, , 5, , 
2024/3/3, 44, , 9, , 
2024/3/4, 42, , 7, , 
2024/3/5, 23, , 11, , 
2024/3/6, 42, , 9, , 
2024/3/7, 35, , 12, , 
2024/3/8, 61, , 13, , 
2024/3/9, 53, , 6, , 
2024/3/10, 45, , 7, , 
2024/3/11, 22, , 11, , 
2024/3/12, 37, , 9, , 
2024/3/13, 54, , 10, , 
2024/3/14, 57, , 12, , 
2024/3/15, 44, , 10, , 
2024/3/16, 33, , 2, , 
2024/3/17, 8, , 3, , 
2024/3/18, 8, , 8, , 
2024/3/19, 29, , 12, , 
2024/3/20, 66, , 14, , 
2024/3/21, 48, , 13, , 
2024/3/22, 34, , 7, , 
2024/3/23, 13, , 8, , 
2024/3/24, 17, , 13, , 
2024/3/25, 25, , 9, , 
2024/3/26, 37, , 6, , 
2024/3/27, 25, , 9, , 
2024/3/28, 34, , 13, , 
2024/3/29, 22, , 12, , 
2024/3/30, 35, , 9, , 
2024/3/31, 73, , 8, , 
2023/10/1, 17, , 29, , 
2023/10/2, 31, , 24, , 
2023/10/3, 34, , , , 
2023/10/4, 19, , , , 
2023/10/5, 21, , , , 
2023/10/6, 21, , , , 
2023/10/7, 9, , , , 
2023/10/8, 6, , , , 
2023/10/9, 26, , , , 
2023/10/10, 43, , 18, , 
2023/10/11, 31, , 13, , 
2023/10/12, 20, , 13, , 
2023/10/13, 29, , 6, , 
2023/10/14, 19, , 7, , 
2023/10/15, 12, , 11, , 
2023/10/16, 13, , 18, , 
2023/10/17, 23, , 11, , 
2023/10/18, 25, , , , 
2023/10/19, 37, , , , 
2023/10/20, 11, , , , 
2023/10/21, 17, , , , 
2023/10/22, 25, , , , 
2023/10/23, 33, , , , 
2023/10/24, 48, , 4, , 
2023/10/25, 17, , 5, , 
2023/10/26, 17, , 3, , 
2023/10/27, 11, , 5, , 
2023/10/28, 19, , 5, , 
2023/10/29, 19, , 16, , 
2023/10/30, 27, , 10, , 
2023/10/31, 21, , , , 
2023/11/1, 23, , , , 
2023/11/2, 32, , , , 
2023/11/3, 17, , , , 
2023/11/4, 11, , , , 
2023/11/7, 24, , 12, , 
2023/11/8, 20, , 15, , 
2023/11/9, 29, , 7, , 
2023/11/10, 20, , 9, , 
2023/11/11, 35, , 9, , 
2023/11/12, 26, , 16, , 
2023/11/13, 37, , 18, , 
2023/11/14, 22, , 5, , 
2023/11/15, 12, , 13, , 
2023/11/16, 31, , 13, , 
2023/11/17, 27, , 8, , 
2023/11/18, 23, , 6, , 
2023/11/19, 27, , 10, , 
2023/11/20, 16, , 8, , 
2023/11/21, 22, , 17, , 
2023/11/22, 38, , 11, , 
2023/11/23, 14, , 14, , 
2023/11/24, 11, , 5, , 
2023/11/25, 7, , 5, , 
2023/11/26, 8, , 13, , 
2023/11/27, 15, , 17, , 
2023/11/28, 38, , 18, , 
2023/11/29, 37, , 20, , 
2023/11/30, 29, , 21, , 
2023/12/1, 32, , 12, , 
2023/12/2, 26, , 11, , 
2023/12/3, 26, , 19, , 
2023/12/4, 36, , 22, , 
2023/12/5, 54, , 13, , 
2023/12/6, 41, , 18, , 
2023/12/7, 49, , 13, , 
2023/12/8, 49, , 13, , 
2023/12/9, 45, , 10, , 
2023/12/10, 39, , 21, , 
2023/12/11, 30, , 16, , 
2023/12/12, 26, , 12, , 
2023/12/13, 27, , 7, , 
2023/12/14, 19, , 17, , 
2023/12/15, 36, , 14, , 
2023/12/16, 23, , 8, , 
2023/12/17, 12, , 13, , 
2023/12/18, 22, , 17, , 
2023/12/19, 18, , 19, , 
2023/12/20, 12, , 14, , 
2023/12/21, 10, , 11, , 
2023/12/22, 11, , 10, , 
2023/12/23, 10, , 10, , 
2023/12/24, 12, , 4, , 
2023/12/25, 13, , 5, , 
2023/12/26, 11, , 11, , 
2023/12/27, 17, , 18, , 
2023/12/28, 27, , , , 
2023/7/1, 14, , 4, , 
2023/7/2, 16, , 17, , 
2023/7/3, 21, , 16, , 
2023/7/4, 23, , 11, , 
2023/7/5, 22, , 11, , 
2023/7/6, 17, , 10, , 
2023/7/7, 15, , 6, , 
2023/7/8, 15, , 3, , 
2023/7/9, 8, , 12, , 
2023/7/10, 18, , 7, , 
2023/7/11, 13, , 14, , 
2023/7/12, 24, , 9, , 
2023/7/13, 19, , 8, , 
2023/7/14, 12, , 15, , 
2023/7/15, 21, , 9, , 
2023/7/16, 21, , 11, , 
2023/7/17, 18, , 8, , 
2023/7/18, 12, , 12, , 
2023/7/19, 21, , 9, , 
2023/7/20, 14, , 15, , 
2023/7/21, 14, , 8, , 
2023/7/22, 12, , 7, , 
2023/7/23, 16, , 16, , 
2023/7/24, 20, , 8, , 
2023/7/25, 13, , 5, , 
2023/7/26, 10, , 17, , 
2023/7/27, 17, , 12, , 
2023/7/28, 18, , 10, , 
2023/7/29, 15, , 7, , 
2023/7/30, 14, , 11, , 
2023/7/31, 15, , 10, , 
2023/8/1, 13, , 14, , 
2023/8/2, 15, , 12, , 
2023/8/3, 17, , 13, , 
2023/8/4, 14, , 5, , 
2023/8/5, 14, , 2, , 
2023/8/6, 9, , 12, , 
2023/8/7, 12, , 12, , 
2023/8/8, 15, , 14, , 
2023/8/9, 14, , 15, , 
2023/8/10, 17, , 18, , 
2023/8/11, 22, , 18, , 
2023/8/12, 34, , 6, , 
2023/8/13, 19, , 16, , 
2023/8/14, 21, , 14, , 
2023/8/15, 30, , 14, , 
2023/8/16, 31, , 3, , 
2023/8/17, 9, , 11, , 
2023/8/18, 18, , 9, , 
2023/8/19, 25, , 6, , 
2023/8/20, 23, , 6, , 
2023/8/21, 15, , , , 
2023/8/23, 25, , 15, , 
2023/8/24, 20, , 22, , 
2023/8/25, 36, , 13, , 
2023/8/26, 24, , 3, , 
2023/8/27, 14, , 12, , 
2023/8/28, 14, , 4, , 
2023/8/29, 12, , 10, , 
2023/8/30, 16, , 15, , 
2023/8/31, 14, , 17, , 
2023/9/1, 20, , 13, , 
2023/9/2, 20, , 6, , 
2023/9/3, 21, , 13, , 
2023/9/4, 17, , 19, , 
2023/9/5, 35, , 17, , 
2023/9/6, 31, , 7, , 
2023/9/7, 18, , 18, , 
2023/9/8, 33, , 17, , 
2023/9/9, 31, , 16, , 
2023/9/10, 28, , 18, , 
2023/9/11, 42, , 22, , 
2023/9/12, 42, , 25, , 
2023/9/13, 47, , 4, , 
2023/9/14, 7, , 15, , 
2023/9/15, 21, , 14, , 
2023/9/16, 21, , 11, , 
2023/9/17, 20, , 17, , 
2023/9/18, 34, , 20, , 
2023/9/19, 27, , 23, , 
2023/9/20, 21, , 17, , 
2023/9/21, 24, , 15, , 
2023/9/22, 21, , 12, , 
2023/9/23, 11, , 7, , 
2023/9/24, 11, , 17, , 
2023/9/25, 18, , 17, , 
2023/9/26, 28, , 17, , 
2023/9/27, 38, , 23, , 
2023/9/28, 42, , 28, , 
2023/9/29, 42, , 8, , 
2023/9/30, 21, , 9, , 
2023/4/1, 11, , 1, , 
2023/4/2, 10, , 1, , 
2023/4/3, 11, , 1, , 
2023/4/4, 13, , 9, , 
2023/4/5, 26, , 7, , 
2023/4/6, 24, , 5, , 
2023/4/7, 22, , 12, , 
2023/4/8, 32, , 4, , 
2023/4/9, 24, , 11, , 
2023/4/10, 31, , 15, , 
2023/4/11, 38, , 16, , 
2023/4/12, 33, , 17, , 
2023/4/13, 50, , 12, , 
2023/4/14, 21, , 8, , 
2023/4/15, 18, , 4, , 
2023/4/16, 10, , 4, , 
2023/4/17, 13, , 4, , 
2023/4/18, 23, , 7, , 
2023/4/19, 19, , 9, , 
2023/4/20, 27, , 10, , 
2023/4/21, 29, , 15, , 
2023/4/22, 30, , 14, , 
2023/4/23, 33, , 19, , 
2023/4/24, 30, , 9, , 
2023/4/25, 15, , 9, , 
2023/4/26, 17, , 15, , 
2023/4/27, 33, , 22, , 
2023/4/28, 47, , 12, , 
2023/4/29, 35, , 2, , 
2023/4/30, 13, , 10, , 
2023/5/1, 29, , 13, , 
2023/5/2, 27, , 4, , 
2023/5/3, 14, , 13, , 
2023/5/4, 28, , 6, , 
2023/5/5, 16, , 9, , 
2023/5/6, 21, , 8, , 
2023/5/7, 21, , 20, , 
2023/5/8, 35, , 18, , 
2023/5/9, 41, , 10, , 
2023/5/10, 31, , 11, , 
2023/5/11, 23, , 15, , 
2023/5/12, 31, , 16, , 
2023/5/13, 31, , 12, , 
2023/5/14, 26, , 15, , 
2023/5/15, 24, , 12, , 
2023/5/16, 17, , 5, , 
2023/5/17, 17, , 5, , 
2023/5/18, 13, , 7, , 
2023/5/19, 12, , 5, , 
2023/5/20, 13, , 8, , 
2023/5/21, 17, , 15, , 
2023/5/22, 21, , 19, , 
2023/5/23, 29, , 16, , 
2023/5/24, 32, , 6, , 
2023/5/25, 19, , 6, , 
2023/5/26, 20, , 9, , 
2023/5/27, 19, , 9, , 
