date, pm25, pm10, o3, no2, so2, co
2020/3/4, 41, 15, 30, 3, 1, 2
2020/3/5, 69, 28, 35, 7, 2, 4
2020/3/6, 45, 27, 34, 6, 2, 4
2019/4/1, 40, 31, 34, 4, 2, 2
2019/4/2, 55, 45, 36, 4, 3, 2
2019/4/3, 70, 43, 36, 6, 4, 3
2019/4/4, 80, 40, 39, 7, 4, 3
2019/4/5, 93, 33, 39, 6, 3, 3
2019/4/6, 77, 39, 43, 7, 3, 4
2019/4/7, 90, 37, 44, 8, 3, 4
2019/4/8, 93, 15, 31, 3, 1, 3
2019/4/9, 54, 13, 31, 5, 1, 4
2019/4/10, 52, 14, 27, 4, 1, 3
2019/4/11, 37, 24, 30, 4, 1, 3
2019/4/12, 33, 20, 30, 4, 1, 3
2019/4/13, 44, 13, 35, 2, 2, 2
2019/4/14, 37, 16, 36, 3, 2, 3
2019/4/15, 35, 17, 38, 5, 2, 3
2019/4/16, 43, 18, 40, 5, 2, 3
2019/4/17, 42, 24, 47, 6, 3, 4
2019/4/18, 55, 23, 43, 6, 2, 3
2019/4/19, 41, 16, 42, 3, 2, 3
2019/4/20, 32, 15, 43, 2, 2, 2
2019/4/21, 36, 16, 38, 2, 2, 2
2019/4/22, 41, 65, 43, 2, 2, 2
2019/4/23, 68, 36, 36, 3, 2, 3
2019/4/24, 46, 32, 37, 6, 2, 4
2019/4/25, 62, 36, 42, 9, 3, 5
2019/4/26, 57, 31, 24, 4, 1, 3
2019/4/27, 58, 16, 29, 2, 1, 3
2019/4/28, 49, 15, 33, 3, 1, 4
2019/4/29, 58, 13, 43, 3, 1, 5
2019/4/30, 34, 21, 42, 3, 1, 5
2019/5/1, 51, 17, 34, 2, 1, 5
2019/5/2, 48, 9, 34, 2, 1, 5
2019/5/3, 21, 10, 30, 3, 1, 6
2019/5/4, 24, 9, 32, 2, 1, 5
2019/5/5, 24, 14, 35, 6, 2, 6
2019/5/6, 40, 11, 30, 4, 1, 5
2019/5/7, 24, 21, 37, 8, 2, 4
2019/5/8, 46, 22, 30, 5, 1, 3
2019/5/9, 53, 26, 36, 6, 1, 3
2019/5/10, 61, 11, 37, 4, 1, 3
2019/5/11, 38, 10, 33, 2, 1, 3
2019/5/12, 33, 5, 26, 2, 1, 3
2019/5/13, 22, 6, 27, 3, 1, 3
2019/5/14, 21, 10, 27, 3, 1, 4
2019/5/15, 24, 23, 20, 5, 1, 5
2019/5/20, 52, 25, 34, 4, 1, 5
2019/6/11, 67, 24, 48, 4, 2, 2
2019/6/13, 67, 21, 29, 3, 1, 2
2019/2/5, 71, , 11, , , 6
2019/2/6, 72, , 19, , , 6
2019/2/7, 139, , 22, , , 8
2019/2/8, 84, , 15, , , 7
2019/2/9, 69, , 21, , , 6
2019/2/10, 51, , 25, , , 6
2019/2/11, 45, 4, 22, 3, 2, 6
2019/2/12, 24, 5, 25, 2, 2, 5
2019/2/13, 56, 16, 24, 4, 2, 6
2019/2/14, 65, 18, 22, 3, 2, 6
2019/2/15, 91, 32, 11, 5, 1, 6
2019/2/16, 78, 25, 14, 6, 2, 7
2019/2/17, 79, 32, 22, 5, 2, 8
2019/2/18, 112, 49, 17, 11, 2, 10
2019/2/19, 49, 45, 18, 9, 3, 5
2019/2/20, 26, 10, 25, 2, , 2
2019/2/21, 52, 25, 13, 4, , 3
2019/2/22, 25, 8, 26, 4, , 2
2019/2/23, 68, 21, 21, 5, , 3
2019/2/24, 75, 24, 24, 4, 1, 3
2019/2/25, 102, 31, 19, 5, 1, 3
2019/2/26, 62, 16, 25, 4, 1, 3
2019/2/27, 90, 27, 19, 5, 1, 4
2019/2/28, 110, 31, 19, 5, 1, 3
2019/3/1, 70, 22, 24, 5, , 3
2019/3/2, 75, 23, 27, 5, , 4
2019/3/3, 82, 27, 17, 3, , 3
2019/3/4, 33, 7, 26, 2, , 3
2019/3/5, 24, 9, 24, 3, , 2
2019/3/6, 51, 14, 24, 4, , 3
2019/3/7, 68, 20, 22, 6, 3, 3
2019/3/8, 26, 16, 27, 2, , 2
2019/3/9, 35, 12, 25, 3, , 3
2019/3/10, 24, 6, 30, 2, , 2
2019/3/11, 28, 7, 28, 2, , 3
2019/3/12, 47, 11, 26, 3, 1, 3
2019/3/13, 41, 12, 26, 4, 2, 3
2019/3/14, 29, 9, 26, 3, 2, 3
2019/3/15, 31, 8, 25, 2, 2, 3
2019/3/16, 23, 6, 29, 1, 2, 3
2019/3/17, 35, 9, 29, 2, 2, 4
2019/3/18, 23, 6, 27, 2, 1, 3
2019/3/19, 27, 9, 25, 2, 1, 4
2019/3/20, 45, 14, 31, 3, 2, 4
2019/3/21, 69, 20, 27, 3, 2, 4
2019/3/22, 64, 22, 23, 5, 1, 4
2019/3/23, 98, 32, 24, 6, 3, 5
2019/3/24, 52, 12, 30, 2, 1, 4
2019/3/25, 56, 19, 25, 5, 1, 5
2019/3/26, 39, 10, 27, 3, 1, 4
2019/3/27, 47, 8, 30, 2, 1, 3
2019/3/28, 48, 14, 27, 3, 1, 3
2019/3/29, 53, 11, 22, 3, 1, 3
2019/3/30, 75, 19, 26, 3, 1, 2
2019/3/31, 80, 25, 33, 3, 2, 3
2018/10/11, 89, 39, 27, 8, , 3
2018/10/12, 83, 38, 25, 10, 1, 3
2018/10/13, 115, 45, 34, 10, 3, 4
2018/10/14, 93, 38, 31, 4, , 3
2018/10/15, 67, 29, 31, 8, 3, 3
2018/10/16, 75, 45, 20, 19, 3, 5
2018/10/17, 92, 53, 29, 20, 2, 5
2018/10/18, 130, 69, 20, 15, 2, 9
2018/10/19, 68, 49, 20, 8, , 4
2018/10/20, 49, 24, 25, 4, , 3
2018/10/21, 39, 15, 17, 4, , 2
2018/10/22, 53, 24, 12, 6, , 3
2018/10/23, 4, 8, 24, 3, , 2
2018/10/24, 12, 3, 25, 1, , 2
2018/10/25, 19, 30, 23, 3, , 2
2018/11/4, 83, 21, 14, 4, , 3
2018/11/5, 117, 33, 8, 5, , 3
2018/11/6, 93, 28, 15, 9, 1, 4
2018/11/7, 121, 43, 12, 9, , 3
2018/11/8, 147, 55, 5, 10, , 5
2018/11/9, 105, 36, 3, 9, , 4
2018/11/10, 165, 57, 5, 10, , 5
2018/11/11, 158, 48, 9, 5, , 4
2018/11/12, 137, 43, 7, 8, 1, 5
2018/11/13, 88, 33, 12, 8, , 4
2018/11/14, 44, 40, 12, 4, , 3
2018/11/15, 58, 27, 8, 11, , 5
2018/11/16, 58, 17, 8, 7, , 4
2018/11/17, 100, 32, 8, 10, , 6
2018/5/15, 24, 15, 39, 5, 1, 3
2018/5/16, 40, 18, 33, 5, 1, 3
2018/5/17, 42, 16, 39, 3, 1, 2
2018/5/18, 31, 15, 36, 3, 1, 2
2018/5/19, 8, 8, 40, 3, 1, 2
2018/5/20, 11, 9, 39, 2, 1, 2
2018/5/21, 8, 10, 43, 4, 1, 2
2018/5/22, 14, 12, 48, 3, 1, 2
2018/5/23, 25, 20, 47, 4, , 2
2018/5/24, 18, 14, 56, 2, , 2
2018/5/25, 19, 16, 80, 3, , 3
2018/5/26, 36, 15, 67, 3, 1, 
2018/5/27, 53, 25, 20, 2, 1, 2
2018/5/28, 32, 19, 66, 4, 1, 1
2018/5/29, 19, 22, 56, 3, 1, 2
2018/5/30, 18, 23, 75, 4, 2, 2
2018/5/31, 50, 29, 57, 4, 2, 1
2018/6/1, 34, 34, 54, 5, 3, 
2018/6/2, 52, 30, 58, 3, 1, 
2018/6/3, 48, 18, 57, 4, 1, 2
2018/6/4, 40, 21, 41, 4, 1, 2
2024/5/1, , 17, 39, , , 
2024/5/2, , 18, 41, , , 
2024/5/3, , 19, 44, , , 
2024/5/4, , 24, 39, , , 
2024/5/5, , 23, 33, , , 
2024/5/6, , 7, 33, , , 
2024/5/7, , 7, 35, , , 
2024/5/8, , 8, 36, , , 
2024/5/9, , 14, 31, , , 
2024/5/10, , 19, 34, , , 
2024/5/11, , 7, 36, , , 
2024/5/12, , 5, 38, , , 
2024/5/13, , 11, 38, , , 
2024/5/14, , 15, 37, , , 
2024/5/15, , 20, 39, , , 
2024/5/16, , 27, 37, , , 
2024/5/17, , 27, 35, , , 
2024/5/18, , 20, 31, , , 
2024/5/19, , 15, 32, , , 
2024/5/20, , 16, 46, , , 
2024/5/21, , 15, 31, , , 
2024/5/22, , 17, , , , 
2024/4/1, , 56, 31, , , 
2024/4/2, , 10, 28, , , 
2024/4/3, , 3, 23, , , 
2024/4/4, , 10, 27, , , 
2024/4/5, , 11, 30, , , 
2024/4/6, , 39, 30, , , 
2024/4/7, , 65, 25, , , 
2024/4/8, , 31, 33, , , 
2024/4/9, , 20, 27, , , 
2024/4/10, , 11, 33, , , 
2024/4/11, , 11, 26, , , 
2024/4/12, , 11, 31, , , 
2024/4/13, , 15, 35, , , 
2024/4/14, , 11, 34, , , 
2024/4/15, , 12, 31, , , 
2024/4/16, , 10, 29, , , 
2024/4/17, , 4, 28, , , 
2024/4/18, , 12, 31, , , 
2024/4/19, , 11, 30, , , 
2024/4/20, , 6, 35, , , 
2024/4/21, , 6, 28, , , 
2024/4/22, , 4, 31, , , 
2024/4/23, , 13, 31, , , 
2024/4/24, , 21, 30, , , 
2024/4/25, , 17, 31, , , 
2024/4/26, , 13, 35, , , 
2024/4/27, , 16, 35, , , 
2024/4/28, , 17, 34, , , 
2024/4/29, , 23, 38, , , 
2024/4/30, , 24, 41, , , 
2024/1/8, , 34, 16, , , 
2024/1/9, , 58, 12, , , 
2024/1/12, , 14, 20, , , 
2024/1/16, , 13, 27, , , 
2024/1/17, , 31, 18, , , 
2024/2/6, , 7, 22, , , 
2024/2/7, , 5, 32, , , 
2024/2/14, , 19, 22, , , 
2024/2/15, , 32, 13, , , 
2024/2/16, , 22, 21, , , 
2024/2/17, , 10, 24, , , 
2024/2/18, , 8, 25, , , 
2024/2/19, , 16, 21, , , 
2024/2/20, , 5, 24, , , 
2024/2/21, , 19, 18, , , 
2024/2/22, , 15, 21, , , 
2024/2/23, , 10, 28, , , 
2024/2/24, , 13, 28, , , 
2024/2/25, , 24, 23, , , 
2024/2/26, , 28, 22, , , 
2024/2/27, , 29, 14, , , 
2024/2/28, , 16, 13, , , 
2024/2/29, , 17, 16, , , 
2024/3/1, , 43, 18, , , 
2024/3/2, , 30, 13, , , 
2024/3/3, , 34, 24, , , 
2024/3/4, , 29, 21, , , 
2024/3/5, , 18, 17, , , 
2024/3/6, , 26, 24, , , 
2024/3/7, , 21, 29, , , 
2024/3/8, , 36, 26, , , 
2024/3/9, , 37, 32, , , 
2024/3/10, , 24, 30, , , 
2024/3/11, , 23, 25, , , 
2024/3/12, , 37, 13, , , 
2024/3/13, , 44, 13, , , 
2024/3/14, , 37, 25, , , 
2024/3/15, , 28, 25, , , 
2024/3/16, , 15, 29, , , 
2024/3/17, , 3, 28, , , 
2024/3/18, , 6, 27, , , 
2024/3/19, , 15, 22, , , 
2024/3/20, , 33, 23, , , 
2024/3/21, , 37, 15, , , 
2024/3/22, , 18, 20, , , 
2024/3/23, , 10, 26, , , 
2024/3/24, , 8, 28, , , 
2024/3/25, , 12, 17, , , 
2024/3/26, , 14, 26, , , 
2024/3/27, , 12, 28, , , 
2024/3/28, , 20, 23, , , 
2024/3/29, , 8, 30, , , 
2024/3/30, , 40, 27, , , 
2024/3/31, , 61, 26, , , 
2023/10/1, , 17, 21, 4, , 
2023/10/2, , 33, 29, 5, 1, 
2023/10/3, , 29, 22, , , 
2023/10/4, , 17, 20, 1, , 
2023/10/5, , 16, 23, 1, , 
2023/10/6, , 15, 25, 1, , 
2023/10/7, , 11, 26, , , 
2023/10/8, , 5, 13, 3, , 
2023/10/9, , 16, 18, 7, , 
2023/10/10, , 34, 24, 3, , 
2023/10/11, , 28, 25, 1, 1, 
2023/10/12, , 18, 16, 3, 1, 
2023/10/13, , 23, 27, 1, 1, 
2023/10/14, , 17, 25, , , 
2023/10/15, , 12, 21, , , 
2023/10/16, , 14, 22, 1, , 
2023/10/17, , 17, 22, 5, , 
2023/10/18, , 25, 16, 7, 1, 
2023/10/19, , 40, 11, 2, , 
2023/10/20, , 10, 10, 3, , 
2023/10/21, , 32, 20, 3, 1, 
2023/10/22, , 23, 15, 3, 1, 
2023/10/23, , 20, 15, 6, 1, 
2023/10/24, , 35, 11, 2, 1, 
2023/10/25, , 24, 5, 5, 1, 
2023/10/26, , 22, 7, 3, 1, 
2023/10/27, , 13, 9, 4, 1, 
2023/10/28, , 27, 17, 3, 1, 
2023/10/29, , 29, 20, 3, 1, 
2023/10/30, , 21, 26, 3, 1, 
2023/10/31, , 21, 22, 1, , 
2023/11/1, , 9, 23, 3, 1, 
2023/11/2, , 36, 21, 4, 1, 
2023/11/3, , 31, 19, 2, 1, 
2023/11/4, , 11, 17, 3, 2, 
2023/11/5, , 18, 21, 1, 1, 
2023/11/6, , 10, 20, , , 
2023/11/9, , 25, 16, 5, 1, 
2023/11/10, , 42, 13, 4, 1, 
2023/11/11, , 109, 15, 1, 1, 
2023/11/13, , 41, 22, 1, 1, 
2023/11/14, , 9, 21, 2, 1, 
2023/11/15, , 8, 7, 6, 1, 
2023/11/16, , 20, 7, 4, 1, 
2023/11/17, , 21, 12, 4, 1, 
2023/11/18, , 16, 11, 3, 1, 
2023/11/19, , 20, 12, 4, 1, 
2023/11/20, , 22, 17, 3, 1, 
2023/11/21, , 11, 14, 4, 1, 
2023/11/22, , 21, 31, 2, 1, 
2023/11/23, , 15, 29, , 1, 
2023/11/24, , 6, 22, , , 
2023/11/25, , 6, 21, , , 
2023/11/26, , 5, 12, 4, 1, 
2023/11/27, , 23, 7, 8, 1, 
