date, pm25, pm10, o3, no2, so2, co
2024/5/1, 53, 20, 39, 5, , 
2024/5/2, 46, 26, 41, 8, , 
2024/5/3, 48, 33, 44, 10, , 
2024/5/4, 68, 28, 39, 5, , 
2024/5/5, 67, 12, 33, 5, , 
2024/5/6, 41, 11, 33, 4, , 
2024/5/7, 29, 12, 35, 6, , 
2024/5/8, 39, 20, 36, 10, , 
2024/5/9, 44, 21, 31, 9, , 
2024/5/10, 49, 10, 34, 3, , 
2024/5/11, 28, 14, 36, 3, , 
2024/5/12, 26, 20, 38, 6, , 
2024/5/13, 31, 19, 38, 7, , 
2024/5/14, 40, 15, 37, 5, , 
2024/5/15, 43, 27, 39, 5, , 
2024/5/16, 51, 25, 37, 5, , 
2024/5/17, 46, 19, 35, 3, , 
2024/5/18, 50, 27, 31, 6, , 
2024/5/19, 51, 21, 32, 12, , 
2024/5/20, 65, 18, 46, 8, , 
2024/5/21, 55, 24, 31, 5, , 
2024/5/22, 61, , , , , 
2024/4/1, 93, 15, 31, 4, , 
2024/4/2, 28, 3, 28, 4, , 
2024/4/3, 23, 19, 23, 5, , 
2024/4/4, 43, 15, 27, 5, , 
2024/4/5, 32, 24, 30, 8, , 
2024/4/6, 35, 25, 30, 8, , 
2024/4/7, 56, 19, 25, 7, , 
2024/4/8, 47, 25, 33, 15, , 
2024/4/9, 58, 15, 27, 5, , 
2024/4/10, 44, 14, 33, 8, , 
2024/4/11, 42, 15, 26, 5, , 
2024/4/12, 36, 15, 31, 5, , 
2024/4/13, 56, 15, 35, 4, , 
2024/4/14, 46, 13, 34, 5, , 
2024/4/15, 42, 6, 31, 3, , 
2024/4/16, 37, 5, 29, 7, , 
2024/4/17, 34, 8, 28, 9, , 
2024/4/18, 47, 13, 31, 7, , 
2024/4/19, 55, 5, 30, 6, , 
2024/4/20, 49, 9, 35, 4, , 
2024/4/21, 43, 11, 28, 5, , 
2024/4/22, 38, 10, 31, 7, , 
2024/4/23, 55, 28, 31, 10, , 
2024/4/24, 80, 25, 30, 9, , 
2024/4/25, 69, 20, 31, 8, , 
2024/4/26, 62, 20, 35, 8, , 
2024/4/27, 65, 19, 35, 5, , 
2024/4/28, 60, 21, 34, 8, , 
2024/4/29, 60, 28, 38, 9, , 
2024/4/30, 72, 17, 41, 4, , 
2024/1/7, 61, 28, 16, 9, , 
2024/1/8, 87, 54, 12, 14, , 
2024/1/9, 140, 33, 16, 9, , 
2024/1/10, 86, 14, 20, 8, , 
2024/1/11, 56, 7, 20, 18, , 
2024/1/12, 50, 11, 18, , , 
2024/1/15, 25, 11, 27, 12, , 
2024/1/16, 40, 36, 18, 11, , 
2024/1/17, 89, 42, 21, 14, , 
2024/1/18, 105, 17, 20, 8, , 
2024/1/19, 58, 20, 19, 5, , 
2024/1/20, 57, 28, 22, 5, , 
2024/1/21, 69, 15, 22, 4, , 
2024/1/22, 53, 16, 21, 6, , 
2024/1/23, 41, 12, 30, 4, , 
2024/1/24, 34, 5, 30, 3, , 
2024/1/25, 24, 13, 27, 6, , 
2024/1/26, 40, 8, 29, 3, , 
2024/1/27, 32, 15, 22, 5, , 
2024/1/28, 40, 28, 15, 9, , 
2024/1/29, 82, 29, 14, 13, , 
2024/1/30, 87, 24, 28, 8, , 
2024/1/31, 58, 9, 27, 4, , 
2024/2/1, 43, 18, 28, 5, , 
2024/2/2, 49, 11, 29, 2, , 
2024/2/3, 23, 5, 29, 2, , 
2024/2/4, 28, 4, 28, 5, , 
2024/2/5, 21, 10, 22, 4, , 
2024/2/6, 27, 4, 30, 5, , 
2024/2/7, 22, 20, 19, 9, , 
2024/2/8, 55, 24, 21, 9, , 
2024/2/9, 68, 37, 14, 8, , 
2024/2/10, 84, 26, 14, 5, , 
2024/2/11, 71, 13, 13, 5, , 
2024/2/12, 42, 9, 26, 7, , 
2024/2/13, 31, 23, 22, 9, , 
2024/2/14, 68, 33, 13, 7, , 
2024/2/15, 73, 29, 21, 6, , 
2024/2/16, 72, 10, 24, 4, , 
2024/2/17, 37, 8, 25, 4, , 
2024/2/18, 35, 10, 21, 7, , 
2024/2/19, 57, 11, 24, 5, , 
2024/2/20, 26, 22, 18, 5, , 
2024/2/21, 56, 18, 21, 5, , 
2024/2/22, 56, 11, 28, 10, , 
2024/2/23, 41, 14, 28, 5, , 
2024/2/24, 44, 26, 23, 10, , 
2024/2/25, 74, 34, 22, 15, , 
2024/2/26, 86, 37, 14, 11, , 
