date, pm25, no2, co
2024/5/1, 44, 9, 
2024/5/2, 47, 5, 
2024/5/3, 47, 9, 
2024/5/4, 63, 5, 
2024/5/5, 52, 9, 
2024/5/6, 39, 10, 
2024/5/7, 52, 9, 
2024/5/8, 43, 14, 
2024/5/9, 50, 15, 
2024/5/10, 60, 10, 
2024/5/11, 67, 6, 
2024/5/12, 44, 10, 
2024/5/13, 42, 10, 
2024/5/14, 46, 9, 
2024/5/15, 38, 8, 
2024/5/16, 38, 12, 
2024/5/17, 47, 8, 
2024/5/18, 40, 7, 
2024/5/19, 42, 9, 
2024/5/20, 50, 11, 
2024/5/21, 51, 12, 
2024/5/22, 60, , 
2024/4/1, 112, 8, 
2024/4/2, 34, 9, 
2024/4/3, 38, 10, 
2024/4/4, 39, 10, 
2024/4/5, 40, 10, 
2024/4/6, 49, 8, 
2024/4/7, 57, 10, 
2024/4/8, 40, 10, 
2024/4/9, 46, 13, 
2024/4/10, 53, 12, 
2024/4/11, 60, 14, 
2024/4/12, 73, 11, 
2024/4/13, 69, 6, 
2024/4/14, 54, 14, 
2024/4/15, 73, 10, 
2024/4/16, 38, 11, 
2024/4/17, 50, 12, 
2024/4/18, 68, 8, 
2024/4/19, 42, 6, 
2024/4/20, 30, 8, 
2024/4/21, 59, 13, 
2024/4/22, 73, 10, 
2024/4/23, 69, 14, 
2024/4/24, 89, 14, 
2024/4/25, 59, 13, 
2024/4/26, 61, 8, 
2024/4/27, 67, 10, 
2024/4/28, 54, 16, 
2024/4/29, 56, 11, 
2024/4/30, 53, 5, 
2024/1/7, 60, 10, 
2024/1/8, 92, 22, 
2024/1/9, 175, 27, 
2024/1/10, 194, 22, 
2024/1/11, 145, 15, 
2024/1/12, 84, 9, 
2024/1/13, 51, 4, 
2024/1/14, 42, 6, 
2024/1/15, 44, 12, 
2024/1/16, 55, 11, 
2024/1/17, 65, 11, 
2024/1/18, 60, 16, 
2024/1/19, 79, 13, 
2024/1/20, 61, 7, 
2024/1/21, 68, 4, 
2024/1/22, 35, 9, 
2024/1/23, 47, 5, 
2024/1/24, 34, 8, 
2024/1/25, 42, 12, 
2024/1/26, 50, 7, 
2024/1/27, 42, 11, 
2024/1/28, 69, 13, 
2024/1/29, 94, 14, 
2024/1/30, 76, 18, 
2024/1/31, 112, 10, 
2024/2/1, 60, 9, 
2024/2/2, 47, 6, 
2024/2/3, 44, 4, 
2024/2/4, 30, 5, 
2024/2/5, 33, 6, 
2024/2/6, 43, 6, 
2024/2/7, 36, 15, 
2024/2/8, 80, 10, 
2024/2/9, 60, 10, 
2024/2/10, 52, 10, 
2024/2/11, 48, 12, 
2024/2/12, 53, 15, 
2024/2/13, 67, 16, 
2024/2/14, 93, 11, 
2024/2/15, 62, 11, 
2024/2/16, 61, 13, 
2024/2/17, 61, 8, 
2024/2/18, 70, 8, 
2024/2/19, 55, 12, 
2024/2/20, 44, 11, 
2024/2/21, 49, 4, 
2024/2/22, 39, 9, 
2024/2/23, 40, 11, 
2024/2/24, 67, 10, 
2024/2/25, 93, 16, 
2024/2/26, 87, 17, 
2024/2/27, 105, 16, 
2024/2/28, 137, 12, 
2024/2/29, 107, 19, 
2024/3/1, 131, 15, 
2024/3/2, 117, 10, 
2024/3/3, 65, 18, 
2024/3/4, 88, 13, 
2024/3/5, 106, 13, 
2024/3/6, 101, 7, 
2024/3/7, 85, 9, 
2024/3/8, 98, 9, 
2024/3/9, 94, 6, 
2024/3/10, 52, 11, 
2024/3/11, 73, 11, 
2024/3/12, 86, 13, 
2024/3/13, 97, 13, 
2024/3/14, 118, 13, 
2024/3/15, 96, 9, 
2024/3/16, 55, 5, 
2024/3/17, 45, 13, 
2024/3/18, 71, 13, 
2024/3/19, 90, 17, 
2024/3/20, 117, 17, 
2024/3/21, 110, 15, 
2024/3/22, 82, 7, 
2024/3/23, 48, 7, 
2024/3/24, 46, 11, 
2024/3/25, 55, 8, 
2024/3/26, 63, 4, 
2024/3/27, 43, 6, 
2024/3/28, 49, 4, 
2024/3/29, 32, 3, 
2024/3/30, 82, 1, 
2024/3/31, 80, 3, 
2023/10/1, 47, 9, 
2023/10/2, 48, 6, 
