date, pm25, pm10, o3, no2, so2, co
2019/7/1, 37, 17, 34, 7, 2, 3
2019/7/2, 23, 14, 33, 7, 1, 3
2019/7/3, 18, 13, 35, 8, 2, 7
2019/7/4, 18, 11, 27, 8, 2, 10
2019/7/5, 21, 11, 24, 8, 1, 10
2019/7/6, 27, 11, 30, 4, 1, 9
2019/7/7, 26, 9, 32, 8, 1, 5
2019/7/8, 19, 12, 26, 7, 1, 2
2019/7/9, 19, 12, 24, 6, 1, 2
2019/7/10, 26, 12, 28, 8, 1, 3
2019/7/11, 25, 23, 43, 14, 2, 4
2019/7/12, 43, 12, 33, 7, 1, 3
2019/7/13, 39, 13, 39, 5, 1, 2
2019/7/14, 30, 15, 41, 10, 1, 3
2019/7/15, 33, 14, 29, 9, 1, 3
2019/7/16, 30, 14, 28, 7, 1, 4
2019/7/17, 20, 14, 40, 11, 1, 6
2019/7/18, 28, 27, 26, 13, 2, 6
2019/7/19, 44, 23, , 11, , 3
2019/7/20, 55, 25, , 10, 1, 4
2019/7/21, 59, 19, , 8, 1, 4
2019/7/22, 43, , , , , 
2019/4/1, 67, 70, 38, 15, 2, 3
2019/4/2, 56, 53, 42, 14, 2, 3
2019/4/3, 66, 56, 41, 17, 4, 4
2019/4/4, 80, 62, 44, 28, 2, 5
2019/4/5, 91, 53, 44, 20, 1, 4
2019/4/6, 75, 58, 48, 24, 1, 6
2019/4/7, 97, 56, 55, 22, , 4
2019/4/8, 91, 21, 39, 11, , 2
2019/4/9, 43, 25, 40, 18, , 3
2019/4/10, 52, 22, 37, 16, 1, 4
2019/4/11, 43, 23, 36, 11, 1, 3
2019/4/12, 42, 27, 33, 8, , 3
2019/4/13, 50, 24, 42, 7, , 2
2019/4/14, 45, 23, 44, 11, , 2
2019/4/15, 46, 33, 38, 16, 2, 3
2019/4/16, 53, 36, 44, 15, 1, 3
2019/4/17, 51, 41, 54, 16, 1, 3
2019/4/18, 64, 36, 49, 16, 1, 3
2019/4/19, 46, 22, 49, 10, , 3
2019/4/20, 37, 29, 47, 10, 1, 4
2019/4/21, 50, 22, 43, 7, 1, 3
2019/4/22, 44, 64, 47, 11, 1, 3
2019/4/23, 60, 52, 40, 14, 2, 4
2019/4/24, 60, 53, 43, 23, 1, 5
2019/4/25, 69, 66, 47, 34, 1, 6
2019/4/26, 84, 41, 24, 21, , 6
2019/4/27, 65, 20, 31, 14, , 5
2019/4/28, 36, 27, 38, 9, , 4
2019/4/29, 47, 25, 43, 13, , 4
2019/4/30, 38, 29, 45, 11, , 2
2019/5/1, 52, 23, 34, 13, , 2
2019/5/2, 36, 12, 35, 8, , 2
2019/5/3, 25, 17, 37, 15, , 3
2019/5/4, 35, 13, 32, 13, , 3
2019/5/5, 42, 32, 37, 22, 1, 5
2019/5/6, 64, 23, 34, 18, 1, 3
2019/5/7, 37, 37, 43, 21, 1, 4
2019/5/8, 63, 29, 34, 19, 1, 3
2019/5/9, 62, 29, 39, 23, , 5
2019/5/10, 62, 18, 39, 17, , 4
2019/5/11, 38, 15, 31, 13, , 4
2019/5/12, 38, 16, 28, 18, , 5
2019/5/13, 30, 14, 28, 11, , 4
2019/5/14, 25, 13, 23, 11, 1, 5
2019/5/15, 28, 21, 15, 16, 1, 6
2019/5/16, 59, 35, 23, 18, , 8
2019/5/17, 76, 34, 35, 14, , 5
2019/5/18, 71, 30, 38, 12, , 4
2019/5/19, 68, 28, 38, 13, , 4
2019/5/20, 60, 31, 32, 13, , 4
2019/5/21, 66, 20, 37, 9, , 4
2019/5/22, 54, 16, 25, 10, , 3
2019/5/23, 25, 16, 38, 10, , 3
2019/5/24, 16, , , , , 
2019/6/11, 109, , 62, 13, 1, 4
2019/6/12, 83, 3, 43, 9, , 8
2019/6/14, 59, 16, 59, 6, , 3
2019/6/15, 36, 12, 43, 6, , 3
2019/6/16, 44, 16, 42, 8, , 3
2019/6/17, 17, 21, 46, 10, , 3
2019/6/18, 21, , 51, , , 
2019/6/24, 23, 25, 57, 9, , 5
2019/6/25, 42, 36, 74, 14, 1, 6
2019/6/26, 74, 19, 42, 7, , 5
2019/6/27, 31, 16, 35, 8, , 5
2019/6/28, 21, 20, 42, 11, 1, 2
2019/6/29, 26, 24, 65, 12, 2, 2
2019/6/30, 42, 22, 41, 11, 2, 3
2019/1/1, 41, 12, 28, 6, 1, 1
2019/1/2, 29, 16, 28, 10, 1, 2
2019/1/3, 43, 20, 18, 12, 1, 4
2019/1/4, 50, 16, 20, 9, 2, 3
2019/1/5, 40, 17, 26, 5, 2, 3
2019/1/6, 50, 27, 11, 10, 2, 4
2019/1/7, 62, 19, 12, 8, 1, 3
2019/1/8, 45, 37, 10, 10, 2, 5
2019/1/9, 88, 40, 15, 12, 2, 4
2019/1/10, 96, 27, 15, 12, 2, 5
2019/1/11, 65, 19, 17, 11, 2, 4
2019/1/12, 47, 5, 21, 6, 1, 4
2019/1/13, 17, 12, 25, 8, 1, 4
2019/1/14, 35, 15, 21, 9, 2, 
2019/1/15, 35, 18, 22, 14, 1, 1
2019/1/16, 44, 20, 14, 12, 1, 1
2019/1/17, 48, 18, 23, 11, 1, 3
2019/1/18, 43, 26, 15, 12, 1, 4
2019/1/19, 61, 34, 18, 9, 1, 4
