date, pm10, o3, no2, so2, co
2020/1/1, 30, 22, 6, 9, 6
2020/1/2, 27, 19, 11, 14, 8
2020/1/3, 34, 25, 3, 2, 2
2020/1/4, 13, 24, 6, 6, 2
2020/1/5, 23, 19, 6, 7, 4
2020/1/6, 30, 19, 10, 9, 5
2020/1/7, 34, 19, 8, 7, 6
2020/1/8, 26, 17, 7, 7, 4
2020/1/9, 15, 15, 12, 15, 7
2020/1/10, 35, 16, 7, 3, 4
2020/1/11, 24, 24, 4, 6, 4
2020/1/12, 12, 20, 7, 8, 4
2020/1/13, 24, 14, 11, 8, 5
2020/1/14, 32, 26, 9, 15, 6
2020/1/15, 21, 18, 14, 7, 6
2020/1/16, 49, 29, 9, 5, 7
2020/1/17, 35, 24, 8, 6, 4
2020/1/18, 39, 13, 10, 3, 5
2020/1/19, 48, 11, 11, 7, 4
2020/1/20, 52, , , , 
2019/10/1, 11, 27, 4, 2, 1
2019/10/2, 11, 16, 5, 1, 2
2019/10/3, 15, 19, 4, 2, 2
2019/10/4, 11, 15, 3, 1, 2
2019/10/5, 11, 16, 6, 2, 2
2019/10/6, 25, 18, 6, 2, 5
2019/10/7, 31, 20, 7, 8, 3
2019/10/8, 18, 19, 3, 2, 3
2019/10/9, 13, 21, 2, 1, 1
2019/10/10, 5, 20, 4, 3, 2
2019/10/11, 8, 23, 4, 5, 3
2019/10/12, 14, 25, 3, 3, 3
2019/10/13, 15, 26, 2, 2, 1
2019/10/14, 15, 33, 3, 5, 2
2019/10/15, 26, 26, 3, 1, 2
2019/10/16, 12, 22, 3, 1, 1
2019/10/17, 13, 27, 4, 1, 2
2019/10/18, 16, 21, 7, 3, 3
2019/10/19, 22, 25, 4, 4, 2
2019/10/20, 15, 23, 6, 3, 3
2019/10/21, 25, 17, 11, 7, 5
2019/10/22, 39, 12, 12, 2, 5
2019/10/23, 45, 34, 4, 8, 3
2019/10/24, 35, 29, 11, 7, 4
2019/10/25, 46, 26, 7, 4, 6
2019/10/26, 37, 27, 4, 2, 2
2019/10/27, 21, 17, 6, 3, 2
2019/10/28, 20, 12, 10, 6, 5
2019/10/29, 37, 14, 12, 3, 3
2019/10/30, 38, 7, 18, 10, 10
2019/10/31, 60, 22, 6, 5, 5
2019/11/1, 26, 19, 4, 4, 3
2019/11/2, 17, 18, 4, 5, 3
2019/11/3, 10, 16, 5, 4, 3
2019/11/4, 7, 13, 8, 5, 5
2019/11/5, 22, 19, 6, 2, 3
2019/11/6, 14, 16, 5, 2, 3
2019/11/7, 17, 17, 6, 2, 3
2019/11/8, 18, 18, 5, 4, 3
2019/11/9, 8, 8, 7, 2, 3
2019/11/10, 17, 14, 6, 4, 4
2019/11/11, 15, 20, 9, 3, 3
2019/11/12, 22, 4, 11, 3, 5
2019/11/13, 26, 10, 8, 3, 3
2019/11/14, 17, 18, 7, 4, 6
2019/11/15, 30, 20, 3, 6, 3
2019/11/16, 15, 22, 2, 2, 2
2019/11/17, 14, 22, 3, 3, 2
2019/11/18, 11, 23, 3, 4, 2
2019/11/19, 12, 20, 13, 4, 6
2019/11/20, 45, 17, 12, 4, 7
2019/11/21, 45, 18, 3, 2, 2
2019/11/22, 15, 20, 1, 1, 2
2019/11/23, 10, 20, 1, 1, 2
2019/11/24, 10, 14, 7, 4, 4
2019/11/25, 32, 13, 7, 6, 5
2019/11/26, 26, 16, 7, 8, 9
2019/11/27, 20, 17, 5, 3, 3
2019/11/28, 13, 23, 4, 2, 2
2019/11/29, 8, 25, 6, 4, 3
2019/11/30, 22, 24, 4, 3, 4
2019/12/1, 18, 23, 8, 3, 3
2019/12/2, 22, 21, 8, 3, 3
2019/12/3, 22, 26, 4, 2, 3
2019/12/4, 16, 27, 8, 5, 3
2019/12/5, 23, 15, 11, 14, 7
2019/12/6, 26, 20, 4, 2, 3
2019/12/7, 14, 18, 11, 14, 7
2019/12/8, 17, 20, 4, 2, 4
2019/12/9, 16, 19, 11, 9, 3
2019/12/10, 24, 23, 9, 6, 4
2019/12/11, 30, 22, 16, 7, 6
2019/12/12, 44, 20, 9, 6, 7
2019/12/13, 33, 26, 4, 4, 3
2019/12/14, 9, 31, 2, 3, 2
2019/12/15, 7, 24, 4, 4, 3
2019/12/16, 13, 25, 4, 5, 4
2019/12/17, 15, 24, 5, 2, 3
2019/12/18, 24, 31, 3, 2, 2
2019/12/19, 17, 32, 2, 7, 2
2019/12/20, 20, 29, 7, 4, 3
2019/12/21, 27, 16, 9, 3, 4
2019/12/22, 22, 15, 10, 4, 4
2019/12/23, 22, 19, 5, 4, 3
2019/12/24, 19, 15, 5, 4, 4
2019/12/25, 14, 19, 5, 3, 2
2019/12/26, 14, 16, 7, 3, 3
2019/12/27, 18, 18, 4, 2, 2
2019/12/28, 14, 20, 6, 5, 3
2019/12/29, 28, , , , 
2019/7/1, 19, 43, 5, 1, 2
2019/7/2, 18, 36, 4, 1, 1
2019/7/3, 16, 43, 7, 4, 4
2019/7/4, 24, 39, 4, 3, 2
2019/7/5, 18, 48, 4, 5, 3
2019/7/6, 19, 37, 3, 2, 2
2019/7/7, 15, 32, 4, 2, 1
2019/7/8, 14, 32, 5, 5, 2
2019/7/9, 14, 27, 4, 1, 1
