date, pm10, no2, so2, co
2024/5/1, 28, 8, , 
2024/5/2, 20, 8, , 
2024/5/3, 17, 14, , 
2024/5/4, 29, 12, , 
2024/5/5, 28, 13, , 
2024/5/6, 18, 14, , 
2024/5/7, 19, 11, , 
2024/5/8, 19, 19, , 
2024/5/9, 30, 21, , 
2024/5/10, 38, 17, , 
2024/5/11, 26, 8, , 
2024/5/12, 12, 15, , 
2024/5/13, 20, 10, , 
2024/5/14, 22, 6, , 
2024/5/15, 25, 6, , 
2024/5/16, 28, 4, , 
2024/5/17, 31, 10, , 
2024/5/18, 15, 8, , 
2024/5/19, 13, 14, , 
2024/5/20, 17, 14, , 
2024/5/21, 22, 6, , 
2024/5/22, 31, , , 
2024/4/1, 81, 8, , 
2024/4/2, 12, 8, , 
2024/4/3, 14, 8, , 
2024/4/4, 13, 9, , 
2024/4/5, 14, 13, , 
2024/4/6, 21, 11, , 
2024/4/7, 30, 14, , 
2024/4/8, 32, 14, , 
2024/4/9, 34, 11, , 
2024/4/10, 34, 15, , 
2024/4/11, 31, 19, , 
2024/4/12, 41, 12, , 
2024/4/13, 33, 7, , 
2024/4/14, 26, 10, , 
2024/4/15, 22, 9, , 
2024/4/16, 16, 13, , 
2024/4/17, 19, 13, , 
2024/4/18, 25, 8, , 
2024/4/19, 14, 8, , 
2024/4/20, 10, 8, , 
2024/4/21, 15, 15, , 
2024/4/22, 20, 12, , 
2024/4/23, 38, 15, , 
2024/4/24, 33, 9, , 
2024/4/25, 19, 13, , 
2024/4/26, 25, 13, , 
2024/4/27, 28, 11, , 
2024/4/28, 24, 14, , 
2024/4/29, 28, 13, , 
2024/4/30, 30, 10, , 
2024/1/7, 18, 15, , 
2024/1/8, 34, 21, , 
2024/1/9, 70, 32, , 
2024/1/10, 116, 26, , 
2024/1/11, 68, 16, , 
2024/1/12, 23, 9, , 
2024/1/13, 17, 5, , 
2024/1/14, 14, 8, , 
2024/1/15, 16, 18, , 
2024/1/16, 25, 23, , 
2024/1/17, 56, 20, , 
2024/1/18, 33, 17, , 
2024/1/19, 27, 9, , 
2024/1/20, 22, 12, , 
2024/1/21, 33, 9, , 
2024/1/22, 20, 11, , 
2024/1/23, 21, 8, , 
2024/1/24, 13, 8, , 
2024/1/25, 14, 15, , 
2024/1/26, 19, 8, , 
2024/1/27, 15, 14, , 
2024/1/28, 31, 17, , 
2024/1/29, 45, 11, , 
2024/1/30, 22, 13, , 
2024/1/31, 32, 13, , 
2024/2/1, 26, 10, , 
2024/2/2, 19, 7, , 
2024/2/3, 10, 4, , 
2024/2/4, 8, 9, , 
2024/2/5, 12, 5, , 
2024/2/6, 16, 8, , 
2024/2/7, 11, 13, , 
2024/2/8, 25, 16, , 
2024/2/9, 28, 15, , 
2024/2/10, 42, 10, , 
2024/2/11, 35, 11, , 
2024/2/12, 16, 14, , 
2024/2/13, 24, 17, , 
2024/2/14, 41, 16, , 
2024/2/15, 36, 15, , 
2024/2/16, 35, 9, , 
2024/2/17, 16, 6, , 
2024/2/18, 19, 11, , 
2024/2/19, 20, 13, , 
2024/2/20, 11, 11, , 
2024/2/21, 17, 12, , 
2024/2/22, 24, 12, , 
2024/2/23, 19, 11, , 
2024/2/24, 28, 13, , 
2024/2/25, 41, 21, , 
2024/2/26, 56, 21, , 
2024/2/27, 68, 16, , 
2024/2/28, 48, 8, , 
2024/2/29, 32, 12, , 
2024/3/1, 52, 11, , 
2024/3/2, 45, 6, , 
2024/3/3, 35, 10, , 
2024/3/4, 45, 13, , 
2024/3/5, 43, 12, , 
2024/3/6, 42, 13, , 
2024/3/7, 35, 13, , 
2024/3/8, 45, 12, , 
2024/3/9, 47, 6, , 
2024/3/10, 27, 6, , 
2024/3/11, 25, 11, , 
2024/3/12, 21, 17, , 
2024/3/13, 49, 13, , 
2024/3/14, 62, 10, , 
2024/3/15, 45, 10, , 
2024/3/16, 20, 5, , 
2024/3/17, 13, 12, , 
2024/3/18, 24, 12, , 
2024/3/19, 31, 15, , 
2024/3/20, 57, 18, , 
2024/3/21, 62, 10, , 
2024/3/22, 27, 6, , 
2024/3/23, 15, 7, , 
2024/3/24, 14, 11, , 
2024/3/25, 13, 8, , 
2024/3/26, 27, 7, , 
2024/3/27, 21, 8, , 
2024/3/28, 26, 6, , 
2024/3/29, 10, 5, , 
2024/3/30, 65, 7, , 
2024/3/31, 80, 4, , 
2023/10/1, 21, 15, , 
2023/10/2, 22, 11, , 
2023/10/3, 22, 10, , 
2023/10/4, 14, 12, , 
2023/10/5, 17, 14, , 
2023/10/6, 17, 7, , 
2023/10/7, 13, 8, , 
2023/10/8, 10, 11, , 
2023/10/9, 19, 10, , 
2023/10/10, 25, 11, , 
2023/10/11, 24, 12, , 
2023/10/12, 23, 12, , 
2023/10/13, 22, 12, , 
2023/10/14, 22, 7, , 
2023/10/15, 14, 11, , 
2023/10/16, 15, 17, , 
2023/10/17, 35, 18, , 
2023/10/18, 48, 13, , 
2023/10/19, 47, 10, , 
2023/10/20, 33, 18, , 
2023/10/21, 44, 9, , 
2023/10/22, 18, 14, , 
2023/10/23, 31, 10, , 
