date, pm10, o3, no2, so2, co
2024/5/1, 19, 41, 2, 1, 
2024/5/2, 19, 43, 2, 1, 
2024/5/3, 15, 48, 4, 1, 
2024/5/4, 22, 46, 3, 1, 
2024/5/5, 25, 31, 3, 1, 
2024/5/6, 14, 31, 3, , 
2024/5/7, 11, 37, 5, , 
2024/5/8, 14, 44, 5, 1, 
2024/5/9, 18, 45, 7, 1, 
2024/5/10, 24, 29, 5, , 
2024/5/11, 18, 37, 3, , 
2024/5/12, 10, 40, 4, , 
2024/5/13, 14, 39, 3, 1, 
2024/5/14, 16, 39, 1, , 
2024/5/15, 17, 37, 1, , 
2024/5/16, 19, 38, 2, 1, 
2024/5/17, 25, 37, 3, 1, 
2024/5/18, 16, , 3, 1, 
2024/5/19, 14, , 6, 1, 
2024/5/20, 16, , 5, 1, 
2024/5/21, 20, , 11, 4, 
2024/5/22, 23, , , , 
2024/4/1, 78, 30, 2, 3, 
2024/4/2, 12, 33, 2, 2, 
2024/4/3, 8, 29, 5, 2, 
2024/4/4, 12, 33, 4, 2, 
2024/4/5, 10, 34, 6, 2, 
2024/4/6, 13, 38, 7, 3, 
2024/4/7, 25, 40, 11, 4, 
2024/4/8, 24, 43, 9, 4, 
2024/4/9, 30, 28, 3, 2, 
2024/4/10, 20, 34, 5, 2, 
2024/4/11, 16, 35, 10, 1, 
2024/4/12, 27, 35, 4, 2, 
2024/4/13, 21, 32, 4, 2, 
2024/4/14, 20, 21, 6, 3, 
2024/4/15, 17, 34, 4, 3, 
2024/4/16, 11, 25, 4, 3, 
2024/4/17, 10, 31, 4, 3, 
2024/4/18, 15, 31, 4, 3, 
2024/4/19, 9, 25, 3, 3, 
2024/4/20, 8, 28, 1, 2, 
2024/4/21, 10, 32, 3, 2, 
2024/4/22, 9, 35, 8, 3, 
2024/4/23, 29, 27, 5, 4, 
2024/4/24, 23, 35, 3, 2, 
2024/4/25, 16, 37, 8, , 
2024/4/26, 17, 41, 5, 1, 
2024/4/27, 18, 40, 3, 1, 
2024/4/28, 18, 47, 4, 1, 
2024/4/29, 21, 45, 4, , 
2024/4/30, 20, 43, 3, , 
2024/1/7, 8, 13, 9, 2, 
2024/1/8, 24, 15, 16, 4, 
2024/1/9, 47, 6, 32, 27, 
2024/1/10, 115, 14, 20, 7, 
2024/1/11, 99, 21, 6, 1, 
2024/1/13, 11, 18, 4, 2, 
2024/1/14, 9, 20, 4, 3, 
2024/1/15, 11, 21, 8, 2, 
2024/1/16, 11, 19, 19, 10, 
2024/1/17, 46, 21, 9, 4, 
2024/1/18, 26, 23, 7, 1, 
2024/1/19, 19, 26, 4, , 
2024/1/20, 13, 26, 9, 5, 
2024/1/21, 29, 29, 5, 4, 
2024/1/22, 15, 24, 6, 1, 
2024/1/23, 14, 28, 4, 1, 
2024/1/24, 12, 28, 2, , 
2024/1/25, 9, 22, 6, 1, 
2024/1/26, 14, 29, 1, , 
2024/1/27, 9, 20, 7, 1, 
2024/1/28, 20, 14, 15, 5, 
2024/1/29, 37, 26, 6, 1, 
2024/1/30, 19, 20, 8, 3, 
2024/1/31, 26, 23, 7, 1, 
2024/2/1, 22, 24, 3, , 
2024/2/2, 12, 20, 3, 1, 
2024/2/3, 10, 28, 1, 1, 
2024/2/4, 6, 26, 2, 1, 
