date, pm10, o3, no2, so2, co
2024/5/1, 21, 45, 4, , 
2024/5/2, 18, 46, 4, , 
2024/5/3, 17, 48, 8, , 
2024/5/4, 26, 49, 6, , 
2024/5/5, 23, 35, 6, , 
2024/5/6, 15, 35, 3, , 
2024/5/7, 12, 37, 4, , 
2024/5/8, 19, 46, 5, , 
2024/5/9, 21, 48, 9, , 
2024/5/10, 23, 34, 7, , 
2024/5/11, 23, 38, 3, 1, 
2024/5/12, 18, 42, 6, 1, 
2024/5/13, 15, 42, 4, , 
2024/5/14, 20, 41, 2, , 
2024/5/15, 24, 38, 3, , 
2024/5/16, 22, 38, 4, , 
2024/5/17, 29, 42, 6, , 
2024/5/18, 14, 41, 3, , 
2024/5/19, 13, 39, 10, , 
2024/5/20, 15, 46, 7, , 
2024/5/21, 24, 33, 3, , 
2024/5/22, 23, , , , 
2024/4/1, 95, 28, 3, 1, 
2024/4/2, 9, 33, 4, 1, 
2024/4/3, 15, 28, 7, 2, 
2024/4/4, 15, 34, 7, 2, 
2024/4/5, 12, 35, 6, 2, 
2024/4/6, 18, 39, 8, 1, 
2024/4/7, 24, 42, 9, 1, 
2024/4/8, 20, 44, 9, 2, 
2024/4/9, 22, 27, 5, 1, 
2024/4/10, 24, 32, 6, 2, 
2024/4/11, 18, 37, 12, 2, 
2024/4/12, 35, 36, 9, 1, 
2024/4/13, 33, 35, 5, 1, 
2024/4/14, 27, 25, 9, 1, 
2024/4/15, 19, 34, 6, 1, 
2024/4/16, 17, 24, 6, 1, 
2024/4/17, 13, 29, 5, 1, 
2024/4/18, 16, 32, 6, 2, 
2024/4/19, 16, 26, 3, 1, 
2024/4/20, 6, 27, 2, 1, 
2024/4/21, 9, 35, 3, 1, 
2024/4/22, 10, 34, 9, 1, 
2024/4/23, 28, 28, 4, 2, 
2024/4/24, 26, 36, 6, 2, 
2024/4/25, 18, 40, 11, 2, 
2024/4/26, 20, 42, 8, 2, 
2024/4/27, 18, 42, 4, 2, 
2024/4/28, 17, 49, 8, 2, 
2024/4/29, 20, 47, 8, 1, 
2024/4/30, 23, 46, 6, , 
2024/1/7, 8, 17, 6, 1, 
2024/1/8, 18, 22, 16, 2, 
2024/1/9, 39, 7, 32, 10, 
2024/1/10, 85, 13, 23, 6, 
2024/1/11, 80, 22, 6, 2, 
2024/1/12, 16, 18, 8, 4, 
2024/1/13, 22, 17, 7, 3, 
2024/1/14, 16, 20, 7, 3, 
2024/1/15, 11, 21, 12, 3, 
2024/1/16, 13, 13, 21, 6, 
2024/1/17, 31, 22, 10, 3, 
2024/1/18, 20, 23, 10, 4, 
2024/1/19, 22, 20, 10, 5, 
2024/1/20, 23, 21, 11, 7, 
2024/1/21, 31, 24, 13, 6, 
2024/1/22, 23, 21, 12, 4, 
2024/1/23, 23, 28, 7, 3, 
2024/1/24, 12, 30, 3, 2, 
2024/1/25, 8, 27, 6, 2, 
2024/1/26, 12, 28, 2, 1, 
2024/1/27, 8, 19, 7, 2, 
2024/1/28, 16, 14, 17, 5, 
2024/1/29, 34, 20, 16, 6, 
2024/1/30, 42, 19, 12, 5, 
2024/1/31, 34, 20, 10, 3, 
2024/2/1, 29, 23, 6, 2, 
2024/2/2, 14, 20, 5, 2, 
2024/2/3, 15, 31, 2, 1, 
2024/2/4, 7, 28, 4, 1, 
2024/2/5, 8, 23, 5, 2, 
2024/2/6, 14, 27, 4, 1, 
2024/2/7, 10, 18, 11, 2, 
2024/2/8, 18, 10, 15, 3, 
2024/2/9, 25, 20, 10, 2, 
2024/2/10, 19, 18, 6, 2, 
2024/2/11, 19, 15, 8, 2, 
2024/2/12, 12, 20, 5, 1, 
2024/2/13, 14, 22, 16, 4, 
2024/2/14, 37, 21, 16, 5, 
2024/2/15, 33, 24, 13, 3, 
2024/2/16, 28, 26, 7, 2, 
2024/2/17, 19, 27, 3, 2, 
2024/2/18, 11, 25, 10, 2, 
2024/2/19, 19, 26, 8, 2, 
2024/2/20, 12, 21, 9, 2, 
2024/2/21, 14, 27, 10, 3, 
2024/2/22, 20, 25, 9, 2, 
2024/2/23, 10, 26, 9, 2, 
2024/2/24, 12, 32, 8, 2, 
2024/2/25, 19, 26, 13, 3, 
2024/2/26, 21, 26, 15, 3, 
2024/2/27, 36, 9, 15, 3, 
2024/2/28, 47, 17, 6, 1, 
2024/2/29, 22, 13, 9, 3, 
2024/3/1, 39, 16, 8, 2, 
2024/3/2, 26, 32, 5, 2, 
2024/3/3, 18, 20, 10, 2, 
2024/3/4, 27, 17, 5, 1, 
2024/3/5, 25, 17, 7, 1, 
2024/3/6, 27, 23, 6, 2, 
2024/3/7, 30, 30, 5, 1, 
2024/3/8, 31, 31, 7, 2, 
2024/3/9, 32, 29, 3, 3, 
2024/3/10, 22, 24, 5, 1, 
2024/3/11, 18, 7, 7, 1, 
2024/3/12, 24, 20, 6, 1, 
2024/3/13, 21, 23, 11, 2, 
2024/3/14, 39, 28, 10, 2, 
2024/3/15, 32, 27, 10, 3, 
