date, pm25, pm10
2024/5/1, 36, 47
2024/5/2, 49, 19
2024/5/3, 52, 
2024/5/6, 24, 9
2024/5/7, 30, 18
2024/5/8, 28, 28
2024/5/9, 46, 25
2024/5/10, 48, 21
2024/5/11, 47, 23
2024/5/12, 34, 28
2024/5/13, 34, 33
2024/5/14, 42, 42
2024/5/15, 36, 29
2024/5/16, 33, 31
2024/5/17, 36, 14
2024/5/18, 32, 19
2024/5/19, 44, 16
2024/5/20, 38, 24
2024/5/21, 43, 18
2024/5/22, 57, 
2024/4/1, 94, 19
2024/4/2, 29, 8
2024/4/3, 21, 10
2024/4/4, 25, 13
2024/4/5, 26, 16
2024/4/6, 42, 17
2024/4/7, 44, 21
2024/4/8, 28, 24
2024/4/9, 28, 20
2024/4/10, 46, 23
2024/4/11, 48, 23
2024/4/12, 53, 23
2024/4/13, 53, 19
2024/4/14, 43, 16
2024/4/15, 53, 13
2024/4/16, 39, 13
2024/4/17, 46, 11
2024/4/18, 39, 13
2024/4/19, 43, 13
2024/4/20, 41, 14
2024/4/21, 55, 15
2024/4/22, 55, 22
2024/4/23, 69, 27
2024/4/24, 81, 24
2024/4/25, 78, 24
2024/4/26, 66, 13
2024/4/27, 35, 20
2024/4/28, 37, 19
2024/4/29, 31, 42
2024/4/30, 54, 29
2024/1/7, 71, 70
2024/1/8, 158, 110
2024/1/9, 223, 130
2024/1/10, 250, 60
2024/1/11, 151, 36
2024/1/12, 104, 30
2024/1/13, 89, 22
2024/1/14, 72, 15
2024/1/15, 55, 28
2024/1/16, 85, 21
2024/1/17, 69, 32
2024/1/18, 83, 41
2024/1/19, 116, 23
2024/1/20, 72, 33
2024/1/21, 98, 35
2024/1/22, 96, 29
2024/1/23, 88, 20
2024/1/24, 67, 8
2024/1/25, 31, 23
2024/1/26, 65, 11
2024/1/27, 41, 24
2024/1/28, 71, 25
2024/1/29, 75, 29
2024/1/30, 79, 44
2024/1/31, 113, 35
2024/2/1, 99, 21
2024/2/2, 64, 14
2024/2/3, 51, 9
2024/2/4, 35, 10
2024/2/5, 35, 16
2024/2/6, 45, 9
2024/2/7, 28, 22
2024/2/8, 71, 32
2024/2/9, 94, 24
2024/2/10, 72, 17
2024/2/11, 56, 24
2024/2/12, 73, 25
2024/2/13, 76, 25
2024/2/14, 69, 69
2024/2/15, 147, 72
2024/2/16, 135, 36
2024/2/17, 94, 21
2024/2/18, 59, 35
2024/2/19, 94, 18
2024/2/20, 56, 26
2024/2/21, 64, 29
2024/2/22, 67, 13
2024/2/23, 43, 39
2024/2/24, 84, 26
2024/2/25, 64, 33
2024/2/26, 79, 37
2024/2/27, 71, 71
2024/2/28, 121, 88
2024/2/29, 175, 
2024/3/10, 82, 29
2024/3/11, 83, 36
2024/3/12, 97, 36
2024/3/13, 100, 36
2024/3/14, 99, 45
2024/3/15, 108, 37
2024/3/16, 90, 16
2024/3/17, 47, 19
2024/3/18, 55, 31
2024/3/19, 85, 52
2024/3/20, 126, 58
2024/3/21, 126, 65
2024/3/22, 151, 20
2024/3/23, 47, 16
2024/3/24, 42, 9
2024/3/25, 28, 14
2024/3/26, 47, 17
2024/3/27, 9, 27
2024/3/28, 34, 4
2024/3/29, 14, 46
2024/3/30, 48, 45
2024/3/31, 34, 88
2023/10/1, 67, 21
2023/10/2, 60, 20
2023/10/3, 53, 12
2023/10/4, 33, 13
2023/10/5, 37, 15
2023/10/6, 47, 13
2023/10/7, 36, 6
2023/10/8, 20, 10
2023/10/9, 36, 19
2023/10/10, 58, 15
2023/10/11, 51, 24
2023/10/12, 65, 20
2023/10/13, 59, 27
2023/10/14, 67, 12
2023/10/15, 38, 16
2023/10/16, 53, 35
2023/10/17, 95, 44
2023/10/18, 116, 31
2023/10/19, 83, 27
2023/10/20, 71, 31
2023/10/21, 63, 16
2023/10/22, 47, 23
2023/10/23, 64, 37
2023/10/24, 97, 24
2023/10/25, 73, 29
2023/10/26, 80, 15
2023/10/27, 50, 12
2023/10/28, 41, 8
2023/10/29, 27, 11
2023/10/30, 31, 18
2023/10/31, 40, 14
2023/11/1, 46, 9
2023/11/2, 25, 9
2023/11/3, 28, 32
2023/11/4, 73, 8
2023/11/5, 32, 8
2023/11/6, 24, 18
2023/11/7, 54, 35
2023/11/8, 98, 12
2023/11/9, 42, 13
2023/11/10, 43, 30
2023/11/11, 90, 33
2023/11/12, 95, 22
2023/11/13, 68, 11
2023/11/14, 40, 8
2023/11/15, 31, 21
2023/11/16, 68, 15
2023/11/17, 55, 19
2023/11/18, 64, 23
2023/11/19, 73, 13
2023/11/20, 49, 27
2023/11/21, 79, 32
2023/11/22, 95, 22
2023/11/23, 72, 10
2023/11/24, 34, 19
2023/11/25, 64, 20
2023/11/26, 67, 37
2023/11/27, 98, 39
2023/11/28, 111, 61
2023/11/29, 144, 28
2023/11/30, 85, 65
2023/12/1, 156, 41
2023/12/2, 116, 37
2023/12/3, 103, 33
2023/12/4, 98, 43
2023/12/5, 111, 100
2023/12/6, 198, 84
2023/12/7, 177, 65
2023/12/8, 161, 52
2023/12/9, 131, 22
2023/12/10, 73, 16
2023/12/11, 60, 17
2023/12/12, 58, 37
2023/12/13, 101, 53
2023/12/14, 136, 28
2023/12/15, 85, 30
2023/12/16, 89, 29
2023/12/17, 86, 28
2023/12/18, 64, 33
2023/12/19, 81, 27
2023/12/20, 77, 11
2023/12/21, 41, 7
2023/12/22, 29, 11
2023/12/23, 37, 14
2023/12/24, 52, 5
2023/12/25, 21, 6
2023/12/26, 23, 26
2023/12/27, 61, 32
2023/12/28, 85, 29
2023/12/29, 86, 
2023/7/1, 46, 8
2023/7/2, 33, 6
2023/7/3, 20, 11
2023/7/4, 41, 11
2023/7/5, 39, 13
2023/7/6, 43, 7
2023/7/7, 21, 7
2023/7/8, 23, 8
2023/7/9, 20, 5
2023/7/10, 13, 9
2023/7/11, 32, 29
2023/7/12, 68, 42
2023/7/13, 102, 11
2023/7/14, 37, 4
2023/7/15, 11, 4
2023/7/16, 13, 6
2023/7/17, 18, 3
2023/7/18, 11, 4
2023/7/19, 10, 2
2023/7/20, 9, 24
2023/7/21, 63, 25
2023/7/22, 67, 23
2023/7/23, 53, 25
2023/7/24, 38, 14
2023/7/25, 43, 19
2023/7/26, 55, 19
2023/7/27, 49, 12
2023/7/28, 35, 9
2023/7/29, 29, 14
2023/7/30, 41, 12
2023/7/31, 39, 14
2023/8/1, 37, 8
2023/8/2, 21, 9
2023/8/3, 21, 15
2023/8/4, 39, 17
2023/8/5, 52, 16
2023/8/6, 44, 8
2023/8/7, 25, 8
2023/8/8, 21, 9
2023/8/9, 25, 20
2023/8/10, 58, 22
2023/8/11, 55, 27
2023/8/12, 61, 25
2023/8/13, 61, 28
2023/8/14, 57, 28
2023/8/15, 56, 43
2023/8/16, 72, 33
2023/8/17, 69, 27
2023/8/18, 68, 32
2023/8/19, 80, 25
2023/8/20, 68, 39
2023/8/21, 93, 24
2023/8/22, 63, 24
2023/8/23, 64, 28
2023/8/24, 66, 30
2023/8/25, 68, 26
2023/8/26, 64, 53
2023/8/27, 130, 19
2023/8/28, 59, 25
2023/8/29, 67, 13
2023/8/30, 43, 13
2023/8/31, 44, 12
2023/9/1, 33, 10
2023/9/2, 33, 15
2023/9/3, 47, 19
2023/9/4, 56, 24
2023/9/5, 62, 28
2023/9/6, 62, 32
2023/9/7, 72, 41
2023/9/8, 91, 41
2023/9/9, 90, 41
2023/9/10, 87, 35
2023/9/11, 80, 47
2023/9/12, 104, 54
2023/9/13, 101, 25
2023/9/14, 70, 13
2023/9/15, 38, 21
2023/9/16, 59, 17
2023/9/17, 52, 21
2023/9/18, 57, 19
2023/9/19, 60, 14
2023/9/20, 40, 13
2023/9/21, 29, 22
2023/9/22, 51, 22
2023/9/23, 59, 15
2023/9/24, 50, 29
2023/9/25, 76, 39
2023/9/26, 93, 41
2023/9/27, 90, 37
2023/9/28, 80, 40
2023/9/29, 91, 29
2023/9/30, 77, 24
2023/4/1, 31, 11
2023/4/2, 46, 8
2023/4/3, 32, 10
2023/4/4, 41, 12
2023/4/5, 45, 24
2023/4/6, 78, 19
2023/4/7, 65, 27
2023/4/8, 84, 37
2023/4/9, 106, 27
2023/4/10, 81, 19
2023/4/11, 60, 16
2023/4/12, 53, 27
2023/4/13, 76, 21
2023/4/14, 59, 5
2023/4/15, 15, 6
2023/4/16, 21, 12
2023/4/17, 45, 12
2023/4/18, 41, 19
2023/4/19, 65, 25
2023/4/20, 73, 23
2023/4/21, 58, 21
2023/4/22, 54, 23
2023/4/23, 59, 20
2023/4/24, 43, 8
2023/4/25, 30, 7
2023/4/26, 25, 10
2023/4/27, 38, 20
2023/4/28, 54, 17
2023/4/29, 47, 17
2023/4/30, 55, 9
2023/5/1, 30, 6
2023/5/2, 21, 14
2023/5/3, 51, 13
2023/5/4, 44, 15
2023/5/5, 38, 17
2023/5/6, 43, 9
2023/5/7, 34, 8
2023/5/8, 27, 20
2023/5/9, 52, 15
2023/5/10, 27, 16
2023/5/11, 35, 26
2023/5/12, 40, 21
2023/5/13, 44, 21
2023/5/14, 52, 6
2023/5/15, 25, 7
2023/5/16, 23, 8
2023/5/17, 32, 4
2023/5/18, 15, 11
2023/5/19, 40, 22
2023/5/20, 71, 13
2023/5/21, 34, 16
2023/5/22, 31, 14
2023/5/23, 36, 22
2023/5/24, 72, 30
2023/5/25, 90, 26
2023/5/26, 79, 8
2023/5/27, 23, 11
2023/5/28, 25, 13
2023/5/29, 32, 14
2023/5/30, 35, 15
2023/5/31, 35, 11
2023/6/1, 27, 11
2023/6/2, 34, 12
2023/6/3, 28, 13
2023/6/4, 30, 23
2023/6/5, 48, 18
2023/6/6, 57, 15
2023/6/7, 50, 15
2023/6/8, 56, 12
2023/6/9, 46, 10
2023/6/10, 38, 9
2023/6/11, 29, 7
2023/6/12, 19, 5
2023/6/13, 20, 11
2023/6/14, 43, 11
2023/6/15, 42, 17
2023/6/16, 58, 15
2023/6/17, 57, 12
2023/6/18, 43, 9
2023/6/19, 33, 18
2023/6/20, 53, 28
2023/6/21, 83, 13
2023/6/22, 44, 17
2023/6/23, 57, 9
2023/6/24, 38, 8
2023/6/25, 32, 8
2023/6/26, 29, 5
2023/6/27, 21, 2
2023/6/28, 8, 7
2023/6/29, 27, 6
2023/6/30, 23, 12
2023/1/2, 47, 14
2023/1/3, 54, 17
2023/1/4, 57, 6
2023/1/5, 25, 11
2023/1/6, 41, 15
2023/1/7, 56, 13
2023/1/8, 50, 15
2023/1/9, 57, 21
2023/1/10, 70, 29
2023/1/11, 87, 15
2023/1/12, 55, 10
2023/1/13, 43, 11
2023/1/14, 43, 8
2023/1/15, 34, 8
2023/1/16, 35, 10
2023/1/17, 40, 19
2023/1/18, 63, 26
2023/1/19, 79, 19
2023/1/20, 65, 18
2023/1/21, 58, 23
2023/1/22, 73, 28
2023/1/23, 83, 13
2023/1/24, 53, 14
2023/1/25, 54, 17
2023/1/26, 59, 23
2023/1/27, 73, 18
2023/1/28, 63, 16
2023/1/29, 57, 17
2023/1/30, 58, 11
2023/1/31, 43, 9
2023/2/1, 37, 9
2023/2/2, 38, 10
2023/2/3, 39, 9
2023/2/4, 37, 13
2023/2/5, 50, 30
2023/2/6, 86, 42
2023/2/7, 114, 34
2023/2/8, 96, 45
2023/2/9, 115, 22
2023/2/10, 70, 20
2023/2/11, 67, 18
2023/2/12, 60, 18
2023/2/13, 63, 18
2023/2/14, 62, 29
2023/2/15, 85, 22
2023/2/16, 70, 21
2023/2/17, 69, 8
2023/2/18, 34, 9
2023/2/19, 38, 8
2023/2/20, 34, 7
2023/2/21, 30, 9
2023/2/22, 37, 23
2023/2/23, 73, 20
2023/2/24, 68, 17
2023/2/25, 57, 9
2023/2/26, 38, 12
2023/2/27, 45, 38
2023/2/28, 99, 60
2023/3/1, 143, 58
2023/3/2, 148, 57
2023/3/3, 143, 30
2023/3/4, 88, 14
2023/3/5, 51, 16
2023/3/6, 55, 21
2023/3/7, 69, 15
2023/3/8, 55, 14
2023/3/9, 50, 12
2023/3/10, 40, 6
2023/3/11, 23, 17
2023/3/12, 56, 9
2023/3/13, 33, 16
2023/3/14, 47, 10
2023/3/15, 38, 24
2023/3/16, 70, 29
2023/3/17, 82, 11
2023/3/18, 30, 13
2023/3/19, 43, 33
2023/3/20, 95, 37
2023/3/21, 107, 25
2023/3/22, 76, 11
2023/3/23, 35, 11
2023/3/24, 37, 9
2023/3/25, 37, 10
2023/3/26, 32, 15
2023/3/27, 51, 8
2023/3/28, 27, 16
2023/3/29, 49, 11
2023/3/30, 40, 9
2023/3/31, 35, 8
2022/10/1, 31, 2
2022/10/2, 6, 1
2022/10/3, 4, 2
2022/10/4, 10, 3
2022/10/5, 9, 3
2022/10/6, 9, 5
2022/10/7, 17, 8
2022/10/8, 25, 7
2022/10/9, 31, 7
2022/10/10, 31, 8
2022/10/11, 26, 17
2022/10/12, 52, 30
2022/10/13, 84, 20
2022/10/14, 61, 8
2022/10/15, 28, 6
2022/10/16, 19, 5
2022/10/17, 17, 6
2022/10/18, 19, 2
2022/10/19, 6, 6
2022/10/20, 19, 9
2022/10/21, 30, 7
2022/10/22, 24, 8
2022/10/23, 33, 4
2022/10/24, 16, 5
2022/10/25, 17, 8
2022/10/26, 30, 8
2022/10/27, 27, 6
2022/10/28, 26, 4
2022/10/29, 14, 8
2022/10/30, 27, 9
2022/10/31, 31, 4
2022/11/1, 17, 9
2022/11/2, 31, 8
2022/11/3, 28, 4
2022/11/4, 13, 9
2022/11/5, 31, 20
2022/11/6, 64, 12
2022/11/7, 43, 7
2022/11/8, 28, 6
2022/11/9, 24, 15
2022/11/10, 55, 12
2022/11/11, 43, 17
2022/11/12, 55, 14
2022/11/13, 50, 12
2022/11/14, 44, 20
2022/11/15, 60, 11
2022/11/16, 38, 4
2022/11/17, 15, 12
2022/11/18, 43, 19
2022/11/19, 63, 43
2022/11/20, 115, 37
2022/11/21, 103, 13
2022/11/22, 44, 18
2022/11/23, 62, 12
2022/11/24, 47, 33
2022/11/25, 93, 27
2022/11/26, 81, 21
2022/11/27, 66, 16
2022/11/28, 51, 17
2022/11/29, 58, 15
2022/11/30, 51, 10
2022/12/1, 40, 14
2022/12/2, 46, 23
2022/12/3, 70, 8
2022/12/4, 30, 7
2022/12/5, 26, 12
2022/12/6, 42, 11
2022/12/7, 46, 12
2022/12/8, 47, 19
2022/12/9, 65, 17
2022/12/10, 61, 15
2022/12/11, 55, 20
2022/12/12, 66, 21
2022/12/13, 68, 22
2022/12/14, 73, 27
2022/12/15, 82, 22
2022/12/16, 72, 27
2022/12/17, 81, 18
2022/12/18, 63, 22
2022/12/19, 71, 14
2022/12/20, 55, 14
2022/12/21, 55, 16
2022/12/22, 58, 16
2022/12/23, 58, 11
2022/12/24, 46, 28
2022/12/25, 86, 11
2022/12/26, 43, 8
2022/12/27, 33, 11
2022/12/28, 41, 13
2022/12/29, 48, 14
2022/12/30, 55, 10
2022/12/31, 40, 12
2023/1/1, 48, 11
2022/7/1, 36, 10
2022/7/2, 29, 8
2022/7/3, 24, 14
2022/7/4, 36, 12
2022/7/5, 31, 5
2022/7/6, 18, 10
2022/7/7, 28, 10
2022/7/8, 35, 11
2022/7/9, 35, 5
2022/7/10, 20, 1
2022/7/11, 3, 3
2022/7/12, 6, 5
2022/7/13, 7, 9
2022/7/14, 23, 7
2022/7/15, 23, 4
2022/7/16, 10, 4
2022/7/17, 17, 4
2022/7/18, 9, 7
2022/7/19, 12, 14
2022/7/20, 31, 15
2022/7/21, 30, 15
2022/7/22, 32, 16
2022/7/23, 40, 11
2022/7/24, 33, 7
2022/7/25, 14, 14
2022/7/26, 37, 25
2022/7/27, 67, 10
2022/7/28, 34, 11
2022/7/29, 25, 12
2022/7/30, 38, 3
2022/7/31, 12, 7
2022/8/1, 20, 22
2022/8/2, 67, 17
2022/8/3, 49, 9
2022/8/4, 25, 14
2022/8/5, 37, 12
2022/8/6, 38, 3
2022/8/7, 8, 8
2022/8/8, 13, 10
2022/8/9, 18, 9
2022/8/10, 17, 7
2022/8/11, 21, 21
2022/8/12, 62, 9
2022/8/13, 35, 12
2022/8/14, 39, 26
2022/8/15, 68, 36
2022/8/16, 86, 19
2022/8/17, 59, 32
