date, pm25, pm10, no2, so2, co
2024/5/1, 64, 24, 9, 1, 4
2024/5/2, 54, 20, 9, 1, 4
2024/5/3, 56, 27, 8, 1, 5
2024/5/4, 71, 17, 6, 1, 4
2024/5/5, 55, 12, 3, 1, 3
2024/5/6, 41, 8, 3, 1, 2
2024/5/7, 28, 9, 4, 1, 1
2024/5/8, 30, 19, 12, 1, 1
2024/5/9, 46, 10, 5, 1, 1
2024/5/10, 37, 4, 3, 1, 1
2024/5/11, 17, 6, 3, 1, 1
2024/5/12, 24, 14, 11, 1, 1
2024/5/13, 35, 10, 6, 1, 2
2024/5/14, 31, 27, 7, 1, 2
2024/5/15, 48, 46, 8, 1, 2
2024/5/16, 59, 29, 7, 1, 2
2024/5/17, 49, 18, 6, 1, 2
2024/5/18, 51, 22, 11, 1, 3
2024/5/19, 61, 15, 8, 1, 3
2024/5/20, 54, 15, 5, 1, 3
2024/5/21, 54, 15, 6, 1, 3
2024/5/22, 52, , , , 
2024/4/1, 91, 9, 2, 1, 2
2024/4/2, 31, 4, 4, , 1
2024/4/3, 19, 16, 9, 1, 1
2024/4/4, 54, 17, 8, 2, 1
2024/4/5, 49, 12, 5, 1, 1
2024/4/6, 41, 24, 11, 3, 2
2024/4/7, 59, 35, 23, 1, 3
2024/4/8, 67, 52, 21, 2, 4
2024/4/9, 102, 17, 3, 1, 1
2024/4/10, 37, 15, 3, 1, 1
2024/4/11, 35, 11, 2, 1, 1
2024/4/12, 36, 10, 2, 1, 1
2024/4/13, 37, 17, 4, 1, 
2024/4/14, 37, 9, 6, 1, 1
2024/4/15, 28, 10, 7, 1, 2
2024/4/16, 36, 5, 3, 1, 1
2024/4/17, 22, 6, 2, 1, 1
2024/4/18, 25, 14, 9, 1, 2
2024/4/19, 45, 6, 1, 1, 2
2024/4/20, 27, 4, , , 2
2024/4/21, 19, 7, 2, 1, 2
2024/4/22, 31, 15, 7, 1, 2
2024/4/23, 49, 28, 10, 1, 2
2024/4/24, 71, 18, 5, 1, 2
2024/4/25, 58, 31, 12, 1, 3
2024/4/26, 73, 33, 12, 2, 3
2024/4/27, 78, 34, 9, 2, 3
2024/4/28, 77, 17, 6, 3, 
2024/4/29, 51, 22, 12, 5, 4
2024/4/30, 54, 27, 10, 1, 4
2024/1/1, 78, 17, 7, 2, 4
2024/1/2, 60, 10, 6, 2, 3
2024/1/3, 46, 9, 5, 2, 4
2024/1/4, 38, 9, 11, 1, 4
2024/1/5, 33, 8, 6, 2, 3
2024/1/6, 30, 8, 4, 2, 5
2024/1/7, 38, 15, 14, 2, 8
2024/1/8, 53, 24, 17, 2, 7
2024/1/9, 73, 8, 5, 2, 3
2024/1/10, 36, 4, 4, 2, 3
2024/1/11, 16, 4, 4, 2, 2
2024/1/12, 18, 6, 4, 2, 
2024/1/13, 25, 3, 1, 2, 
2024/1/14, 14, 3, 2, 2, 
2024/1/15, 15, 13, 10, 2, 3
2024/1/16, 39, 33, 17, 6, 6
2024/1/17, 94, 19, 10, 3, 5
2024/1/18, 65, 5, 3, 2, 3
2024/1/19, 24, 4, 3, 2, 4
2024/1/20, 20, 14, 11, 4, 5
2024/1/21, 54, 9, 10, 5, 4
2024/1/22, 38, 5, 2, 2, 4
2024/1/23, 22, 5, 5, 3, 4
2024/1/24, 22, 3, 3, 2, 4
2024/1/25, 11, 8, 9, 2, 5
2024/1/26, 30, 3, 1, 2, 4
2024/1/27, 14, 7, 4, 2, 5
2024/1/28, 28, 22, 15, 2, 5
2024/1/29, 70, 34, 18, 5, 6
2024/1/30, 89, 13, 7, 2, 3
2024/1/31, 43, 6, 3, 1, 3
2024/2/1, 24, 5, 3, 1, 3
2024/2/2, 21, 3, 1, 1, 3
2024/2/3, 12, 3, , 1, 2
2024/2/4, 15, 3, 1, 1, 3
2024/2/5, 13, 11, 13, 1, 4
2024/2/6, 39, 3, 2, , 2
2024/2/7, 12, 6, 7, , 2
2024/2/8, 28, 17, 11, 1, 3
2024/2/9, 59, 11, 8, 1, 3
2024/2/10, 47, 15, 7, 1, 3
2024/2/11, 59, 9, 10, 1, 3
2024/2/12, 40, 5, 5, 1, 2
2024/2/13, 21, 18, 12, 2, 2
2024/2/14, 56, 21, 13, 2, 3
2024/2/15, 70, 23, 10, 3, 3
2024/2/16, 71, 4, 2, 1, 2
2024/2/17, 17, 13, 5, 2, 2
2024/2/18, 47, 18, 8, 3, 3
2024/2/19, 59, 4, 4, 1, 2
2024/2/20, 15, 6, 6, 1, 3
2024/2/21, 26, 15, 13, 2, 3
2024/2/22, 55, 14, 13, 2, 3
2024/2/23, 44, 13, 12, 1, 1
2024/2/24, 45, 16, 10, 2, 
2024/2/25, 57, 19, 19, 2, 2
2024/2/26, 61, 7, 6, 1, 2
2024/2/27, 32, 6, 7, 1, 2
2024/2/28, 28, 14, 9, 1, 1
2024/2/29, 51, 20, 8, 1, 1
2024/3/1, 67, 23, 3, 1, 1
2024/3/2, 74, 23, 4, 1, 2
2024/3/3, 73, 14, 4, 1, 1
2024/3/4, 49, 15, 5, , 2
2024/3/5, 54, 12, 5, , 3
2024/3/6, 49, 10, 5, , 2
2024/3/7, 37, 11, 8, , 3
2024/3/8, 38, 14, 5, , 3
2024/3/9, 52, 16, 4, , 3
2024/3/10, 59, 10, 6, , 3
2024/3/11, 43, 20, 11, 1, 3
2024/3/12, 67, 28, 14, 1, 5
2024/3/13, 81, 23, 8, 1, 5
2024/3/14, 75, 33, 11, 4, 4
2024/3/15, 84, 15, 7, 1, 4
2024/3/16, 48, 3, 3, , 2
2024/3/17, 13, 2, 4, , 3
2024/3/18, 11, 8, 9, 1, 2
2024/3/19, 29, 31, 15, 2, 2
2024/3/20, 81, 28, 13, 1, 2
2024/3/21, 85, 11, 6, 1, 2
2024/3/22, 47, 6, 3, 1, 2
2024/3/23, 26, 9, 3, , 2
2024/3/24, 33, 17, 14, 1, 3
2024/3/25, 56, 24, 12, 1, 4
2024/3/26, 70, 22, 11, 1, 3
2024/3/27, 53, 17, 10, 1, 3
2024/3/28, 51, 20, 7, 1, 2
2024/3/29, 36, 18, 13, 1, 2
2024/3/30, 47, 45, 9, 4, 2
2024/3/31, 85, 44, 11, 2, 2
2023/10/1, 23, 11, 10, 1, 4
2023/10/2, 42, 15, 11, 2, 5
2023/10/3, 43, 3, 2, 1, 2
2023/10/4, 13, 4, 3, 1, 2
2023/10/5, 17, 4, 5, 1, 2
2023/10/6, 18, 5, 1, 1, 1
2023/10/7, 14, 3, 1, , 1
2023/10/8, 11, 10, 10, , 2
2023/10/9, 24, 8, 9, 1, 2
2023/10/10, 35, 11, 8, 1, 3
2023/10/11, 44, 4, 2, 1, 3
2023/10/12, 14, 8, 10, 2, 3
2023/10/13, 34, 5, 4, 1, 3
2023/10/14, 21, 3, 1, 1, 2
2023/10/15, 11, 4, 6, 1, 3
2023/10/16, 18, 4, 5, 1, 2
2023/10/17, 18, 4, 3, 1, 1
2023/10/18, 16, 4, 4, 1, 1
2023/10/19, 18, 5, 1, 1, 1
2023/10/20, 21, 9, 5, 1, 
2023/10/21, 33, 17, 7, 1, 2
2023/10/22, 64, 11, 6, 1, 1
2023/10/23, 39, 22, 13, 2, 3
