date, pm25, pm10, no2, so2, co
2024/5/1, 63, 31, 12, , 2
2024/5/2, 58, 26, 11, , 2
2024/5/3, 59, 33, 13, , 2
2024/5/4, 71, 23, 7, , 1
2024/5/5, 65, 13, 5, , 1
2024/5/6, 47, 12, 5, , 1
2024/5/7, 36, 17, 9, , 1
2024/5/8, 44, 25, 13, , 2
2024/5/9, 54, 12, 6, , 1
2024/5/10, 45, 9, 6, , 1
2024/5/11, 29, 12, 8, , 1
2024/5/12, 36, 25, 11, , 2
2024/5/13, 47, 32, 12, , 2
2024/5/14, 53, 24, 7, , 2
2024/5/15, 44, 32, 6, , 2
2024/5/16, 53, 33, 7, , 2
2024/5/17, 52, 28, 9, , 2
2024/5/18, 55, 21, 10, , 2
2024/5/19, 62, 26, 10, , 2
2024/5/20, 61, 27, 7, , 1
2024/5/21, 65, 20, 5, , 
2024/5/22, 61, , , , 
2024/4/1, 105, 11, 4, , 2
2024/4/2, 40, 5, 4, , 2
2024/4/3, 23, 18, 8, , 2
2024/4/4, 61, 16, 8, , 2
2024/4/5, 50, 15, 4, , 2
2024/4/6, 48, 19, 7, , 3
2024/4/7, 58, 28, 16, , 4
2024/4/8, 68, 42, 14, , 3
2024/4/9, 93, 21, 5, , 1
2024/4/10, 44, 31, 8, , 2
2024/4/11, 50, 16, 5, , 2
2024/4/12, 44, 14, 5, , 2
2024/4/13, 47, 16, 3, , 1
2024/4/14, 41, 13, 5, , 1
2024/4/15, 34, 11, 8, , 2
2024/4/16, 42, 7, 5, , 2
2024/4/17, 27, 11, 8, , 2
2024/4/18, 40, 16, 14, , 2
2024/4/19, 54, 10, 6, , 2
2024/4/20, 37, 8, 4, , 2
2024/4/21, 32, 11, 7, , 2
2024/4/22, 41, 15, 7, , 2
2024/4/23, 52, 27, 9, , 2
2024/4/24, 73, 26, 11, , 2
2024/4/25, 69, 25, 12, , 3
2024/4/26, 69, 28, 14, , 4
2024/4/27, 72, 26, 11, , 3
2024/4/28, 71, 27, 10, , 3
2024/4/29, 62, 30, 13, , 3
2024/4/30, 61, 27, 10, , 3
2024/1/1, 99, 26, 7, , 4
2024/1/2, 80, 14, 6, , 3
2024/1/3, 55, 13, 8, , 3
2024/1/4, 50, 17, 16, , 4
2024/1/5, 56, 16, 11, , 4
2024/1/6, 51, 11, 3, , 3
2024/1/7, 44, 26, 17, , 6
2024/1/8, 79, 28, 18, , 6
2024/1/9, 85, 13, 6, , 3
2024/1/10, 53, 6, 6, , 3
2024/1/11, 27, 8, 8, , 3
2024/1/12, 34, 9, 5, , 3
2024/1/13, 38, 6, 3, , 3
2024/1/14, 26, 6, 4, , 3
2024/1/15, 23, 19, 15, , 6
2024/1/16, 56, 30, 12, , 5
2024/1/17, 94, 26, 15, , 6
2024/1/18, 83, 9, 6, , 4
2024/1/19, 40, 8, 7, , 4
2024/1/20, 35, 18, 8, , 5
2024/1/21, 65, 12, 5, , 5
2024/1/22, 49, 9, 5, , 5
2024/1/23, 38, 8, 4, , 3
2024/1/24, 32, 4, 4, , 1
2024/1/25, 18, 10, 8, , 2
2024/1/26, 40, 6, 4, , 2
2024/1/27, 25, 12, 6, , 2
2024/1/28, 44, 25, 10, , 3
2024/1/29, 80, 37, 15, , 5
2024/1/30, 103, 18, 9, , 3
2024/1/31, 59, 11, 4, , 2
2024/2/1, 41, 9, 5, , 2
2024/2/2, 36, 5, 1, , 3
2024/2/3, 21, 6, 1, , 3
2024/2/4, 27, 6, 3, , 3
2024/2/5, 24, 13, 12, , 4
2024/2/6, 47, 6, 4, , 3
2024/2/7, 22, 13, 13, , 4
2024/2/8, 46, 22, 12, , 5
2024/2/9, 72, 16, 6, , 4
2024/2/10, 61, 22, 6, , 5
2024/2/11, 69, 18, 11, , 5
2024/2/12, 63, 9, 8, , 2
2024/2/13, 31, 20, 12, , 3
2024/2/14, 65, 23, 10, , 3
2024/2/15, 77, 25, 8, , 3
2024/2/16, 77, 7, 3, , 2
2024/2/17, 26, 14, 5, , 2
2024/2/18, 55, 18, 8, , 3
2024/2/19, 63, 6, 7, , 2
2024/2/20, 26, 10, 8, , 3
2024/2/21, 43, 19, 9, , 3
2024/2/22, 65, 23, 12, , 5
2024/2/23, 61, 16, 10, , 4
2024/2/24, 55, 22, 9, , 4
2024/2/25, 71, 26, 19, , 6
2024/2/26, 78, 13, 6, , 3
2024/2/27, 52, 12, 9, , 3
2024/2/28, 49, 17, 7, , 2
2024/2/29, 61, 29, 7, , 2
2024/3/1, 84, 33, 6, , 3
2024/3/2, 93, 33, 5, , 3
2024/3/3, 92, 22, 5, , 2
2024/3/4, 62, 23, 6, , 2
2024/3/5, 69, 21, 7, , 2
2024/3/6, 60, 23, 16, , 4
2024/3/7, 62, 31, 17, , 5
2024/3/8, 80, 22, 8, , 4
2024/3/9, 68, 24, 5, , 5
2024/3/10, 71, 16, 7, , 3
2024/3/11, 57, 28, 9, , 3
2024/3/12, 85, 35, 12, , 4
2024/3/13, 103, 31, 7, , 3
2024/3/14, 89, 32, 8, , 3
2024/3/15, 86, 19, 5, , 2
2024/3/16, 60, 5, 2, , 2
2024/3/17, 21, 5, 4, , 2
2024/3/18, 20, 15, 11, , 2
2024/3/19, 45, 33, 13, , 4
2024/3/20, 90, 33, 12, , 4
2024/3/21, 99, 14, 6, , 3
2024/3/22, 56, 13, 7, , 3
2024/3/23, 47, 13, 5, , 3
2024/3/24, 48, 22, 13, , 5
2024/3/25, 72, 31, 13, , 6
2024/3/26, 88, 24, 9, , 3
2024/3/27, 61, 24, 9, , 2
2024/3/28, 64, 15, 8, , 1
2024/3/29, 35, 20, 10, , 2
2024/3/30, 51, 50, 10, , 3
2024/3/31, 92, 53, 12, , 3
2023/10/1, 35, 16, 10, , 3
2023/10/2, 52, 23, 9, , 4
2023/10/3, 51, 7, 3, , 2
2023/10/4, 23, 8, 5, , 3
2023/10/5, 29, 7, 6, , 3
2023/10/6, 27, 7, 3, , 3
2023/10/7, 20, 5, 3, , 2
2023/10/8, 17, 15, 12, , 4
2023/10/9, 37, 16, 10, , 3
2023/10/10, 52, 20, 7, , 3
2023/10/11, 60, 8, 5, , 3
2023/10/12, 26, 14, 9, , 4
2023/10/13, 49, 11, 3, , 3
2023/10/14, 37, 5, 1, , 3
2023/10/15, 18, 8, 10, , 4
2023/10/16, 32, 9, 8, , 4
2023/10/17, 32, 8, 9, , 4
2023/10/18, 31, 8, 7, , 3
2023/10/19, 30, 6, 4, , 1
2023/10/20, 27, 11, 5, , 2
2023/10/21, 41, 22, 7, , 4
2023/10/22, 72, 15, 11, , 3
2023/10/23, 48, 18, 12, , 4
2023/10/24, 59, 10, 6, , 2
2023/10/25, 38, 7, 6, , 3
2023/10/26, 29, 8, 9, , 3
2023/10/27, 34, 10, 8, , 3
2023/10/28, 42, 19, 6, , 3
2023/10/29, 68, 12, 10, , 3
2023/10/30, 39, 16, 9, , 4
2023/10/31, 53, 11, 7, , 3
2023/11/1, 35, 17, 8, , 3
2023/11/2, 60, 13, 9, , 3
2023/11/3, 52, 11, 5, , 3
2023/11/4, 42, 18, 5, , 4
2023/11/5, 63, 10, 7, , 3
2023/11/6, 39, 10, 7, , 3
