date, pm25, pm10, no2, so2
2024/5/1, 55, 25, 8, 1
2024/5/2, 47, 27, 5, 1
2024/5/3, 53, 24, 9, 2
2024/5/4, 59, 14, 4, 1
2024/5/5, 48, 11, 7, 2
2024/5/6, 40, 7, 5, 1
2024/5/7, 25, 21, 6, 1
2024/5/8, 33, 30, 9, 2
2024/5/9, 51, 12, 9, 2
2024/5/10, 40, 4, 2, 2
2024/5/11, 15, 11, 7, 2
2024/5/12, 26, 49, 7, 2
2024/5/13, 61, 61, 7, 2
2024/5/14, 71, 36, 5, 1
2024/5/15, 49, 29, 3, 1
2024/5/16, 47, 31, 1, 1
2024/5/17, 48, 27, 7, 1
2024/5/18, 51, 22, 6, 1
2024/5/19, 56, 30, 11, 1
2024/5/20, 56, 33, 7, 1
2024/5/21, 60, 12, 1, 1
2024/5/22, 47, , , 
2024/4/1, 76, 8, 7, 5
2024/4/2, 30, 5, 7, 3
2024/4/3, 19, 13, 5, 2
2024/4/4, 50, 14, 8, 1
2024/4/5, 46, 14, 4, 1
2024/4/6, 40, 15, 7, 1
2024/4/7, 52, 23, 17, 1
2024/4/8, 64, 31, 15, 1
2024/4/9, 81, 21, 6, 1
2024/4/10, 41, 17, 7, 1
2024/4/11, 36, 20, 5, 1
2024/4/12, 41, 14, 6, 2
2024/4/13, 43, 17, 5, 1
2024/4/14, 37, 31, 3, 1
2024/4/15, 41, 11, 7, 1
2024/4/16, 32, 6, 5, 1
2024/4/17, 20, 9, 6, 1
2024/4/18, 29, 16, 10, 1
2024/4/19, 46, 5, 3, 1
2024/4/20, 22, 4, 3, 1
2024/4/21, 17, 9, 5, 1
2024/4/22, 30, 13, 7, 1
2024/4/23, 44, 24, 9, 1
2024/4/24, 60, 35, 13, 1
2024/4/25, 65, 19, 9, 1
2024/4/26, 61, 20, 10, 2
2024/4/27, 63, 20, 8, 2
2024/4/28, 63, 26, 10, 2
2024/4/29, 57, 34, 13, 1
2024/4/30, 56, 25, 7, 1
2024/2/2, 30, 4, 8, 4
2024/2/3, 15, 4, 4, 2
2024/2/4, 18, 6, 3, 2
2024/2/5, 25, 12, 6, 9
2024/2/6, 47, 5, 12, 1
2024/2/7, 20, 16, 8, 1
2024/2/8, 51, 23, 14, 1
2024/2/9, 69, 14, 10, 1
2024/2/10, 55, 19, 2, 1
2024/2/11, 60, 15, 2, 1
2024/2/12, 54, 11, 8, 1
2024/2/13, 35, 17, 12, 3
2024/2/14, 62, 22, 9, 1
2024/2/15, 76, 26, 9, 1
2024/2/16, 78, 6, 7, 2
2024/2/17, 23, 18, 5, 1
2024/2/18, 56, 17, 6, 1
2024/2/19, 61, 9, 8, 2
2024/2/20, 31, 10, 13, 4
2024/2/21, 40, 18, 9, 1
2024/2/22, 65, 20, 8, 1
2024/2/23, 55, 16, 10, 1
2024/2/24, 53, 18, 9, 1
2024/2/25, 64, 21, 6, 2
2024/2/26, 70, 11, 18, 2
2024/2/27, 41, 8, 10, 1
2024/2/28, 36, 15, 9, 1
2024/2/29, 58, 25, 7, 4
2024/3/1, 79, 28, 4, 1
