date, pm25, pm10, o3, no2, so2
2024/5/1, 56, 25, 44, 20, 1
2024/5/2, 50, 22, 43, 15, 
2024/5/3, 51, 25, 40, 17, 
2024/5/4, 59, 19, 39, 11, 
2024/5/5, 56, 11, 32, 4, 1
2024/5/6, 43, 9, 33, 9, 1
2024/5/7, 31, 13, 36, 16, 1
2024/5/8, 41, 20, 39, 12, 1
2024/5/9, 47, 11, 36, 6, 1
2024/5/10, 41, 7, 33, 11, 1
2024/5/11, 24, 8, 35, 13, 1
2024/5/12, 29, 11, 35, 19, 1
2024/5/13, 34, 12, 37, 19, 1
2024/5/14, 33, 18, 34, 14, 1
2024/5/15, 39, 26, 38, 10, 1
2024/5/16, 48, 24, 42, 9, 1
2024/5/17, 48, 22, 42, 17, 2
2024/5/18, 51, 18, 41, 13, 1
2024/5/19, 53, 17, 42, 17, 1
2024/5/20, 50, 17, 38, 10, 1
2024/5/21, 54, 16, 33, 10, 1
2024/5/22, 52, , , , 
2024/4/1, 103, 9, 33, 3, 1
2024/4/2, 35, 5, 26, 3, 1
2024/4/3, 24, 16, 22, 10, 1
2024/4/4, 57, 12, 34, 6, 1
2024/4/5, 43, 12, 38, 5, 1
2024/4/6, 41, 13, 41, 5, 1
2024/4/7, 45, 22, 32, 18, 1
2024/4/8, 51, 39, 40, 19, 2
2024/4/9, 76, 14, 36, 3, 1
2024/4/10, 37, 14, 38, 6, 1
2024/4/11, 36, 11, 32, 4, 1
2024/4/12, 40, 10, 36, 3, 1
2024/4/13, 38, 13, 38, 3, 1
2024/4/14, 37, 8, 37, 6, 1
2024/4/15, 29, 10, 31, 9, 1
2024/4/16, 37, 5, 34, 4, 1
2024/4/17, 24, 9, 32, 9, 1
2024/4/18, 33, 12, 36, 10, 1
2024/4/19, 44, 9, 39, 4, 1
2024/4/20, 35, 6, 41, 3, 1
2024/4/21, 27, 9, 32, 4, 1
2024/4/22, 36, 14, 34, 7, 1
2024/4/23, 47, 22, 36, 14, 1
2024/4/24, 67, 17, 38, 11, 1
2024/4/25, 61, 17, 37, 15, 1
2024/4/26, 57, 15, 43, 9, 1
2024/4/27, 48, 18, 47, 7, 2
2024/4/28, 56, 23, 40, 10, 1
2024/4/29, 50, 24, 37, 19, 1
2024/4/30, 52, 28, 46, 15, 1
2024/1/1, 87, 19, 6, 7, 1
2024/1/2, 60, 12, 9, 6, 1
2024/1/3, 49, 10, 23, 6, 1
2024/1/4, 43, 17, 28, 11, 1
2024/1/5, 57, 9, 31, 7, 1
2024/1/6, 34, 9, 22, 3, 1
2024/1/7, 39, 19, 20, 16, 1
2024/1/8, 66, 18, 23, 7, 1
2024/1/9, 67, 10, 24, 2, 1
2024/1/10, 46, 6, 29, 3, 1
2024/1/11, 25, 6, 28, 3, 1
2024/1/12, 27, 7, 27, 3, 1
2024/1/13, 32, 4, 28, 1, 1
2024/1/14, 17, 4, 32, 3, 1
2024/1/15, 19, 17, 31, 11, 1
2024/1/16, 52, 25, 20, 10, 1
2024/1/17, 81, 20, 28, 9, 1
2024/1/18, 69, 7, 27, 3, 1
2024/1/19, 32, 6, 27, 2, 1
2024/1/20, 27, 13, 28, 4, 1
2024/1/21, 55, 10, 24, 6, 1
2024/1/22, 44, 8, 30, 3, 1
2024/1/23, 35, 7, 32, 2, 1
2024/1/24, 29, 4, 31, 1, 1
2024/1/25, 16, 8, 32, 5, 1
2024/1/26, 33, 5, 29, , 1
2024/1/27, 23, 10, 26, 3, 1
2024/1/28, 40, 20, 19, 7, 1
2024/1/29, 68, 30, 15, 13, 2
2024/1/30, 89, 14, 30, 4, 1
2024/1/31, 48, 9, 31, 1, 1
2024/2/1, 36, 8, 31, 3, 1
2024/2/2, 34, 4, 32, , 1
2024/2/3, 18, 5, 31, , 1
2024/2/4, 23, 4, 32, , 1
2024/2/5, 18, 7, 25, 9, 1
2024/2/6, 27, 4, 32, 1, 1
2024/2/7, 19, 12, 22, 10, 1
2024/2/8, 45, 18, 25, 15, 2
2024/2/9, 64, 10, 20, 7, 1
2024/2/10, 43, 16, 7, 5, 1
2024/2/11, 56, 12, 8, 8, 1
2024/2/12, 45, 7, 27, 2, 1
2024/2/13, 28, 15, 21, 9, 1
2024/2/14, 55, 15, 16, 7, 1
2024/2/15, 57, 16, 20, 5, 1
2024/2/16, 60, 6, 24, 1, 1
2024/2/17, 24, 11, 21, 3, 1
2024/2/18, 43, 15, 19, 6, 1
2024/2/19, 57, 4, 27, 1, 1
2024/2/20, 16, 8, 30, 4, 1
2024/2/21, 35, 15, 20, 7, 1
2024/2/22, 56, 14, 27, 11, 1
2024/2/23, 44, 10, 31, 5, 1
2024/2/24, 40, 15, 22, 8, 2
2024/2/25, 55, 21, 22, 20, 2
2024/2/26, 67, 13, 19, 6, 1
2024/2/27, 47, 9, 24, 3, 1
2024/2/28, 37, 13, 25, 6, 1
2024/2/29, 50, 26, 20, 5, 1
2024/3/1, 78, 29, 16, 6, 1
2024/3/2, 85, 30, 26, 7, 2
2024/3/3, 85, 18, 22, 6, 2
2024/3/4, 58, 19, 21, 6, 2
2024/3/5, 63, 16, 24, 7, 2
2024/3/6, 56, 17, 26, 17, 2
2024/3/7, 53, 19, 29, 12, 2
2024/3/8, 57, 18, 27, 6, 2
2024/3/9, 61, 19, 27, 3, 2
2024/3/10, 65, 15, 25, 9, 1
2024/3/11, 55, 28, 17, 12, 2
2024/3/12, 79, 25, 16, 7, 1
2024/3/13, 73, 28, 22, 8, 1
2024/3/14, 79, 23, 21, 7, 1
2024/3/15, 70, 15, 33, 5, 1
2024/3/16, 53, 4, 30, 2, 1
2024/3/17, 16, 4, 28, 5, 1
2024/3/18, 19, 7, 20, 12, 1
2024/3/19, 31, 25, 23, 14, 1
2024/3/20, 72, 27, 23, 9, 1
2024/3/21, 84, 13, 27, 6, 1
2024/3/22, 52, 11, 27, 4, 1
2024/3/23, 42, 10, 32, 6, 1
2024/3/24, 41, 16, 20, 12, 1
2024/3/25, 58, 20, 27, 12, 1
2024/3/26, 68, 16, 31, 7, 1
2024/3/27, 50, 20, 24, 7, 1
2024/3/28, 57, 8, 32, 7, 1
2024/3/29, 24, 12, 32, 12, 1
2024/3/30, 37, 59, 29, 8, 1
2024/3/31, 97, 57, 26, 14, 2
2023/10/1, 31, 15, 20, 10, 
2023/10/2, 51, 18, 32, 7, 
2023/10/3, 46, 5, 26, , 
2023/10/4, 21, 7, 26, 3, 
2023/10/5, 29, 7, 20, 5, 
2023/10/6, 26, 6, 26, , 
2023/10/7, 19, 4, 24, , 
2023/10/8, 17, 14, 23, 9, 
2023/10/9, 37, 19, 18, 13, 
2023/10/10, 60, 18, 25, 4, 
2023/10/11, 56, 6, 26, 1, 
2023/10/12, 23, 12, 18, 7, 
2023/10/13, 42, 10, 27, 1, 
2023/10/14, 35, 4, 25, , 
2023/10/15, 16, 6, 20, 4, 
2023/10/16, 25, 7, 22, 4, 
2023/10/17, 27, 8, 22, 5, 
2023/10/18, 30, 7, 20, 10, 1
2023/10/19, 25, 6, 18, 3, 1
2023/10/20, 25, 10, 11, 4, 1
2023/10/21, 36, 23, 11, 7, 1
2023/10/22, 71, 13, 21, 5, 1
2023/10/23, 42, 19, 19, 18, 1
2023/10/24, 56, 8, 15, 7, 1
2023/10/25, 34, 5, 4, 7, 1
2023/10/26, 21, 8, 8, 8, 1
2023/10/27, 33, 10, 9, 6, 1
2023/10/28, 41, 14, 15, 5, 1
2023/10/29, 52, 11, 23, 8, 1
2023/10/30, 35, 13, 21, 8, 1
2023/10/31, 46, 7, 22, 4, 1
2023/11/1, 25, 15, 15, 6, 1
2023/11/2, 53, 11, 17, 7, 1
