date, pm25, pm10, o3, no2, so2, co
2024/5/1, 61, 27, 44, 6, 1, 2
2024/5/2, 51, 24, 43, 5, 1, 2
2024/5/3, 57, 25, 42, 5, 1, 2
2024/5/4, 58, 25, 31, 5, 1, 2
2024/5/5, 63, 12, 30, 3, 1, 2
2024/5/6, 46, 10, 34, 3, 1, 1
2024/5/7, 34, 15, 36, 4, 1, 2
2024/5/8, 41, 19, 40, 5, 1, 2
2024/5/9, 46, 10, 36, 2, 1, 2
2024/5/10, 40, 8, 33, 2, 1, 2
2024/5/11, 24, 10, 35, 2, 1, 3
2024/5/12, 31, 13, 37, 4, 2, 2
2024/5/13, 30, 15, 38, 6, 1, 1
2024/5/14, 32, 23, 36, 7, 1, 1
2024/5/15, 44, 29, 40, 6, 2, 1
2024/5/16, 52, 26, 45, 4, 1, 1
2024/5/17, 50, 25, 43, 4, 1, 1
2024/5/18, 53, 17, 42, 8, 1, 1
2024/5/19, 54, 21, 42, 5, 1, 1
2024/5/20, 52, 18, 38, 2, 1, 1
2024/5/21, 58, 16, 35, 3, 2, 1
2024/5/22, 54, , , , , 
2024/4/1, 105, 10, 32, 1, 1, 1
2024/4/2, 39, 6, 26, 1, 1, 1
2024/4/3, 26, 21, 28, 6, 1, 2
2024/4/4, 68, 16, 33, 4, 1, 2
2024/4/5, 54, 15, 36, 4, 1, 1
2024/4/6, 52, 16, 42, 4, 1, 1
2024/4/7, 49, 23, 28, 15, 2, 3
2024/4/8, 54, 36, 32, 13, 2, 3
2024/4/9, 81, 18, 35, 1, 1, 2
2024/4/10, 43, 17, 37, 2, 1, 2
2024/4/11, 40, 14, 32, 1, 1, 2
2024/4/12, 48, 11, 36, , 1, 2
2024/4/13, 42, 12, 38, 1, 1, 2
2024/4/14, 40, 9, 37, 1, 1, 2
2024/4/15, 30, 12, 34, 6, 1, 3
2024/4/16, 42, 6, 33, 1, 2, 2
2024/4/17, 26, 10, 31, 5, 1, 1
2024/4/18, 35, 12, 35, 5, 1, 1
2024/4/19, 45, 8, 39, 1, 1, 1
2024/4/20, 33, 7, 41, 1, 1, 1
2024/4/21, 27, 9, 31, 2, 1, 1
2024/4/22, 38, 15, 32, 4, 1, 2
2024/4/23, 54, 30, 37, 7, 2, 3
2024/4/24, 81, 23, 39, 3, 1, 2
2024/4/25, 69, 26, 35, 12, 5, 2
2024/4/26, 72, 26, 41, 12, 2, 1
2024/4/27, 63, 24, 43, 9, 2, 1
2024/4/28, 67, 29, 38, 8, 2, 1
2024/4/29, 54, 29, 43, 9, 2, 2
2024/4/30, 63, 27, 46, 7, 2, 2
2024/1/1, 103, 17, 9, 2, 2, 3
2024/1/2, 57, 12, 11, 2, 2, 3
2024/1/3, 52, 10, 26, 3, 2, 4
2024/1/4, 43, 9, 27, 4, 2, 4
2024/1/5, 39, 6, 33, 2, 2, 3
2024/1/6, 24, 9, 23, 1, 2, 4
2024/1/7, 38, 12, 30, 6, 2, 5
2024/1/8, 44, 12, 26, 3, 2, 4
2024/1/9, 50, 11, 24, 2, 2, 3
2024/1/10, 47, 6, 32, 2, 2, 3
2024/1/11, 25, 7, 28, 2, 2, 4
2024/1/12, 30, 8, 26, 2, 2, 3
2024/1/13, 36, 6, 26, 1, 2, 3
2024/1/14, 27, 5, 31, 2, 2, 4
2024/1/15, 23, 13, 30, 6, 1, 4
2024/1/16, 42, 29, 16, 12, 1, 3
2024/1/17, 91, 21, 26, 7, 1, 2
2024/1/18, 70, 8, 27, 2, 1, 1
2024/1/19, 34, 7, 25, 2, 1, 1
2024/1/20, 31, 21, 26, 5, 1, 3
2024/1/21, 72, 13, 24, 4, 2, 1
2024/1/22, 53, 10, 29, 2, 1, 1
2024/1/23, 38, 9, 30, 2, 1, 1
2024/1/24, 37, 4, 29, 1, 1, 1
2024/1/25, 19, 14, 29, 5, 1, 2
2024/1/26, 47, 6, 27, 1, 1, 1
2024/1/27, 25, 17, 25, 3, 1, 2
2024/1/28, 57, 25, 17, 7, 1, 3
2024/1/29, 79, 38, 14, 14, 3, 4
2024/1/30, 101, 15, 29, 3, 1, 2
2024/1/31, 51, 10, 30, 2, 1, 1
2024/2/1, 41, 9, 29, 3, 1, 1
2024/2/2, 39, 5, 31, , 1, 1
2024/2/3, 21, 7, 31, , 1, 1
2024/2/4, 28, 5, 30, 1, 1, 1
2024/2/5, 21, 14, 23, 9, 1, 3
2024/2/6, 51, 6, 30, 2, 1, 1
2024/2/7, 24, 17, 22, 5, 1, 3
2024/2/8, 58, 19, 24, 8, 1, 3
2024/2/9, 65, 16, 20, 2, 1, 2
2024/2/10, 61, 20, 9, 2, 1, 2
2024/2/11, 64, 14, 9, 4, 1, 3
2024/2/12, 50, 8, 26, 2, 1, 2
2024/2/13, 30, 22, 18, 10, 1, 3
2024/2/14, 70, 23, 8, 10, 1, 2
2024/2/15, 72, 21, 18, 7, 2, 2
2024/2/16, 69, 6, 23, 1, 1, 1
2024/2/17, 27, 17, 17, 6, 1, 2
2024/2/18, 58, 22, 16, 10, 2, 2
2024/2/19, 71, 6, 25, 3, 1, 1
2024/2/20, 26, 11, 29, 3, 1, 1
2024/2/21, 44, 24, 16, 11, 1, 2
2024/2/22, 74, 22, 27, 8, 1, 2
2024/2/23, 66, 17, 29, 7, 1, 2
2024/2/24, 55, 20, 27, 6, 2, 2
2024/2/25, 70, 22, 18, 11, 2, 2
2024/2/26, 70, 11, 19, 4, 1, 2
2024/2/27, 43, 9, 22, 3, 1, 2
2024/2/28, 38, 21, 22, 9, 1, 2
2024/2/29, 67, 32, 14, 9, 2, 2
2024/3/1, 89, 34, 10, 8, 2, 2
2024/3/2, 97, 31, 23, 5, 2, 2
2024/3/3, 88, 18, 26, 2, 1, 2
2024/3/4, 57, 19, 22, 2, 1, 2
2024/3/5, 63, 16, 26, 2, 2, 2
2024/3/6, 56, 21, 28, 8, 2, 3
2024/3/7, 59, 15, 32, 6, 2, 3
2024/3/8, 53, 18, 30, 3, 2, 2
2024/3/9, 62, 20, 28, 2, 2, 2
2024/3/10, 66, 15, 27, 3, 1, 2
2024/3/11, 56, 35, 18, 12, 2, 3
2024/3/12, 97, 29, 12, 8, 1, 3
2024/3/13, 87, 28, 21, 7, 2, 2
2024/3/14, 84, 29, 24, 6, 1, 2
2024/3/15, 80, 17, 32, 5, 2, 1
2024/3/16, 57, 5, 30, , , 1
2024/3/17, 18, 5, 28, 2, , 2
