date, pm25, pm10, o3, no2, so2, co
2020/7/1, 35, 12, 31, 5, , 3
2020/7/2, 35, 16, 32, 6, , 3
2020/7/3, 47, 15, 40, 5, , 3
2020/7/4, 40, 14, 33, 4, , 3
2020/7/5, 35, 14, 27, 5, , 3
2020/7/6, 33, 12, 28, 5, , 1
2020/7/7, 25, 11, 26, 5, , 1
2020/7/8, 30, 16, 30, 6, , 2
2020/7/9, 45, 17, 29, 5, 1, 2
2020/7/10, 43, 9, 24, 5, , 1
2020/7/11, 26, 11, 27, 4, 1, 1
2020/7/12, 31, 10, 22, 6, , 2
2020/7/13, 28, 13, 35, 5, , 2
2020/7/14, 34, 17, 41, 6, 2, 2
2020/7/15, 41, 16, 27, 7, 1, 2
2020/7/16, 49, 13, 32, 5, 1, 1
2020/7/17, 38, 23, 34, 5, , 2
2020/7/18, 53, 21, 35, , , 2
2020/7/19, 53, 21, 32, 7, , 2
2020/7/20, 55, 14, 29, 5, , 1
2020/7/21, 30, 11, 28, 5, , 1
2020/7/22, 23, 11, 27, 6, , 1
2020/7/23, 25, 17, 39, 7, , 1
2020/7/24, 37, 17, 32, 6, 1, 1
2020/7/25, 38, 15, 39, , , 1
2020/7/26, 35, 18, 30, 7, 3, 2
2020/7/27, 47, 20, 43, 7, , 2
2020/7/28, 43, 17, 34, 6, 3, 1
2020/7/29, 38, 19, 33, 6, , 1
2020/7/30, 33, 13, 29, 5, 5, 1
2020/7/31, 29, 16, 26, 6, 8, 2
2020/8/1, 39, 15, 37, 6, , 1
2020/8/2, 34, 25, 21, 10, 4, 2
2020/8/3, 62, 19, 17, 11, 18, 2
2020/8/4, 52, 13, 28, 15, 12, 2
2020/8/5, 31, 17, 32, 13, 2, 2
2020/8/6, 28, 27, 41, 15, 1, 2
2020/8/7, 42, 28, 42, 18, 3, 2
2020/8/8, 53, 25, 42, 17, 7, 2
2020/8/9, 56, 23, 32, 15, 1, 2
2020/8/10, 48, 24, 39, 13, 5, 2
2020/8/11, 44, 29, 35, 11, 1, 2
2020/8/12, 45, 28, 47, 7, 1, 2
2020/8/13, 42, 30, 48, 7, , 2
2020/8/14, 42, 21, 39, 8, , 1
2020/8/15, 40, 20, 39, 8, , 2
2020/8/16, 38, 32, 39, 10, , 2
2020/8/17, 48, 23, 39, 7, 6, 2
2020/8/18, 49, 24, 28, 6, 8, 2
2020/8/19, 46, 24, 39, 7, 3, 2
2020/8/20, 40, 24, 58, 11, 1, 2
2020/8/21, 44, 20, 40, 6, , 2
2020/8/22, 51, 16, 35, 5, , 2
2020/8/23, 44, 12, 32, 7, , 2
2020/8/24, 30, 15, 30, 9, 1, 2
2020/8/25, 36, 15, 27, 9, , 2
2020/8/26, 37, 6, 22, 4, , 2
2020/8/27, 17, 12, 25, 7, , 2
2020/8/28, 37, 14, 25, 8, , 3
2020/8/29, 42, 15, 21, 7, , 3
2020/8/30, 51, 10, 22, 7, 2, 3
2020/8/31, 32, 12, 17, 6, , 2
2020/9/1, 38, 12, 13, 7, , 3
2020/9/2, 39, 13, 20, 7, , 3
2020/9/3, 41, 17, 24, 8, , 3
2020/9/4, 53, , , 7, , 
2020/9/7, 29, 14, 33, 7, , 3
2020/9/8, 37, 18, 30, 8, , 4
2020/9/9, 50, 14, 23, 7, , 3
2020/9/10, 34, 19, 30, 10, , 4
2020/9/11, 45, 22, 31, 12, 2, 4
2020/9/12, 56, 16, 27, 8, , 3
2020/9/13, 44, 21, 33, 13, , 5
2020/9/14, 52, 28, 35, 12, , 5
2020/9/15, 62, 32, 39, 10, , 4
2020/9/16, 67, 16, 24, 7, 8, 3
2020/9/17, 32, 15, 24, 8, , 3
2020/9/18, 30, 26, 27, 11, 1, 5
2020/9/19, 52, 25, 30, 11, 1, 4
2020/9/20, 53, 31, 29, 15, 1, 5
2020/9/21, 60, 44, 40, 13, 2, 5
2020/9/22, 70, 38, 38, 10, 2, 5
2020/9/23, 65, 36, 33, 11, 1, 5
2020/9/24, 74, 27, 28, 9, , 5
2020/9/25, 65, 21, 23, 7, , 5
2020/9/26, 58, 10, 14, 5, , 4
