date, pm25, pm10, no2, so2
2018/1/1, 103, 33, 10, 3
2018/1/2, 93, 20, 7, 3
2018/1/3, 67, 19, 6, 2
2018/1/4, 53, 17, 4, 2
2018/1/5, 55, 45, 10, 3
2018/1/6, 111, 47, 8, 7
2018/1/7, 118, 38, 12, 15
2018/1/8, 99, 43, 14, 8
2018/1/9, 118, 71, 16, 9
2018/1/10, 166, 55, 12, 7
2018/1/11, 139, 44, 9, 15
2018/1/12, 117, 28, 5, 7
2018/1/13, 82, 36, 7, 8
2018/1/14, 104, 65, 15, 11
2018/1/15, 154, 28, 8, 6
2018/1/16, 80, 22, 7, 3
2018/1/17, 68, 14, 4, 2
2017/10/1, 118, 49, 13, 3
2017/10/2, 115, 25, 10, 2
2017/10/3, 77, 15, 5, 1
2017/10/4, 47, 16, 6, 1
2017/10/5, 34, 7, 3, 1
2017/10/6, 17, 14, 4, 1
2017/10/7, 42, 10, 3, 1
2017/10/8, 34, 15, 5, 1
2017/10/9, 46, 22, 7, 2
2017/10/10, 63, 18, 6, 2
2017/10/11, 42, 17, 8, 3
2017/10/12, 44, 22, 6, 2
2017/10/13, 48, 33, 7, 3
2017/10/14, 84, 28, 9, 3
2017/10/15, 74, 31, 10, 4
2017/10/16, 70, 45, 21, 6
2017/10/17, 94, 62, 25, 7
2017/10/18, 122, 63, 18, 4
2017/10/19, 144, 75, 22, 6
2017/10/20, 168, 46, 12, 4
2017/10/21, 115, 47, 10, 3
2017/10/22, 122, 21, 8, 4
2017/10/23, 62, 35, 11, 4
2017/10/24, 90, 35, 12, 5
2017/10/25, 96, 20, 8, 3
2017/10/26, 58, 12, 6, 3
2017/10/27, 37, 7, 3, 2
2017/10/28, 19, 5, 2, 2
2017/10/29, 20, 9, 4, 2
2017/10/30, 31, 14, 5, 2
2017/10/31, 47, 21, 4, 2
2017/11/1, 70, 25, 9, 4
2017/11/2, 69, 26, 9, 3
2017/11/3, 69, 60, 16, 6
2017/11/4, 139, 48, 16, 7
2017/11/5, 128, 39, 13, 5
2017/11/6, 107, 45, 12, 8
2017/11/7, 121, 45, 16, 9
2017/11/8, 123, 57, 15, 8
2017/11/9, 146, 29, 9, 4
2017/11/10, 90, 12, 4, 3
2017/11/11, 42, 17, 7, 4
2017/11/12, 57, 22, 7, 3
2017/11/13, 71, 37, 11, 3
2017/11/14, 92, 68, 18, 10
2017/11/15, 161, 95, 23, 10
2017/11/16, 198, 36, 12, 5
2017/11/17, 105, 26, 6, 3
2017/11/18, 77, 14, 4, 3
2017/11/19, 51, 16, 5, 2
2017/11/20, 45, 23, 13, 4
2017/11/21, 72, 38, 13, 6
2017/11/22, 105, 33, 14, 8
2017/11/23, 87, 37, 13, 5
2017/11/24, 101, 37, 11, 5
2017/11/25, 100, 23, 5, 2
2017/11/26, 69, 49, 13, 5
2017/11/27, 136, 24, 11, 5
2017/11/28, 75, 62, 19, 6
2017/11/29, 149, 59, 16, 7
2017/11/30, 145, 53, 14, 5
2017/12/1, 131, 110, 18, 12
2017/12/2, 220, 53, 10, 7
2017/12/3, 145, 25, 7, 3
2017/12/4, 78, 19, 7, 2
2017/12/5, 64, 17, 4, 1
2017/12/6, 55, 25, 8, 3
2017/12/7, 80, 32, 10, 5
2017/12/8, 95, 26, 7, 3
2017/12/9, 78, 16, 5, 4
