date, pm25, pm10
2024/5/1, 36, 20
2024/5/2, 32, 20
2024/5/3, 37, 18
2024/5/4, 31, 16
2024/5/5, 37, 13
2024/5/6, 31, 8
2024/5/7, 23, 11
2024/5/8, 20, 14
2024/5/9, 31, 21
2024/5/10, 46, 14
2024/5/11, 36, 7
2024/5/12, 15, 9
2024/5/13, 17, 16
2024/5/14, 30, 17
2024/5/15, 26, 18
2024/5/16, 29, 28
2024/5/17, 34, 14
2024/5/18, 35, 11
2024/5/19, 38, 14
2024/5/20, 43, 14
2024/5/21, 39, 15
2024/5/22, 46, 
2024/4/1, 94, 28
2024/4/2, 52, 7
2024/4/3, 19, 12
2024/4/4, 34, 11
2024/4/5, 27, 10
2024/4/6, 30, 19
2024/4/7, 50, 13
2024/4/8, 32, 17
2024/4/9, 33, 25
2024/4/10, 58, 18
2024/4/11, 46, 21
2024/4/12, 50, 24
2024/4/13, 58, 15
2024/4/14, 38, 14
2024/4/15, 44, 13
2024/4/16, 36, 14
2024/4/17, 42, 11
2024/4/18, 35, 12
2024/4/19, 40, 11
2024/4/20, 34, 19
2024/4/21, 61, 17
2024/4/22, 54, 21
2024/4/23, 61, 16
2024/4/24, 49, 23
2024/4/25, 67, 34
2024/4/26, 82, 21
2024/4/27, 55, 18
2024/4/28, 46, 18
2024/4/29, 39, 18
2024/4/30, 32, 19
2024/1/7, 49, 33
2024/1/8, 85, 91
2024/1/9, 187, 95
2024/1/10, 189, 40
2024/1/11, 104, 23
2024/1/12, 68, 24
2024/1/13, 70, 21
2024/1/14, 65, 21
2024/1/15, 66, 19
2024/1/16, 60, 29
2024/1/17, 84, 24
2024/1/18, 65, 31
2024/1/19, 86, 14
2024/1/20, 49, 29
2024/1/21, 83, 19
2024/1/22, 54, 16
2024/1/23, 54, 16
2024/1/24, 53, 6
2024/1/25, 24, 23
2024/1/26, 58, 11
2024/1/27, 38, 20
2024/1/28, 60, 30
2024/1/29, 76, 27
2024/1/30, 71, 26
2024/1/31, 72, 26
2024/2/1, 75, 16
2024/2/2, 49, 12
2024/2/3, 44, 6
2024/2/4, 24, 6
2024/2/5, 22, 11
2024/2/6, 35, 8
2024/2/7, 27, 12
2024/2/8, 40, 22
2024/2/9, 64, 32
2024/2/10, 85, 17
2024/2/11, 53, 20
2024/2/12, 58, 17
2024/2/13, 55, 39
2024/2/14, 83, 45
2024/2/15, 98, 34
2024/2/16, 79, 26
2024/2/17, 73, 19
2024/2/18, 54, 22
2024/2/19, 65, 14
2024/2/20, 50, 18
2024/2/21, 52, 14
2024/2/22, 42, 13
2024/2/23, 38, 22
2024/2/24, 62, 13
2024/2/25, 41, 31
2024/2/26, 78, 33
2024/2/27, 81, 53
2024/2/28, 112, 57
2024/2/29, 134, 36
2024/3/1, 88, 35
2024/3/2, 88, 38
2024/3/3, 95, 42
2024/3/4, 99, 41
2024/3/5, 104, 21
2024/3/6, 64, 30
2024/3/7, 78, 47
2024/3/8, 99, 55
2024/3/9, 122, 30
2024/3/10, 82, 23
2024/3/11, 69, 17
2024/3/12, 56, 13
2024/3/13, 43, 22
2024/3/14, 65, 26
2024/3/15, 70, 25
2024/3/16, 71, 12
2024/3/17, 43, 13
2024/3/18, 44, 19
2024/3/19, 62, 28
2024/3/20, 78, 42
2024/3/21, 90, 43
2024/3/22, 104, 18
2024/3/23, 54, 16
2024/3/24, 48, 17
2024/3/25, 50, 19
2024/3/26, 51, 26
2024/3/27, 52, 20
2024/3/28, 47, 6
2024/3/29, 16, 41
2024/3/30, 63, 33
2024/3/31, 52, 67
2023/10/1, 26, 12
2023/10/2, 38, 11
2023/10/3, 34, 8
2023/10/4, 22, 12
2023/10/5, 40, 10
2023/10/6, 35, 8
2023/10/7, 23, 3
2023/10/8, 8, 8
2023/10/9, 27, 18
2023/10/10, 56, 11
2023/10/11, 39, 14
2023/10/12, 42, 14
2023/10/13, 45, 18
2023/10/14, 52, 6
2023/10/15, 22, 9
2023/10/16, 31, 27
2023/10/17, 75, 46
2023/10/18, 109, 26
2023/10/19, 75, 21
2023/10/20, 62, 20
2023/10/21, 49, 8
2023/10/22, 26, 16
2023/10/23, 45, 24
2023/10/24, 67, 18
2023/10/25, 55, 16
2023/10/26, 47, 10
2023/10/27, 35, 8
2023/10/28, 26, 6
2023/10/29, 19, 12
2023/10/30, 30, 14
2023/10/31, 35, 12
2023/11/1, 40, 10
2023/11/2, 31, 16
2023/11/3, 49, 26
2023/11/4, 59, 10
2023/11/5, 33, 9
2023/11/6, 26, 25
2023/11/7, 59, 45
2023/11/8, 112, 16
2023/11/9, 40, 19
2023/11/10, 49, 30
2023/11/11, 83, 19
2023/11/12, 61, 22
2023/11/13, 62, 11
2023/11/14, 40, 7
2023/11/15, 25, 16
2023/11/16, 50, 14
2023/11/17, 51, 16
2023/11/18, 55, 16
2023/11/19, 56, 8
2023/11/20, 30, 14
2023/11/21, 46, 19
2023/11/22, 61, 24
2023/11/23, 71, 10
2023/11/24, 35, 17
2023/11/25, 57, 16
2023/11/26, 56, 20
2023/11/27, 61, 26
2023/11/28, 76, 41
