date, pm25, no2
2024/5/1, 41, 8
2024/5/2, 46, 5
2024/5/3, 43, 8
2024/5/4, 58, 7
2024/5/5, 51, 6
2024/5/6, 39, 6
2024/5/7, 50, 8
2024/5/8, 43, 9
2024/5/9, 57, 15
2024/5/10, 56, 11
2024/5/11, 66, 5
2024/5/12, 37, 9
2024/5/13, 38, 11
2024/5/14, 41, 6
2024/5/15, 38, 7
2024/5/16, 39, 9
2024/5/17, 49, 7
2024/5/18, 46, 5
2024/5/19, 42, 10
2024/5/20, 44, 11
2024/5/21, 61, 8
2024/5/22, 58, 
2024/4/1, 108, 5
2024/4/2, 25, 4
2024/4/3, 25, 6
2024/4/4, 30, 4
2024/4/5, 27, 8
2024/4/6, 39, 6
2024/4/7, 52, 13
2024/4/8, 41, 12
2024/4/9, 48, 9
2024/4/10, 54, 10
2024/4/11, 72, 15
2024/4/12, 72, 11
2024/4/13, 65, 5
2024/4/14, 53, 14
2024/4/15, 79, 5
2024/4/16, 30, 5
2024/4/17, 48, 7
2024/4/18, 71, 5
2024/4/19, 48, 4
2024/4/20, 30, 3
2024/4/21, 63, 7
2024/4/22, 63, 11
2024/4/23, 77, 10
2024/4/24, 90, 8
2024/4/25, 61, 7
2024/4/26, 47, 6
2024/4/27, 58, 4
2024/4/28, 47, 11
2024/4/29, 47, 10
2024/4/30, 47, 6
2024/1/7, 81, 13
2024/1/8, 127, 21
2024/1/9, 160, 35
2024/1/10, 239, 20
2024/1/11, 147, 10
2024/1/12, 105, 6
2024/1/13, 77, 4
2024/1/14, 67, 5
2024/1/15, 53, 9
2024/1/16, 66, 25
2024/1/17, 142, 11
2024/1/18, 86, 10
2024/1/19, 90, 6
2024/1/20, 74, 10
2024/1/21, 99, 11
2024/1/22, 65, 7
2024/1/23, 77, 6
2024/1/24, 38, 4
2024/1/25, 35, 6
2024/1/26, 52, 2
2024/1/27, 38, 8
2024/1/28, 83, 15
2024/1/29, 113, 7
2024/1/30, 69, 8
2024/1/31, 108, 11
2024/2/1, 108, 7
2024/2/2, 59, 5
2024/2/3, 51, 4
2024/2/4, 34, 5
2024/2/5, 26, 5
2024/2/6, 43, 3
2024/2/7, 37, 10
2024/2/8, 74, 14
2024/2/9, 78, 7
2024/2/10, 66, 4
2024/2/11, 51, 9
2024/2/12, 49, 10
2024/2/13, 75, 11
2024/2/14, 86, 10
2024/2/15, 63, 13
2024/2/16, 73, 8
2024/2/17, 76, 5
2024/2/18, 65, 11
2024/2/19, 81, 6
2024/2/20, 49, 7
2024/2/21, 57, 8
2024/2/22, 52, 10
2024/2/23, 46, 7
2024/2/24, 53, 8
2024/2/25, 67, 9
2024/2/26, 63, 12
2024/2/27, 89, 12
2024/2/28, 143, 12
2024/2/29, 97, 16
2024/3/1, 141, 14
2024/3/2, 135, 3
2024/3/3, 52, 8
2024/3/4, 69, 10
2024/3/5, 107, 14
2024/3/6, 103, 9
2024/3/7, 87, 12
2024/3/8, 100, 7
2024/3/9, 102, 3
2024/3/10, 61, 10
2024/3/11, 77, 9
2024/3/12, 82, 11
2024/3/13, 105, 15
2024/3/14, 120, 12
2024/3/15, 102, 7
2024/3/16, 58, 3
2024/3/17, 41, 6
2024/3/18, 54, 11
2024/3/19, 87, 17
2024/3/20, 114, 15
2024/3/21, 112, 8
2024/3/22, 72, 8
2024/3/23, 55, 5
2024/3/24, 43, 6
2024/3/25, 42, 7
2024/3/26, 50, 3
2024/3/27, 34, 3
2024/3/28, 42, 5
2024/3/29, 27, 7
2024/3/30, 92, 3
2024/3/31, 92, 1
2023/10/1, 52, 10
2023/10/2, 48, 8
2023/10/3, 47, 7
2023/10/4, 29, 8
2023/10/5, 40, 7
2023/10/6, 45, 4
2023/10/7, 36, 4
2023/10/8, 29, 10
2023/10/9, 57, 9
2023/10/10, 87, 7
2023/10/11, 61, 11
2023/10/12, 62, 8
2023/10/13, 59, 9
2023/10/14, 58, 4
2023/10/15, 30, 8
2023/10/16, 46, 13
2023/10/17, 87, 13
2023/10/18, 114, 17
2023/10/19, 144, 15
2023/10/20, 108, 9
