date, pm25, pm10, o3, no2, so2
2021/4/1, 61, 18, 28, 3, 
2021/4/2, 46, 22, 21, 3, 
2021/4/3, 59, 20, 26, 3, 
2021/4/4, 58, 15, 30, 2, 
2021/4/5, 43, 12, 27, 2, 
2021/4/6, 38, 18, 26, 3, 
2021/4/7, 56, 13, 24, 3, 
2021/4/8, 43, 16, 29, 4, 2
2021/4/9, 44, 17, 31, 6, 5
2021/4/10, 35, 19, 34, 4, 3
2021/4/11, 39, 18, 32, 3, 2
2021/4/12, 39, 10, 24, 2, 
2021/4/13, 34, 7, 27, 2, 
2021/4/14, 25, 9, 17, 3, 
2021/4/15, 34, 10, 13, 4, 
2021/4/16, 36, 15, 17, 3, 
2021/4/17, 51, 26, 21, 3, 
2021/4/18, 69, 26, 14, 4, 
2021/4/19, 75, 26, 23, 4, 
2021/4/20, 69, 19, 29, 3, 
2021/4/21, 56, 20, 23, 3, 
2021/4/22, 53, 18, 25, 2, 
2021/4/23, 46, 20, 28, 2, 
2021/4/24, 51, 21, 27, 2, 
2021/4/25, 55, 15, 26, 3, 
2021/4/26, 38, 22, 29, 5, 
2021/4/27, 50, 24, 31, 5, 
2021/4/28, 56, 24, 14, 8, 2
2021/4/29, 54, 18, 23, 4, 
2021/4/30, 47, 25, 17, 4, 
2021/5/1, 65, 14, 27, 3, 
2021/5/2, 35, 9, 29, 1, 
2021/5/3, 29, 16, 34, 4, 1
2021/5/4, 27, 12, 32, 4, 1
2021/5/5, 15, 7, 27, 1, 
2021/5/6, 16, 8, 23, 3, 
2021/5/7, 17, 12, 26, 2, 
2021/5/8, 35, 13, 31, 5, 2
2021/5/9, 34, 15, 31, 7, 2
2021/5/10, 20, 19, 33, 6, 1
2021/5/11, 34, 22, 26, 5, 
2021/5/12, 32, 13, 24, 5, 1
2021/5/13, 21, 8, 14, 2, 
2021/5/14, 22, 13, 26, 3, 
2021/5/15, 32, 8, 19, 3, 
2021/5/16, 21, 9, 25, 3, 
2021/5/17, 21, 7, 19, 2, 
2021/5/18, 26, 11, 27, 2, 
2021/5/19, 28, 11, 30, 2, 
2021/5/20, 31, , , , 
2021/1/4, 62, 16, 6, 5, 1
2021/1/5, 52, 12, 19, 4, 3
2021/1/6, 42, 28, 7, 6, 2
2021/1/7, 84, 42, 7, 10, 3
2021/1/8, 112, 26, 11, 4, 2
2021/1/9, 76, 30, 11, 5, 3
2021/1/10, 86, 42, 13, 6, 3
2021/1/11, 110, 38, 16, 5, 4
2021/1/12, 98, 13, 22, 3, 2
2021/1/13, 50, 19, 18, 4, 2
2021/1/14, 62, 17, 23, 3, 2
2021/1/15, 51, 19, 23, 3, 3
2021/1/16, 60, 29, 19, 4, 3
2021/1/17, 79, 66, 16, 13, 10
2021/1/18, 144, 47, 11, 12, 8
2021/1/19, 105, 23, 13, 9, 10
2021/1/20, 70, 19, 16, 8, 9
2021/1/21, 61, 17, 19, 6, 6
2021/1/22, 54, 16, 20, 4, 4
2021/1/23, 47, 24, 18, 5, 2
2021/1/24, 69, 17, 18, 4, 1
2021/1/25, 57, 23, 23, 5, 2
2021/1/26, 74, 23, 19, 5, 3
2021/1/27, 66, 17, 23, 6, 5
2021/1/28, 59, 15, 20, 6, 2
2021/1/29, 55, 25, 18, 6, 3
2021/1/30, 70, 32, 24, 5, 4
2021/1/31, 85, 76, 10, 15, 9
2021/2/1, 162, 29, 13, 9, 7
2021/2/2, 81, 10, 10, 9, 11
2021/2/3, 43, 13, 16, 4, 1
2021/2/4, 41, 29, 15, 7, 2
2021/2/5, 75, 23, 22, 3, 3
2021/2/6, 61, 18, 18, 2, 2
2021/2/7, 57, 21, 17, 6, 3
2021/2/8, 64, 41, 15, 11, 6
2021/2/9, 106, 55, 19, 9, 4
2021/2/10, 137, 46, 22, 6, 3
2021/2/11, 112, 21, 27, 4, 3
2021/2/12, 64, 27, 26, 5, 4
2021/2/13, 78, 21, 26, 3, 3
2021/2/14, 65, 38, 24, 11, 7
2021/2/15, 98, 38, 25, 12, 8
2021/2/16, 99, 26, 16, 9, 7
2021/2/17, 71, 30, 19, 10, 2
2021/2/18, 76, 33, 17, 12, 8
2021/2/19, 90, 43, 26, 14, 4
2021/2/20, 116, 19, 19, 11, 10
2021/2/21, 61, 24, 20, 12, 9
2021/2/22, 72, 51, 22, 10, 3
2021/2/23, 125, 73, 13, 23, 5
2021/2/24, 159, 54, 22, 10, 5
2021/2/25, 123, 54, 24, 9, 4
2021/2/26, 115, 14, 21, 2, 1
2021/2/27, 45, 18, 22, 3, 1
2021/2/28, 56, 25, 19, 4, 1
2021/3/1, 74, 39, 24, 7, 2
2021/3/2, 95, 43, 26, 9, 4
2021/3/3, 96, 50, 22, 7, 2
2021/3/4, 112, 19, 22, 3, 
2021/3/5, 55, 28, 24, 4, 1
2021/3/6, 77, 30, 32, 5, 1
2021/3/7, 80, 21, 30, 3, 1
2021/3/8, 58, 34, 25, 7, 1
2021/3/9, 78, 47, 26, 7, 3
2021/3/10, 105, 35, 28, 5, 3
2021/3/11, 81, 23, 22, 5, 2
2021/3/12, 68, 19, 26, 6, 2
2021/3/13, 54, 15, 27, 2, 1
2021/3/14, 46, 20, 26, 4, 1
2021/3/15, 53, 32, 25, 5, 1
2021/3/16, 76, 20, 21, 3, 
2021/3/17, 59, 19, 25, 3, 
2021/3/18, 55, 35, 25, 5, 1
2021/3/19, 86, 28, 21, 4, 1
2021/3/20, 73, 28, 28, 3, 2
2021/3/21, 74, 14, 28, 2, 
2021/3/22, 45, 18, 25, 3, 1
2021/3/23, 57, 25, 26, 4, 
2021/3/24, 70, 46, 21, 8, 1
2021/3/25, 110, 54, 32, 9, 2
2021/3/26, 122, 38, 34, 8, 4
2021/3/27, 87, 16, 28, 3, 
2021/3/28, 47, 29, 28, 7, 1
2021/3/29, 71, 23, 13, 8, 2
2021/3/30, 65, 30, 29, 5, 
2021/3/31, 70, 27, 41, 5, 2
2020/10/19, 53, 14, 26, 4, 3
2020/10/20, 47, 16, 23, 4, 7
2020/10/21, 47, 20, 23, 7, 10
