date, pm25, pm10, o3, no2, so2, co
2024/5/1, 31, 17, 45, , 4, 
2024/5/2, 35, 11, 43, 1, 3, 
2024/5/3, 31, 13, 41, 2, 3, 
2024/5/4, 44, 12, 40, 2, 3, 
2024/5/5, 41, 10, 27, 3, 3, 
2024/5/6, 33, 13, 33, 2, 2, 
2024/5/7, 45, 16, 44, 3, 1, 
2024/5/8, 44, 15, 48, 4, 1, 
2024/5/9, 42, 16, 49, 4, 1, 
2024/5/10, 45, 16, 42, 3, 1, 
2024/5/11, 51, 12, 46, 2, 1, 
2024/5/12, 34, 11, 48, 2, 2, 
2024/5/13, 25, 12, 51, 3, 2, 
2024/5/14, 25, 14, 45, 2, 2, 
2024/5/15, 27, 13, 42, 1, 2, 
2024/5/16, 27, 11, 37, 1, 2, 
2024/5/17, 30, 7, 33, 1, 2, 
2024/5/18, 22, 7, 39, 1, 2, 
2024/5/19, 23, 8, 44, 2, 2, 
2024/5/20, 23, 12, 48, 2, 2, 
2024/5/21, 38, 15, 24, 4, 3, 
2024/5/22, 51, , , , , 
2024/4/1, 62, 6, 36, 1, 3, 
2024/4/2, 15, 6, 36, 2, 3, 
2024/4/3, 19, 7, 39, 2, 3, 
2024/4/4, 22, 8, 38, 1, 2, 
2024/4/5, 22, 10, 39, 3, 2, 
2024/4/6, 27, 17, 50, 3, 2, 
2024/4/7, 45, 16, 43, 4, 2, 
2024/4/8, 40, 27, 46, 4, 3, 
2024/4/9, 49, 8, 34, 2, 1, 
2024/4/10, 24, 14, 42, 5, , 
2024/4/11, 43, 17, 45, 5, 1, 
2024/4/12, 44, 20, 37, 5, 2, 
2024/4/13, 55, 15, 36, 2, 2, 
2024/4/14, 40, 11, 34, 2, 3, 
2024/4/15, 33, 8, 41, 1, 4, 
2024/4/16, 17, 7, 33, 2, 3, 
2024/4/17, 26, 15, 34, 4, 3, 
2024/4/18, 50, 15, 33, 4, 4, 
2024/4/19, 47, 7, 29, 2, 3, 
2024/4/20, 23, 13, 39, 1, 2, 
2024/4/21, 46, 11, 38, 2, 2, 
2024/4/22, 38, 17, 39, 3, 2, 
2024/4/23, 56, 19, 40, 4, 4, 
