date, pm25, pm10, o3, no2, so2
2024/1/7, 43, 18, 17, 9, 8
2024/1/8, 62, 55, 12, 11, 12
2024/1/9, 135, 78, 11, 22, 13
2024/1/10, 170, 61, 11, 19, 15
2024/1/11, 158, 14, 19, 7, 8
2024/1/12, 47, 12, 20, 3, 7
2024/1/13, 45, 13, 20, 3, 5
2024/1/14, 50, 13, 21, 5, 3
2024/1/15, 52, 23, 22, 11, 3
2024/1/16, 65, 18, 22, 11, 3
2024/1/17, 59, 20, 18, 8, 1
2024/1/18, 63, 20, 21, 8, 1
2024/1/19, 65, 11, 25, 4, 1
2024/1/20, 41, 22, 21, 6, 2
2024/1/21, 73, 27, 19, 11, 2
2024/1/22, 71, 16, 22, 9, 3
2024/1/23, 56, 10, 28, 5, 1
2024/1/24, 36, 5, 29, 2, 1
2024/1/25, 19, 15, 22, 8, 3
2024/1/26, 45, 7, 28, 2, 1
2024/1/27, 28, 10, 22, 4, 1
2024/1/28, 36, 19, 18, 9, 2
2024/1/29, 59, 35, 15, 12, 2
2024/1/30, 85, 42, 7, 15, 4
2024/1/31, 113, 23, 22, 8, 1
2024/2/1, 72, 17, 23, 5, 1
2024/2/2, 45, 6, 22, 1, 1
2024/2/3, 24, 7, 29, , 1
2024/2/4, 23, 7, 28, 3, 1
2024/2/5, 22, 15, 23, 2, 2
2024/2/6, 36, 7, 26, 3, 2
2024/2/7, 22, 13, 19, 7, 2
2024/2/8, 37, 13, 15, 10, 2
2024/2/9, 41, 30, 8, 10, 2
2024/2/10, 90, 17, 25, 3, 2
2024/2/11, 54, 18, 14, 8, 3
2024/2/12, 50, 17, 19, 5, 2
2024/2/13, 49, 29, 23, 10, 3
2024/2/14, 64, 32, 16, 8, 3
2024/2/15, 86, 30, 21, 10, 2
2024/2/16, 79, 24, 22, 6, 2
2024/2/17, 71, 13, 25, 4, 1
2024/2/18, 41, 13, 21, 6, 1
2024/2/19, 47, 9, 21, 4, 1
2024/2/20, 33, 14, 19, 6, 2
2024/2/21, 44, 14, 23, 6, 2
2024/2/22, 45, 11, 21, 9, 2
2024/2/23, 41, 18, 26, 5, 2
2024/2/24, 52, 18, 26, 5, 2
2024/2/25, 57, 20, 22, 9, 3
2024/2/26, 58, 33, 20, 11, 4
2024/2/27, 81, 43, 14, 11, 4
2024/2/28, 100, 25, 11, 7, 3
2024/2/29, 72, 40, 12, 6, 5
2024/3/1, 107, 35, 10, 6, 8
2024/3/2, 93, 35, 26, 4, 7
