date, pm25, pm10, o3, no2, so2, co
2019/10/2, 11, , , , , 
2019/10/4, 62, , , , , 
2019/10/27, 95, , , , , 
2019/11/1, 144, , , , , 
2019/11/6, 62, , , , , 
2019/7/8, 19, 5, 35, , 1, 
2019/7/29, 59, , , , , 
2019/8/7, 46, , , , , 
2019/8/31, 50, , , , , 
2019/4/7, 75, 44, 2, , 3, 7
2019/4/8, 113, , , , , 
2019/4/18, 74, 44, 11, , 3, 7
2019/4/19, 103, , , , , 
2019/5/18, 48, , , , , 
2019/5/20, 38, 18, , , , 
2019/5/21, 53, , , , , 
2019/5/27, 65, 18, 33, 2, 1, 
2019/5/28, 11, , , , , 
2019/6/26, 59, 32, , , , 
2019/6/27, 60, , , , , 
2019/6/30, 27, , , , , 
2019/1/13, 32, , , , , 
2019/1/22, 170, , , , , 
2019/1/30, 77, 30, 8, 13, 8, 5
2019/1/31, 86, , , , , 
2019/2/24, 70, , , , , 
2019/2/26, 80, , , , , 
2019/3/3, 145, , , , , 
2019/3/7, 43, , , , , 
2018/10/2, 52, 17, 24, 6, 1, 3
2018/10/3, 45, 12, 19, 3, , 
2018/10/7, 65, 20, 35, 2, 1, 2
2018/10/8, 55, , , , , 
2018/10/11, 66, , , , , 
2018/10/14, 120, 35, 19, 13, 2, 
2018/10/19, 136, 59, 26, 5, 1, 6
2018/10/20, 148, 25, 23, 8, 3, 
2018/11/18, 113, 40, 21, 2, 2, 9
2018/11/19, 110, , , , , 
2018/11/30, 74, , , , , 
2018/12/18, 195, , , , , 
2018/7/24, 55, 19, 45, 1, 1, 2
2018/7/25, 42, 23, 32, 4, , 
2018/8/15, 70, 23, 7, 4, , 2
2018/8/16, 44, 11, 29, 4, 4, 
2018/8/22, 19, 14, 12, 3, , 
2018/8/28, 63, , 30, 2, 1, 
2018/9/5, 68, 33, 9, 3, , 
2018/4/1, 64, 17, , 6, 3, 4
2018/4/2, 42, 42, , 17, 6, 6
2018/4/3, 95, 45, , 21, 5, 6
2018/4/4, 86, 36, 41, 12, 4, 5
2018/4/5, 68, 25, 32, 9, 2, 4
2018/4/6, 49, 50, 38, 15, 2, 6
2018/4/7, 89, 36, 37, 6, 4, 4
2018/4/8, 73, 31, 39, 9, 2, 4
2018/4/9, 59, 47, 39, 19, 3, 5
2018/4/10, 72, 39, 39, 18, 2, 5
2018/4/11, 60, 52, 34, 12, 4, 5
2018/4/12, 99, 51, 35, 12, 4, 5
2018/4/13, 85, 33, 49, 13, 1, 5
2018/4/14, 57, 23, 47, 10, 2, 4
2018/4/15, 55, 48, 30, 20, 4, 5
2018/4/16, 77, 31, 34, 6, 1, 4
2018/4/17, 69, 28, 44, 9, 1, 4
2018/4/18, 70, 32, 43, 7, 2, 3
2018/4/19, 58, 20, 43, 11, 2, 4
2018/4/20, 37, 46, 64, 15, 4, 5
2018/4/21, 76, 20, 44, 7, 2, 4
2018/4/22, 39, 44, 40, 17, 3, 5
2018/4/23, 67, 24, 45, 5, 2, 4
2018/4/24, 55, 36, 51, 6, 3, 4
2018/4/25, 47, 15, 33, 6, 2, 3
2018/4/26, 31, 21, 38, 9, 2, 4
2018/4/27, 50, 25, 47, 10, 3, 4
2018/4/28, 52, 28, 39, 9, 2, 4
2018/4/29, 56, 34, 43, 10, 2, 4
2018/4/30, 49, 36, 51, 9, 2, 4
2018/5/1, 48, 32, 37, 14, 3, 5
2018/5/2, 64, 33, 43, 8, 3, 4
2018/5/3, 53, 33, 42, 5, 2, 4
2018/5/4, 49, 19, 44, 5, 2, 3
2018/5/5, 31, 21, 41, 6, 2, 3
2018/5/6, 29, 28, 39, 15, 2, 4
2018/5/7, 45, 32, 38, 11, 2, 4
2018/5/8, 43, 40, 36, 16, 2, 4
2018/5/9, 51, 40, 41, 10, 3, 4
2018/5/10, 46, 34, 35, 15, 3, 4
2018/5/11, 55, 26, 44, 10, 2, 3
2018/5/12, 40, 24, 43, 8, 2, 3
2018/5/13, 39, 25, 31, 13, 2, 4
2018/5/14, 40, 22, 29, 14, 2, 4
2018/5/15, 50, 21, 29, 8, 2, 4
2018/5/16, 51, 12, 32, 6, 2, 4
2018/5/17, 35, 18, 28, 4, 2, 4
2018/5/18, 48, 21, 37, 4, 2, 3
2018/5/19, 48, 16, 43, 6, 2, 3
2018/5/20, 37, 22, 33, 14, 2, 3
2018/5/21, 44, 19, 45, 11, 2, 4
2018/5/22, 35, 33, 38, 17, 2, 5
2018/5/23, 57, 20, 36, 7, 2, 3
2018/5/24, 47, , , , , 
2018/5/30, 17, , , , , 
2018/6/16, 42, , , , , 
2018/1/1, 66, 49, 7, 14, 8, 6
