date, pm25, pm10, o3, no2, so2, co
2019/10/17, 65, 34, , 33, , 9
2019/10/18, 83, 44, , 28, , 9
2019/10/19, 113, 40, , 23, , 8
2019/10/20, 108, 41, , 36, , 11
2019/10/21, 96, 59, , 37, , 12
2019/10/22, 146, 42, , 19, , 8
2019/10/23, 122, , , , , 
2019/1/1, 64, 8, , 16, , 7
2019/1/2, 32, 37, , 23, , 7
2019/1/3, 49, 32, , 24, , 8
2019/1/4, 79, 16, , 22, , 8
2019/1/5, 55, 20, , 14, , 7
2019/1/6, 50, 37, , 19, , 8
2019/1/7, 104, 51, , 23, , 10
2019/1/8, 135, , , , , 
2018/10/1, 80, 46, , 27, , 6
2018/10/2, 84, 19, , 17, , 4
2018/10/3, 40, 28, , 26, , 6
2018/10/4, 59, 41, , 37, , 8
2018/10/5, 84, 39, , 29, , 6
2018/10/6, 90, 41, , 25, , 6
2018/10/7, 83, 33, , 31, , 6
2018/10/8, 57, 51, , 34, , 8
2018/10/9, 104, 55, , 42, , 10
2018/10/10, 126, 50, , 24, , 5
2018/10/11, 123, 47, , 28, , 5
2018/10/12, 105, 50, , 26, , 5
2018/10/13, 121, 44, , 16, , 4
2018/10/14, 111, 44, , 29, , 5
2018/10/15, 84, 55, , 38, , 8
2018/10/16, 115, 67, , 48, , 11
2018/10/17, 136, 74, , 59, , 14
2018/10/18, 151, 64, , 42, , 10
2018/10/19, 146, 39, , 30, , 8
2018/10/20, 103, 21, , 29, , 7
2018/10/21, 62, 39, , 30, , 8
2018/10/22, 95, 14, , 18, , 4
2018/10/23, 50, 6, , 20, , 4
2018/10/24, 17, 9, , 22, , 5
2018/10/25, 36, 18, , 26, , 5
2018/10/26, 47, 31, , 20, , 5
2018/10/27, 78, 18, , 14, , 4
2018/10/28, 56, 19, , 12, , 5
2018/10/29, 59, 25, , 19, , 5
2018/10/30, 62, 35, , 39, , 9
2018/10/31, 66, 37, , 15, , 5
2018/11/1, 94, 41, , 12, , 5
2018/11/2, 99, , , , , 
2018/11/4, 69, 38, , 14, , 6
2018/11/5, 105, 42, , 20, , 6
2018/11/6, 107, 47, , 17, , 6
2018/11/7, 124, 60, , 31, , 12
2018/11/8, 142, 67, , 26, , 11
2018/11/9, 159, 65, , 15, , 7
2018/11/10, 158, 54, , 13, , 6
2018/11/11, 146, 56, , 15, , 7
2018/11/12, 150, 52, , 24, , 8
2018/11/13, 137, 24, , 22, , 6
2018/11/14, 74, 22, , 23, , 6
2018/11/15, 64, 24, , 13, , 5
2018/11/16, 69, 45, , 18, , 6
2018/11/17, 116, 58, , 22, , 10
2018/11/18, 151, 14, , 10, , 4
2018/11/19, 55, 18, , 12, , 4
2018/11/20, 59, 23, , 12, , 4
2018/11/21, 72, 29, , 19, , 4
2018/11/22, 82, 39, , 21, , 6
2018/11/23, 109, 52, , 16, , 9
2018/11/24, 144, 61, , 17, , 12
2018/11/25, 158, 26, , 11, , 6
2018/11/26, 81, 56, , 31, , 10
2018/11/27, 125, 44, , 22, , 7
2018/11/28, 112, 23, , 13, , 4
2018/11/29, 68, 27, , 14, , 5
2018/11/30, 73, 51, , 22, , 8
2018/12/1, 126, 63, , 19, , 10
2018/12/2, 152, 36, , 23, , 10
2018/12/3, 103, 33, , 24, , 9
2018/12/4, 95, 31, , 26, , 7
2018/12/5, 84, 50, , 24, , 9
2018/12/6, 132, 35, , 26, , 10
2018/12/7, 102, 24, , 21, , 8
2018/12/8, 72, 16, , 18, , 7
2018/12/9, 58, 17, , 18, , 7
2018/12/10, 55, 38, , 27, , 8
2018/12/11, 88, 37, , 23, , 8
2018/12/12, 105, 21, , 16, , 6
2018/12/13, 66, 27, , 16, , 7
2018/12/14, 82, 26, , 11, , 6
2018/12/15, 79, 25, , 12, , 7
2018/12/16, 80, 55, , 29, , 12
2018/12/17, 135, 79, , 33, , 14
2018/12/18, 171, 53, , 22, , 8
2018/12/19, 139, 45, , 22, , 8
2018/12/20, 117, 54, , 30, , 11
2018/12/21, 140, 18, , 15, , 8
2018/12/22, 62, 19, , 14, , 7
2018/12/23, 61, 14, , 15, , 7
2018/12/24, 53, 20, , 10, , 6
2018/12/25, 65, 13, , 7, , 6
2018/12/26, 53, 21, , 14, , 7
2018/12/27, 67, 18, , 19, , 7
2018/12/28, 56, 25, , 20, , 8
2018/12/29, 72, 23, , 16, , 8
2018/12/30, 74, , , , , 
2018/7/1, 37, 20, , 16, , 5
2018/7/2, 39, 32, , 26, , 5
2018/7/3, 44, 37, , 37, , 7
2018/7/4, 53, 40, , 46, , 6
2018/7/5, 53, 33, , 29, , 6
2018/7/6, 53, 37, , 18, , 5
2018/7/7, 59, 24, , 15, , 5
2018/7/8, 51, 23, , 24, , 5
2018/7/9, 41, 21, , 17, , 4
2018/7/10, 45, 28, , 25, , 6
2018/7/11, 60, 31, , 34, , 7
2018/7/12, 76, 32, , 27, , 6
2018/7/13, 63, 18, , 15, , 6
2018/7/14, 60, 19, , 14, , 5
2018/7/15, 60, 23, , 25, , 7
2018/7/16, 64, 16, , 20, , 6
2018/7/17, 50, 23, , 19, , 7
2018/7/18, 102, 37, , 21, , 7
2018/7/19, 77, 42, , 23, , 7
2018/7/20, 82, 42, , 24, , 7
2018/7/21, 66, 39, , 29, , 9
2018/7/22, 74, 36, , 28, , 7
2018/7/23, 59, 45, , 35, , 7
2018/7/24, 64, 34, , 19, , 6
2018/7/25, 62, 32, , 20, , 7
2018/7/26, 60, 32, , 17, , 6
2018/7/27, 60, 31, , 13, , 6
2018/7/28, 69, 34, , 13, , 6
2018/7/29, 71, 28, , 18, , 6
2018/7/30, 62, 38, , 19, , 7
2018/7/31, 75, 31, , 20, , 6
2018/8/1, 69, 30, , 18, , 6
2018/8/2, 58, 58, , 39, , 9
2018/8/3, 77, 48, , 30, , 6
2018/8/4, 75, 24, , 19, , 4
2018/8/5, 49, 32, , 24, , 5
2018/8/6, 47, 42, , 37, , 6
2018/8/7, 57, 28, , 22, , 4
2018/8/8, 50, 32, , 16, , 4
2018/8/9, 56, 40, , 24, , 5
2018/8/10, 68, 20, , 22, , 6
2018/8/11, 56, 17, , 20, , 5
2018/8/12, 38, 29, , 33, , 6
2018/8/13, 57, 38, , 34, , 7
2018/8/14, 67, 24, , 18, , 5
2018/8/15, 58, 22, , 23, , 5
2018/8/16, 45, 21, , 19, , 4
2018/8/17, 48, 36, , 26, , 6
2018/8/18, 66, 38, , 31, , 7
2018/8/19, 75, 45, , 38, , 8
2018/8/20, 76, 38, , 26, , 6
2018/8/21, 53, 23, , 18, , 4
2018/8/22, 40, 32, , 20, , 5
2018/8/23, 60, 44, , 31, , 6
2018/8/24, 83, 26, , 23, , 6
2018/8/25, 69, 17, , 18, , 5
2018/8/26, 53, 22, , 27, , 6
2018/8/27, 52, 43, , 34, , 7
2018/8/28, 70, 28, , 29, , 6
2018/8/29, 58, 27, , 22, , 4
2018/8/30, 65, 38, , 31, , 7
2018/8/31, 75, 27, , 23, , 6
2018/9/1, 62, 23, , 9, , 3
2018/9/2, 62, 26, , 14, , 4
2018/9/3, 61, 44, , 26, , 6
2018/9/4, 78, 39, , 26, , 7
2018/9/5, 80, 40, , 29, , 7
2018/9/6, 78, 54, , 34, , 9
2018/9/7, 91, 47, , 20, , 6
2018/9/8, 94, 29, , 21, , 6
2018/9/9, 75, 30, , 31, , 7
2018/9/10, 63, 44, , 37, , 7
2018/9/11, 71, 38, , 41, , 8
2018/9/12, 60, 24, , 18, , 5
2018/9/13, 45, 18, , 19, , 5
2018/9/14, 50, 31, , 24, , 5
2018/9/15, 74, 31, , 26, , 6
2018/9/16, 62, 33, , 42, , 8
2018/9/17, 63, 45, , 43, , 8
2018/9/18, 89, 44, , 47, , 8
2018/9/19, 80, 53, , 61, , 9
2018/9/20, 93, 46, , 41, , 7
2018/9/21, 94, 34, , 17, , 4
2018/9/22, 53, 21, , 20, , 5
2018/9/23, 56, 10, , 16, , 4
2018/9/24, 31, 22, , 28, , 5
2018/9/25, 41, 28, , 30, , 6
2018/9/26, 61, 28, , 19, , 5
2018/9/27, 58, 31, , 28, , 6
2018/9/28, 64, 33, , 31, , 8
2018/9/29, 57, 26, , 29, , 6
2018/9/30, 62, 41, , 41, , 9
2018/4/1, 90, 22, , 9, , 17
2018/4/2, 70, 68, , 32, , 20
2018/4/3, 130, 68, , 33, , 22
2018/4/4, 115, 82, , 31, , 20
2018/4/5, 112, 116, , 25, , 18
2018/4/6, 88, 90, , 26, , 20
2018/4/7, 101, 74, , 17, , 20
2018/4/8, 135, 113, , 27, , 20
2018/4/9, 97, 165, , 20, , 12
2018/4/10, 107, 68, , 10, , 8
2018/4/11, 91, 48, , 11, , 8
2018/4/12, 96, 52, , 12, , 5
2018/4/13, 98, 47, , 26, , 4
2018/4/14, 81, 37, , 24, , 3
2018/4/15, 82, 62, , 33, , 4
2018/4/16, 99, 43, , 30, , 4
2018/4/17, 88, 55, , 35, , 4
2018/4/18, 83, 58, , 32, , 4
2018/4/19, 77, 59, , 43, , 5
2018/4/20, 68, 65, , 27, , 3
2018/4/21, 75, 44, , 26, , 3
2018/4/22, 55, 46, , 36, , 4
2018/4/23, 63, 46, , 27, , 3
2018/4/24, 86, 45, , 27, , 3
2018/4/25, 81, 35, , 27, , 3
2018/4/26, 56, 45, , 35, , 6
2018/4/27, 77, 54, , 30, , 5
2018/4/28, 81, 50, , 26, , 5
2018/4/29, 90, 37, , 19, , 3
2018/4/30, 69, 46, , 15, , 2
2018/5/1, 75, 39, , 13, , 2
2018/5/2, 58, 46, , 14, , 2
2018/5/3, 65, 59, , 21, , 3
2018/5/4, 73, 50, , 19, , 2
2018/5/5, 54, 29, , 14, , 2
2018/5/6, 43, 39, , 20, , 2
2018/5/7, 49, 41, , 17, , 2
2018/5/8, 50, 47, , 21, , 2
2018/5/9, 64, 43, , 21, , 2
2018/5/10, 66, 44, , 19, , 2
2018/5/11, 70, 39, , 14, , 2
2018/5/12, 51, 40, , 13, , 2
2018/5/13, 57, 40, , 13, , 2
2018/5/14, 62, 28, , 15, , 2
2018/5/15, 66, 28, , 18, , 2
2018/5/16, 76, 29, , 23, , 4
2018/5/17, 74, 38, , 29, , 5
2018/5/18, 70, 44, , 23, , 3
