date, pm25, pm10, o3, no2, so2, co
2024/5/1, 31, 23, , , , 
2024/5/2, 31, 22, , , , 
2024/5/3, 40, 21, , , , 
2024/5/4, 42, 24, , , , 
2024/5/5, 40, 26, , , , 
2024/5/6, 41, 17, , , , 
2024/5/7, 36, 19, , , , 
2024/5/8, 38, 17, , , , 
2024/5/9, 29, 25, , , , 
2024/5/10, 47, 12, , , , 
2024/5/11, 29, 15, , , , 
2024/5/12, 34, 20, , , , 
2024/5/13, 38, 37, , , , 
2024/5/14, 45, 37, , , , 
2024/5/15, 41, 39, , , , 
2024/5/16, 44, 33, , , , 
2024/5/17, 34, 23, , , , 
2024/5/18, 30, 19, , , , 
2024/5/19, 34, 24, , , , 
2024/5/20, 46, 25, , , , 
2024/5/21, 48, 18, , , , 
2024/5/22, 47, , , , , 
2024/4/1, 104, 35, , , , 
2024/4/2, 66, 7, , , , 
2024/4/3, 26, 17, , , , 
2024/4/4, 50, 16, , , , 
2024/4/5, 49, 13, , , , 
2024/4/6, 41, 22, , , , 
2024/4/7, 62, 21, , , , 
2024/4/8, 45, 35, , , , 
2024/4/9, 55, 36, , , , 
2024/4/10, 59, 24, , , , 
2024/4/11, 36, 25, , , , 
2024/4/12, 42, 30, , , , 
2024/4/13, 59, 24, , , , 
2024/4/14, 47, 23, , , , 
2024/4/15, 39, 17, , , , 
2024/4/16, 45, 17, , , , 
2024/4/17, 53, 7, , , , 
2024/4/18, 26, 12, , , , 
2024/4/19, 37, 11, , , , 
2024/4/20, 45, 10, , , , 
2024/4/21, 43, 12, , , , 
2024/4/22, 34, 24, , , , 
2024/4/23, 67, 19, , , , 
2024/4/24, 66, 22, , , , 
2024/4/25, 65, 34, , , , 
2024/4/26, 72, 26, , , , 
2024/4/27, 57, 18, , , , 
2024/4/28, 50, 35, , , , 
2024/4/29, 43, 34, , , , 
2024/4/30, 41, 21, , , , 
2024/1/7, 51, 28, , , , 
2024/1/8, 79, 52, , , , 
2024/1/9, 132, 55, , , , 
2024/1/10, 140, 29, , , , 
2024/1/11, 82, 19, , , , 
2024/1/12, 59, 16, , , , 
2024/1/13, 56, 14, , , , 
2024/1/14, 52, 14, , , , 
2024/1/15, 51, 13, , , , 
2024/1/16, 38, 37, , , , 
2024/1/17, 97, 32, , , , 
2024/1/18, 88, 33, , , , 
2024/1/19, 89, 22, , , , 
2024/1/20, 67, 25, , , , 
2024/1/21, 71, 27, , , , 
2024/1/22, 76, 20, , , , 
2024/1/23, 64, 14, , , , 
2024/1/24, 49, 4, , , , 
2024/1/25, 17, 11, , , , 
2024/1/26, 34, 12, , , , 
2024/1/27, 43, 16, , , , 
2024/1/28, 50, 24, , , , 
2024/1/29, 68, 33, , , , 
2024/1/30, 82, 29, , , , 
2024/1/31, 76, 19, , , , 
2024/2/1, 61, 15, , , , 
2024/2/2, 45, 6, , , , 
2024/2/3, 26, 7, , , , 
2024/2/4, 27, 4, , , , 
2024/2/5, 19, 9, , , , 
2024/2/6, 33, 6, , , , 
2024/2/7, 23, 23, , , , 
2024/2/8, 65, 18, , , , 
2024/2/9, 58, 28, , , , 
2024/2/10, 69, 25, , , , 
2024/2/11, 68, 17, , , , 
2024/2/12, 54, 9, , , , 
2024/2/13, 35, 32, , , , 
2024/2/14, 70, 27, , , , 
2024/2/15, 65, 33, , , , 
2024/2/16, 77, 24, , , , 
2024/2/17, 65, 12, , , , 
2024/2/18, 35, 20, , , , 
2024/2/19, 64, 12, , , , 
2024/2/20, 46, 15, , , , 
2024/2/21, 55, 21, , , , 
2024/2/22, 65, 19, , , , 
2024/2/23, 66, 22, , , , 
2024/2/24, 71, 29, , , , 
2024/2/25, 85, 28, , , , 
2024/2/26, 81, 40, , , , 
2024/2/27, 97, 37, , , , 
2024/2/28, 93, 20, , , , 
2024/2/29, 66, 31, , , , 
2024/3/1, 87, 32, , , , 
2024/3/2, 89, 37, , , , 
2024/3/3, 96, 30, , , , 
2024/3/4, 79, 33, , , , 
2024/3/5, 94, 24, , , , 
2024/3/6, 73, 38, , , , 
2024/3/7, 93, 77, , , , 
2024/3/8, 147, 70, , , , 
2024/3/9, 145, 33, , , , 
2024/3/10, 89, 19, , , , 
2024/3/11, 55, 19, , , , 
2024/3/12, 64, 20, , , , 
2024/3/13, 69, 27, , , , 
2024/3/14, 78, 30, , , , 
2024/3/15, 79, 35, , , , 
2024/3/16, 97, 9, , , , 
2024/3/17, 31, 15, , , , 
2024/3/18, 51, 21, , , , 
2024/3/19, 70, 38, , , , 
2024/3/20, 96, 49, , , , 
2024/3/21, 114, 26, , , , 
2024/3/22, 79, 18, , , , 
2024/3/23, 61, 15, , , , 
2024/3/24, 54, 23, , , , 
2024/3/25, 71, 27, , , , 
2024/3/26, 77, 22, , , , 
2024/3/27, 47, 28, , , , 
2024/3/28, 61, 17, , , , 
2024/3/29, 44, 28, , , , 
2024/3/30, 57, 47, , , , 
2024/3/31, 68, 76, , , , 
2023/10/1, 36, 23, , , , 
2023/10/2, 51, 22, , , , 
2023/10/3, 47, 11, , , , 
2023/10/4, 29, 15, , , , 
2023/10/5, 42, 12, , , , 
2023/10/6, 37, 9, , , , 
2023/10/7, 26, 8, , , , 
2023/10/8, 15, 15, , , , 
2023/10/9, 35, 36, , , , 
2023/10/10, 83, 26, , , , 
2023/10/11, 65, 20, , , , 
2023/10/12, 46, 23, , , , 
2023/10/13, 57, 21, , , , 
2023/10/14, 47, 11, , , , 
2023/10/15, 33, 11, , , , 
2023/10/16, 36, 24, , , , 
2023/10/17, 63, 25, , , , 
2023/10/18, 62, 33, , , , 
2023/10/19, 76, 11, , , , 
2023/10/20, 41, 20, , , , 
2023/10/21, 53, 15, , , , 
2023/10/22, 45, 24, , , , 
2023/10/23, 66, 34, , , , 
2023/10/24, 80, 14, , , , 
2023/10/25, 46, 19, , , , 
2023/10/26, 55, 24, , , , 
2023/10/27, 64, 13, , , , 
2023/10/28, 38, 20, , , , 
2023/10/29, 55, 26, , , , 
2023/10/30, 60, 17, , , , 
2023/10/31, 46, 14, , , , 
2023/11/1, 39, 20, , , , 
2023/11/2, 50, 16, , , , 
2023/11/3, 47, 17, , , , 
2023/11/4, 43, 17, , , , 
2023/11/5, 55, 9, , , , 
2023/11/6, 29, 17, , , , 
2023/11/7, 44, 22, , , , 
2023/11/8, 60, 20, , , , 
2023/11/9, 56, 20, , , , 
2023/11/10, 53, 26, , , , 
2023/11/11, 71, 22, , , , 
2023/11/12, 65, 26, , , , 
2023/11/13, 70, 21, , , , 
2023/11/14, 61, 11, , , , 
2023/11/15, 36, 16, , , , 
2023/11/16, 44, 12, , , , 
2023/11/17, 45, 23, , , , 
2023/11/18, 68, 23, , , , 
2023/11/19, 68, 15, , , , 
2023/11/20, 52, 21, , , , 
2023/11/21, 65, 26, , , , 
2023/11/22, 71, 18, , , , 
2023/11/23, 59, 8, , , , 
2023/11/24, 29, 14, , , , 
2023/11/25, 51, 9, , , , 
2023/11/26, 38, 22, , , , 
2023/11/27, 67, 34, , , , 
2023/11/28, 89, 26, , , , 
2023/11/29, 73, 45, , , , 
2023/11/30, 114, 55, , , , 
2023/12/1, 132, 38, , , , 
2023/12/2, 98, 20, , , , 
2023/12/3, 65, 28, , , , 
2023/12/4, 79, 45, , , , 
2023/12/5, 113, 31, , , , 
2023/12/6, 83, 28, , , , 
2023/12/7, 78, 23, , , , 
2023/12/8, 69, 35, , , , 
2023/12/9, 92, 31, , , , 
2023/12/10, 86, 28, , , , 
2023/12/11, 79, 30, , , , 
2023/12/12, 79, 38, , , , 
2023/12/13, 92, 25, , , , 
2023/12/14, 68, 21, , , , 
2023/12/15, 65, 23, , , , 
2023/12/16, 68, 15, , , , 
2023/12/17, 55, 20, , , , 
2023/12/18, 63, 17, , , , 
2023/12/19, 56, 11, , , , 
2023/12/20, 41, 7, , , , 
2023/12/21, 27, 7, , , , 
2023/12/22, 27, 7, , , , 
2023/12/23, 25, 14, , , , 
2023/12/24, 48, 5, , , , 
2023/12/25, 20, 8, , , , 
2023/12/26, 29, 10, , , , 
2023/12/27, 32, 23, , , , 
2023/12/28, 67, 20, , , , 
2023/12/29, 63, , , , , 
2023/7/1, 53, 22, , , , 
2023/7/2, 48, 23, , , , 
2023/7/3, 41, 31, , , , 
2023/7/4, 48, 28, , , , 
2023/7/5, 53, 16, , , , 
2023/7/6, 34, 15, , , , 
2023/7/7, 31, 19, , , , 
2023/7/8, 37, 15, , , , 
2023/7/9, 33, 12, , , , 
2023/7/10, 24, 14, , , , 
2023/7/11, 29, 22, , , , 
2023/7/12, 46, 25, , , , 
2023/7/13, 56, 22, , , , 
2023/7/14, 41, 20, , , , 
2023/7/15, 34, 15, , , , 
2023/7/16, 29, 30, , , , 
2023/7/17, 59, 8, , , , 
2023/7/18, 14, 16, , , , 
2023/7/19, 20, 12, , , , 
2023/7/20, 32, 12, , , , 
2023/7/21, 29, 17, , , , 
2023/7/22, 40, 16, , , , 
2023/7/23, 31, 16, , , , 
2023/7/24, 26, 14, , , , 
2023/7/25, 25, 12, , , , 
2023/7/26, 35, 8, , , , 
2023/7/27, 21, 13, , , , 
2023/7/28, 36, 13, , , , 
2023/7/29, 33, 10, , , , 
2023/7/30, 26, 15, , , , 
2023/7/31, 29, 16, , , , 
2023/8/1, 30, 14, , , , 
2023/8/2, 26, 11, , , , 
2023/8/3, 22, 14, , , , 
2023/8/4, 21, 16, , , , 
2023/8/5, 39, 22, , , , 
2023/8/6, 44, 7, , , , 
2023/8/7, 13, 10, , , , 
2023/8/8, 18, 9, , , , 
2023/8/9, 23, 12, , , , 
2023/8/10, 27, 20, , , , 
2023/8/11, 38, 21, , , , 
2023/8/12, 39, 24, , , , 
2023/8/13, 45, 23, , , , 
2023/8/14, 46, 24, , , , 
2023/8/15, 43, 36, , , , 
2023/8/16, 52, 30, , , , 
2023/8/17, 48, 25, , , , 
2023/8/18, 43, 23, , , , 
2023/8/19, 49, 20, , , , 
2023/8/20, 50, 24, , , , 
2023/8/21, 48, 16, , , , 
2023/8/22, 29, 13, , , , 
2023/8/23, 27, 22, , , , 
2023/8/24, 38, 31, , , , 
2023/8/25, 59, 22, , , , 
2023/8/26, 47, 19, , , , 
2023/8/27, 47, 9, , , , 
2023/8/28, 30, 16, , , , 
