date, pm10, o3, no2, so2, co
2024/5/1, 26, 31, 2, , 
2024/5/2, 25, 35, 3, , 
2024/5/3, 22, 37, 5, , 
2024/5/4, 30, 33, 7, , 
2024/5/5, 32, 22, 4, , 
2024/5/6, 18, 27, 3, , 
2024/5/7, 16, 35, 2, , 
2024/5/8, 19, 34, 3, , 
2024/5/9, 18, 25, 10, , 
2024/5/10, 25, 30, 2, , 
2024/5/11, 17, 34, 2, , 
2024/5/12, 15, 40, 3, , 
2024/5/13, 17, 35, 3, , 
2024/5/14, 23, 35, 2, , 
2024/5/15, 27, 32, 2, , 
2024/5/16, 31, 33, 1, , 
2024/5/17, 34, 22, 3, , 
2024/5/18, 23, 25, 3, , 
2024/5/19, 19, 27, 4, , 
2024/5/20, 15, 33, 4, , 
2024/5/21, 26, 20, 4, , 
2024/5/22, 31, , , , 
2024/4/1, 73, 25, 3, , 
2024/4/2, 13, 22, 3, , 
2024/4/3, 10, 22, 3, , 
2024/4/4, 13, 26, 3, , 
2024/4/5, 14, 23, 3, , 
2024/4/6, 16, 29, 4, , 
2024/4/7, 21, 27, 6, , 
2024/4/8, 28, 34, 4, , 
2024/4/9, 27, 20, 4, , 
2024/4/10, 21, 31, 6, , 
2024/4/11, 17, 17, 7, , 
2024/4/12, 21, 23, 4, , 
2024/4/13, 24, 31, 3, , 
2024/4/14, 23, 31, 3, , 
2024/4/15, 15, 30, 3, , 
2024/4/16, 13, 26, 5, , 
2024/4/17, 11, 26, 7, , 
2024/4/18, 14, 25, 4, , 
2024/4/19, 12, 29, 3, , 
2024/4/20, 11, 32, 3, , 
2024/4/21, 12, 29, 4, , 
2024/4/22, 9, 30, 4, , 
2024/4/23, 19, 31, 4, , 
2024/4/24, 24, 29, 5, , 
2024/4/25, 24, 35, 5, , 
2024/4/26, 19, 36, 3, , 
2024/4/27, 19, 30, 2, , 
2024/4/28, 23, 30, 3, , 
2024/4/29, 25, 34, 3, , 
2024/4/30, 26, 39, 2, , 
2024/1/7, 12, 14, 6, , 
2024/1/8, 28, 9, 16, , 
2024/1/9, 53, 10, 19, , 
2024/1/10, 86, 16, 11, , 
2024/1/11, 36, 17, 9, , 
2024/1/12, 19, 19, 3, , 
2024/1/13, 15, 23, 2, , 
2024/1/14, 9, 26, 3, , 
2024/1/15, 11, 27, 6, , 
2024/1/16, 14, 23, 7, , 
2024/1/17, 28, 16, 12, , 
2024/1/18, 44, 22, 7, , 
2024/1/19, 24, 23, 4, , 
2024/1/20, 18, 26, 4, , 
2024/1/21, 22, 25, 5, , 
2024/1/22, 20, 25, 3, , 
2024/1/23, 15, 29, 3, , 
2024/1/24, 14, 29, 3, , 
2024/1/25, 13, 27, 5, , 
2024/1/26, 17, 29, 2, , 
2024/1/27, 14, 21, 3, , 
2024/1/28, 18, 18, 5, , 
2024/1/29, 27, 20, 6, , 
2024/1/30, 25, 29, 5, , 
2024/1/31, 21, 25, 4, , 
2024/2/1, 15, 25, 3, , 
2024/2/2, 19, 21, 2, , 
2024/2/3, 9, 28, 1, , 
2024/2/4, 12, 25, 4, , 
2024/2/5, 7, 22, 2, , 
2024/2/6, 13, 29, 3, , 
2024/2/7, 11, 18, 7, , 
2024/2/8, 21, 21, 4, , 
2024/2/9, 16, 8, 7, , 
2024/2/10, 37, 13, 4, , 
2024/2/11, 32, 21, 4, , 
2024/2/12, 14, 21, 5, , 
