date, pm25, pm10, o3, no2, so2, co
2024/5/1, 46, 25, , , , 
2024/5/2, 35, 24, , , , 
2024/5/3, 38, 34, , , , 
2024/5/4, 62, 18, , , , 
2024/5/5, 47, 9, , , , 
2024/5/6, 25, 10, , , , 
2024/5/7, 19, 15, , , , 
2024/5/8, 35, 18, , , , 
2024/5/9, 39, 13, , , , 
2024/5/10, 36, 8, , , , 
2024/5/11, 20, 11, , , , 
2024/5/12, 29, 14, , , , 
2024/5/13, 26, 14, , , , 
2024/5/14, 21, 18, , , , 
2024/5/15, 26, 25, , , , 
2024/5/16, 36, 24, , , , 
2024/5/17, 34, 24, , , , 
2024/5/18, 36, 16, , , , 
2024/5/19, 42, 14, , , , 
2024/5/20, 42, 16, , , , 
2024/5/21, 40, , , , , 
2024/4/1, 116, 11, , , , 
2024/4/2, 26, 5, , , , 
2024/4/3, 17, 14, , , , 
2024/4/4, 49, 13, , , , 
2024/4/5, 40, 16, , , , 
2024/4/6, 40, 17, , , , 
2024/4/7, 46, 31, , , , 
2024/4/8, 64, 48, , , , 
2024/4/9, 95, 12, , , , 
2024/4/10, 24, 14, , , , 
2024/4/11, 26, 11, , , , 
2024/4/12, 26, 13, , , , 
2024/4/13, 34, 16, , , , 
2024/4/14, 28, 10, , , , 
2024/4/15, 22, 8, , , , 
2024/4/16, 27, 11, , , , 
2024/4/17, 31, 15, , , , 
2024/4/18, 42, 13, , , , 
2024/4/19, 46, 11, , , , 
2024/4/20, 36, 11, , , , 
2024/4/21, 40, 8, , , , 
2024/4/22, 25, 14, , , , 
2024/4/23, 45, 27, , , , 
2024/4/24, 72, 27, , , , 
2024/4/25, 72, 17, , , , 
2024/4/26, 51, 22, , , , 
2024/4/27, 56, 21, , , , 
2024/4/28, 54, 21, , , , 
2024/4/29, 45, 26, , , , 
2024/4/30, 46, 25, , , , 
2024/1/1, 111, 24, , , , 
2024/1/2, 76, 12, , , , 
2024/1/3, 48, 15, , , , 
2024/1/4, 56, 33, , , , 
2024/1/5, 81, 37, , , , 
2024/1/6, 106, 21, , , , 
2024/1/7, 67, 43, , , , 
2024/1/8, 106, 51, , , , 
2024/1/9, 123, 11, , , , 
2024/1/10, 44, 10, , , , 
2024/1/11, 37, 9, , , , 
2024/1/12, 34, 11, , , , 
2024/1/13, 42, 8, , , , 
2024/1/14, 27, 6, , , , 
2024/1/15, 23, 31, , , , 
2024/1/16, 72, 31, , , , 
2024/1/17, 90, 33, , , , 
2024/1/18, 94, 15, , , , 
2024/1/19, 54, 12, , , , 
2024/1/20, 42, 20, , , , 
2024/1/21, 68, 16, , , , 
2024/1/22, 59, 15, , , , 
2024/1/23, 46, 12, , , , 
2024/1/24, 41, 6, , , , 
2024/1/25, 22, 13, , , , 
2024/1/26, 41, 8, , , , 
2024/1/27, 25, 21, , , , 
2024/1/28, 62, 34, , , , 
2024/1/29, 98, 52, , , , 
2024/1/30, 135, 23, , , , 
2024/1/31, 65, 12, , , , 
2024/2/1, 35, 16, , , , 
2024/2/2, 48, 6, , , , 
2024/2/3, 19, 10, , , , 
2024/2/4, 30, 11, , , , 
2024/2/5, 32, 10, , , , 
2024/2/6, 37, 6, , , , 
2024/2/7, 19, 24, , , , 
2024/2/8, 69, 35, , , , 
2024/2/9, 98, 21, , , , 
2024/2/10, 69, 22, , , , 
2024/2/11, 73, 17, , , , 
2024/2/12, 58, 13, , , , 
2024/2/13, 37, 19, , , , 
2024/2/14, 61, 25, , , , 
2024/2/15, 78, 24, , , , 
2024/2/16, 69, 7, , , , 
2024/2/17, 25, 10, , , , 
2024/2/18, 39, 15, , , , 
2024/2/19, 53, 6, , , , 
2024/2/20, 20, 17, , , , 
2024/2/21, 56, 14, , , , 
2024/2/22, 48, 23, , , , 
2024/2/23, 53, 15, , , , 
2024/2/24, 48, 25, , , , 
2024/2/25, 77, 41, , , , 
2024/2/26, 108, 22, , , , 
2024/2/27, 71, 16, , , , 
2024/2/28, 54, 14, , , , 
2024/2/29, 43, 46, , , , 
2024/3/1, 113, 38, , , , 
2024/3/2, 100, 42, , , , 
2024/3/3, 104, 34, , , , 
2024/3/4, 73, 26, , , , 
2024/3/5, 73, 34, , , , 
2024/3/6, 84, 37, , , , 
2024/3/7, 89, 41, , , , 
2024/3/8, 102, 30, , , , 
2024/3/9, 83, 32, , , , 
2024/3/10, 78, 26, , , , 
2024/3/11, 65, 36, , , , 
2024/3/12, 100, 41, , , , 
2024/3/13, 99, 34, , , , 
2024/3/14, 94, 27, , , , 
2024/3/15, 72, 20, , , , 
2024/3/16, 61, 6, , , , 
2024/3/17, 18, 11, , , , 
2024/3/18, 35, 19, , , , 
2024/3/19, 59, 34, , , , 
2024/3/20, 88, 37, , , , 
2024/3/21, 103, 19, , , , 
2024/3/22, 62, 18, , , , 
2024/3/23, 57, 14, , , , 
2024/3/24, 49, 24, , , , 
2024/3/25, 69, 28, , , , 
2024/3/26, 79, 17, , , , 
2024/3/27, 45, 26, , , , 
2024/3/28, 59, 10, , , , 
2024/3/29, 25, 23, , , , 
2024/3/30, 53, 78, , , , 
2024/3/31, 107, 76, , , , 
2023/10/1, 29, 15, , , , 
2023/10/2, 47, 19, , , , 
2023/10/3, 46, 7, , , , 
2023/10/4, 20, 9, , , , 
2023/10/5, 27, 8, , , , 
2023/10/6, 25, 8, , , , 
2023/10/7, 22, 5, , , , 
2023/10/8, 12, 25, , , , 
2023/10/9, 60, 21, , , , 
2023/10/10, 64, 21, , , , 
2023/10/11, 56, 9, , , , 
2023/10/12, 21, 14, , , , 
2023/10/13, 40, 14, , , , 
2023/10/14, 35, 8, , , , 
2023/10/15, 22, 6, , , , 
2023/10/16, 21, 11, , , , 
2023/10/17, 33, 21, , , , 
2023/10/18, 53, 13, , , , 
2023/10/19, 43, 7, , , , 
2023/10/20, 26, 10, , , , 
2023/10/21, 33, 26, , , , 
2023/10/22, 81, 30, , , , 
2023/10/23, 69, 33, , , , 
2023/10/24, 86, 13, , , , 
2023/10/25, 49, 15, , , , 
2023/10/26, 49, 14, , , , 
2023/10/27, 46, 15, , , , 
2023/10/28, 50, 15, , , , 
2023/10/29, 49, 20, , , , 
2023/10/30, 52, 17, , , , 
2023/10/31, 53, 10, , , , 
2023/11/1, 30, 16, , , , 
2023/11/2, 50, 15, , , , 
2023/11/3, 49, 12, , , , 
2023/11/4, 38, 14, , , , 
2023/11/5, 49, 11, , , , 
2023/11/6, 36, 16, , , , 
2023/11/7, 46, 13, , , , 
2023/11/8, 42, 15, , , , 
2023/11/9, 48, 19, , , , 
2023/11/10, 60, 36, , , , 
2023/11/11, 98, 17, , , , 
2023/11/12, 57, 18, , , , 
2023/11/13, 58, 13, , , , 
2023/11/14, 48, 14, , , , 
2023/11/15, 44, 20, , , , 
2023/11/16, 65, 25, , , , 
2023/11/17, 79, 43, , , , 
2023/11/18, 113, 19, , , , 
2023/11/19, 66, 17, , , , 
2023/11/20, 61, 23, , , , 
2023/11/21, 71, 24, , , , 
2023/11/22, 73, 7, , , , 
2023/11/23, 26, 9, , , , 
2023/11/24, 30, 7, , , , 
2023/11/25, 28, 7, , , , 
2023/11/26, 28, 12, , , , 
2023/11/27, 41, 31, , , , 
2023/11/28, 91, 21, , , , 
2023/11/29, 68, 38, , , , 
2023/11/30, 107, 24, , , , 
2023/12/1, 77, 20, , , , 
2023/12/2, 68, 11, , , , 
2023/12/3, 42, 18, , , , 
2023/12/4, 58, 35, , , , 
2023/12/5, 101, 35, , , , 
2023/12/6, 102, 36, , , , 
2023/12/7, 103, 43, , , , 
2023/12/8, 123, 39, , , , 
2023/12/9, 111, 32, , , , 
2023/12/10, 95, 26, , , , 
2023/12/11, 82, 25, , , , 
2023/12/12, 77, 26, , , , 
2023/12/13, 79, 30, , , , 
2023/12/14, 89, 13, , , , 
2023/12/15, 48, 8, , , , 
2023/12/16, 31, 1, , , , 
2023/12/17, 3, 3, , , , 
2023/12/18, 13, 9, , , , 
2023/12/19, 35, 8, , , , 
2023/12/20, 27, 9, , , , 
2023/12/21, 31, 6, , , , 
2023/12/22, 17, 9, , , , 
2023/12/23, 24, 11, , , , 
2023/12/24, 40, 9, , , , 
2023/12/25, 23, 8, , , , 
2023/12/26, 24, 16, , , , 
2023/12/27, 42, 17, , , , 
2023/12/28, 59, 9, , , , 
2023/12/29, 35, 8, , , , 
2023/12/30, 27, 16, , , , 
2023/12/31, 52, 39, , , , 
2023/7/1, 21, 8, , , , 
2023/7/2, 20, 12, , , , 
2023/7/3, 25, 10, , , , 
2023/7/4, 21, 11, , , , 
2023/7/5, 31, 9, , , , 
2023/7/6, 24, 9, , , , 
2023/7/7, 24, 11, , , , 
2023/7/8, 28, 11, , , , 
2023/7/9, 30, 13, , , , 
2023/7/10, 28, 8, , , , 
2023/7/11, 22, 12, , , , 
2023/7/12, 38, 7, , , , 
2023/7/13, 17, 7, , , , 
2023/7/14, 16, 11, , , , 
2023/7/15, 28, 12, , , , 
2023/7/16, 36, 9, , , , 
2023/7/17, 21, 6, , , , 
2023/7/18, 14, 7, , , , 
2023/7/19, 18, 5, , , , 
2023/7/20, 11, 6, , , , 
2023/7/21, 13, 6, , , , 
2023/7/22, 17, 8, , , , 
2023/7/23, 27, 8, , , , 
2023/7/24, 22, 6, , , , 
2023/7/25, 15, 6, , , , 
2023/7/26, 15, 6, , , , 
2023/7/27, 15, 11, , , , 
2023/7/28, 32, 9, , , , 
2023/7/29, 27, 7, , , , 
2023/7/30, 22, 5, , , , 
2023/7/31, 15, 6, , , , 
2023/8/1, 21, 8, , , , 
2023/8/2, 18, 6, , , , 
2023/8/3, 13, 8, , , , 
2023/8/4, 20, 11, , , , 
2023/8/5, 34, 7, , , , 
2023/8/6, 22, 4, , , , 
2023/8/7, 7, 6, , , , 
2023/8/8, 12, 5, , , , 
2023/8/9, 12, 9, , , , 
2023/8/10, 21, 13, , , , 
2023/8/11, 32, 18, , , , 
2023/8/12, 41, 14, , , , 
2023/8/13, 38, 17, , , , 
2023/8/14, 37, 24, , , , 
2023/8/15, 54, 14, , , , 
2023/8/16, 31, 9, , , , 
2023/8/17, 17, 14, , , , 
2023/8/18, 34, 21, , , , 
2023/8/19, 58, 18, , , , 
2023/8/20, 54, 9, , , , 
2023/8/21, 19, 11, , , , 
2023/8/22, 21, 14, , , , 
2023/8/23, 25, 14, , , , 
2023/8/24, 27, 19, , , , 
2023/8/25, 42, 15, , , , 
2023/8/26, 47, 8, , , , 
2023/8/27, 23, 6, , , , 
2023/8/28, 16, 7, , , , 
2023/8/29, 21, 5, , , , 
2023/8/30, 12, 8, , , , 
2023/8/31, 24, 7, , , , 
2023/9/1, 22, 9, , , , 
2023/9/2, 27, 10, , , , 
2023/9/3, 28, 12, , , , 
2023/9/4, 28, 12, , , , 
2023/9/5, 31, 15, , , , 
2023/9/6, 36, 15, , , , 
2023/9/7, 40, 23, , , , 
2023/9/8, 52, 26, , , , 
2023/9/9, 63, 27, , , , 
2023/9/10, 67, 33, , , , 
2023/9/11, 72, 36, , , , 
2023/9/12, 75, 22, , , , 
2023/9/13, 52, 6, , , , 
2023/9/14, 17, 11, , , , 
2023/9/15, 28, 14, , , , 
2023/9/16, 27, 19, , , , 
2023/9/17, 50, 22, , , , 
2023/9/18, 53, 14, , , , 
2023/9/19, 35, 11, , , , 
2023/9/20, 27, 14, , , , 
2023/9/21, 32, 14, , , , 
2023/9/22, 33, 8, , , , 
2023/9/23, 28, 11, , , , 
2023/9/24, 29, 12, , , , 
2023/9/25, 31, 18, , , , 
2023/9/26, 43, 33, , , , 
2023/9/27, 78, 38, , , , 
2023/9/28, 80, 38, , , , 
2023/9/29, 76, 11, , , , 
2023/9/30, 29, 10, , , , 
2023/4/1, 33, 7, , , , 
2023/4/2, 22, 10, , , , 
2023/4/3, 30, 12, , , , 
2023/4/4, 37, 20, , , , 
2023/4/5, 48, 24, , , , 
2023/4/6, 65, 19, , , , 
2023/4/7, 57, 24, , , , 
2023/4/8, 72, 17, , , , 
2023/4/9, 55, 14, , , , 
2023/4/10, 44, 17, , , , 
2023/4/11, 54, 13, , , , 
2023/4/12, 45, 23, , , , 
2023/4/13, 69, 19, , , , 
2023/4/14, 57, 16, , , , 
2023/4/15, 53, 11, , , , 
2023/4/16, 40, 16, , , , 
2023/4/17, 56, 16, , , , 
2023/4/18, 53, 16, , , , 
2023/4/19, 44, 20, , , , 
2023/4/20, 55, 19, , , , 
2023/4/21, 40, 20, , , , 
2023/4/22, 44, 20, , , , 
2023/4/23, 54, 14, , , , 
2023/4/24, 48, 9, , , , 
2023/4/25, 28, 10, , , , 
2023/4/26, 27, 11, , , , 
2023/4/27, 30, 13, , , , 
2023/4/28, 37, 21, , , , 
2023/4/29, 62, 9, , , , 
2023/4/30, 28, 14, , , , 
2023/5/1, 40, 19, , , , 
2023/5/2, 48, 13, , , , 
2023/5/3, 36, 19, , , , 
2023/5/4, 44, 11, , , , 
2023/5/5, 25, 14, , , , 
2023/5/6, 31, 13, , , , 
2023/5/7, 33, 19, , , , 
2023/5/8, 41, 21, , , , 
2023/5/9, 45, 18, , , , 
2023/5/10, 33, 19, , , , 
2023/5/11, 35, 24, , , , 
2023/5/12, 44, 25, , , , 
2023/5/13, 50, 20, , , , 
2023/5/14, 48, 15, , , , 
2023/5/15, 43, 10, , , , 
2023/5/16, 31, 10, , , , 
2023/5/17, 23, 9, , , , 
2023/5/18, 21, 10, , , , 
2023/5/19, 19, 11, , , , 
2023/5/20, 22, 13, , , , 
2023/5/21, 31, 14, , , , 
2023/5/22, 25, 19, , , , 
2023/5/23, 41, 20, , , , 
2023/5/24, 53, 12, , , , 
2023/5/25, 36, 12, , , , 
2023/5/26, 32, 10, , , , 
2023/5/27, 24, 10, , , , 
2023/5/28, 25, 9, , , , 
2023/5/29, 23, 12, , , , 
2023/5/30, 27, 11, , , , 
2023/5/31, 21, 11, , , , 
2023/6/1, 23, 8, , , , 
2023/6/2, 13, 8, , , , 
2023/6/3, 16, 11, , , , 
2023/6/4, 23, 13, , , , 
2023/6/5, 24, 16, , , , 
2023/6/6, 29, 19, , , , 
2023/6/7, 36, 19, , , , 
2023/6/8, 47, 21, , , , 
2023/6/9, 46, 15, , , , 
2023/6/10, 20, 12, , , , 
2023/6/11, 18, 15, , , , 
2023/6/12, 21, 16, , , , 
2023/6/13, 25, 18, , , , 
2023/6/14, 31, 13, , , , 
2023/6/15, 37, 13, , , , 
2023/6/16, 44, 16, , , , 
2023/6/17, 52, 12, , , , 
2023/6/18, 40, 17, , , , 
2023/6/19, 52, 18, , , , 
2023/6/20, 53, 18, , , , 
2023/6/21, 54, 10, , , , 
2023/6/22, 23, 12, , , , 
2023/6/23, 30, 8, , , , 
2023/6/24, 23, 9, , , , 
2023/6/25, 24, 12, , , , 
2023/6/26, 29, 9, , , , 
2023/6/27, 18, 6, , , , 
2023/6/28, 14, 9, , , , 
2023/6/29, 25, 12, , , , 
2023/6/30, 33, 8, , , , 
2023/1/2, 48, 6, , 1, , 
2023/1/3, 15, 11, , , , 
2023/1/4, 39, 3, , , , 
2023/1/5, 8, , , , , 
2023/1/8, 73, 29, , , , 
2023/1/9, 88, 24, , , , 
2023/1/10, 77, 14, , , , 
2023/1/11, 51, 10, , , , 
2023/1/12, 38, 9, , , , 
2023/1/13, 34, 8, , , , 
2023/1/14, 29, 7, , , , 
2023/1/15, 28, 12, , , , 
2023/1/16, 39, 15, , , , 
2023/1/17, 55, 23, , , , 
2023/1/18, 73, 17, , , , 
2023/1/19, 59, 25, , , , 
2023/1/20, 78, 14, , , , 
2023/1/21, 51, 14, , , , 
2023/1/22, 52, 21, , , , 
2023/1/23, 64, 20, , , , 
2023/1/24, 63, 27, , , , 
2023/1/25, 79, 23, , , , 
2023/1/26, 72, 13, , , , 
2023/1/27, 46, 20, , , , 
2023/1/28, 61, 10, , , , 
2023/1/29, 42, 9, , , , 
2023/1/30, 33, 9, , , , 
2023/1/31, 28, 6, , , , 
2023/2/1, 20, 7, , , , 
2023/2/2, 26, 11, , , , 
2023/2/3, 41, 9, , , , 
2023/2/4, 35, 40, , , , 
2023/2/5, 107, 21, , , , 
2023/2/6, 70, 17, , , , 
2023/2/7, 55, 30, , , , 
2023/2/8, 92, 38, , , , 
2023/2/9, 108, 20, , , , 
2023/2/10, 64, 15, , , , 
2023/2/11, 52, 23, , , , 
2023/2/12, 73, 8, , , , 
2023/2/13, 26, 13, , , , 
2023/2/14, 42, 30, , , , 
2023/2/15, 84, 45, , , , 
2023/2/16, 122, 21, , , , 
2023/2/17, 64, 10, , , , 
2023/2/18, 24, 7, , , , 
2023/2/19, 19, 5, , , , 
2023/2/20, 18, 13, , , , 
2023/2/21, 39, 19, , , , 
2023/2/22, 57, 19, , , , 
2023/2/23, 56, 14, , , , 
2023/2/24, 46, 8, , , , 
2023/2/25, 33, 7, , , , 
2023/2/26, 25, 32, , , , 
2023/2/27, 78, 40, , , , 
2023/2/28, 98, 20, , , , 
2023/3/1, 66, 14, , , , 
2023/3/2, 46, 10, , , , 
2023/3/3, 33, 12, , , , 
2023/3/4, 33, 10, , , , 
2023/3/5, 31, 21, , , , 
2023/3/6, 58, 17, , , , 
2023/3/7, 59, 17, , , , 
2023/3/8, 45, 38, , , , 
2023/3/9, 97, 17, , , , 
2023/3/10, 59, 9, , , , 
2023/3/11, 35, 15, , , , 
2023/3/12, 39, 13, , , , 
2023/3/13, 51, 11, , , , 
2023/3/14, 40, 15, , , , 
2023/3/15, 38, 27, , , , 
2023/3/16, 68, 22, , , , 
2023/3/17, 61, 30, , , , 
2023/3/18, 76, 43, , , , 
2023/3/19, 113, 26, , , , 
2023/3/20, 77, 10, , , , 
2023/3/21, 31, 20, , , , 
2023/3/22, 65, 14, , , , 
2023/3/23, 47, 14, , , , 
2023/3/24, 47, 14, , , , 
2023/3/25, 48, 7, , , , 
2023/3/26, 24, 10, , , , 
2023/3/27, 27, 8, , , , 
2023/3/28, 26, 14, , , , 
2023/3/29, 41, 22, , , , 
2023/3/30, 65, 14, , , , 
2023/3/31, 48, 9, , , , 
2022/10/1, 64, 7, , 2, , 
2022/10/2, 21, 6, , 1, , 
2022/10/3, 20, 8, , 3, , 
2022/10/4, 23, 17, , 6, , 
2022/10/5, 49, 14, , 5, , 
2022/10/6, 36, 23, , 9, , 
2022/10/7, 57, 25, , 6, , 
2022/10/8, 71, 19, , 4, , 
2022/10/9, 45, 21, , 5, , 
2022/10/10, 59, 14, , 4, , 
2022/10/11, 39, 19, , 7, , 
2022/10/12, 51, 22, , 8, , 
2022/10/13, 64, 42, , 11, , 
2022/10/14, 101, 34, , 6, , 
2022/10/15, 94, 22, , 4, , 
2022/10/16, 68, 17, , 6, , 
2022/10/17, 53, 10, , 4, , 
2022/10/18, 26, 8, , 3, , 
2022/10/19, 22, 12, , 8, , 
2022/10/20, 32, 16, , 6, , 
2022/10/21, 52, 27, , 5, , 
2022/10/22, 78, 24, , 5, , 
2022/10/23, 67, 21, , 5, , 
2022/10/24, 68, 19, , 5, , 
2022/10/25, 54, 17, , 6, , 
2022/10/26, 52, 29, , 8, , 
