date, pm25, pm10
2024/5/1, 27, 20
2024/5/2, 14, 22
2024/5/3, 25, 28
2024/5/4, 30, 24
2024/5/5, 39, 19
2024/5/6, 31, 13
2024/5/7, 20, 10
2024/5/8, 9, 18
2024/5/9, 18, 24
2024/5/10, 36, 25
2024/5/11, 44, 10
2024/5/12, 14, 14
2024/5/13, 10, 18
2024/5/14, 17, 17
2024/5/15, 6, 17
2024/5/16, 10, 22
2024/5/17, 18, 19
2024/5/18, 24, 16
2024/5/19, 29, 13
2024/5/20, 12, 35
2024/5/21, 19, 29
2024/5/22, 11, 
2024/4/1, 115, 33
2024/4/2, 51, 8
2024/4/3, 3, 14
2024/4/4, 18, 9
2024/4/5, 5, 15
2024/4/6, 10, 24
2024/4/7, 43, 16
2024/4/8, 11, 22
2024/4/9, 18, 32
2024/4/10, 37, 27
2024/4/11, 39, 37
2024/4/12, 50, 41
2024/4/13, 67, 29
2024/4/14, 46, 18
2024/4/15, 31, 16
2024/4/16, 20, 22
2024/4/17, 23, 14
2024/4/18, 18, 14
2024/4/19, 19, 12
2024/4/20, 9, 25
2024/4/21, 40, 16
2024/4/22, 30, 16
2024/4/23, 28, 24
2024/4/24, 44, 19
2024/4/25, 28, 21
2024/4/26, 34, 17
2024/4/27, 22, 16
2024/4/28, 26, 15
2024/4/29, 16, 21
2024/4/30, 22, 20
2024/1/7, 14, 16
2024/1/8, 15, 60
2024/1/9, 135, 114
2024/1/10, 203, 117
2024/1/11, 210, 30
2024/1/12, 72, 18
2024/1/13, 44, 18
2024/1/14, 51, 23
2024/1/15, 65, 12
2024/1/16, 31, 15
2024/1/17, 44, 15
2024/1/18, 21, 30
2024/1/19, 70, 16
2024/1/20, 31, 17
2024/1/21, 31, 24
2024/1/22, 54, 19
2024/1/23, 50, 22
2024/1/24, 53, 11
2024/1/25, 16, 20
2024/1/26, 40, 11
2024/1/27, 23, 16
2024/1/28, 21, 31
2024/1/29, 62, 19
2024/1/30, 50, 26
2024/1/31, 58, 30
2024/2/1, 72, 21
2024/2/2, 45, 14
2024/2/3, 31, 5
2024/2/4, 10, 7
2024/2/5, 8, 13
2024/2/6, 10, 11
2024/2/7, 10, 10
2024/2/8, 10, 19
2024/2/9, 33, 16
2024/2/10, 28, 14
2024/2/11, 24, 16
2024/2/12, 22, 24
2024/2/13, 47, 25
2024/2/14, 46, 36
2024/2/15, 64, 37
2024/2/16, 71, 22
2024/2/17, 46, 13
2024/2/18, 20, 19
2024/2/19, 30, 12
2024/2/20, 15, 10
2024/2/21, 15, 14
2024/2/22, 13, 11
2024/2/23, 15, 13
2024/2/24, 10, 11
2024/2/25, 12, 15
2024/2/26, 10, 26
2024/2/27, 35, 35
2024/2/28, 61, 54
2024/2/29, 117, 49
2024/3/1, 100, 39
2024/3/2, 79, 35
2024/3/3, 80, 22
2024/3/4, 39, 35
2024/3/5, 68, 23
2024/3/6, 53, 23
2024/3/7, 52, 31
2024/3/8, 66, 36
2024/3/9, 69, 18
2024/3/10, 40, 15
2024/3/11, 29, 17
2024/3/12, 30, 12
2024/3/13, 26, 14
2024/3/14, 17, 14
2024/3/15, 25, 21
2024/3/16, 43, 14
2024/3/17, 24, 15
2024/3/18, 28, 22
2024/3/19, 41, 28
2024/3/20, 52, 29
2024/3/21, 52, 37
2024/3/22, 70, 22
2024/3/23, 40, 11
2024/3/24, 19, 14
2024/3/25, 20, 16
2024/3/26, 25, 17
2024/3/27, 12, 27
2024/3/28, 31, 7
2024/3/29, 9, 38
2024/3/30, 35, 33
2024/3/31, 37, 84
2023/10/1, 24, 15
2023/10/2, 28, 
2023/10/3, 25, 
2023/10/4, 28, 
2023/10/5, 36, 
2023/10/6, 41, 
2023/10/7, 20, 
2023/10/8, 22, 
2023/10/9, 21, 
2023/10/10, 15, 
2023/10/11, 31, 
2023/10/12, 40, 
2023/10/13, 35, 
2023/10/14, 52, 
2023/10/15, 26, 
2023/10/16, 30, 
2023/10/17, 59, 24
2023/10/18, 57, 19
2023/10/19, 35, 25
2023/10/20, 36, 31
2023/10/21, 34, 16
2023/10/22, 25, 11
2023/10/23, 31, 22
2023/10/24, 50, 14
2023/10/25, 52, 17
2023/10/26, 49, 10
2023/10/27, 37, 5
2023/10/28, 32, 11
2023/10/29, 34, 12
2023/10/30, 36, 14
2023/10/31, 36, 8
2023/11/1, 37, 9
2023/11/2, 35, 9
2023/11/3, 34, 13
2023/11/4, 42, 8
2023/11/5, 44, 4
2023/11/6, 34, 12
2023/11/7, 43, 32
2023/11/8, 72, 24
2023/11/9, 50, 11
2023/11/10, 7, 14
2023/11/11, 25, 
2023/11/12, 40, 13
2023/11/13, 25, 12
2023/11/14, 14, 9
2023/11/15, 8, 12
2023/11/16, 7, 10
2023/11/17, 9, 10
2023/11/18, 12, 15
2023/11/19, 25, 4
2023/11/20, 13, 11
2023/11/21, 9, 12
2023/11/22, 23, 18
2023/11/23, 49, 10
2023/11/24, 16, 13
2023/11/25, 19, 13
2023/11/26, 35, 12
2023/11/27, 22, 21
2023/11/28, 49, 36
2023/11/29, 86, 19
2023/11/30, 59, 25
2023/12/1, 60, 13
2023/12/2, 36, 16
2023/12/3, 47, 16
2023/12/4, 37, 21
2023/12/5, 51, 45
2023/12/6, 114, 45
2023/12/7, 145, 31
2023/12/8, 77, 13
2023/12/9, 40, 13
2023/12/10, 39, 11
2023/12/11, 23, 10
2023/12/12, 18, 26
2023/12/13, 48, 43
2023/12/14, 95, 26
2023/12/15, 60, 19
2023/12/16, 39, 17
2023/12/17, 43, 16
2023/12/18, 37, 29
2023/12/19, 69, 28
2023/12/20, 63, 12
2023/12/21, 27, 6
2023/12/22, 16, 8
2023/12/23, 10, 7
2023/12/24, 6, 5
2023/12/25, 5, 7
2023/12/26, 4, 16
2023/12/27, 21, 17
2023/12/28, 28, 
2023/7/1, 45, 17
2023/7/2, 36, 13
2023/7/3, 23, 21
2023/7/4, 37, 19
2023/7/5, 42, 21
2023/7/6, 42, 21
2023/7/7, 39, 20
2023/7/8, 41, 20
2023/7/9, 43, 19
2023/7/10, 41, 25
2023/7/11, 41, 24
2023/7/12, 40, 16
2023/7/13, 27, 16
2023/7/14, 31, 21
2023/7/15, 33, 17
2023/7/16, 24, 22
2023/7/17, 31, 11
2023/7/18, 22, 20
2023/7/19, 27, 12
2023/7/20, 23, 14
2023/7/21, 23, 14
2023/7/22, 23, 15
2023/7/23, 30, 21
2023/7/24, 30, 14
2023/7/25, 22, 11
2023/7/26, 20, 8
2023/7/27, 18, 14
2023/7/28, 16, 14
2023/7/29, 23, 11
2023/7/30, 12, 11
2023/7/31, 19, 17
2023/8/1, 22, 7
2023/8/2, 11, 11
2023/8/3, 10, 11
2023/8/4, 16, 22
2023/8/5, 29, 9
2023/8/6, 27, 4
2023/8/7, 7, 5
2023/8/8, 12, 10
2023/8/9, 18, 11
2023/8/10, 25, 17
2023/8/11, 40, 21
2023/8/12, 45, 18
2023/8/13, 36, 19
2023/8/14, 37, 18
2023/8/15, 30, 25
2023/8/16, 45, 20
2023/8/17, 39, 23
2023/8/18, 43, 24
2023/8/19, 48, 24
2023/8/20, 49, 28
2023/8/21, 54, 31
2023/8/22, 57, 26
2023/8/23, 46, 23
2023/8/24, 52, 26
2023/8/25, 44, 22
2023/8/26, 44, 23
2023/8/27, 42, 37
2023/8/28, 61, 23
2023/8/29, 40, 12
2023/8/30, 15, 8
2023/8/31, 18, 8
2023/9/1, 16, 12
2023/9/2, 25, 11
2023/9/3, 20, 13
2023/9/4, 32, 14
2023/9/5, 36, 18
2023/9/6, 40, 25
2023/9/7, 50, 25
2023/9/8, 52, 26
2023/9/9, 53, 29
2023/9/10, 48, 29
2023/9/11, 44, 34
2023/9/12, 57, 40
2023/9/13, 63, 33
2023/9/15, 24, 14
2023/9/16, 37, 14
2023/9/20, 70, 12
2023/9/27, 43, 30
2023/9/28, 49, 28
2023/9/29, 48, 23
2023/9/30, 45, 18
2023/4/1, 36, 9
2023/4/2, 33, 8
2023/4/3, 35, 13
2023/4/4, 44, 15
2023/4/5, 44, 26
2023/4/6, 67, 17
2023/4/7, 61, 21
2023/4/8, 61, 28
2023/4/9, 92, 31
2023/4/10, 76, 15
2023/4/11, 34, 16
2023/4/12, 53, 25
2023/4/13, 53, 21
2023/4/14, 45, 5
2023/4/15, 25, 10
2023/4/16, 32, 11
2023/4/17, 34, 12
2023/4/18, 36, 21
2023/4/19, 58, 28
2023/4/20, 55, 34
2023/4/21, 46, 32
2023/4/22, 60, 23
2023/4/23, 50, 24
2023/4/24, 42, 11
2023/4/25, 39, 18
2023/4/26, 53, 23
2023/4/27, 53, 25
2023/4/28, 53, 21
2023/4/29, 50, 27
2023/4/30, 63, 14
2023/5/1, 35, 17
2023/5/2, 36, 14
2023/5/3, 44, 11
2023/5/4, 34, 20
2023/5/5, 41, 20
2023/5/6, 40, 13
2023/5/7, 48, 10
2023/5/8, 37, 19
2023/5/9, 43, 13
2023/5/10, 31, 18
2023/5/11, 28, 19
2023/5/12, 32, 16
2023/5/13, 36, 14
2023/5/14, 32, 12
2023/5/15, 26, 11
2023/5/16, 21, 13
2023/5/17, 30, 5
2023/5/18, 26, 10
2023/5/19, 30, 25
2023/5/20, 56, 16
2023/5/21, 35, 17
2023/5/22, 28, 22
2023/5/23, 44, 28
2023/5/24, 59, 30
2023/5/25, 70, 29
2023/5/26, 65, 18
2023/5/27, 32, 15
2023/5/28, 31, 24
2023/5/29, 46, 28
2023/5/30, 48, 23
2023/5/31, 37, 23
2023/6/1, 40, 31
2023/6/2, 42, 11
2023/6/3, 19, 14
2023/6/4, 33, 17
2023/6/5, 28, 25
2023/6/6, 39, 11
2023/6/7, 21, 16
2023/6/8, 34, 11
2023/6/9, 24, 13
2023/6/10, 37, 10
2023/6/11, 27, 9
2023/6/12, 24, 10
2023/6/13, 22, 11
2023/6/14, 19, 13
2023/6/15, 30, 23
2023/6/16, 42, 17
2023/6/17, 46, 18
2023/6/18, 41, 15
2023/6/19, 30, 23
2023/6/20, 42, 26
2023/6/21, 42, 21
2023/6/22, 43, 30
2023/6/23, 50, 
2023/6/26, 32, 19
2023/6/27, 33, 12
2023/6/28, 24, 17
2023/6/29, 34, 20
2023/6/30, 31, 24
2023/2/5, 74, 22
2023/2/6, 79, 70
2023/2/7, 150, 
2023/2/8, 82, 40
2023/2/9, 97, 25
2023/2/10, 82, 
2023/2/11, 94, 
2023/2/12, 62, 
2023/2/13, 96, 
2023/2/14, 70, 32
2023/2/15, 90, 32
2023/2/16, 96, 39
2023/2/22, 57, 22
2023/2/23, 53, 21
2023/2/24, 62, 16
2023/2/25, 49, 7
2023/2/26, 38, 11
2023/2/27, 34, 28
2023/2/28, 73, 65
2023/3/1, 127, 77
2023/3/2, 141, 66
2023/3/3, 134, 34
2023/3/4, 78, 15
2023/3/5, 48, 13
2023/3/6, 38, 18
2023/3/7, 54, 17
2023/3/8, 39, 13
2023/3/9, 49, 16
2023/3/10, 37, 6
2023/3/11, 31, 12
2023/3/12, 48, 15
2023/3/13, 35, 16
2023/3/14, 32, 17
2023/3/15, 48, 26
2023/3/16, 66, 35
2023/3/17, 76, 17
2023/3/18, 36, 13
2023/3/19, 39, 35
2023/3/20, 81, 40
2023/3/21, 137, 26
2023/3/22, 38, 16
2023/3/23, 33, 20
2023/3/24, 44, 15
2023/3/25, 46, 14
2023/3/26, 41, 13
2023/3/27, 41, 15
2023/3/28, 49, 19
2023/3/29, 50, 21
2023/3/30, 40, 13
2023/3/31, 43, 11
2024/1/6, , 4
2023/9/14, , 15
2023/9/17, , 16
2023/9/18, , 14
2023/9/19, , 11
2023/9/21, , 21
2023/9/22, , 22
2023/9/23, , 9
2023/9/24, , 13
2023/9/25, , 22
2023/9/26, , 26
2023/6/25, , 18
2023/2/4, , 12
2023/2/17, , 11
2023/2/18, , 7
2023/2/19, , 12
2023/2/20, , 11
2023/2/21, , 22
