date, pm25, pm10, o3, no2, so2
2024/5/1, 33, 18, 42, 3, 
2024/5/2, 35, 11, 47, 4, 
2024/5/3, 26, 13, 47, 4, 
2024/5/4, 37, 15, 45, 3, 
2024/5/5, 43, 12, 29, 4, 
2024/5/6, 35, 15, 33, 4, 
2024/5/7, 43, 16, 41, 4, 
2024/5/8, 35, 17, 48, 6, 
2024/5/9, 39, 18, 49, 5, 
2024/5/10, 42, 16, 39, 5, 
2024/5/11, 45, 13, 48, 4, 
2024/5/12, 36, 14, 47, 5, 
2024/5/13, 27, 14, 51, 4, 
2024/5/14, 30, 15, 44, 3, 
2024/5/15, 25, 15, 41, 3, 
2024/5/16, 28, 12, 32, 4, 
2024/5/17, 30, 8, 33, 1, 
2024/5/18, 23, 10, 36, 3, 
2024/5/19, 27, 9, 39, 3, 
2024/5/20, 20, 15, 37, 5, 
2024/5/21, 40, 22, 8, 7, 
2024/5/22, 60, , , , 
2024/4/1, 71, 7, 35, 1, 
2024/4/2, 20, 7, 36, 2, 
2024/4/3, 21, 6, 38, 1, 
2024/4/4, 16, 6, 36, 1, 
2024/4/5, 17, 11, 38, 4, 
2024/4/6, 28, 16, 46, 3, 
2024/4/7, 44, 14, 43, 1, 
2024/4/8, 26, 19, 45, 2, 
2024/4/9, 30, 13, 33, 3, 
2024/4/10, 24, 14, 39, 4, 
2024/4/11, 34, 20, 44, 6, 
2024/4/12, 46, 20, 39, 5, 
2024/4/13, 51, 17, 38, 5, 
2024/4/14, 43, 14, 32, 4, 
2024/4/15, 39, 8, 41, 1, 
2024/4/16, 18, 11, 28, 4, 
2024/4/17, 32, 17, 33, 4, 
2024/4/18, 55, 14, 34, 3, 
2024/4/19, 47, 3, 27, 1, 
2024/4/20, 13, , , , 
2024/4/22, 49, 30, 39, 6, 
2024/4/23, 84, 24, 35, 6, 
2024/4/24, 70, 21, 38, 5, 
2024/4/25, 63, 20, 43, 5, 
2024/4/26, 55, 11, 47, 3, 
2024/4/27, 32, 15, 43, 5, 
2024/4/28, 38, 22, 49, 6, 
2024/4/29, 47, 20, 53, 6, 
2024/4/30, 40, 16, 47, 3, 
2024/1/7, 54, 35, 19, 5, 
2024/1/8, 102, 64, 14, 13, 
2024/1/9, 159, 95, 11, 18, 
2024/1/10, 201, 99, 9, 18, 
2024/1/11, 210, 33, 17, 11, 
2024/1/12, 95, 21, 21, 4, 
2024/1/13, 71, 14, 20, 3, 
2024/1/14, 53, 13, 22, 3, 
2024/1/15, 50, 17, 28, 5, 
2024/1/16, 57, 33, 25, 8, 
2024/1/17, 97, 15, 20, 6, 
2024/1/18, 57, 43, 21, 15, 
2024/1/19, 119, 36, 27, 10, 
2024/1/20, 103, 43, 31, 7, 
2024/1/21, 116, 17, 29, 3, 
2024/1/22, 60, 13, 28, 5, 
2024/1/23, 47, 7, 31, 2, 
2024/1/24, 26, 11, 33, 2, 
2024/1/25, 35, 13, 32, 5, 
2024/1/26, 45, 16, 33, 2, 
2024/1/27, 49, 30, 25, 7, 
2024/1/28, 78, 46, 29, 7, 
2024/1/29, 108, 15, 30, 2, 
2024/1/30, 52, 35, 21, 9, 
2024/1/31, 101, 16, 25, 4, 
2024/2/1, 57, 15, 25, 3, 
2024/2/2, 51, 10, 23, 2, 
2024/2/3, 41, 5, 32, 1, 
2024/2/4, 21, 8, 26, 1, 
2024/2/5, 24, 14, 28, 1, 
2024/2/6, 37, 7, 34, 2, 
2024/2/7, 23, 16, 26, 6, 
2024/2/8, 55, 22, 21, 6, 
2024/2/9, 64, 31, 22, 8, 
2024/2/10, 85, 15, 23, 4, 
2024/2/11, 46, 11, 23, 4, 
2024/2/12, 36, 34, 23, 9, 
2024/2/13, 94, 42, 26, 7, 
2024/2/14, 103, 18, 18, 4, 
2024/2/15, 57, 15, 31, 2, 
2024/2/16, 49, 18, 27, 4, 
2024/2/17, 58, 11, 29, 1, 
2024/2/18, 38, 8, 28, 2, 
2024/2/19, 32, 9, 27, 3, 
2024/2/20, 35, 12, 26, 3, 
2024/2/21, 45, 9, 26, 2, 
2024/2/22, 35, 10, 33, 4, 
2024/2/23, 32, 8, 33, 2, 
2024/2/24, 28, 35, 27, 7, 
2024/2/25, 97, 45, 26, 11, 
2024/2/26, 109, 57, 16, 9, 
2024/2/27, 140, 29, 10, 8, 
2024/2/28, 90, 34, 10, 7, 
2024/2/29, 88, 38, 33, 10, 
2024/3/1, 100, 27, 28, 2, 
2024/3/2, 75, 22, 33, 5, 
2024/3/3, 63, 43, 21, 7, 
2024/3/4, 116, 28, 17, 4, 
2024/3/5, 81, 30, 26, 5, 
2024/3/6, 81, 30, 29, 5, 
2024/3/7, 85, 46, 26, 9, 
2024/3/8, 119, 26, 30, 4, 
2024/3/9, 77, 17, 32, 2, 
2024/3/10, 57, 27, 27, 5, 
2024/3/11, 69, 35, 18, 11, 
2024/3/12, 99, 38, 21, 10, 
2024/3/13, 103, 36, 30, 8, 
2024/3/14, 95, 22, 29, 4, 
2024/3/15, 62, 10, 31, 2, 
2024/3/16, 39, 10, 36, 2, 
2024/3/17, 34, 13, 32, 3, 
2024/3/18, 39, 33, 30, 7, 
2024/3/19, 89, 46, 34, 9, 
2024/3/20, 114, 48, 27, 11, 
2024/3/21, 118, 22, 28, 4, 
2024/3/22, 65, 12, 33, 3, 
2024/3/23, 43, 10, 34, 1, 
2024/3/24, 37, 14, 29, 4, 
2024/3/25, 43, 30, 38, 5, 
2024/3/26, 75, 14, 34, 1, 
2024/3/27, 28, 13, 42, 1, 
2024/3/28, 24, 6, 38, 1, 
2024/3/29, 14, 57, 34, , 
2024/3/30, 73, 75, 35, , 
2024/3/31, 93, 54, 33, , 
2023/10/1, 38, 15, 44, 6, 
2023/10/2, 43, 23, 47, 4, 
2023/10/3, 56, 8, 35, 3, 
2023/10/4, 24, 15, 32, 5, 
2023/10/5, 46, 11, 33, 4, 
2023/10/6, 34, 11, 38, 3, 
2023/10/7, 30, 9, 35, 2, 
2023/10/8, 25, 11, 21, 4, 
2023/10/9, 37, 13, 25, 5, 
2023/10/10, 45, 22, 33, 4, 
2023/10/11, 55, 22, 30, 4, 
2023/10/12, 50, 17, 26, 3, 
2023/10/13, 43, 16, 30, 2, 
2023/10/14, 41, 8, 29, 1, 
2023/10/15, 22, 12, 26, 3, 
2023/10/16, 37, 18, 16, 4, 
2023/10/17, 56, 31, 19, 6, 
2023/10/18, 85, 31, 21, 6, 
2023/10/19, 90, 42, 1, 6, 
2023/10/20, 115, 28, 20, 7, 
2023/10/21, 78, 25, 19, 4, 
2023/10/22, 71, 30, 20, 6, 
2023/10/23, 80, 37, 4, 8, 
2023/10/24, 93, 21, 18, 5, 
2023/10/25, 63, 12, 18, 4, 
2023/10/26, 35, 25, 14, 7, 
2023/10/27, 77, 6, 21, 3, 
2023/10/28, 21, 2, 22, 2, 
2023/10/29, 12, 5, 21, 4, 
2023/10/30, 14, 6, 22, 4, 
2023/10/31, 18, 6, 21, 4, 
2023/11/1, 22, 8, 24, 3, 
2023/11/2, 20, 6, 21, 8, 
2023/11/3, 23, 5, 22, 3, 
2023/11/4, 16, 4, 23, 3, 
2023/11/5, 16, 7, 21, 4, 
2023/11/6, 19, 11, 23, 6, 
2023/11/7, 32, 10, 20, 5, 
2023/11/8, 36, 9, 21, 4, 
2023/11/9, 30, 15, 19, 5, 
2023/11/10, 54, 20, 12, 6, 
2023/11/11, 67, 11, 16, 4, 
2023/11/12, 41, 10, 22, 4, 
2023/11/13, 39, 7, 27, 3, 
2023/11/14, 23, 8, 26, 5, 
2023/11/15, 28, 21, 20, 8, 
2023/11/16, 63, 22, 17, 7, 
2023/11/17, 67, 11, 17, 5, 
2023/11/18, 41, 13, 17, 4, 
2023/11/19, 46, 12, 22, 5, 
2023/11/20, 43, 14, 17, 8, 
2023/11/21, 48, 20, 19, 5, 
2023/11/22, 68, 12, 22, 4, 
2023/11/23, 45, 6, 28, 4, 
2023/11/24, 25, 17, 25, 6, 
2023/11/25, 52, 14, 27, 4, 
2023/11/26, 49, 29, 11, 10, 
2023/11/27, 86, 31, 13, 10, 
2023/11/28, 94, 31, 21, 8, 
2023/11/29, 96, 27, 17, 7, 
2023/11/30, 81, 63, 5, 15, 
2023/12/1, 161, 28, 16, 9, 
2023/12/2, 89, 20, 16, 6, 
2023/12/3, 67, 45, 21, 13, 
2023/12/4, 122, 25, 21, 6, 
2023/12/5, 80, 63, 6, 17, 
2023/12/6, 160, 70, 2, 14, 
2023/12/7, 167, 44, 21, 8, 
2023/12/8, 119, 12, 19, 3, 
2023/12/9, 52, 11, 25, 3, 
2023/12/10, 46, 7, 27, 2, 
2023/12/11, 28, 18, 27, 8, 
2023/12/12, 58, 21, 21, 7, 
2023/12/13, 66, 33, 4, 8, 
2023/12/14, 100, 22, 11, 6, 
2023/12/15, 72, 20, 22, 5, 
2023/12/16, 67, 16, 19, 3, 
2023/12/17, 57, 40, 16, 13, 
2023/12/18, 91, 40, 24, 15, 
2023/12/19, 84, 7, 23, 3, 
2023/12/20, 27, 3, 34, 2, 
2023/12/21, 12, 8, 32, 1, 
2023/12/22, 32, 11, 33, 3, 
2023/12/23, 40, 7, 25, 3, 
2023/12/24, 27, 4, 27, , 
2023/12/25, 17, 5, 28, , 
2023/12/26, 19, 16, 26, 5, 
2023/12/27, 53, 19, 21, 4, 
2023/12/28, 60, 19, 16, 2, 
2023/12/29, 66, , , , 
2023/7/1, 49, 8, 33, 1, 
2023/7/2, 24, 16, 39, 3, 
2023/7/3, 44, 16, 36, 3, 
2023/7/4, 43, 17, 34, 3, 
2023/7/5, 45, 14, 36, 2, 
2023/7/6, 29, 12, 42, 3, 
2023/7/7, 29, 12, 48, 2, 
2023/7/8, 33, 14, 55, 2, 
2023/7/9, 43, 18, 39, 4, 
2023/7/10, 54, 14, 42, 2, 
2023/7/11, 38, 12, 43, 3, 
2023/7/12, 35, 9, 35, 2, 
2023/7/13, 22, 14, 43, 3, 
2023/7/14, 29, 13, 46, 3, 
2023/7/15, 33, 12, 38, 2, 
2023/7/16, 30, 13, 36, 3, 
2023/7/17, 32, 14, 41, 2, 
2023/7/18, 28, 12, 43, 2, 
2023/7/19, 25, 10, 33, 3, 
2023/7/20, 22, 11, 36, 2, 
2023/7/21, 24, 14, 39, 2, 
2023/7/22, 32, 11, 39, 2, 
2023/7/23, 29, 14, 44, 4, 
2023/7/24, 33, 8, 34, 1, 
2023/7/25, 17, 6, 27, 2, 
2023/7/26, 15, 8, 37, 2, 
2023/7/27, 19, 5, 27, 1, 
