date, pm10, o3, no2, so2, co
2024/5/1, 21, 42, 1, 2, 
2024/5/2, 23, 41, 2, 3, 
2024/5/3, 14, 40, 2, 2, 
2024/5/4, 11, 33, 5, 2, 
2024/5/5, 14, 27, 6, 3, 
2024/5/6, 12, 25, 7, 2, 
2024/5/7, 13, 42, 3, 2, 
2024/5/8, 13, 44, 7, 2, 
2024/5/9, 19, 43, 9, 2, 
2024/5/10, 18, 37, 8, 2, 
2024/5/11, 20, 46, 2, 2, 
2024/5/12, 8, 26, 4, 2, 
2024/5/13, 13, 9, 4, 2, 
2024/5/14, 15, , 3, 2, 
2024/5/15, 17, 43, 2, 2, 
2024/5/16, 21, 41, 2, 2, 
2024/5/17, 24, 29, 2, 2, 
2024/5/18, 7, 36, 3, 2, 
2024/5/19, 7, 43, 6, 2, 
2024/5/20, 11, 50, 6, 2, 
2024/5/21, 19, 27, 4, 2, 
2024/5/22, 18, , , , 
2024/4/1, 47, 35, 2, 2, 
2024/4/2, 8, 34, 4, 2, 
2024/4/3, 9, 32, 5, 3, 
2024/4/4, 9, 33, 3, 2, 
2024/4/5, 10, 35, 5, 2, 
2024/4/6, 14, 41, 7, 2, 
2024/4/7, 17, 38, 5, 2, 
2024/4/8, 29, 41, 3, 2, 
2024/4/9, 35, 30, 4, 1, 
2024/4/10, 13, 38, 8, 2, 
2024/4/11, 19, 38, 9, 2, 
2024/4/12, 22, 31, 5, 2, 
2024/4/13, 16, 34, 3, 2, 
2024/4/14, 15, 30, 4, 2, 
2024/4/15, 13, 35, 3, 3, 
2024/4/16, 11, 29, 5, 2, 
2024/4/17, 5, 30, 6, 2, 
2024/4/18, 9, 31, 4, 4, 
2024/4/19, 10, 24, 5, 2, 
2024/4/20, 7, 37, 4, 2, 
2024/4/21, 10, 33, 7, 2, 
2024/4/22, 10, 37, 7, 2, 
2024/4/23, 18, 38, 4, 2, 
2024/4/24, 21, 32, 9, 3, 
2024/4/25, 18, 39, 10, 2, 
2024/4/26, 18, 44, 4, 2, 
2024/4/27, 12, 41, 3, 2, 
2024/4/28, 13, 45, 8, 2, 
2024/4/29, 27, 48, 4, 2, 
2024/4/30, 26, 47, 1, 2, 
2024/1/7, 21, 17, 9, 3, 
2024/1/8, 39, 13, 11, 4, 
2024/1/9, 58, 11, 19, 6, 
2024/1/10, 87, 12, 14, 4, 
2024/1/11, 58, 17, 7, 1, 
2024/1/12, 18, 21, 4, 1, 
2024/1/13, 12, 21, 3, 2, 
2024/1/14, 11, 22, 4, 2, 
2024/1/15, 13, 24, 13, 3, 
2024/1/16, 24, 23, 11, 4, 
2024/1/17, 29, 17, 9, 3, 
2024/1/18, 28, 26, 7, 2, 
2024/1/19, 20, 28, 4, 2, 
2024/1/20, 16, 28, 8, 3, 
2024/1/21, 25, 27, 8, 2, 
2024/1/22, 18, 27, 6, 4, 
2024/1/23, 17, 32, 2, 2, 
2024/1/24, 11, 31, , 1, 
2024/1/25, 15, 32, 2, 1, 
2024/1/26, 19, 30, , 1, 
2024/1/27, 16, 25, 2, 2, 
2024/1/28, 28, 11, 5, 3, 
2024/1/29, 61, 10, 6, 5, 
2024/1/30, 67, 16, 8, 3, 
2024/1/31, 32, 25, 6, 1, 
2024/2/1, 17, 24, 5, 1, 
2024/2/2, 17, 23, 2, 1, 
2024/2/3, 8, 35, 1, 1, 
2024/2/4, 4, 27, 2, 1, 
2024/2/5, 13, 25, 2, 1, 
2024/2/6, 13, 29, 3, 2, 
2024/2/7, 8, 23, 7, 3, 
2024/2/8, 16, 18, 10, 3, 
2024/2/9, 29, 19, 7, 3, 
2024/2/10, 22, 21, 4, 1, 
2024/2/11, 20, 22, 4, 1, 
2024/2/12, 10, 21, 10, 2, 
2024/2/13, 27, 16, 14, 3, 
2024/2/14, 33, 11, 10, 2, 
2024/2/15, 20, 21, 10, 2, 
2024/2/16, 36, 23, 6, 1, 
2024/2/17, 15, 26, 2, 1, 
2024/2/18, 14, 25, 5, 1, 
2024/2/19, 7, 24, 4, 1, 
2024/2/20, 9, 22, 9, 3, 
2024/2/21, 27, 21, 8, 2, 
2024/2/22, 18, 30, 5, 2, 
2024/2/23, 11, 30, 3, 2, 
2024/2/24, 9, 22, 6, 2, 
2024/2/25, 22, 16, 13, 3, 
2024/2/26, 39, 11, 9, 2, 
2024/2/27, 39, 19, 6, 1, 
2024/2/28, 16, 16, 4, 1, 
2024/2/29, 23, 24, 7, 2, 
2024/3/1, 43, 23, 5, 2, 
2024/3/2, 39, 27, 3, 2, 
2024/3/3, 19, 18, 7, 2, 
2024/3/4, 39, 16, 5, 2, 
2024/3/5, 34, 17, 6, 1, 
2024/3/6, 29, 26, 5, 1, 
2024/3/7, 26, 27, 7, 2, 
2024/3/8, 35, 26, 5, 2, 
2024/3/9, 36, 27, 3, 3, 
2024/3/10, 17, 21, 7, 3, 
2024/3/11, 25, 20, 8, 2, 
2024/3/12, 29, 21, 6, 2, 
2024/3/13, 28, 23, 9, 3, 
2024/3/14, 32, 24, 8, 3, 
2024/3/15, 27, 31, 3, 2, 
2024/3/16, 9, 33, 2, 1, 
2024/3/17, 8, 31, 4, 1, 
2024/3/18, 14, 29, 8, 2, 
2024/3/19, 25, 29, 12, 6, 
2024/3/20, 46, 25, 10, 3, 
2024/3/21, 41, 24, 9, 3, 
2024/3/22, 15, 27, 7, 2, 
2024/3/23, 15, 31, 4, 3, 
2024/3/24, 8, 23, 7, 2, 
2024/3/25, 14, 32, 5, 2, 
2024/3/26, 21, 32, 2, 3, 
2024/3/27, 20, 33, 3, 4, 
2024/3/28, 15, 36, 3, 2, 
2024/3/29, 16, 30, 1, 2, 
2024/3/30, 76, 33, 2, 2, 
2024/3/31, 81, 31, 3, 2, 
2023/10/1, 18, 33, 3, 2, 
2023/10/2, 30, 32, 3, 2, 
2023/10/3, 36, 24, 2, 2, 
2023/10/4, 14, 26, 2, 1, 
2023/10/5, 16, 22, 3, 2, 
2023/10/6, 18, 27, , 2, 
