date, pm10, o3, no2, so2, co
2024/5/1, 17, 37, 4, 1, 3
2024/5/2, 23, 40, 4, 1, 3
2024/5/3, 19, 39, 5, 1, 3
2024/5/4, 21, 33, 3, 2, 3
2024/5/5, 21, 25, 4, 1, 3
2024/5/6, 12, 28, 5, , 3
2024/5/7, 9, 30, 6, , 3
2024/5/8, 10, 34, 5, 1, 2
2024/5/9, 14, 22, 7, 1, 3
2024/5/10, 13, 26, 5, , 2
2024/5/11, 8, 30, 4, , 3
2024/5/12, 8, 28, 6, , 3
2024/5/13, 9, 27, 7, 1, 3
2024/5/14, 14, 32, 3, 1, 2
2024/5/15, 16, 34, 3, 3, 2
2024/5/16, 24, 35, 4, 5, 3
2024/5/17, 23, 37, 4, 6, 3
2024/5/18, 21, 25, 4, 8, 3
2024/5/19, 15, 25, 7, 10, 3
2024/5/20, 15, 20, 8, 12, 3
2024/5/21, 18, , , , 
2024/4/1, 63, 31, 2, 1, 3
2024/4/2, 15, 23, 4, , 3
2024/4/3, 8, 20, 4, 4, 3
2024/4/4, 17, 27, 4, 2, 3
2024/4/5, 14, 28, 3, , 3
2024/4/6, 18, 27, 3, 2, 3
2024/4/7, 19, 22, 9, , 3
2024/4/8, 22, 28, 6, 2, 3
2024/4/9, 25, 29, 5, , 2
2024/4/10, 18, 34, 3, , 2
2024/4/11, 16, 25, 4, 2, 3
2024/4/12, 13, 26, 5, , 3
2024/4/13, 17, 36, 2, 1, 2
2024/4/14, 18, 31, 4, 3, 2
2024/4/15, 12, 31, 4, 2, 3
2024/4/16, 9, 26, 7, , 3
2024/4/17, 9, 25, 7, , 3
2024/4/18, 12, 30, 5, 3, 3
2024/4/19, 12, 32, 6, , 3
2024/4/20, 11, 35, 4, , 2
2024/4/21, 9, 28, 6, , 2
2024/4/22, 10, 31, 3, , 2
2024/4/23, 12, 27, 7, 1, 3
2024/4/24, 20, 36, 5, , 3
2024/4/25, 21, 35, 4, 1, 3
2024/4/26, 14, 38, 4, 1, 3
2024/4/27, 21, 41, 3, 2, 3
2024/4/28, 18, 32, 5, 5, 3
2024/4/29, 16, 34, 6, 1, 3
2024/4/30, 19, 38, 3, 1, 3
2024/1/1, 37, 6, 5, , 4
2024/1/2, 28, 9, 4, 1, 3
2024/1/3, 15, 21, 8, 2, 4
2024/1/4, 21, 28, 11, 1, 4
2024/1/5, 24, 29, 8, 3, 4
2024/1/6, 27, 22, 6, 5, 3
2024/1/7, 26, 12, 13, , 5
2024/1/8, 44, 24, 6, 2, 3
2024/1/9, 28, 23, 5, 4, 3
2024/1/10, 16, 31, 7, 2, 3
2024/1/11, 11, 26, 5, , 3
2024/1/12, 12, 27, 2, 1, 3
2024/1/13, 12, 28, 2, 1, 3
2024/1/14, 9, 32, 2, , 3
2024/1/15, 9, 33, 6, , 4
2024/1/19, 19, 24, 4, 2, 3
2024/1/20, 14, 28, 3, , 4
2024/1/21, 21, 26, 3, 1, 3
2024/1/22, 16, 30, 3, 2, 3
2024/1/23, 15, 25, 2, 1, 3
2024/1/24, 12, 22, 6, , 4
2024/1/25, 10, 25, 5, , 4
2024/1/26, 11, 33, 4, 1, 3
2024/1/27, 14, 24, 2, 1, 3
2024/1/28, 15, 22, 4, 1, 4
2024/1/29, 24, 17, 8, 1, 5
2024/1/30, 32, 31, 5, 2, 4
2024/1/31, 24, 32, 2, 1, 3
2024/2/1, 14, 31, 3, 1, 3
2024/2/2, 17, 34, 1, 2, 3
2024/2/3, 10, 34, 1, , 3
2024/2/4, 11, 33, 3, , 4
2024/2/5, 10, 25, 4, , 4
2024/2/6, 10, 33, 3, , 4
2024/2/7, 10, 23, 5, , 4
2024/2/8, 16, 23, 6, , 5
2024/2/9, 28, 19, 5, 3, 5
2024/2/10, 21, 8, 5, 5, 5
2024/2/11, 22, 9, 5, 4, 6
2024/2/12, 16, 24, 5, 4, 4
2024/2/13, 11, 24, 4, 5, 4
2024/2/14, 22, 20, 5, 3, 5
2024/2/15, 26, 26, 4, 1, 5
2024/2/16, 24, 25, 3, 1, 4
2024/2/17, 10, 26, 2, , 4
2024/2/18, 12, 24, 4, , 4
2024/2/19, 17, 25, 5, 1, 4
2024/2/20, 10, 22, 3, 1, 2
2024/2/21, 14, 25, 3, 1, 1
2024/2/22, 16, 28, 6, , 1
2024/2/23, 21, 31, 4, 1, 1
2024/2/24, 13, 28, 4, 2, 1
2024/2/25, 18, 11, 11, 1, 3
2024/2/26, 34, 12, 8, , 3
2024/2/27, 21, 24, 8, , 3
2024/2/28, 9, 24, 4, , 2
2024/2/29, 13, 23, 5, 2, 3
2024/3/1, 35, 18, 4, 1, 3
2024/3/2, 36, 27, 4, 1, 3
2024/3/3, 34, 21, 6, 2, 3
2024/3/4, 33, 18, 7, 1, 3
2024/3/5, 29, 28, 6, 1, 3
2024/3/6, 27, 24, 12, 1, 3
2024/3/7, 26, 24, 13, , 4
2024/3/8, 37, 16, 8, 1, 4
2024/3/9, 34, 31, 3, 2, 3
2024/3/10, 25, 28, 4, 2, 3
2024/3/11, 20, 18, 6, 2, 3
2024/3/12, 27, 6, 8, 2, 5
2024/3/13, 42, 28, 6, 2, 4
2024/3/14, 37, 29, 5, 3, 3
2024/3/15, 32, 32, 4, 3, 3
2024/3/16, 22, 31, 2, 2, 2
2024/3/17, 10, 27, 7, 2, 3
