date, pm25, pm10, o3, no2, so2
2021/4/1, 90, 21, 31, 3, 
2021/4/2, 59, 26, 23, 4, 
2021/4/3, 85, 15, 30, 2, 
2021/4/4, 51, 15, 36, 2, 
2021/4/5, 52, 18, 28, 4, 
2021/4/6, 55, 23, 28, 5, 
2021/4/7, 70, 16, 25, 4, 
2021/4/8, 53, 18, 34, 4, 1
2021/4/9, 56, 19, 41, 3, 2
2021/4/10, 48, 20, 44, 2, 1
2021/4/11, 47, 33, 38, 7, 1
2021/4/12, 67, 26, , 9, 
2021/4/13, 59, 17, , 9, 1
2021/4/14, 41, 17, , 11, 
2021/4/15, 40, 18, , 10, 
2021/4/16, 41, 30, , 13, 1
2021/4/17, 64, 42, , 12, 2
2021/4/18, 95, 43, 32, 13, 1
2021/4/19, 96, 36, 43, 14, 1
2021/4/20, 87, 38, 46, 12, 
2021/4/21, 88, 29, 36, 11, 
2021/4/22, 54, 26, 38, 9, 
2021/4/23, 49, 29, 42, 10, 
2021/4/24, 64, 30, 42, 10, 
2021/4/25, 71, 29, 39, 11, 
2021/4/26, 64, 44, 44, 13, 1
2021/4/27, 85, 34, 56, 11, 
2021/4/28, 75, 35, 33, 10, 
2021/4/29, 73, 31, 49, 14, 
2021/4/30, 93, 37, 32, 11, 1
2021/5/1, 80, 26, 37, 7, 1
2021/5/2, 84, 17, 40, 8, 
2021/5/3, 90, 20, 50, 11, 
2021/5/4, 97, 23, 51, 10, 
2021/5/5, 58, 19, 39, 10, 
2021/5/6, 49, 14, 36, 10, 
2021/5/7, 50, 23, 40, 11, 
2021/5/8, 68, 23, 52, 9, 
2021/5/9, 62, 22, 44, 8, 
2021/5/10, 51, 28, 47, 7, 
2021/5/11, 52, 40, 44, 6, 
2021/5/12, 56, 26, 33, 8, 1
2021/5/13, 60, 27, 27, 11, 
2021/5/14, 71, 21, 38, 9, 
2021/5/15, 67, 15, 32, 8, 
2021/5/16, 57, 17, 35, 8, 
2021/5/17, 56, 16, 24, 10, 
2021/5/18, 59, 23, 26, 11, 
2021/5/19, 67, 23, 37, 11, 
2021/5/20, 63, , , , 
2021/1/4, 103, 13, 4, 5, 
2021/1/5, 53, 19, 12, 5, 
2021/1/6, 69, 24, 8, 7, 1
2021/1/7, 76, 36, 5, 13, 2
2021/1/8, 102, 31, 8, 8, 2
2021/1/9, 91, 31, 7, 6, 2
2021/1/10, 90, 45, 6, 10, 3
2021/1/11, 122, 39, 12, 7, 2
2021/1/12, 105, 18, 15, 5, 1
2021/1/13, 64, 34, 11, 7, 3
2021/1/14, 98, 21, 16, 4, 2
2021/1/15, 73, 24, 11, 4, 2
2021/1/16, 80, 38, 10, 4, 2
2021/1/17, 109, 63, 11, 11, 7
2021/1/18, 146, 45, 10, 9, 3
2021/1/19, 128, 25, 14, 6, 1
2021/1/20, 81, 23, 14, 6, 1
2021/1/21, 74, 21, 15, 5, 1
2021/1/22, 68, 17, 17, 3, 2
2021/1/23, 60, 38, 9, 7, 3
2021/1/24, 100, 26, 14, 6, 1
2021/1/25, 83, 21, 13, 6, 1
2021/1/26, 72, 27, 11, 7, 1
2021/1/27, 83, 21, 18, 6, 
2021/1/28, 71, 34, 15, 9, 4
2021/1/29, 85, 34, 13, 7, 2
2021/1/30, 105, 35, 18, 7, 2
2021/1/31, 99, 47, 9, 9, 4
2021/2/1, 137, 45, 10, 10, 2
2021/2/2, 124, 16, 10, 5, 1
2021/2/3, 59, 18, 11, 5, 
2021/2/4, 60, 23, 12, 4, 3
2021/2/5, 59, 27, 15, 3, 4
2021/2/6, 67, 32, 10, 8, 28
2021/2/7, 69, 29, 12, 6, 12
2021/2/8, 77, 55, 10, 8, 5
2021/2/9, 130, 55, 10, 8, 4
2021/2/10, 137, 50, 14, 7, 2
2021/2/11, 137, 27, 16, 5, 1
2021/2/12, 88, 29, 19, 4, 1
2021/2/13, 78, 25, 18, 3, 
2021/2/14, 72, 46, 15, 10, 4
2021/2/15, 110, 44, 17, 8, 4
2021/2/16, 109, 31, 13, 8, 1
2021/2/17, 86, 45, 13, 7, 2
2021/2/18, 121, 49, 11, 11, 2
2021/2/19, 127, 48, 16, 9, 2
2021/2/20, 126, 28, 18, 3, 1
2021/2/21, 80, 46, 17, 12, 2
2021/2/22, 108, 58, 7, 14, 3
2021/2/23, 141, 68, 8, 18, 4
2021/2/24, 144, 59, 16, 10, 1
2021/2/25, 132, 55, 15, 9, 2
2021/2/26, 111, 19, 14, 3, 
2021/2/27, 53, 25, 13, 3, 
2021/2/28, 67, 29, 10, 4, 
2021/3/1, 73, 42, 10, 7, 1
2021/3/2, 91, 59, 13, 12, 3
2021/3/3, 130, 56, 12, 8, 2
2021/3/4, 123, 26, 13, 4, 
2021/3/5, 72, 28, 14, 4, 1
2021/3/6, 68, 26, 16, 3, 1
2021/3/7, 66, 28, 15, 5, 2
2021/3/8, 72, 38, 15, 7, 2
2021/3/9, 87, 40, 16, 6, 2
2021/3/10, 97, 36, 20, 4, 2
2021/3/11, 86, 24, 17, 6, 1
2021/3/12, 69, 17, 18, 3, 
2021/3/13, 48, 16, 19, 2, 
2021/3/14, 46, 31, 24, 7, 1
2021/3/15, 80, 42, 29, 6, 1
2021/3/16, 97, 29, 22, 4, 
2021/3/17, 76, 42, 25, 9, 1
2021/3/18, 90, 51, 26, 9, 1
