date, pm25, pm10, o3, no2, so2
2016/10/1, 85, 24, 35, 7, 3
2016/10/2, 69, 18, 19, 6, 3
2016/10/3, 63, 13, 21, 3, 2
2016/10/4, 38, 8, 15, 5, 
2016/10/5, 33, 22, 11, 7, 1
2016/10/6, 65, 33, 14, 9, 3
2016/10/7, 92, 34, 7, 9, 3
2016/10/8, 100, 27, 11, 8, 2
2016/10/9, 85, 33, 12, 8, 3
2016/10/10, 94, 30, 5, 7, 4
2016/10/11, 90, 21, 15, 8, 6
2016/10/12, 68, 28, 14, 6, 2
2016/10/13, 78, 34, 18, 5, 4
2016/10/14, 92, 20, 14, 4, 2
2016/10/15, 58, 19, 18, 4, 3
2016/10/16, 61, 18, 16, 4, 1
2016/10/17, 57, 21, 13, 7, 2
2016/10/18, 64, 34, 14, 7, 3
2016/10/19, 92, 26, 13, 6, 2
2016/10/20, 79, 27, 8, 6, 2
2016/10/21, 81, 37, 7, 9, 3
2016/10/22, 100, 35, 15, 6, 4
2016/10/23, 101, 23, 19, 6, 3
2016/10/24, 67, 21, 15, 7, 1
2016/10/25, 67, 25, 17, 6, 
2016/10/26, 74, 36, 13, 10, 2
2016/10/27, 97, 41, 15, 11, 
2016/10/28, 110, 16, 26, 4, 1
2016/10/29, 46, 15, 25, 3, 1
2016/10/30, 45, 14, 22, 5, 
2016/10/31, 47, 24, 16, 6, 
2016/11/1, 71, 15, 21, 7, 1
2016/11/2, 52, 13, 19, 4, 
2016/11/3, 43, 30, 17, 11, 2
2016/11/4, 84, 24, 22, 6, 2
2016/11/5, 66, 22, 15, 6, 2
2016/11/6, 74, 31, 15, 11, 2
2016/11/7, 87, 37, 10, 11, 5
2016/11/8, 99, 32, 9, 9, 1
2016/11/9, 91, 57, 13, 13, 3
2016/11/10, 145, 37, 10, 9, 4
2016/11/11, 103, 33, 14, 6, 1
2016/11/12, 96, 25, 18, 5, 2
2016/11/13, 78, 42, 12, 13, 2
2016/11/14, 109, 52, 16, 12, 4
2016/11/15, 129, 23, 17, 7, 4
2016/11/16, 69, 16, 13, 6, 5
2016/11/17, 51, 24, 23, 5, 6
2016/11/18, 71, 27, 25, 5, 6
2016/11/19, 73, 20, 21, 4, 5
2016/11/20, 61, 21, 25, 5, 5
2016/11/21, 62, 27, 21, 7, 4
2016/11/22, 77, 47, 11, 11, 5
2016/11/23, 111, 61, 3, 11, 6
2016/11/24, 139, 67, 6, 11, 6
2016/11/25, 150, 67, 2, 12, 8
2016/11/26, 153, 29, 20, 6, 7
2016/11/27, 80, 14, 21, 4, 5
2016/11/28, 45, 22, 20, 5, 5
2016/11/29, 66, 30, 17, 8, 8
2016/11/30, 77, 19, 9, 11, 9
2016/12/1, 64, 16, 24, 5, 6
2016/12/2, 52, 16, 21, 3, 4
2016/12/3, 51, 37, 18, 8, 5
2016/12/4, 93, 57, 13, 11, 6
2016/12/5, 137, 48, 10, 11, 8
2016/12/6, 129, 51, 13, 12, 7
2016/12/7, 124, 30, 18, 8, 9
2016/12/8, 86, 26, 17, 10, 9
2016/12/9, 77, 23, 16, 8, 7
2016/12/10, 69, 22, 21, 5, 6
2016/12/11, 65, 16, 23, 3, 5
2016/12/12, 52, 43, 17, 11, 6
2016/12/13, 102, 35, 15, 9, 7
