date, pm25, pm10, o3, no2, so2, co
2021/4/1, 95, 19, 34, 4, , 1
2021/4/2, 49, 23, 26, 3, , 1
2021/4/3, 68, 19, 29, 3, , 1
2021/4/4, 61, 14, 36, 1, , 1
2021/4/5, 44, 14, 30, 3, , 1
2021/4/6, 45, 20, 31, 4, , 2
2021/4/7, 61, 12, 25, 3, , 2
2021/4/8, 46, 17, 35, 3, , 2
2021/4/9, 50, 18, 43, 3, , 1
2021/4/10, 47, 19, 46, 3, , 1
2021/4/11, 50, 25, 39, 6, , 2
2021/4/12, 57, 16, 28, 4, , 2
2021/4/13, 52, 10, 30, 3, , 2
2021/4/14, 37, 13, 19, 3, , 1
2021/4/15, 49, 9, 17, 3, , 1
2021/4/16, 35, 18, 19, 3, , 2
2021/4/17, 57, 20, 31, 2, , 2
2021/4/18, 63, 26, 28, 5, , 2
2021/4/19, 76, 19, 38, 4, , 1
2021/4/20, 52, 25, 39, 4, , 1
2021/4/21, 66, 22, 32, 4, , 
2021/4/22, 60, 18, 32, 2, , 
2021/4/23, 50, 21, 34, 3, , 1
2021/4/24, 56, 18, 36, 2, , 1
2021/4/25, 53, 25, 31, 4, , 2
2021/4/26, 64, 29, 37, 5, , 2
2021/4/27, 71, 30, 42, 6, , 2
2021/4/28, 69, 24, 24, 3, , 1
2021/4/29, 62, 22, 38, 4, , 2
2021/4/30, 59, 25, 21, 2, , 2
2021/5/1, 73, 17, 31, 1, , 1
2021/5/2, 51, 9, 33, 1, , 1
2021/5/3, 30, 14, 43, 2, , 
2021/5/4, 37, 12, 43, 2, , 1
2021/5/5, 29, 13, 35, 3, , 1
2021/5/6, 36, 9, 31, 4, , 1
2021/5/7, 28, 12, 34, 3, , 1
2021/5/8, 35, 14, 42, 2, , 1
2021/5/9, 42, 17, 41, 5, , 1
2021/5/10, 36, 21, 39, 3, , 1
2021/5/11, 42, 20, 42, 1, , 1
2021/5/12, 36, 16, 25, 2, , 1
2021/5/13, 32, 11, 24, 1, , 1
2021/5/14, 37, 18, 30, 1, , 1
2021/5/15, 52, 11, 25, , , 1
2021/5/16, 33, 11, 27, 1, , 1
2021/5/17, 33, 15, 26, 2, , 
2021/5/18, 43, 13, 26, 2, , 1
2021/5/19, 38, 14, 37, 2, , 1
2021/5/20, 36, , , , , 
2021/1/4, 99, 12, 11, 4, , 2
2021/1/5, 42, 24, 17, 5, , 4
2021/1/6, 75, 29, 9, 5, , 4
2021/1/7, 84, 34, 9, 7, , 4
2021/1/8, 96, 31, 10, 6, , 3
2021/1/9, 89, 23, 10, 3, , 3
2021/1/10, 70, 22, 14, 5, , 2
2021/1/11, 63, 34, 17, 5, , 4
2021/1/12, 91, 18, 19, 4, , 2
2021/1/13, 60, 28, 18, 5, , 3
2021/1/14, 84, 18, 22, 3, , 2
2021/1/15, 59, 21, 21, 3, , 3
2021/1/16, 67, 39, 16, 4, , 3
2021/1/17, 107, 43, 15, 9, , 7
2021/1/18, 130, 61, 14, 10, , 8
2021/1/19, 142, 25, 20, 5, , 4
2021/1/20, 76, 22, 22, 7, , 4
2021/1/21, 71, 16, 22, 3, , 2
2021/1/22, 56, 19, 25, 4, , 2
2021/1/23, 58, 23, 19, 5, , 3
2021/1/24, 71, 27, 20, 6, , 3
