date, pm10
2024/5/1, 23
2024/5/2, 25
2024/5/3, 17
2024/5/4, 20
2024/5/5, 19
2024/5/6, 13
2024/5/7, 18
2024/5/8, 21
2024/5/9, 26
2024/5/10, 24
2024/5/11, 27
2024/5/12, 20
2024/5/13, 19
2024/5/14, 22
2024/5/15, 23
2024/5/16, 19
2024/5/17, 20
2024/5/18, 13
2024/5/19, 13
2024/5/20, 13
2024/5/21, 22
2024/5/22, 37
2024/4/1, 52
2024/4/2, 9
2024/4/3, 12
2024/4/4, 15
2024/4/5, 11
2024/4/6, 22
2024/4/7, 30
2024/4/8, 30
2024/4/9, 31
2024/4/10, 14
2024/4/11, 19
2024/4/12, 29
2024/4/13, 30
2024/4/14, 25
2024/4/15, 22
2024/4/16, 13
2024/4/17, 14
2024/4/18, 25
2024/4/19, 19
2024/4/20, 8
2024/4/21, 21
2024/4/22, 22
2024/4/23, 35
2024/4/24, 35
2024/4/25, 25
2024/4/26, 27
2024/4/27, 29
2024/4/28, 27
2024/4/29, 32
2024/4/30, 31
2024/1/7, 28
2024/1/8, 45
2024/1/9, 93
2024/1/10, 160
2024/1/11, 86
2024/1/12, 16
2024/1/13, 14
2024/1/14, 14
2024/1/15, 17
2024/1/16, 34
2024/1/17, 85
2024/1/18, 40
2024/1/19, 65
2024/1/20, 46
2024/1/21, 89
2024/1/22, 54
2024/1/23, 15
2024/1/24, 10
2024/1/25, 12
2024/1/26, 16
2024/1/27, 14
2024/1/28, 57
2024/1/29, 100
2024/1/30, 77
2024/1/31, 67
2024/2/1, 20
2024/2/2, 16
2024/2/3, 12
2024/2/4, 6
2024/2/5, 8
2024/2/6, 14
2024/2/7, 11
2024/2/8, 33
2024/2/9, 45
2024/2/10, 71
2024/2/11, 22
2024/2/12, 17
2024/2/13, 50
2024/2/14, 57
2024/2/15, 47
2024/2/16, 60
2024/2/17, 28
2024/2/18, 31
2024/2/19, 17
2024/2/20, 10
2024/2/21, 32
2024/2/22, 23
2024/2/23, 17
2024/2/24, 29
2024/2/25, 52
2024/2/26, 65
2024/2/27, 60
2024/2/28, 44
2024/2/29, 46
2024/3/1, 46
2024/3/2, 36
2024/3/3, 34
2024/3/4, 49
2024/3/5, 38
2024/3/6, 42
2024/3/7, 40
2024/3/8, 57
2024/3/9, 36
2024/3/10, 32
2024/3/11, 28
2024/3/12, 24
2024/3/13, 49
2024/3/14, 44
2024/3/15, 46
2024/3/16, 21
2024/3/17, 14
2024/3/18, 30
2024/3/19, 50
2024/3/20, 53
2024/3/21, 46
2024/3/22, 33
2024/3/23, 27
2024/3/24, 14
2024/3/25, 20
2024/3/26, 32
2024/3/27, 22
2024/3/28, 16
2024/3/29, 23
2024/3/30, 71
2024/3/31, 76
2023/10/1, 22
2023/10/2, 26
2023/10/3, 24
2023/10/4, 15
2023/10/5, 26
2023/10/6, 18
2023/10/7, 15
2023/10/8, 15
2023/10/9, 26
2023/10/10, 24
2023/10/11, 42
2023/10/12, 31
2023/10/13, 34
2023/10/14, 20
2023/10/15, 18
2023/10/16, 17
2023/10/17, 40
2023/10/18, 52
2023/10/19, 87
2023/10/20, 64
2023/10/21, 46
2023/10/22, 26
2023/10/23, 41
2023/10/24, 52
2023/10/25, 28
2023/10/26, 26
2023/10/27, 32
2023/10/28, 13
2023/10/29, 37
2023/10/30, 38
2023/10/31, 9
2023/11/1, 20
2023/11/2, 27
2023/11/3, 18
2023/11/4, 13
2023/11/5, 11
2023/11/6, 11
2023/11/7, 14
2023/11/8, 17
2023/11/9, 42
2023/11/10, 27
2023/11/11, 26
2023/11/12, 25
2023/11/13, 29
2023/11/14, 13
2023/11/15, 10
2023/11/16, 48
2023/11/17, 25
2023/11/18, 28
2023/11/19, 22
2023/11/20, 11
2023/11/21, 18
2023/11/22, 32
2023/11/23, 15
2023/11/24, 7
2023/11/25, 26
2023/11/26, 23
2023/11/27, 44
2023/11/28, 39
2023/11/29, 39
2023/11/30, 43
2023/12/1, 80
2023/12/2, 29
2023/12/3, 15
2023/12/4, 52
2023/12/5, 36
2023/12/6, 72
2023/12/7, 57
2023/12/8, 82
2023/12/9, 34
2023/12/10, 26
2023/12/11, 11
2023/12/12, 40
2023/12/13, 55
2023/12/14, 39
2023/12/15, 20
2023/12/16, 17
2023/12/17, 27
2023/12/18, 43
2023/12/19, 15
2023/12/20, 8
2023/12/21, 5
2023/12/22, 7
2023/12/23, 7
2023/12/24, 7
2023/12/25, 7
2023/12/26, 6
2023/12/27, 45
2023/12/28, 37
2023/9/9, 35
2023/9/10, 21
2023/9/11, 24
2023/9/12, 27
2023/9/13, 23
2023/9/14, 7
2023/9/15, 17
2023/9/16, 17
2023/9/17, 17
2023/9/18, 26
2023/9/19, 13
2023/9/20, 17
2023/9/21, 18
2023/9/22, 14
2023/9/23, 10
2023/9/24, 18
2023/9/25, 23
2023/9/26, 25
2023/9/27, 31
2023/9/28, 32
2023/9/29, 30
2023/9/30, 24
