date, pm10
2020/8/15, 20
2020/8/16, 21
2020/8/17, 21
2020/8/18, 15
2018/10/1, 29
2018/10/2, 11
2018/10/3, 13
2018/10/4, 42
2018/10/5, 53
2018/10/6, 62
2018/10/7, 33
2018/10/8, 35
2018/10/9, 49
2018/10/10, 55
2018/10/11, 47
2018/10/12, 56
2018/10/13, 60
2018/10/14, 36
2018/10/15, 39
2018/10/16, 53
2018/10/17, 61
2018/10/18, 63
2018/10/19, 78
2018/10/20, 40
2018/10/21, 50
2018/10/22, 40
2018/10/23, 21
2018/10/24, 13
2018/10/25, 14
2018/10/26, 18
2018/10/27, 32
2018/10/28, 10
2018/10/29, 41
2018/10/30, 24
2018/10/31, 50
2018/11/1, 28
2018/11/2, 56
2018/11/3, 14
2018/11/4, 34
2018/11/5, 28
2018/11/6, 27
2018/11/7, 39
2018/11/8, 60
2018/11/9, 65
2018/11/10, 41
2018/11/11, 44
2018/11/12, 51
2018/11/13, 43
2018/11/14, 45
2018/11/15, 50
2018/11/16, 39
2018/11/17, 35
2018/11/18, 65
2018/11/19, 37
2018/11/20, 40
2018/11/21, 39
2018/11/22, 44
2018/11/23, 60
2018/11/24, 36
2018/11/25, 50
2018/11/26, 25
2018/11/27, 22
2018/11/28, 41
2018/11/29, 106
2018/11/30, 63
2018/12/1, 59
2018/12/2, 52
2018/12/3, 58
2018/12/4, 26
2018/12/5, 76
2018/12/6, 94
2018/12/7, 23
2018/12/8, 15
2018/12/9, 12
2018/12/10, 18
2018/12/11, 14
2018/12/12, 21
2018/12/13, 52
2018/7/1, 6
2018/7/2, 7
2018/7/3, 9
2018/7/4, 12
2018/7/5, 15
2018/7/6, 13
2018/7/7, 11
2018/7/8, 12
2018/7/9, 11
2018/7/10, 7
2018/7/11, 10
2018/7/12, 9
2018/7/13, 7
2018/7/14, 11
2018/7/15, 11
2018/7/16, 10
2018/7/17, 8
2018/7/18, 5
2018/7/19, 8
2018/7/20, 12
2018/7/21, 18
2018/7/22, 16
2018/7/23, 18
2018/7/24, 16
2018/7/25, 14
2018/7/26, 11
2018/7/27, 12
2018/7/28, 13
2018/7/29, 11
2018/7/30, 11
2018/7/31, 18
2018/8/1, 17
2018/8/2, 19
2018/8/3, 19
2018/8/4, 16
2018/8/5, 12
2018/8/6, 7
2018/8/7, 12
2018/8/8, 15
2018/8/9, 19
2018/8/10, 9
2018/8/11, 10
2018/8/12, 10
2018/8/13, 11
2018/8/14, 8
2018/8/15, 8
2018/8/16, 10
2018/8/17, 16
2018/8/18, 15
2018/8/19, 14
2018/8/20, 15
2018/8/21, 13
2018/8/22, 18
2018/8/23, 18
2018/8/24, 12
2018/8/25, 12
2018/8/26, 7
2018/8/27, 11
2018/8/28, 19
2018/8/29, 21
2018/8/30, 12
2018/8/31, 8
2018/9/1, 9
2018/9/2, 16
2018/9/3, 18
2018/9/4, 18
2018/9/5, 16
2018/9/6, 17
2018/9/7, 19
2018/9/8, 14
2018/9/9, 11
2018/9/10, 15
2018/9/11, 19
2018/9/12, 21
2018/9/13, 17
2018/9/14, 9
2018/9/15, 19
2018/9/16, 16
2018/9/17, 21
2018/9/18, 19
2018/9/19, 26
2018/9/20, 31
2018/9/21, 20
2018/9/22, 15
2018/9/23, 8
2018/9/24, 6
2018/9/25, 21
2018/9/26, 34
2018/9/27, 31
2018/9/28, 21
2018/9/29, 29
2018/9/30, 43
2018/4/1, 15
2018/4/2, 29
2018/4/3, 41
2018/4/4, 48
2018/4/5, 21
2018/4/6, 26
2018/4/7, 32
2018/4/8, 23
2018/4/9, 38
2018/4/10, 38
2018/4/11, 31
2018/4/12, 47
2018/4/13, 29
2018/4/14, 19
2018/4/15, 31
2018/4/16, 25
2018/4/17, 27
2018/4/18, 31
2018/4/19, 27
2018/4/20, 23
2018/4/21, 29
2018/4/22, 17
2018/4/23, 21
2018/4/24, 22
2018/4/25, 19
2018/4/26, 15
2018/4/27, 26
2018/4/28, 23
2018/4/29, 33
2018/4/30, 27
2018/5/1, 14
2018/5/2, 26
2018/5/3, 17
2018/5/4, 13
2018/5/5, 16
2018/5/6, 12
2018/5/7, 12
2018/5/8, 21
2018/5/9, 15
2018/5/10, 15
2018/5/11, 15
2018/5/12, 25
2018/5/13, 22
2018/5/14, 17
2018/5/15, 8
2018/5/16, 8
2018/5/17, 8
2018/5/18, 21
2018/5/19, 14
2018/5/20, 11
2018/5/21, 15
2018/5/22, 17
2018/5/23, 16
2018/5/24, 12
2018/5/25, 14
2018/5/26, 15
2018/5/27, 16
2018/5/28, 22
2018/5/29, 19
2018/5/30, 21
2018/5/31, 22
2018/6/1, 18
2018/6/2, 13
2018/6/3, 9
2018/6/4, 12
2018/6/5, 16
2018/6/6, 12
2018/6/7, 12
2018/6/8, 15
