date, pm25, pm10, o3, no2, so2, co
2024/5/1, 20, 20, 43, 3, 1, 
2024/5/2, 17, 18, 47, 6, 1, 
2024/5/3, 22, 19, 46, 8, 1, 
2024/5/4, 36, 18, 44, 5, 1, 
2024/5/5, 33, 17, 38, 6, 1, 
2024/5/6, 25, 15, 35, 4, , 
2024/5/7, 35, 15, 37, 3, , 
2024/5/8, 22, 20, 43, 7, , 
2024/5/9, 35, 21, 48, 12, , 
2024/5/10, 44, 19, 27, 14, 1, 
2024/5/11, 51, 13, 34, 4, , 
2024/5/12, 23, 13, 34, 7, , 
2024/5/13, 24, 16, 31, 6, 1, 
2024/5/14, 27, 18, 33, 3, 1, 
2024/5/15, 26, 15, 30, 3, , 
2024/5/16, 23, 17, 37, 3, 1, 
2024/5/17, 27, 13, 39, 5, 1, 
2024/5/18, 27, 11, 38, 3, 2, 
2024/5/19, 26, 17, 34, 9, 1, 
2024/5/20, 31, 16, 43, 5, 1, 
2024/5/21, 31, 27, 26, 7, 1, 
2024/5/22, 47, , , , , 
2024/4/1, 91, 21, 28, 8, 1, 
2024/4/2, 32, 16, 35, 7, , 
2024/4/3, 17, 18, 31, 8, , 
2024/4/4, 21, 19, 35, 7, , 
2024/4/5, 19, 22, 33, 9, , 
2024/4/6, 35, 23, 37, 5, , 
2024/4/7, 49, 20, 39, 3, 1, 
2024/4/8, 20, 22, 41, 4, 1, 
2024/4/9, 19, 27, 29, 5, , 
2024/4/10, 35, 22, 32, 6, , 
2024/4/11, 32, 26, 39, 13, , 
2024/4/12, 46, 25, 39, 8, , 
2024/4/13, 53, 23, 33, 7, 1, 
2024/4/14, 37, 18, 22, 7, 1, 
2024/4/15, 51, 15, 31, 7, 1, 
2024/4/16, 30, 20, 24, 9, 1, 
2024/4/17, 43, 14, 32, 4, 1, 
2024/4/18, 41, 14, 31, 9, 1, 
2024/4/19, 38, 16, 31, 5, 1, 
2024/4/20, 25, 11, 20, 3, , 
2024/4/21, 41, 16, 30, 3, , 
2024/4/22, 44, 19, 29, 4, 1, 
2024/4/23, 60, 26, 21, 8, 1, 
2024/4/24, 65, 14, 34, 11, 1, 
2024/4/25, 62, 19, 38, 6, 1, 
2024/4/26, 47, 22, 45, 3, 2, 
2024/4/27, 28, 21, 43, 3, 1, 
2024/4/28, 22, 20, 43, 5, , 
2024/4/29, 22, 23, 42, 4, , 
2024/4/30, 24, 16, 45, 3, , 
2024/1/7, 49, 30, 14, 2, 1, 
2024/1/8, 90, 78, 15, 5, 6, 
2024/1/9, 171, 105, 9, 17, 9, 
2024/1/10, 214, 66, 13, 19, 8, 
2024/1/11, 114, 31, 20, 8, 5, 
2024/1/12, 61, 15, 21, 12, 2, 
2024/1/13, 54, 11, 22, 4, 2, 
2024/1/14, 40, 14, 24, 5, 3, 
