date, pm10, o3, no2, so2, co
2021/10/1, 20, 27, 8, 2, 4
2021/10/2, 25, 3, 9, 2, 5
2021/10/3, 25, , , 2, 
2021/10/4, 25, , , 3, 
2021/10/5, 25, , , 2, 
2021/10/6, 24, , , 2, 
2021/10/7, 29, , , 2, 
2021/10/8, 31, , , 3, 
2021/10/9, 40, , , 5, 
2021/10/10, 48, , , 4, 
2021/10/11, 42, , , 4, 
2021/10/12, 38, , , 4, 
2021/10/13, 27, , , 3, 
2021/10/14, 29, , , 4, 
2021/10/15, 26, , , 2, 
2021/10/16, 18, , , 4, 
2021/10/17, 34, , , 4, 
2021/10/18, 36, , , 3, 
2021/10/19, 26, , , 6, 
2021/10/20, 35, , , 5, 
2021/10/21, 30, , , 2, 
2021/10/22, 12, , , 1, 
2021/10/23, 12, , , 2, 
2021/10/24, 24, , , 5, 
2021/10/25, 52, , , 7, 
2021/10/26, 61, , , 5, 
2021/10/27, 52, , , 5, 
2021/10/28, 60, , , 4, 
2021/10/29, 57, 36, 2, 6, 4
2021/10/30, 43, 30, 12, 6, 6
2021/10/31, 43, 35, 10, , 7
2021/11/2, 41, 33, 4, 5, 5
2021/11/3, 18, 32, 1, 4, 4
2021/11/4, 14, 23, 8, 3, 6
2021/11/5, 16, 25, 9, 3, 7
2021/11/6, 35, 25, 12, 4, 8
2021/11/7, 35, 22, 5, 2, 5
2021/11/8, 19, 17, 7, 2, 7
2021/11/9, 30, 13, 14, 8, 8
2021/11/10, 61, 14, 14, 9, 9
2021/11/11, 66, 9, 14, 10, 10
2021/11/12, 70, 16, 15, 13, 10
2021/11/13, 88, 10, 8, 7, 7
2021/11/14, 50, 9, 8, 5, 6
2021/11/15, 32, 8, 13, 6, 10
2021/11/16, 37, 14, 12, 8, 7
2021/11/17, 54, 19, 7, 2, 4
2021/11/18, 14, 23, 5, 2, 3
2021/11/19, 9, 21, 6, 2, 3
2021/11/20, 11, 15, 8, 7, 4
2021/11/21, 30, 19, 7, 6, 4
2021/11/22, 35, 20, 5, 3, 3
2021/11/23, 16, 24, 9, 7, 6
2021/11/24, 39, 14, 16, 12, 8
2021/11/25, 62, 12, 10, 12, 6
2021/11/26, 59, 10, 8, 11, 6
2021/11/27, 35, 11, 9, 13, 7
2021/11/28, 45, 20, 5, 6, 3
2021/11/29, 13, 22, 3, 5, 2
2021/11/30, 10, 28, 6, 5, 2
2021/12/1, 12, 26, 8, 6, 2
2021/12/2, 17, 22, 13, 6, 4
2021/12/3, 36, 15, 21, 9, 8
2021/12/4, 52, 14, 16, 11, 8
2021/12/5, 40, 6, 10, 12, 5
2021/12/6, 58, 10, 9, 10, 5
2021/7/1, 11, 32, 2, 2, 2
2021/7/2, 13, 32, 3, 2, 1
2021/7/3, 19, 40, 2, 3, 1
2021/7/4, 18, 35, 3, 3, 2
2021/7/5, 21, 40, 4, 1, 2
2021/7/6, 19, 42, 5, , 2
2021/7/7, 22, 47, 5, , 1
2021/7/8, 27, 43, 2, 2, 1
2021/7/9, 26, 33, 1, , 1
2021/7/10, 12, 32, 3, , 1
2021/7/11, 15, 29, 3, 1, 1
2021/7/12, 14, 39, 4, 1, 1
2021/7/13, 20, 45, 4, 1, 1
2021/7/14, 31, 35, 3, 1, 1
2021/7/15, 17, 38, 4, 1, 2
2021/7/16, 23, 41, 3, 1, 2
2021/7/17, 31, 31, 3, 1, 2
2021/7/18, 17, 22, 4, 1, 1
2021/7/19, 18, 30, 3, 2, 1
2021/7/20, 15, 33, 3, 1, 
2021/7/21, 18, 39, 3, 1, 1
2021/7/22, 21, 40, 4, 2, 1
2021/7/23, 23, 48, 6, 2, 1
2021/7/24, 23, 52, 3, 2, 1
2021/7/25, 25, 45, 4, 2, 1
2021/7/26, 15, 39, 5, 2, 2
2021/7/27, 24, 42, 7, 2, 1
2021/7/28, 24, 36, 5, 2, 1
2021/7/29, 16, 40, 8, 2, 1
2021/7/30, 20, 34, 8, 3, 1
2021/7/31, 14, 35, 4, 3, 1
2021/8/1, 11, 32, 3, 2, 1
2021/8/2, 9, 29, 6, 2, 1
2021/8/3, 13, 31, 6, 3, 1
2021/8/4, 12, 33, 5, 4, 1
2021/8/5, 12, 29, 5, 2, 1
2021/8/6, 10, 43, 3, 1, 1
2021/8/7, 16, 41, 2, 1, 1
2021/8/8, 11, 34, 3, , 1
2021/8/9, 11, 33, 6, 1, 1
2021/8/10, 17, 36, 4, 1, 1
2021/8/11, 21, 37, 5, 1, 1
2021/8/12, 19, 40, 6, , 1
2021/8/13, 24, 40, 8, 1, 2
2021/8/14, 22, 40, 6, 1, 2
2021/8/15, 20, 43, 5, 2, 2
2021/8/16, 26, 31, 4, 1, 1
2021/8/17, 9, 31, 5, 2, 1
2021/8/18, 17, 30, 5, 2, 1
2021/8/19, 19, 26, 6, 2, 1
2021/8/20, 21, 33, 5, 1, 1
2021/8/21, 21, 32, 8, 1, 2
2021/8/22, 18, 26, 5, 2, 2
2021/8/23, 14, 24, 2, 1, 1
2021/8/24, 10, 29, 4, 2, 1
2021/8/25, 20, 20, 9, 3, 2
2021/8/26, 21, 19, 6, 2, 2
2021/8/27, 14, 20, 5, 2, 2
2021/8/28, 14, 24, 3, 3, 2
2021/8/29, 14, 25, 5, , 2
2021/8/31, 5, 23, 5, 2, 2
2021/9/1, 10, 28, 4, 1, 2
2021/9/2, 19, 30, 7, 2, 2
2021/9/3, 28, 39, 6, 2, 2
2021/9/4, 22, 31, 4, 1, 2
