date, pm25, pm10
2024/1/7, 58, 41
2024/1/8, 111, 89
2024/1/9, 183, 109
2024/1/10, 206, 56
2024/1/11, 126, 34
2024/1/12, 88, 15
2024/1/13, 53, 10
2024/1/14, 40, 11
2024/1/15, 40, 26
2024/1/16, 64, 74
2024/1/17, 162, 20
2024/1/18, 67, 19
2024/1/19, 57, 15
2024/1/20, 43, 28
2024/1/21, 80, 18
2024/1/22, 55, 11
2024/1/23, 35, 11
2024/1/24, 33, 11
2024/1/25, 26, 17
2024/1/26, 43, 12
2024/1/27, 25, 21
2024/1/28, 49, 63
2024/1/29, 136, 55
2024/1/30, 117, 27
2024/1/31, 72, 20
2024/2/1, 80, 15
2023/10/1, 24, 12
2023/10/2, 26, 18
2023/10/3, 35, 10
2023/10/4, 24, 16
2023/10/5, 35, 12
2023/10/6, 27, 12
2023/10/7, 29, 8
2023/10/8, 18, 9
2023/10/9, 29, 23
2023/10/10, 57, 20
2023/10/11, 42, 21
2023/10/12, 44, 15
2023/10/13, 32, 16
2023/10/14, 37, 9
2023/10/15, 21, 9
2023/10/16, 31, 18
2023/10/17, 49, 20
2023/10/18, 52, 38
2023/10/19, 97, 49
2023/10/20, 113, 30
2023/10/21, 66, 16
2023/10/22, 46, 15
2023/10/23, 36, 26
2023/10/24, 64, 19
2023/10/25, 52, 17
2023/10/26, 52, 27
2023/10/27, 80, 12
2023/10/28, 39, 15
2023/10/29, 43, 14
2023/10/30, 33, 8
2023/10/31, 20, 10
2023/11/1, 32, 13
2023/11/2, 45, 7
2023/11/3, 26, 9
2023/11/4, 34, 6
2023/11/5, 22, 9
2023/11/6, 25, 15
2023/11/7, 40, 12
2023/11/8, 36, 20
2023/11/9, 52, 24
2023/11/10, 62, 18
2023/11/11, 53, 9
2023/11/12, 30, 17
2023/11/13, 46, 10
2023/11/14, 29, 5
2023/11/15, 17, 25
2023/11/16, 68, 12
2023/11/17, 39, 14
2023/11/18, 46, 19
2023/11/19, 57, 9
2023/11/20, 27, 10
2023/11/21, 32, 23
2023/11/22, 68, 15
2023/11/23, 43, 8
2023/11/24, 20, 8
2023/11/25, 31, 10
