date, pm25, pm10, o3, no2, so2, co
2020/2/3, 44, , , , , 
2020/2/4, 34, , , , , 
2020/2/5, 30, , , , , 
2020/2/6, 86, , , , , 
2020/2/7, 62, , , , , 
2020/2/8, 113, , , , , 
2020/2/9, 187, , , , , 
2018/2/3, 153, 62, , 11, 17, 10
2018/2/4, 123, 62, , 9, 10, 3
2018/2/5, 74, 39, , 15, 17, 4
2018/2/6, 132, 65, 14, 11, 9, 5
2018/2/7, 145, 49, 12, 14, 10, 5
2018/2/8, 139, 59, 7, 15, 9, 5
2018/2/9, 159, 61, , , , 
2018/1/1, , 27, , , , 
2018/1/2, , 34, , , , 
2018/1/3, , 16, , , , 
2018/1/4, , 19, , , , 
2018/1/5, , 22, , , , 
2018/1/6, , 43, , , , 
2018/1/7, , 24, , , , 
2018/1/8, , 15, , , , 
2018/1/9, , 26, , , , 
2018/1/10, , 40, , , , 
2018/1/11, , 40, , , , 
2018/1/12, , 18, , , , 
2018/1/13, , 17, , , , 
2018/1/14, , 22, , , , 
2018/1/15, , 44, , , , 
2018/1/16, , 34, , , , 
2018/1/17, , 22, , , , 
2018/1/18, , 16, , , , 
2018/1/19, , 25, , , , 
2018/1/20, , 44, , , , 
2018/1/21, , 39, , , , 
2018/1/22, , 36, , , , 
2018/1/23, , 44, , , , 
2018/1/24, , 38, , , , 
2018/1/25, , 52, , , , 
2018/1/26, , 76, , , , 
2018/1/27, , 63, , , , 
2018/1/28, , 27, , , , 
2018/1/29, , 13, , , , 
2018/1/30, , 15, , , , 
2018/1/31, , 26, , , , 
2018/2/1, , 34, , , , 
2018/2/2, , 39, , 15, 24, 8
2017/10/1, , 29, , , , 
2017/10/2, , 33, , , , 
2017/10/3, , 23, , , , 
2017/10/4, , 18, , , , 
2017/10/5, , 15, , , , 
2017/10/6, , 13, , , , 
2017/10/7, , 19, , , , 
2017/10/8, , 14, , , , 
2017/10/9, , 21, , , , 
2017/10/10, , 19, , , , 
2017/10/11, , 14, , , , 
2017/10/12, , 18, , , , 
2017/10/13, , 31, , , , 
2017/10/14, , 33, , , , 
2017/10/15, , 28, , , , 
2017/10/16, , 22, , , , 
2017/10/17, , 35, , , , 
2017/10/18, , 40, , , , 
2017/10/19, , 50, , , , 
2017/10/20, , 44, , , , 
2017/10/21, , 43, , , , 
2017/10/22, , 30, , , , 
2017/10/23, , 23, , , , 
2017/10/24, , 15, , , , 
2017/10/25, , 20, , , , 
2017/10/26, , 29, , , , 
2017/10/27, , 19, , , , 
2017/10/28, , 13, , , , 
2017/10/29, , 8, , , , 
2017/10/30, , 17, , , , 
2017/10/31, , 29, , , , 
2017/11/1, , 19, , , , 
2017/11/2, , 20, , , , 
2017/11/3, , 31, , , , 
2017/11/4, , 33, , , , 
2017/11/5, , 29, , , , 
2017/11/6, , 45, , , , 
2017/11/7, , 31, , , , 
2017/11/8, , 26, , , , 
2017/11/9, , 43, , , , 
2017/11/10, , 22, , , , 
2017/11/11, , 13, , , , 
2017/11/12, , 15, , , , 
2017/11/13, , 24, , , , 
2017/11/14, , 38, , , , 
2017/11/15, , 58, , , , 
2017/11/16, , 43, , , , 
2017/11/17, , 41, , , , 
2017/11/18, , 29, , , , 
2017/11/19, , 18, , , , 
2017/11/20, , 20, , , , 
2017/11/21, , 30, , , , 
2017/11/22, , 35, , , , 
2017/11/23, , 34, , , , 
2017/11/24, , 54, , , , 
2017/11/25, , 31, , , , 
2017/11/26, , 28, , , , 
2017/11/27, , 73, , , , 
2017/11/28, , 38, , , , 
2017/11/29, , 41, , , , 
2017/11/30, , 29, , , , 
2017/12/1, , 37, , , , 
2017/12/2, , 53, , , , 
2017/12/3, , 39, , , , 
2017/12/4, , 30, , , , 
2017/12/5, , 26, , , , 
2017/12/6, , 22, , , , 
2017/12/7, , 27, , , , 
2017/12/8, , 25, , , , 
2017/12/9, , 35, , , , 
2017/12/10, , 15, , , , 
2017/12/11, , 9, , , , 
2017/12/12, , 15, , , , 
2017/12/13, , 38, , , , 
2017/12/14, , 15, , , , 
2017/12/15, , 23, , , , 
2017/12/16, , 56, , , , 
2017/12/17, , 56, , , , 
2017/12/18, , 45, , , , 
2017/12/19, , 54, , , , 
2017/12/20, , 61, , , , 
2017/12/21, , 36, , , , 
2017/12/22, , 23, , , , 
2017/12/23, , 19, , , , 
2017/12/24, , 14, , , , 
2017/12/25, , 29, , , , 
2017/12/26, , 48, , , , 
2017/12/27, , 25, , , , 
2017/12/28, , 21, , , , 
2017/12/29, , 34, , , , 
2017/12/30, , 32, , , , 
2017/12/31, , 44, , , , 
2017/7/1, , 10, , , , 
2017/7/2, , 8, , , , 
2017/7/3, , 10, , , , 
2017/7/4, , 15, , , , 
2017/7/5, , 15, , , , 
2017/7/6, , 14, , , , 
2017/7/7, , 14, , , , 
2017/7/8, , 21, , , , 
2017/7/9, , 18, , , , 
2017/7/10, , 16, , , , 
2017/7/11, , 18, , , , 
2017/7/12, , 15, , , , 
2017/7/13, , 13, , , , 
2017/7/14, , 20, , , , 
2017/7/15, , 16, , , , 
2017/7/16, , 19, , , , 
2017/7/17, , 18, , , , 
2017/7/18, , 23, , , , 
2017/7/19, , 22, , , , 
2017/7/20, , 25, , , , 
2017/7/21, , 20, , , , 
2017/7/22, , 19, , , , 
2017/7/23, , 14, , , , 
2017/7/24, , 17, , , , 
2017/7/25, , 14, , , , 
2017/7/26, , 9, , , , 
2017/7/27, , 12, , , , 
2017/7/28, , 12, , , , 
2017/7/29, , 20, , , , 
2017/7/30, , 15, , , , 
2017/7/31, , 22, , , , 
2017/8/1, , 27, , , , 
2017/8/2, , 30, , , , 
2017/8/3, , 26, , , , 
2017/8/4, , 28, , , , 
2017/8/5, , 28, , , , 
2017/8/6, , 14, , , , 
