date, pm25, pm10
2024/5/1, 37, 21
2024/5/2, 38, 20
2024/5/3, 43, 14
2024/5/4, 39, 27
2024/5/5, 57, 10
2024/5/6, 27, 13
2024/5/7, 36, 15
2024/5/8, 27, 16
2024/5/9, 33, 18
2024/5/10, 41, 22
2024/5/11, 55, 9
2024/5/12, 18, 13
2024/5/13, 24, 16
2024/5/14, 26, 19
2024/5/15, 26, 21
2024/5/16, 32, 22
2024/5/17, 36, 14
2024/5/18, 35, 11
2024/5/19, 34, 12
2024/5/20, 31, 24
2024/5/21, 55, 20
2024/5/22, 51, 
2024/4/1, 89, 5
2024/4/2, 12, 7
2024/4/3, 17, 8
2024/4/4, 22, 6
2024/4/5, 16, 10
2024/4/6, 21, 21
2024/4/7, 54, 18
2024/4/8, 30, 25
2024/4/9, 35, 19
2024/4/10, 32, 17
2024/4/11, 35, 21
2024/4/12, 39, 19
2024/4/13, 40, 15
2024/4/14, 35, 15
2024/4/15, 39, 10
2024/4/16, 23, 10
2024/4/17, 31, 14
2024/4/18, 45, 8
2024/4/19, 28, 5
2024/4/20, 19, 10
2024/4/21, 40, 10
2024/4/22, 31, 26
2024/4/23, 71, 25
2024/4/24, 72, 14
2024/4/25, 46, 13
2024/4/26, 38, 16
2024/4/27, 44, 18
2024/4/28, 41, 21
2024/4/29, 44, 23
2024/4/30, 48, 19
2024/1/7, 86, 45
2024/1/8, 127, 90
2024/1/9, 191, 202
2024/1/10, 355, 143
2024/1/11, 256, 27
2024/1/12, 82, 17
2024/1/13, 61, 13
2024/1/14, 53, 14
2024/1/15, 54, 21
2024/1/16, 66, 53
2024/1/17, 137, 35
2024/1/18, 106, 33
2024/1/19, 92, 23
2024/1/20, 72, 36
2024/1/21, 103, 36
2024/1/22, 93, 22
2024/1/23, 69, 17
2024/1/24, 52, 17
2024/1/25, 51, 22
2024/1/26, 65, 17
2024/1/27, 51, 34
2024/1/28, 88, 41
2024/1/29, 108, 34
2024/1/30, 90, 60
2024/1/31, 150, 37
2024/2/1, 103, 23
2024/2/2, 64, 16
2024/2/3, 57, 11
2024/2/4, 42, 19
2024/2/5, 40, 28
2024/2/6, 60, 15
2024/2/7, 43, 28
2024/2/8, 75, 45
2024/2/9, 100, 40
2024/2/10, 105, 38
2024/2/11, 95, 17
2024/2/12, 50, 35
2024/2/13, 89, 58
2024/2/14, 136, 49
2024/2/15, 120, 34
2024/2/16, 88, 25
2024/2/17, 74, 27
2024/2/18, 80, 23
2024/2/19, 71, 13
2024/2/20, 49, 28
