date, pm25, pm10, o3, no2, so2
2021/7/1, 14, 8, , , 
2021/7/2, 18, 15, , , 
2021/7/3, 41, 12, , , 
2021/7/4, 37, 16, , , 
2021/7/5, 40, 12, , , 
2021/7/6, 22, 20, , , 
2021/7/7, 35, 19, , , 
2021/7/8, 42, 10, , , 
2021/7/9, 19, 6, , , 
2021/7/10, 13, 13, , , 
2021/7/11, 34, 14, , , 
2021/7/12, 37, 20, , , 
2021/7/13, 52, 23, , , 
2021/7/14, 48, 26, , , 
2021/7/15, 56, 24, , , 
2021/7/16, 55, 21, , , 
2021/7/17, 52, 16, , , 
2021/7/18, 38, 14, , , 
2021/7/19, 35, 12, , , 
2021/7/20, 31, 12, , , 
2021/7/21, 27, 16, , , 
2021/7/22, 33, , , , 
2021/7/26, 37, 13, , , 
2021/7/27, 31, 19, , , 
2021/7/28, 43, 13, , , 
2021/7/29, 25, 18, , , 
2021/7/30, 31, 20, , , 
2021/7/31, 37, 14, , , 
2021/8/1, 27, 8, , , 
2021/8/2, 17, 8, , , 
2021/8/3, 16, 9, , , 
2021/8/4, 20, 11, , , 
2021/8/5, 32, 8, , , 
2021/8/6, 22, 8, , , 
2021/8/7, 20, 5, , , 
2021/8/8, 12, 9, , , 
2021/8/9, 15, 14, , , 
2021/8/10, 27, 10, , , 
2021/8/11, 24, 16, , , 
2021/8/12, 33, 26, , , 
2021/8/13, 51, 25, , , 
2021/8/14, 57, 21, , , 
2021/8/15, 47, 17, , , 
2021/8/16, 36, 7, , , 
2021/8/17, 14, 9, , , 
2021/8/18, 20, 10, , , 
2021/8/19, 23, 13, , , 
2021/8/20, 27, 13, , , 
2021/8/21, 34, 16, , , 
2021/8/22, 41, 9, , , 
2021/8/23, 26, 9, , , 
2021/8/24, 20, 12, , , 
2021/8/25, 28, 7, , , 
2021/8/26, 17, 6, , , 
2021/8/27, 14, 8, , , 
2021/8/28, 20, 8, , , 
2021/8/29, 25, 11, , , 
2021/8/30, 35, 6, , , 
2021/8/31, 17, 9, , , 
2021/9/1, 26, 10, , , 
2021/9/2, 30, 15, , , 
2021/9/3, 39, 18, , , 
2021/9/4, 52, 6, , , 
2021/9/5, 16, 15, , , 
2021/9/6, 29, 22, , , 
2021/9/7, 55, 27, , , 
2021/9/8, 53, 29, , , 
2021/9/9, 47, 23, , , 
2021/9/10, 35, 25, , , 
2021/9/11, 53, 12, , , 
2021/9/12, 34, 13, , , 
2021/9/13, 35, 22, , , 
2021/9/14, 55, 29, , , 
2021/9/15, 64, 19, , , 
2021/9/16, 51, 11, , , 
2021/9/17, 26, 6, , , 
2021/9/18, 16, 9, , , 
2021/9/19, 25, 12, , , 
2021/9/20, 34, 19, , , 
