date, pm10, o3, no2
2024/5/1, 22, 58, 4
2024/5/2, 27, 63, 3
2024/5/3, 21, 69, 2
2024/5/4, 15, 60, 5
2024/5/5, 23, 35, 6
2024/5/6, 13, 37, 5
2024/5/7, 14, 46, 4
2024/5/8, 21, 51, 5
2024/5/9, 28, 53, 8
2024/5/10, 24, 42, 5
2024/5/11, 24, 49, 2
2024/5/12, 13, 50, 4
2024/5/13, 21, 52, 4
2024/5/14, 26, 49, 4
2024/5/15, 28, 51, 4
2024/5/16, 35, 45, 4
2024/5/17, 33, 34, 4
2024/5/18, 12, 43, 2
2024/5/19, 10, 51, 5
2024/5/20, 11, 55, 7
2024/5/21, 23, 45, 3
2024/5/22, 21, , 
2024/4/1, 53, 32, 2
2024/4/2, 9, 33, 3
2024/4/3, 8, 29, 2
2024/4/4, 9, 33, 2
2024/4/5, 8, 35, 2
2024/4/6, 10, 37, 3
2024/4/7, 15, 38, 5
2024/4/8, 19, 48, 5
2024/4/9, 30, 39, 3
2024/4/10, 21, 47, 5
2024/4/11, 29, 46, 5
2024/4/12, 46, 42, 3
2024/4/13, 38, 44, 2
2024/4/14, 26, 34, 5
2024/4/15, 23, 45, 1
2024/4/16, 15, 34, 3
2024/4/17, 12, 41, 5
2024/4/18, 22, 42, 2
2024/4/19, 13, 35, 2
2024/4/20, 9, 46, 2
2024/4/21, 17, 44, 5
2024/4/22, 18, 46, 7
2024/4/23, 34, 43, 5
2024/4/24, 23, 45, 4
2024/4/25, 17, 52, 3
2024/4/26, 13, 56, 4
2024/4/27, 15, 52, 4
2024/4/28, 24, 57, 5
2024/4/29, 30, 62, 5
2024/4/30, 32, 67, 3
2024/1/7, 14, 17, 8
2024/1/8, 34, 11, 12
2024/1/9, 48, 7, 24
2024/1/10, 102, 12, 15
2024/1/11, 60, 17, 7
2024/1/12, 12, 22, 3
2024/1/13, 6, 21, 2
2024/1/14, 5, 23, 3
2024/1/15, 10, 24, 6
2024/1/16, 10, 17, 12
2024/1/17, 29, 17, 10
2024/1/18, 23, 24, 8
2024/1/19, 18, 26, 4
2024/1/20, 15, 27, 6
2024/1/21, 18, 29, 5
2024/1/22, 12, 26, 3
2024/1/23, 10, 30, 2
2024/1/24, 7, 31, 1
2024/1/25, 12, 31, 3
2024/1/26, 10, 29, 1
2024/1/27, 9, 21, 4
2024/1/28, 16, 14, 9
2024/1/29, 28, 25, 8
2024/1/30, 19, 20, 5
