date, pm10
2024/5/1, 24
2024/5/2, 20
2024/5/3, 16
2024/5/4, 18
2024/5/5, 24
2024/5/6, 12
2024/5/7, 15
2024/5/8, 14
2024/5/9, 19
2024/5/10, 31
2024/5/11, 28
2024/5/12, 12
2024/5/13, 16
2024/5/14, 22
2024/5/15, 26
2024/5/16, 23
2024/5/17, 26
2024/5/18, 14
2024/5/19, 12
2024/5/20, 16
2024/5/21, 23
2024/5/22, 23
2024/4/1, 89
2024/4/2, 10
2024/4/3, 11
2024/4/4, 14
2024/4/5, 14
2024/4/6, 19
2024/4/7, 29
2024/4/8, 41
2024/4/9, 34
2024/4/10, 27
2024/4/11, 27
2024/4/12, 36
2024/4/13, 27
2024/4/14, 26
2024/4/15, 23
2024/4/16, 17
2024/4/17, 14
2024/4/18, 23
2024/4/19, 14
2024/4/20, 8
2024/4/21, 15
2024/4/22, 15
2024/4/23, 21
2024/4/24, 29
2024/4/25, 20
2024/4/26, 24
2024/4/27, 22
2024/4/28, 23
2024/4/29, 25
2024/4/30, 31
2024/1/7, 13
2024/1/8, 31
2024/1/9, 51
2024/1/10, 124
2024/1/11, 84
2024/1/12, 27
2024/1/13, 15
2024/1/14, 12
2024/1/15, 11
2024/1/16, 17
2024/1/17, 50
2024/1/18, 27
2024/1/19, 26
2024/1/20, 18
2024/1/21, 38
2024/1/22, 46
2024/1/23, 16
2024/1/24, 11
2024/1/25, 12
2024/1/26, 19
2024/1/27, 13
2024/1/28, 29
2024/1/29, 54
2024/1/30, 68
2024/1/31, 42
2024/2/1, 34
2024/2/2, 17
2024/2/3, 11
2024/2/4, 7
2024/2/5, 10
2024/2/6, 16
2024/2/7, 11
2024/2/8, 14
2024/2/9, 33
2024/2/10, 38
2024/2/11, 32
2024/2/12, 13
2024/2/13, 22
2024/2/14, 54
2024/2/15, 51
2024/2/16, 46
2024/2/17, 33
2024/2/18, 14
2024/2/19, 24
2024/2/20, 10
2024/2/21, 22
2024/2/22, 25
2024/2/23, 14
2024/2/24, 17
2024/2/25, 36
2024/2/26, 40
2024/2/27, 50
2024/2/28, 58
2024/2/29, 44
2024/3/1, 58
2024/3/2, 50
2024/3/3, 38
2024/3/4, 51
2024/3/5, 37
2024/3/6, 31
2024/3/7, 29
2024/3/8, 35
2024/3/9, 47
2024/3/10, 26
2024/3/11, 24
2024/3/12, 29
2024/3/13, 35
2024/3/14, 46
2024/3/15, 39
2024/3/16, 37
2024/3/17, 14
2024/3/18, 14
2024/3/19, 27
2024/3/20, 57
2024/3/21, 65
2024/3/22, 36
2024/3/23, 31
2024/3/24, 12
2024/3/25, 13
2024/3/26, 26
2024/3/27, 20
2024/3/28, 23
2024/3/29, 9
2024/3/30, 68
2024/3/31, 78
2023/10/1, 14
2023/10/2, 17
2023/10/3, 19
2023/10/4, 11
2023/10/5, 13
2023/10/6, 15
2023/10/7, 12
2023/10/8, 8
2023/10/9, 13
2023/10/10, 17
2023/10/11, 25
2023/10/12, 21
2023/10/13, 20
2023/10/14, 17
2023/10/15, 10
2023/10/16, 11
2023/10/17, 23
2023/10/18, 37
2023/10/19, 39
2023/10/20, 31
2023/10/21, 30
2023/10/22, 14
2023/10/23, 19
2023/10/24, 27
2023/10/25, 18
2023/10/26, 16
2023/10/27, 13
2023/10/28, 8
2023/10/29, 11
2023/10/30, 23
2023/10/31, 9
2023/11/1, 10
2023/11/2, 16
2023/11/3, 10
2023/11/4, 16
2023/11/5, 17
2023/11/6, 9
2023/11/7, 26
2023/11/8, 18
2023/11/9, 18
2023/11/10, 24
2023/11/11, 29
2023/11/12, 16
2023/11/13, 24
2023/11/14, 11
2023/11/15, 6
2023/11/16, 14
2023/11/17, 15
2023/11/18, 9
2023/11/19, 14
2023/11/20, 9
2023/11/21, 12
2023/11/22, 15
2023/11/23, 13
2023/11/24, 8
2023/11/25, 10
2023/11/26, 10
2023/11/27, 19
2023/11/28, 24
2023/11/29, 37
2023/11/30, 35
2023/12/1, 52
2023/12/2, 22
2023/12/3, 17
2023/12/4, 28
2023/12/5, 46
2023/12/6, 61
2023/12/7, 62
2023/12/8, 54
2023/12/9, 52
2023/12/10, 51
2023/12/11, 11
2023/12/12, 16
2023/12/13, 29
2023/12/14, 34
2023/12/15, 25
2023/12/16, 19
2023/12/17, 13
2023/12/18, 12
2023/12/19, 14
2023/12/20, 9
2023/12/21, 5
2023/12/22, 7
2023/12/23, 7
2023/12/24, 8
2023/12/25, 5
2023/12/26, 4
2023/12/27, 19
2023/12/28, 31
2023/7/1, 18
2023/7/2, 14
2023/7/3, 17
2023/7/4, 22
2023/7/5, 14
2023/7/6, 17
2023/7/7, 22
2023/7/8, 17
2023/7/9, 19
2023/7/10, 25
2023/7/11, 16
2023/7/12, 24
2023/7/13, 13
2023/7/14, 17
2023/7/15, 17
2023/7/16, 24
2023/7/17, 18
2023/7/18, 15
2023/7/19, 21
2023/7/20, 15
2023/7/21, 16
2023/7/22, 14
2023/7/23, 16
2023/7/24, 15
2023/7/25, 12
2023/7/26, 13
2023/7/27, 12
2023/7/28, 9
2023/7/29, 10
2023/7/30, 7
2023/7/31, 12
2023/8/1, 12
2023/8/2, 9
2023/8/3, 10
2023/8/4, 14
2023/8/5, 12
2023/8/6, 7
2023/8/7, 6
2023/8/8, 9
2023/8/9, 8
2023/8/10, 11
2023/8/11, 16
2023/8/12, 21
2023/8/13, 18
2023/8/14, 20
2023/8/15, 19
2023/8/16, 23
2023/8/17, 17
2023/8/18, 15
2023/8/19, 16
2023/8/20, 18
2023/8/21, 26
2023/8/22, 21
2023/8/23, 22
2023/8/24, 23
2023/8/25, 21
2023/8/26, 15
2023/8/27, 11
2023/8/28, 9
2023/8/29, 13
2023/8/30, 12
2023/8/31, 12
2023/9/1, 14
2023/9/2, 8
2023/9/3, 15
2023/9/4, 13
2023/9/5, 17
2023/9/6, 18
2023/9/7, 23
2023/9/8, 25
2023/9/9, 23
2023/9/10, 24
2023/9/11, 24
2023/9/12, 29
2023/9/13, 32
2023/9/14, 11
2023/9/15, 15
2023/9/16, 13
2023/9/17, 11
2023/9/18, 18
2023/9/19, 13
2023/9/20, 13
2023/9/21, 14
2023/9/22, 16
2023/9/23, 10
2023/9/24, 10
2023/9/25, 16
2023/9/26, 18
2023/9/27, 24
2023/9/28, 26
2023/9/29, 30
2023/9/30, 20
2023/4/1, 8
2023/4/2, 14
2023/4/3, 8
2023/4/4, 15
2023/4/5, 36
2023/4/6, 31
2023/4/7, 23
2023/4/8, 21
2023/4/9, 39
2023/4/10, 45
2023/4/11, 19
2023/4/12, 15
2023/4/13, 29
2023/4/14, 24
2023/4/15, 12
2023/4/16, 23
2023/4/17, 23
2023/4/18, 16
2023/4/19, 22
2023/4/20, 32
2023/4/21, 41
2023/4/22, 33
2023/4/23, 28
2023/4/24, 27
2023/4/25, 12
2023/4/26, 13
2023/4/27, 24
2023/4/28, 33
2023/4/29, 23
2023/4/30, 13
2023/5/1, 19
2023/5/2, 21
2023/5/3, 22
2023/5/4, 22
2023/5/5, 22
2023/5/6, 22
2023/5/7, 14
2023/5/8, 16
2023/5/9, 21
2023/5/10, 21
2023/5/11, 23
2023/5/12, 32
2023/5/13, 20
2023/5/14, 18
2023/5/15, 10
2023/5/16, 16
2023/5/17, 12
2023/5/18, 17
2023/5/19, 17
2023/5/20, 23
2023/5/21, 23
2023/5/22, 21
2023/5/23, 28
2023/5/24, 18
2023/5/25, 23
2023/5/26, 30
2023/5/27, 20
2023/5/28, 16
2023/5/29, 23
2023/5/30, 32
2023/5/31, 22
2023/6/1, 26
2023/6/2, 24
2023/6/3, 14
2023/6/4, 14
2023/6/5, 23
2023/6/6, 22
2023/6/7, 16
2023/6/8, 14
2023/6/9, 17
2023/6/10, 18
2023/6/11, 15
2023/6/12, 19
2023/6/13, 16
2023/6/14, 13
2023/6/15, 22
2023/6/16, 29
2023/6/17, 17
2023/6/18, 18
2023/6/19, 20
2023/6/20, 33
2023/6/21, 29
2023/6/22, 22
2023/6/23, 23
2023/6/24, 15
2023/6/25, 18
2023/6/26, 20
2023/6/27, 16
2023/6/28, 10
2023/6/29, 15
2023/6/30, 19
2023/2/5, 46
2023/2/6, 36
2023/2/7, 84
2023/2/8, 44
2023/2/9, 60
2023/2/10, 45
2023/2/11, 35
2023/2/12, 30
2023/2/13, 37
2023/2/14, 28
2023/2/15, 37
2023/2/16, 36
2023/2/17, 23
2023/2/18, 7
2023/2/19, 8
2023/2/20, 12
2023/2/21, 8
2023/2/22, 37
2023/2/23, 39
2023/2/24, 29
2023/2/25, 9
2023/2/26, 13
2023/2/27, 13
2023/2/28, 27
2023/3/1, 58
2023/3/2, 62
2023/3/3, 58
2023/3/4, 29
2023/3/5, 13
2023/3/6, 21
2023/3/7, 23
2023/3/8, 17
2023/3/9, 15
2023/3/10, 19
2023/3/11, 8
2023/3/12, 13
2023/3/13, 12
2023/3/14, 16
2023/3/15, 18
2023/3/16, 36
2023/3/17, 41
2023/3/18, 39
2023/3/19, 44
2023/3/20, 46
2023/3/21, 28
2023/3/22, 38
2023/3/23, 34
2023/3/24, 21
2023/3/25, 11
