date, pm10, o3, no2, so2
2024/5/1, 23, 46, 3, 
2024/5/2, 22, 47, 3, 
2024/5/3, 23, 50, 3, 
2024/5/4, 28, 49, 2, 
2024/5/5, 23, 34, 3, 
2024/5/6, 18, 26, 8, 
2024/5/7, 18, 39, 7, 
2024/5/8, 27, 40, 12, 
2024/5/9, 24, 35, 12, 
2024/5/10, 31, 33, 4, 
2024/5/11, 20, 39, 3, 
2024/5/12, 17, 43, 8, 
2024/5/13, 24, 41, 6, 
2024/5/14, 24, 41, 3, 
2024/5/15, 26, 41, 2, 
2024/5/16, 29, 41, 2, 
2024/5/17, 22, 40, 3, 
2024/5/20, 18, 48, 7, 
2024/5/21, 23, 38, 4, 
2024/5/22, 21, , , 
2024/4/1, 80, 32, 2, 
2024/4/2, 14, 30, 2, 
2024/4/3, 12, 31, 3, 
2024/4/4, 16, 33, 2, 
2024/4/5, 16, 34, 4, 
2024/4/6, 18, 39, 3, 
2024/4/7, 22, 41, 5, 
2024/4/8, 22, 42, 5, 
2024/4/9, 24, 26, 4, 
2024/4/10, 23, 35, 7, 
2024/4/11, 23, 22, 7, 
2024/4/12, 30, 36, 3, 
2024/4/13, 29, 34, , 
2024/4/14, 25, 35, 5, 
2024/4/15, 17, 35, 2, 
2024/4/16, 16, 19, 8, 
2024/4/17, 25, 29, 7, 
2024/4/18, 34, 31, 3, 
2024/4/19, 20, 30, 2, 
2024/4/20, 13, 30, 3, 
2024/4/21, 14, 28, 5, 
2024/4/22, 16, 33, 5, 
2024/4/23, 24, 26, 11, 
2024/4/24, 30, 37, 4, 
2024/4/25, 26, 38, 6, 
2024/4/26, 24, 44, 3, 
2024/4/27, 17, 43, 2, 
2024/4/28, 19, 48, 4, 
2024/4/29, 24, 48, 4, 
2024/4/30, 25, 48, 1, 
2024/1/7, 18, 10, 10, 
2024/1/8, 34, 8, 20, 
2024/1/9, 81, 13, 18, 
2024/1/10, 99, 12, 12, 
2024/1/11, 60, 16, 11, 
2024/1/12, 23, 18, 3, 
2024/1/13, 14, 22, 2, 
2024/1/14, 12, 21, 3, 
2024/1/15, 14, 22, 10, 
2024/1/16, 27, 19, 9, 
2024/1/17, 35, 11, 11, 
2024/1/18, 34, 19, 7, 
2024/1/19, 28, 21, 4, 
2024/1/20, 19, 19, 6, 
2024/1/21, 40, 23, 4, 
2024/1/22, 24, 17, 5, 
2024/1/23, 21, 25, 3, 
2024/1/24, 14, 25, 2, 
2024/1/25, 10, 17, 7, 
2024/1/26, 21, 24, 1, 
2024/1/27, 11, 15, 5, 
2024/1/28, 28, 12, 9, 
