date, pm10, no2, so2, co
2024/5/1, 22, 2, , 
2024/5/2, 24, 3, , 
2024/5/3, 21, 3, , 
2024/5/4, 26, 1, , 
2024/5/5, 16, 1, , 
2024/5/6, 9, 1, , 
2024/5/7, 8, 1, , 
2024/5/8, 12, 4, , 
2024/5/9, 14, 5, , 
2024/5/10, 18, 1, , 
2024/5/11, 11, , , 
2024/5/12, 8, 1, , 
2024/5/13, 14, 2, , 
2024/5/14, 21, 2, , 
2024/5/15, 30, 2, , 
2024/5/16, 35, 2, , 
2024/5/17, 37, 2, , 
2024/5/18, 27, 2, , 
2024/5/19, 12, 3, , 
2024/5/20, 17, 2, , 
2024/5/21, 16, 1, , 
2024/5/22, 19, , , 
2024/4/1, 61, 1, , 
2024/4/2, 9, 1, , 
2024/4/3, 5, 4, , 
2024/4/4, 10, 2, , 
2024/4/5, 10, 4, , 
2024/4/6, 11, 5, , 
2024/4/7, 23, 9, , 
2024/4/8, 24, 9, , 
2024/4/9, 40, 1, , 
2024/4/10, 11, 5, , 
2024/4/11, 16, 4, , 
2024/4/12, 11, 3, , 
2024/4/13, 13, 1, , 
2024/4/14, 14, 2, , 
2024/4/15, 13, 2, , 
2024/4/16, 7, 1, , 
2024/4/17, 4, 2, , 
2024/4/18, 3, 3, , 
2024/4/19, 8, 1, , 
2024/4/20, 6, , , 
2024/4/21, 7, 2, , 
2024/4/22, 7, 6, 2, 
2024/4/23, 14, 6, , 
2024/4/24, 19, 5, , 
2024/4/25, 19, 5, , 
2024/4/26, 11, 5, , 
2024/4/27, 15, 2, , 
2024/4/28, 19, 4, , 
2024/4/29, 21, 3, , 
2024/4/30, 18, 2, , 
2024/1/7, 6, 6, , 
2024/1/8, 12, 15, , 
2024/1/9, 51, 8, , 
2024/1/10, 46, 3, , 
2024/1/11, 10, 7, , 
2024/1/12, 12, 3, , 
2024/1/13, 10, 1, , 
2024/1/14, 6, 1, , 
2024/1/15, 6, 7, , 
2024/1/16, 7, 9, 1, 
2024/1/17, 25, 8, 2, 
2024/1/18, 32, 7, 2, 
2024/1/19, 18, 4, 1, 
2024/1/20, 15, 5, 3, 
2024/1/21, 18, 5, 3, 
2024/1/22, 14, 4, 1, 
2024/1/23, 11, 2, 1, 
2024/1/24, 11, 1, , 
2024/1/25, 5, 5, 1, 
2024/1/26, 14, , , 
2024/1/27, 9, 3, 1, 
2024/1/28, 17, 11, 1, 
2024/1/29, 35, 13, 2, 
2024/1/30, 59, 4, 1, 
2024/1/31, 19, 1, , 
2024/2/1, 9, 3, , 
2024/2/2, 14, 1, , 
2024/2/3, 5, , , 
2024/2/4, 7, 2, , 
2024/2/5, 4, 2, , 
2024/2/6, 5, 2, , 
2024/2/7, 4, 8, 2, 
2024/2/8, 18, 6, 1, 
2024/2/9, 30, 5, , 
2024/2/10, 22, 3, , 
2024/2/11, 20, 4, , 
2024/2/12, 10, 6, 1, 
2024/2/13, 11, 9, 1, 
2024/2/14, 25, 6, 2, 
2024/2/15, 20, 6, 1, 
2024/2/16, 20, 1, , 
2024/2/17, 8, 3, , 
2024/2/18, 9, 3, , 
2024/2/19, 13, 3, , 
2024/2/20, 6, 4, 1, 
2024/2/21, 15, 5, , 
2024/2/22, 14, 5, , 
2024/2/23, 7, 3, , 
2024/2/24, 9, 6, 1, 
2024/2/25, 25, 6, 1, 
2024/2/26, 35, 5, , 
2024/2/27, 20, 2, , 
2024/2/28, 14, 3, , 
2024/2/29, 14, 4, , 
2024/3/1, 44, 3, , 
2024/3/2, 40, 3, 1, 
2024/3/3, 39, 2, , 
2024/3/4, 31, 5, , 
2024/3/5, 20, 5, , 
