date, pm25, pm10, o3, no2, so2, co
2024/5/1, 46, 22, , 4, 2, 
2024/5/2, 40, 19, , 7, 2, 
2024/5/3, 42, 19, , 5, 1, 
2024/5/4, 52, 20, , 7, 1, 
2024/5/5, 56, 11, , 5, 1, 
2024/5/6, 34, 12, , 3, , 
2024/5/7, 32, 17, , 4, 1, 
2024/5/8, 41, 17, , 8, 1, 
2024/5/9, 38, 22, , 14, 2, 
2024/5/10, 55, 18, , 4, 1, 
2024/5/11, 51, 10, , 4, 1, 
2024/5/12, 24, 15, , 5, 2, 
2024/5/13, 30, 19, , 5, 2, 
2024/5/14, 33, 29, , 3, 1, 
2024/5/15, 37, 35, , 3, 1, 
2024/5/16, 49, 40, , 4, 2, 
2024/5/17, 50, 16, , 6, , 
2024/5/18, 39, 11, , 6, , 
2024/5/19, 38, 15, , 7, 1, 
2024/5/20, 49, 21, , 5, 1, 
2024/5/21, 61, 24, , 5, 3, 
2024/5/22, 67, , , , , 
2024/4/1, 88, 7, , 4, 1, 
2024/4/2, 25, 7, , 4, 1, 
2024/4/3, 29, 13, , 6, 1, 
2024/4/4, 47, 10, , 4, 1, 
2024/4/5, 34, 11, , 8, 1, 
2024/4/6, 37, 20, , 12, 2, 
2024/4/7, 56, 29, , 12, 1, 
2024/4/8, 62, 31, , 12, 2, 
2024/4/9, 58, 12, , 6, 1, 
2024/4/10, 36, 17, , 9, , 
2024/4/11, 47, 19, , 12, 1, 
2024/4/12, 49, 18, , 5, 1, 
2024/4/13, 49, 14, , 3, , 
2024/4/14, 39, 13, , 6, 2, 
2024/4/15, 37, 8, , 5, 1, 
2024/4/16, 32, 6, , 4, 1, 
2024/4/17, 25, 9, , 6, 1, 
2024/4/18, 36, 13, , 6, 2, 
2024/4/19, 50, 11, , 3, 1, 
2024/4/20, 42, 9, , 2, 2, 
2024/4/21, 37, 9, , 4, 2, 
2024/4/22, 37, 20, , 10, 2, 
2024/4/23, 64, 28, , 12, 1, 
2024/4/24, 78, 32, , 12, 3, 
2024/4/25, 91, 18, , 10, 2, 
2024/4/26, 55, 19, , 11, 2, 
2024/4/27, 55, 22, , 6, 2, 
2024/4/28, 52, 29, , 13, 3, 
2024/4/29, 63, 28, , 9, 2, 
2024/4/30, 58, 23, , 4, 2, 
2024/1/8, 93, 66, , 7, 1, 
2024/1/9, 156, 96, , 23, 1, 
2024/1/10, 196, 22, , 28, 2, 
2024/1/11, 75, 18, , 9, 2, 
2024/1/12, 66, 15, , 8, 2, 
2024/1/13, 59, 9, , 4, 5, 
2024/1/14, 37, 11, , 2, 7, 
2024/1/15, 44, 16, , 4, 9, 
2024/1/16, 54, 34, , 11, 7, 
2024/1/17, 101, 42, , 15, 8, 
2024/1/18, 122, 28, , 14, 10, 
2024/1/19, 90, 19, , 10, 5, 
2024/1/20, 68, 24, , 5, 4, 
2024/1/21, 76, 16, , 7, 4, 
2024/1/22, 59, 11, , 7, 6, 
2024/1/23, 44, 8, , 5, 5, 
2024/1/24, 33, 9, , 3, 5, 
2024/1/25, 35, 18, , 5, , 
2024/1/26, 60, 14, , 8, , 
2024/1/27, 50, 23, , 2, 1, 
2024/1/28, 72, 41, , 6, 1, 
2024/1/29, 111, 44, , 14, 1, 
2024/1/30, 114, 21, , 15, 2, 
2024/1/31, 69, 16, , 7, , 
2024/2/1, 56, 17, , 4, , 
2024/2/2, 60, 9, , 4, , 
2024/2/3, 40, 9, , 2, , 
2024/2/4, 35, 9, , 1, , 
2024/2/5, 33, 12, , 5, , 
2024/2/6, 46, 9, , 2, , 
2024/2/7, 35, 28, , 4, , 
2024/2/8, 81, 25, , 12, 1, 
2024/2/9, 81, 45, , 8, 1, 
2024/2/10, 125, 37, , 10, 2, 
2024/2/11, 107, 11, , 5, , 
2024/2/12, 43, 23, , 5, , 
2024/2/13, 72, 41, , 10, , 
2024/2/14, 115, 36, , 14, 2, 
2024/2/15, 105, 36, , 11, 1, 
2024/2/16, 98, 20, , 10, 1, 
2024/2/17, 67, 18, , 5, , 
2024/2/18, 63, 23, , 3, , 
2024/2/19, 77, 15, , 7, 1, 
2024/2/20, 54, 25, , 7, , 
2024/2/21, 76, 26, , 7, 1, 
2024/2/22, 80, 15, , 8, 1, 
2024/2/23, 50, 15, , 8, 1, 
2024/2/24, 56, 44, , 4, 1, 
2024/2/25, 123, 49, , 13, 2, 
2024/2/26, 126, 48, , 12, 2, 
2024/2/27, 127, 33, , 9, 1, 
2024/2/28, 95, 33, , 8, , 
2024/2/29, 94, 58, , 6, 1, 
2024/3/1, 152, 54, , 9, 3, 
2024/3/2, 144, 48, , 6, 3, 
2024/3/3, 130, 50, , 4, 2, 
2024/3/4, 132, 39, , 4, 1, 
2024/3/5, 99, 43, , 6, 1, 
2024/3/6, 112, 33, , 9, 1, 
2024/3/7, 89, 40, , 12, 2, 
2024/3/8, 107, 39, , 17, 2, 
2024/3/9, 108, 31, , 8, 2, 
2024/3/10, 89, 31, , 4, 2, 
2024/3/11, 93, 46, , 6, 1, 
2024/3/12, 129, 40, , 8, 2, 
2024/3/13, 106, 40, , 15, 2, 
2024/3/14, 112, 32, , 11, 1, 
2024/3/15, 86, 13, , 8, , 
2024/3/16, 48, 6, , 4, , 
2024/3/17, 24, 9, , 2, , 
2024/3/18, 33, 25, , 5, 1, 
2024/3/19, 71, 50, , 11, 1, 
2024/3/20, 116, 44, , 20, 2, 
2024/3/21, 115, 19, , 15, 2, 
2024/3/22, 65, 13, , 6, 1, 
2024/3/23, 48, 11, , 5, 1, 
2024/3/24, 47, 12, , 4, 1, 
2024/3/25, 48, 23, , 9, 1, 
2024/3/26, 70, 18, , 9, 2, 
2024/3/27, 50, 16, , 6, 1, 
2024/3/28, 48, 9, , 5, 1, 
2024/3/29, 27, 55, , 5, 1, 
2024/3/30, 92, 68, , 8, 1, 
2024/3/31, 113, 43, , 10, 1, 
2023/10/1, 41, 16, , 21, 6, 
2023/10/2, 48, 20, , 7, 7, 
2023/10/3, 49, 8, , 5, 6, 
2023/10/4, 30, 10, , 6, 6, 
2023/10/5, 39, 12, , 4, 5, 
2023/10/6, 47, 7, , 4, 7, 
2023/10/7, 26, 6, , 3, 6, 
2023/10/8, 22, 14, , 12, 6, 
2023/10/9, 48, 28, , 10, 6, 
2023/10/10, 86, 18, , 7, 7, 
2023/10/11, 57, 16, , 8, 8, 
2023/10/12, 49, 18, , 7, 8, 
2023/10/13, 59, 11, , 4, 9, 
2023/10/14, 34, 6, , 2, 8, 
2023/10/15, 21, 10, , 6, 7, 
2023/10/16, 32, 23, , 12, 7, 
2023/10/17, 74, , , 15, 8, 
2023/10/19, 88, 11, , 5, 10, 
2023/10/20, 45, 25, , 6, 10, 
2023/10/21, 77, 32, , 6, 9, 
2023/10/22, 93, 22, , 10, 8, 
2023/10/23, 63, 28, , 9, 9, 
2023/10/24, 79, 24, , 7, 10, 
2023/10/25, 74, 24, , 9, 11, 
2023/10/26, 73, 15, , 6, 11, 
2023/10/27, 50, 16, , 8, 10, 
2023/10/28, 57, 17, , 7, 10, 
2023/10/29, 57, 16, , 11, 10, 
2023/10/30, 49, 13, , 6, 11, 
2023/10/31, 42, 11, , 5, 10, 
2023/11/1, 35, 17, , 8, 12, 
2023/11/2, 55, 15, , 8, 11, 
2023/11/3, 54, 10, , 4, 1, 
2023/11/4, 41, 10, , 4, 3, 
2023/11/5, 39, 7, , 4, , 
2023/11/6, 26, 11, , 9, 1, 
2023/11/7, 38, 11, , 7, 2, 
2023/11/8, 42, 16, , 9, 2, 
2023/11/9, 53, 20, , 10, 3, 
2023/11/10, 64, 32, , 12, 4, 
2023/11/11, 93, 19, , 5, 3, 
2023/11/12, 67, 16, , 9, 3, 
2023/11/13, 57, 11, , 4, 4, 
2023/11/14, 42, 11, , 8, 3, 
2023/11/15, 40, 25, , 13, 2, 
2023/11/16, 78, 25, , 11, 2, 
2023/11/17, 76, 22, , 7, , 
2023/11/18, 74, 28, , 7, 2, 
2023/11/19, 86, 22, , 11, 3, 
2023/11/20, 70, 20, , 6, 2, 
2023/11/21, 67, 26, , 11, 2, 
2023/11/22, 76, 14, , 4, 7, 
2023/11/23, 53, 7, , 4, 9, 
2023/11/24, 25, 10, , 5, 8, 
2023/11/25, 40, 10, , 4, 8, 
2023/11/26, 42, 28, , 14, 8, 
2023/11/27, 86, 32, , 10, 8, 
2023/11/28, 100, 25, , 9, 8, 
2023/11/29, 81, 30, , 14, 9, 
2023/11/30, 90, 72, , 23, 9, 
2023/12/1, 166, 40, , 8, 7, 
2023/12/2, 117, 16, , 5, 6, 
2023/12/3, 61, 31, , 11, 6, 
2023/12/4, 98, 44, , 14, 8, 
2023/12/5, 129, 53, , 14, 8, 
2023/12/6, 152, 57, , 15, 7, 
2023/12/7, 156, 59, , 13, 8, 
2023/12/8, 155, 40, , 13, 8, 
2023/12/9, 120, 23, , 8, 8, 
2023/12/10, 78, 12, , 9, 9, 
2023/12/11, 49, 18, , 11, 8, 
2023/12/12, 60, 30, , 10, 9, 
2023/12/13, 93, 21, , 7, 7, 
2023/12/14, 70, 21, , 9, 5, 
2023/12/15, 72, 18, , 5, 4, 
2023/12/16, 65, 14, , 3, 4, 
2023/12/17, 56, 15, , 6, 5, 
2023/12/18, 58, 13, , 8, 7, 
2023/12/19, 54, 6, , 5, 8, 
2023/12/20, 27, 5, , 4, 12, 
2023/12/21, 20, 6, , 2, 13, 
2023/12/22, 22, 5, , 3, 10, 
2023/12/23, 23, 7, , 3, 9, 
2023/12/24, 30, 4, , 2, 10, 
2023/12/25, 18, 5, , 2, 9, 
2023/12/26, 19, 11, , 9, 6, 
2023/12/27, 37, 10, , 8, 8, 
2023/12/28, 45, 8, , 5, 8, 
2023/12/29, 35, , , , , 
2023/7/1, 41, 13, , 2, 5, 
2023/7/2, 36, 20, , 6, 5, 
2023/7/3, 52, 18, , 7, 4, 
2023/7/4, 47, 16, , 9, 4, 
2023/7/5, 48, 12, , 7, 4, 
2023/7/6, 33, 12, , 9, 3, 
2023/7/7, 34, 15, , 9, 3, 
2023/7/8, 40, 11, , 3, 3, 
2023/7/9, 33, 18, , 9, 4, 
2023/7/10, 41, 14, , 3, 4, 
2023/7/11, 41, 14, , 8, 5, 
2023/7/12, 40, 11, , 9, 5, 
2023/7/13, 32, 10, , 6, 5, 
2023/7/14, 30, 14, , 7, 5, 
2023/7/15, 37, 11, , 4, 5, 
2023/7/16, 32, 14, , 12, 8, 
2023/7/17, 37, 9, , 6, 3, 
2023/7/18, 24, 12, , 9, 3, 
2023/7/19, 30, 9, , 5, 3, 
2023/7/20, 31, 8, , 8, 3, 
2023/7/21, 25, 9, , 3, 3, 
2023/7/22, 31, 12, , 5, 3, 
2023/7/23, 36, 12, , 4, 4, 
2023/7/24, 26, 9, , 4, 5, 
2023/7/25, 29, 9, , 5, 4, 
2023/7/26, 30, 8, , 5, 3, 
2023/7/27, 28, 8, , 4, 5, 
2023/7/28, 32, 10, , 4, 4, 
2023/7/29, 36, 13, , 2, 4, 
2023/7/30, 39, 8, , 3, 5, 
2023/7/31, 30, 7, , 4, 6, 
2023/8/1, 26, 8, , 3, 6, 
2023/8/2, 25, 8, , 1, 7, 
2023/8/3, 19, 9, , 6, 5, 
2023/8/4, 25, 12, , 6, 5, 
2023/8/5, 43, 3, , 1, 7, 
2023/8/6, 14, 7, , 2, 5, 
2023/8/7, 21, 7, , 3, , 
2023/8/8, 22, 7, , 6, 1, 
2023/8/9, 25, 9, , 9, 1, 
2023/8/10, 27, 12, , 12, 1, 
2023/8/11, 36, 17, , 10, 1, 
2023/8/12, 46, 14, , 6, 2, 
2023/8/13, 42, 15, , 6, 2, 
2023/8/14, 40, 18, , 10, 2, 
2023/8/15, 53, 18, , 7, 2, 
2023/8/16, 50, 12, , 3, 1, 
2023/8/17, 42, 14, , 5, 2, 
2023/8/18, 47, 17, , 11, 2, 
2023/8/19, 58, 21, , 6, 2, 
2023/8/20, 65, 12, , 7, 2, 
2023/8/21, 39, 13, , 7, 1, 
2023/8/22, 36, 13, , 8, 1, 
2023/8/23, 35, 14, , 11, 2, 
2023/8/24, 41, 21, , 12, 3, 
2023/8/25, 59, 13, , 6, 3, 
2023/8/26, 47, 11, , 4, 3, 
2023/8/27, 43, 12, , 5, 3, 
2023/8/28, 44, 9, , 5, 3, 
2023/8/29, 37, 5, , 5, 4, 
2023/8/30, 19, 13, , 7, 6, 
2023/8/31, 45, 10, , 8, 3, 
2023/9/1, 32, 13, , 10, 3, 
2023/9/2, 44, 14, , 6, 2, 
2023/9/3, 47, 9, , 8, 1, 
2023/9/4, 32, 14, , 12, 2, 
2023/9/5, 46, 18, , 15, 3, 
