date, pm25, pm10, o3, no2, so2
2021/4/1, 63, 17, 23, 4, 9
2021/4/2, 51, 16, 24, 3, 11
2021/4/3, 58, 16, 21, 3, 13
2021/4/4, 57, 10, 28, 1, 13
2021/4/5, 35, 11, 23, 3, 13
2021/4/6, 42, 15, 23, 3, 13
2021/4/7, 54, 10, 21, 3, 13
2021/4/8, 40, 10, 27, 2, 13
2021/4/9, 34, 18, 36, 5, 15
2021/4/10, 44, 19, 37, 3, 13
2021/4/11, 49, 28, 31, 5, 8
2021/4/12, 61, 19, 15, 3, 
2021/4/13, 63, 7, 21, 2, 
2021/4/14, 31, 9, 13, 3, 
2021/4/15, 38, 6, 10, 4, 
2021/4/16, 26, 11, 17, 3, 
2021/4/17, 41, 22, 23, 3, 
2021/4/18, 70, 35, 7, 6, 
2021/4/19, 96, 22, 28, 3, 
2021/4/20, 58, 17, 32, 2, 1
2021/4/21, 53, 15, 25, 3, 1
2021/4/22, 52, 16, 25, 2, 2
2021/4/23, 50, 18, 27, 3, 2
2021/4/24, 55, 17, 27, 2, 2
2021/4/25, 55, 16, 25, 3, 1
2021/4/26, 46, 22, 28, 4, 
2021/4/27, 56, 31, 32, 4, 
2021/4/28, 75, 28, 19, 6, 
2021/4/29, 67, 18, 22, 5, 
2021/4/30, 51, 25, 14, 4, 1
2021/5/1, 74, 20, 23, 2, 
2021/5/2, 52, 9, 25, 2, 
2021/5/3, 32, 9, 32, 2, 1
2021/5/4, 27, 10, 33, 2, 2
2021/5/5, 19, 5, 24, 2, 1
2021/5/6, 16, 6, 32, 2, 5
2021/5/7, 19, 9, 31, 2, 6
2021/5/8, 29, 11, 37, 3, 7
2021/5/9, 33, 15, 36, 3, 7
2021/5/10, 28, 25, 35, 3, 7
2021/5/11, 39, 31, 36, 4, 10
2021/5/12, 43, 15, 33, 3, 9
2021/5/13, 23, 7, 24, 2, 9
2021/5/14, 16, 13, 33, 2, 8
2021/5/15, 41, 9, 27, 2, 8
2021/5/16, 29, 10, 30, 2, 8
2021/5/17, 26, 11, 25, 2, 9
2021/5/18, 37, 10, 28, 2, 6
2021/5/19, 30, 11, 35, 2, 3
2021/5/20, 32, , , , 
2021/1/4, 153, 18, 6, 6, 1
2021/1/5, 62, 25, 13, 6, 1
2021/1/6, 82, 25, 4, 7, 
