date, pm25, pm10, o3, no2, so2, co
2024/5/1, 39, 25, 45, 6, , 
2024/5/2, 37, 21, 49, 5, , 
2024/5/3, 37, 22, 50, 3, , 
2024/5/4, 45, 21, 48, 4, , 
2024/5/5, 42, 17, 35, 5, , 
2024/5/6, 40, 18, 33, 8, , 
2024/5/7, 36, 24, 37, 8, , 
2024/5/8, 41, 25, 38, 10, , 
2024/5/9, 34, 30, 36, 13, , 
2024/5/10, 52, 11, 33, 3, , 
2024/5/11, 28, 13, 36, 8, , 
2024/5/12, 27, 22, 38, 16, , 
2024/5/13, 32, 26, 39, 15, , 
2024/5/14, 38, 25, 39, 6, , 
2024/5/15, 37, 28, 40, 5, , 
2024/5/16, 41, 29, 38, 5, , 
2024/5/17, 34, 20, 41, 5, , 
2024/5/18, 36, 17, 41, 7, , 
2024/5/19, 43, 19, 44, 14, , 
2024/5/20, 47, 22, 48, 13, , 
2024/5/21, 50, 20, 34, 5, , 
2024/5/22, 50, , , , , 
2024/4/1, 120, 20, 27, 5, , 
2024/4/2, 48, 9, 25, 4, , 
2024/4/3, 33, 17, 19, 12, , 
2024/4/4, 56, 11, 29, 5, , 
2024/4/5, 36, 16, 30, 4, , 
2024/4/6, 50, 21, 36, 7, , 
2024/4/7, 62, 20, 38, 7, , 
2024/4/8, 46, 26, 40, 7, , 
2024/4/9, 53, 26, 26, 6, , 
2024/4/10, 51, 19, 34, 7, , 
2024/4/11, 39, 25, 24, 6, , 
2024/4/12, 48, 30, 31, 4, , 
2024/4/13, 62, 30, 30, 4, , 
2024/4/14, 48, 19, 33, 7, , 
2024/4/15, 41, 13, 32, 4, , 
2024/4/16, 40, 14, 19, 8, , 
2024/4/17, 51, 13, 26, 7, , 
2024/4/18, 47, 14, 29, 6, , 
2024/4/19, 50, 13, 21, 4, , 
2024/4/20, 53, 10, 30, 2, , 
2024/4/21, 39, 10, 28, 4, , 
2024/4/22, 36, 20, 31, 7, , 
2024/4/23, 59, 26, 19, 10, , 
2024/4/24, 71, 25, 33, 10, , 
2024/4/25, 70, 25, 38, 11, , 
2024/4/26, 65, 18, 43, 4, , 
2024/4/27, 50, 17, 44, 4, , 
2024/4/28, 49, 19, 46, 4, , 
2024/4/29, 42, 24, 45, 4, , 
2024/4/30, 43, 24, 47, 4, , 
2024/1/7, 67, 31, 9, 12, , 
2024/1/8, 86, 60, 7, 20, , 
2024/1/9, 150, 61, 11, 14, , 
2024/1/10, 158, 40, 15, 9, , 
2024/1/11, 110, 20, 17, 12, , 
2024/1/12, 66, 17, 18, 4, , 
2024/1/13, 63, 12, 21, 2, , 
2024/1/14, 50, 13, 22, 5, , 
2024/1/15, 52, 23, 23, 12, , 
2024/1/16, 65, 35, 21, 11, , 
2024/1/17, 105, 42, 15, 10, , 
2024/1/18, 116, 30, 18, 9, , 
2024/1/19, 90, 20, 21, 4, , 
2024/1/20, 69, 23, 20, 7, , 
2024/1/21, 75, 16, 25, 5, , 
2024/1/22, 57, 15, 20, 7, , 
2024/1/23, 57, 9, 25, 4, , 
2024/1/24, 35, 6, 26, 3, , 
2024/1/25, 25, 13, 20, 6, , 
2024/1/26, 43, 11, 25, 3, , 
2024/1/27, 40, 11, 23, 2, , 
2024/1/28, 42, 19, 18, 8, , 
2024/1/29, 64, 31, 16, 12, , 
2024/1/30, 88, 29, 16, 7, , 
2024/1/31, 86, 16, 24, 5, , 
2024/2/1, 58, 21, 22, 6, , 
2024/2/2, 63, 8, 24, 3, , 
2024/2/3, 32, 6, 26, 1, , 
2024/2/4, 24, 5, 25, 4, , 
2024/2/5, 20, 10, 20, 3, , 
2024/2/6, 36, 5, 29, 4, , 
2024/2/7, 21, 17, 18, 12, , 
2024/2/8, 53, 16, 18, 10, , 
2024/2/9, 58, 33, 10, 9, , 
2024/2/10, 98, 25, 16, 7, , 
2024/2/11, 75, 14, 19, 6, , 
2024/2/12, 51, 11, 20, 6, , 
2024/2/13, 38, 20, 23, 11, , 
2024/2/14, 57, 31, 18, 9, , 
2024/2/15, 90, 26, 21, 7, , 
