date, pm25, pm10, o3, no2, so2, co
2020/7/1, 35, 12, 31, 3, , 3
2020/7/2, 35, 16, 32, 3, 1, 3
2020/7/3, 47, 15, 40, 2, , 3
2020/7/4, 40, 14, 33, 1, , 3
2020/7/5, 35, 14, 27, 2, 1, 3
2020/7/6, 33, 12, 28, 1, , 1
2020/7/7, 25, 11, 26, 2, , 1
2020/7/8, 30, 16, 30, 2, , 2
2020/7/9, 45, 17, 29, 3, , 2
2020/7/10, 43, 9, 24, 1, , 1
2020/7/11, 26, 11, 27, 1, 2, 1
2020/7/12, 31, 10, 22, 3, , 2
2020/7/13, 28, 13, 35, 3, , 2
2020/7/14, 34, 17, 41, 4, 1, 2
2020/7/15, 41, 16, 27, 3, , 2
2020/7/16, 49, 13, 32, 2, 1, 1
2020/7/17, 38, 23, 34, 4, , 2
2020/7/18, 53, 21, 35, 4, , 2
2020/7/19, 53, 21, 32, 7, , 2
2020/7/20, 55, 14, 29, 1, 2, 1
2020/7/21, 30, 11, 28, 2, , 1
2020/7/22, 23, 11, 27, 3, , 1
2020/7/23, 25, 17, 39, 4, , 1
2020/7/24, 37, 17, 32, 4, , 1
2020/7/25, 38, 15, 39, 2, , 1
2020/7/26, 35, 18, 30, 5, 1, 2
2020/7/27, 47, 20, 43, 4, , 2
2020/7/28, 43, 17, 34, 3, 3, 1
2020/7/29, 38, 19, 33, 3, , 1
2020/7/30, 33, 13, 29, 3, 3, 1
2020/7/31, 29, 16, 26, 4, 4, 2
2020/8/1, 39, 15, 37, 3, , 1
2020/8/2, 34, 25, 21, 6, 2, 2
2020/8/3, 62, 19, 17, 4, 5, 2
2020/8/4, 52, 13, 28, 5, 1, 2
2020/8/5, 31, 17, 32, 3, , 2
2020/8/6, 28, 27, 41, 6, , 2
2020/8/7, 42, 28, 42, 8, , 2
2020/8/8, 53, 25, 42, 6, , 2
2020/8/9, 56, 23, 32, 5, , 2
2020/8/10, 48, 24, 39, 3, , 2
2020/8/11, 44, 29, 35, 6, , 2
2020/8/12, 45, 28, 47, 6, , 2
2020/8/13, 42, 30, 48, 6, , 2
2020/8/14, 42, 21, 39, 2, , 1
2020/8/15, 40, 20, 39, 6, , 2
2020/8/16, 38, 32, 39, 9, 1, 2
2020/8/17, 48, 23, 39, 4, , 2
2020/8/18, 49, 24, 28, 5, 4, 2
2020/8/19, 46, 24, 39, 9, 3, 2
2020/8/20, 40, 24, 58, 8, , 2
2020/8/21, 44, 20, 40, 3, , 2
2020/8/22, 51, 16, 35, 2, , 2
2020/8/23, 44, 12, 32, 3, , 2
2020/8/24, 30, 15, 30, 3, , 2
2020/8/25, 36, 15, 27, 4, , 2
2020/8/26, 37, 6, 22, 1, , 2
2020/8/27, 17, 12, 25, 2, , 2
2020/8/28, 37, 14, 25, 4, , 3
2020/8/29, 42, 15, 21, 2, , 3
2020/8/30, 51, 10, 22, 5, 1, 3
2020/8/31, 32, 12, 17, 2, , 2
2020/9/1, 38, 12, 13, 3, , 3
2020/9/2, 39, 13, 20, 3, , 3
2020/9/3, 41, 17, 24, 4, , 3
2020/9/4, 53, , , , , 
2020/9/7, 29, 14, 33, 2, , 3
2020/9/8, 37, 18, 30, 5, , 4
2020/9/9, 50, 14, 23, 2, 1, 3
2020/9/10, 34, 19, 30, 7, , 4
2020/9/11, 45, 22, 31, 7, 1, 4
2020/9/12, 56, 16, 27, 2, , 3
2020/9/13, 44, 21, 33, 9, , 5
2020/9/14, 52, 28, 35, 8, , 5
2020/9/15, 62, 32, 39, 6, 1, 4
2020/9/16, 67, 16, 24, 3, 2, 3
2020/9/17, 32, 15, 24, 5, 2, 3
2020/9/18, 30, 26, 27, 9, , 5
2020/9/19, 52, 25, 30, 8, , 4
2020/9/20, 53, 31, 29, 12, , 5
2020/9/21, 60, 44, 40, 7, 1, 5
2020/9/22, 70, 38, 38, 6, 1, 5
2020/9/23, 65, 36, 33, 7, 1, 5
2020/9/24, 74, 27, 28, 5, , 5
2020/9/25, 65, 21, 23, 4, , 5
2020/9/26, 58, 10, 14, 2, , 4
2020/9/27, 38, 16, 6, 4, , 4
2020/9/28, 54, , , , , 
2020/4/1, 58, 23, 30, 4, 1, 4
2020/4/2, 65, 33, 29, 3, , 3
2020/4/3, 61, 21, 29, 8, 1, 4
2020/4/4, 51, 32, 32, 8, 1, 5
2020/4/5, 82, 30, 38, 5, 1, 4
2020/4/6, 68, 38, 40, 5, 1, 4
2020/4/7, 75, 30, 32, 12, 1, 5
2020/4/8, 61, 39, 36, 7, 6, 5
2020/4/9, 73, 22, 30, 6, 2, 4
2020/4/10, 47, 16, 28, 2, , 4
2020/4/11, 36, 19, 38, 2, 1, 4
2020/4/12, 51, 19, 26, 2, 4, 4
2020/4/13, 43, 14, 26, 2, , 2
2020/4/14, 30, 22, 24, 2, , 2
2020/4/15, 53, 25, 29, 2, 3, 2
2020/4/16, 51, 17, 28, 4, 1, 2
2020/4/17, 38, 18, 27, 4, , 2
2020/4/18, 37, 10, 27, 1, , 2
2020/4/19, 28, 16, 27, 3, 1, 2
2020/4/20, 41, 29, 28, 7, , 2
2020/4/21, 52, 21, 29, 5, , 2
2020/4/22, 45, 20, 30, 8, 4, 2
2020/4/23, 40, 26, 36, 4, 1, 2
2020/4/24, 49, 21, 27, 4, 6, 2
2020/4/25, 41, 13, 29, 4, 4, 2
2020/4/26, 35, 22, 33, 6, , 3
2020/4/27, 45, 27, 42, 5, , 2
2020/4/28, 52, 19, 26, 3, , 2
2020/4/29, 49, 16, 33, 4, , 2
2020/4/30, 53, 19, 21, 3, , 2
2020/5/1, 60, 20, 25, 5, , 3
2020/5/2, 62, 15, 30, 2, 1, 2
2020/5/3, 49, 19, 31, 8, , 2
2020/5/4, 59, 12, 27, 3, 2, 2
2020/5/5, 41, 14, 30, 5, 5, 2
2020/5/6, 43, 13, 33, 4, 2, 2
2020/5/7, 40, 20, 37, 6, , 2
2020/5/8, 55, 20, 34, 9, , 2
2020/5/9, 50, 21, 40, 5, , 2
2020/5/10, 58, 19, 28, 4, 1, 2
2020/5/11, 52, 8, 25, 3, , 2
2020/5/12, 24, 17, 30, 4, , 2
2020/5/13, 51, 17, 30, 5, 2, 2
2020/5/14, 55, 14, 37, 4, , 2
2020/5/15, 40, 15, 31, 3, , 2
2020/5/16, 39, 13, 32, 2, , 2
2020/5/17, 37, 14, 26, 4, , 2
2020/5/18, 40, 16, 24, 3, , 2
2020/5/19, 51, 10, 27, 3, 1, 2
2020/5/20, 30, 9, 27, 4, 1, 2
2020/5/21, 25, 13, 32, 7, 1, 2
2020/5/22, 33, 19, 33, 5, , 2
2020/5/23, 50, 12, 25, 1, 1, 2
2020/5/24, 39, 11, 21, 4, 1, 3
2020/5/25, 40, 15, 23, 4, 2, 3
2020/5/26, 48, 19, 32, 11, 5, 3
2020/5/27, 52, 17, 25, 8, 4, 3
2020/5/28, 48, 11, 25, 3, 4, 2
2020/5/29, 20, 12, 21, 5, 6, 2
2020/5/30, 25, 16, 27, 3, 2, 2
2020/5/31, 29, 19, 27, 4, 1, 2
2020/6/1, 28, 14, 28, 4, , 2
2020/6/2, 29, 17, 20, 6, , 3
2020/6/3, 40, 17, 32, 8, 2, 3
2020/6/4, 42, 17, 25, 4, , 3
2020/6/5, 52, 13, 26, 2, , 3
2020/6/6, 35, 11, 28, 3, , 3
2020/6/7, 37, 14, 27, 3, 1, 3
2020/6/8, 44, 14, 27, 4, 1, 3
2020/6/9, 42, 20, 18, 5, 1, 3
2020/6/10, 61, 19, 31, 3, , 3
2020/6/11, 57, 17, 44, 4, , 3
2020/6/12, 43, 19, 34, 2, , 3
2020/6/13, 52, 13, 31, 2, , 3
2020/6/14, 35, 16, 32, 6, 3, 3
2020/6/15, 41, 17, 37, 9, 4, 3
2020/6/16, 38, 24, 43, 6, , 3
2020/6/17, 50, 24, 28, 5, , 3
2020/6/18, 62, 22, 37, 5, , 3
2020/6/19, 55, 22, 28, 3, 4, 3
2020/6/20, 61, 18, 29, 3, 3, 3
2020/6/21, 51, 16, 21, 4, 7, 3
2020/6/22, 48, 13, 29, 3, 5, 3
