date, pm25, pm10, o3, no2, so2, co
2024/5/1, 32, 25, , , , 
2024/5/2, 30, 21, , , , 
2024/5/3, 33, 17, , , , 
2024/5/4, 31, 18, , , , 
2024/5/5, 34, 14, , , , 
2024/5/6, 31, 18, , , , 
2024/5/7, 34, 23, , , , 
2024/5/8, 47, 24, , , , 
2024/5/9, 34, 21, , , , 
2024/5/10, 39, 12, , , , 
2024/5/11, 24, 15, , , , 
2024/5/12, 29, 24, , , , 
2024/5/13, 35, 23, , , , 
2024/5/14, 35, 29, , , , 
2024/5/15, 33, 30, , , , 
2024/5/16, 36, 30, , , , 
2024/5/17, 41, 20, , , , 
2024/5/18, 36, 15, , , , 
2024/5/19, 43, 15, , , , 
2024/5/20, 44, 17, , , , 
2024/5/21, 39, 20, , , , 
2024/5/22, 52, , , , , 
2024/4/1, 105, 13, , , , 
2024/4/2, 32, 7, , , , 
2024/4/3, 22, 15, , , , 
2024/4/4, 48, 8, , , , 
2024/4/5, 24, 13, , , , 
2024/4/6, 35, 15, , , , 
2024/4/7, 42, 17, , , , 
2024/4/8, 35, 20, , , , 
2024/4/9, 38, 19, , , , 
2024/4/10, 40, 16, , , , 
2024/4/11, 30, 16, , , , 
2024/4/12, 34, 23, , , , 
2024/4/13, 51, 23, , , , 
2024/4/14, 41, 12, , , , 
2024/4/15, 32, 12, , , , 
2024/4/16, 32, 15, , , , 
2024/4/17, 49, 14, , , , 
2024/4/18, 48, 13, , , , 
2024/4/19, 45, 11, , , , 
2024/4/20, 44, 9, , , , 
2024/4/21, 31, 8, , , , 
2024/4/22, 28, 19, , , , 
2024/4/23, 58, 25, , , , 
2024/4/24, 68, 24, , , , 
2024/4/25, 73, 18, , , , 
2024/4/26, 52, 13, , , , 
2024/4/27, 39, 15, , , , 
2024/4/28, 41, 16, , , , 
2024/4/29, 33, 22, , , , 
2024/4/30, 35, 21, , , , 
2024/1/7, 72, 32, , , , 
2024/1/8, 92, 59, , , , 
2024/1/9, 152, 44, , , , 
2024/1/10, 123, 29, , , , 
2024/1/11, 87, 18, , , , 
2024/1/12, 61, 14, , , , 
2024/1/13, 53, 9, , , , 
2024/1/14, 37, 12, , , , 
2024/1/15, 46, 17, , , , 
2024/1/16, 49, 31, , , , 
2024/1/17, 94, 36, , , , 
2024/1/18, 107, 24, , , , 
2024/1/19, 77, 17, , , , 
2024/1/20, 61, 24, , , , 
2024/1/21, 77, 14, , , , 
2024/1/22, 49, 13, , , , 
2024/1/23, 50, 8, , , , 
2024/1/24, 29, 5, , , , 
2024/1/25, 16, 12, , , , 
2024/1/26, 39, 8, , , , 
2024/1/27, 28, 17, , , , 
2024/1/28, 58, 21, , , , 
2024/1/29, 69, 21, , , , 
2024/1/30, 68, 18, , , , 
2024/1/31, 62, 15, , , , 
2024/2/1, 51, 13, , , , 
2024/2/2, 42, 7, , , , 
2024/2/3, 27, 5, , , , 
2024/2/4, 17, 5, , , , 
2024/2/5, 15, 9, , , , 
2024/2/6, 30, 5, , , , 
2024/2/7, 15, 18, , , , 
2024/2/8, 53, 18, , , , 
2024/2/9, 64, 35, , , , 
2024/2/10, 105, 27, , , , 
2024/2/11, 83, 11, , , , 
2024/2/12, 42, 12, , , , 
2024/2/13, 40, 22, , , , 
2024/2/14, 63, 28, , , , 
2024/2/15, 81, 25, , , , 
2024/2/16, 70, 13, , , , 
2024/2/17, 45, 18, , , , 
2024/2/18, 47, 16, , , , 
2024/2/19, 54, 7, , , , 
2024/2/20, 25, 16, , , , 
2024/2/21, 56, 17, , , , 
2024/2/22, 58, 19, , , , 
2024/2/23, 62, 23, , , , 
2024/2/24, 71, 24, , , , 
2024/2/25, 73, 27, , , , 
2024/2/26, 73, 45, , , , 
2024/2/27, 105, 37, , , , 
2024/2/28, 106, 25, , , , 
2024/2/29, 74, 39, , , , 
2024/3/1, 104, 34, , , , 
2024/3/2, 93, 39, , , , 
2024/3/3, 101, 35, , , , 
2024/3/4, 91, 23, , , , 
2024/3/5, 72, 30, , , , 
2024/3/6, 78, 40, , , , 
2024/3/7, 90, 55, , , , 
2024/3/8, 124, 47, , , , 
2024/3/9, 116, 33, , , , 
2024/3/10, 87, 23, , , , 
2024/3/11, 72, 31, , , , 
2024/3/12, 91, 31, , , , 
2024/3/13, 88, 29, , , , 
2024/3/14, 86, 27, , , , 
2024/3/15, 78, 22, , , , 
2024/3/16, 69, 6, , , , 
2024/3/17, 21, 8, , , , 
2024/3/18, 31, 27, , , , 
2024/3/19, 77, 49, , , , 
2024/3/20, 123, 29, , , , 
2024/3/21, 83, 22, , , , 
2024/3/22, 70, 14, , , , 
2024/3/23, 51, 12, , , , 
2024/3/24, 45, 17, , , , 
2024/3/25, 57, 22, , , , 
2024/3/26, 64, 18, , , , 
2024/3/27, 44, 33, , , , 
2024/3/28, 70, 12, , , , 
2024/3/29, 29, 35, , , , 
2024/3/30, 57, 64, , , , 
2024/3/31, 81, 76, , , , 
2023/10/1, 36, 21, , , , 
2023/10/2, 42, 20, , , , 
2023/10/3, 40, 11, , , , 
2023/10/4, 26, 12, , , , 
2023/10/5, 35, 13, , , , 
2023/10/6, 42, 7, , , , 
2023/10/7, 22, 6, , , , 
2023/10/8, 16, 14, , , , 
2023/10/9, 44, 20, , , , 
2023/10/10, 60, 21, , , , 
2023/10/11, 59, 16, , , , 
2023/10/12, 44, 16, , , , 
2023/10/13, 48, 16, , , , 
2023/10/14, 43, 9, , , , 
2023/10/15, 26, 8, , , , 
2023/10/16, 23, 22, , , , 
2023/10/17, 62, 32, , , , 
2023/10/18, 88, 37, , , , 
2023/10/19, 98, 16, , , , 
2023/10/20, 56, 31, , , , 
2023/10/21, 82, 18, , , , 
2023/10/22, 57, 21, , , , 
2023/10/23, 62, 28, , , , 
2023/10/24, 76, 17, , , , 
2023/10/25, 58, 19, , , , 
2023/10/26, 60, 15, , , , 
2023/10/27, 48, 16, , , , 
2023/10/28, 51, 15, , , , 
2023/10/29, 45, 23, , , , 
2023/10/30, 59, 12, , , , 
2023/10/31, 33, 17, , , , 
2023/11/1, 45, 12, , , , 
2023/11/2, 37, 11, , , , 
2023/11/3, 35, 20, , , , 
2023/11/4, 52, 15, , , , 
2023/11/5, 53, 7, , , , 
2023/11/6, 20, 11, , , , 
2023/11/7, 34, 17, , , , 
2023/11/8, 54, 14, , , , 
2023/11/9, 48, 17, , , , 
2023/11/10, 54, 34, , , , 
2023/11/11, 97, 23, , , , 
2023/11/12, 72, 17, , , , 
2023/11/13, 58, 12, , , , 
2023/11/14, 41, 10, , , , 
2023/11/15, 35, 25, , , , 
2023/11/16, 75, 23, , , , 
2023/11/17, 74, 17, , , , 
2023/11/18, 62, 22, , , , 
2023/11/19, 73, 36, , , , 
2023/11/20, 92, 22, , , , 
2023/11/21, 69, 28, , , , 
2023/11/22, 78, 15, , , , 
2023/11/23, 53, 8, , , , 
2023/11/24, 27, 9, , , , 
2023/11/25, 34, 8, , , , 
2023/11/26, 34, 20, , , , 
2023/11/27, 67, 42, , , , 
2023/11/28, 115, 23, , , , 
2023/11/29, 73, 37, , , , 
2023/11/30, 107, 53, , , , 
2023/12/1, 140, 48, , , , 
2023/12/2, 128, 20, , , , 
2023/12/3, 69, 27, , , , 
2023/12/4, 86, 47, , , , 
2023/12/5, 133, 40, , , , 
2023/12/6, 113, 39, , , , 
2023/12/7, 112, 36, , , , 
2023/12/8, 106, 30, , , , 
2023/12/9, 92, 33, , , , 
2023/12/10, 100, 16, , , , 
2023/12/11, 59, 22, , , , 
2023/12/12, 71, 31, , , , 
2023/12/13, 92, 20, , , , 
2023/12/14, 67, 17, , , , 
2023/12/15, 60, 17, , , , 
2023/12/16, 60, 15, , , , 
2023/12/17, 57, 15, , , , 
2023/12/18, 54, 13, , , , 
2023/12/19, 48, 9, , , , 
2023/12/20, 35, 5, , , , 
2023/12/21, 20, 6, , , , 
2023/12/22, 17, 6, , , , 
2023/12/23, 17, 9, , , , 
2023/12/24, 37, 4, , , , 
2023/12/25, 12, 4, , , , 
2023/12/26, 14, 13, , , , 
2023/12/27, 38, 19, , , , 
2023/12/28, 66, 18, , , , 
2023/12/29, 63, , , , , 
2023/7/1, 52, 15, , , , 
2023/7/2, 36, 16, , , , 
2023/7/3, 35, 19, , , , 
2023/7/4, 40, 20, , , , 
2023/7/5, 45, 14, , , , 
2023/7/6, 29, 12, , , , 
2023/7/7, 27, 15, , , , 
2023/7/8, 29, 13, , , , 
2023/7/9, 29, 13, , , , 
2023/7/10, 24, 12, , , , 
2023/7/11, 24, 17, , , , 
2023/7/12, 39, 13, , , , 
2023/7/13, 39, 13, , , , 
2023/7/14, 29, 14, , , , 
2023/7/15, 27, 13, , , , 
2023/7/16, 28, 11, , , , 
2023/7/17, 29, 9, , , , 
2023/7/18, 20, 11, , , , 
2023/7/19, 18, 9, , , , 
2023/7/20, 25, 8, , , , 
2023/7/21, 17, 11, , , , 
2023/7/22, 27, 13, , , , 
2023/7/23, 24, 12, , , , 
2023/7/24, 18, 11, , , , 
2023/7/25, 21, 10, , , , 
2023/7/26, 30, 9, , , , 
2023/7/27, 24, 7, , , , 
2023/7/28, 22, 9, , , , 
2023/7/29, 25, 8, , , , 
2023/7/30, 21, 8, , , , 
2023/7/31, 16, 9, , , , 
2023/8/1, 20, 8, , , , 
2023/8/2, 15, 7, , , , 
2023/8/3, 12, 8, , , , 
2023/8/4, 13, 13, , , , 
2023/8/5, 38, 12, , , , 
2023/8/6, 36, 5, , , , 
2023/8/7, 8, 6, , , , 
2023/8/8, 12, 6, , , , 
2023/8/9, 18, 11, , , , 
2023/8/10, 29, 11, , , , 
2023/8/11, 25, 13, , , , 
2023/8/12, 29, 14, , , , 
2023/8/13, 34, 16, , , , 
2023/8/14, 41, 16, , , , 
2023/8/15, 38, 19, , , , 
2023/8/16, 39, 18, , , , 
2023/8/17, 42, 13, , , , 
2023/8/18, 38, 19, , , , 
2023/8/19, 56, 19, , , , 
2023/8/20, 56, 14, , , , 
2023/8/21, 40, 13, , , , 
2023/8/22, 30, 11, , , , 
2023/8/23, 28, 12, , , , 
2023/8/24, 28, 23, , , , 
2023/8/25, 61, 13, , , , 
2023/8/26, 39, 12, , , , 
2023/8/27, 41, 9, , , , 
2023/8/28, 30, 14, , , , 
2023/8/29, 46, 13, , , , 
2023/8/30, 42, 8, , , , 
2023/8/31, 23, 7, , , , 
2023/9/1, 20, 13, , , , 
2023/9/2, 38, 12, , , , 
2023/9/3, 36, 11, , , , 
2023/9/4, 28, 14, , , , 
2023/9/5, 32, 18, , , , 
2023/9/6, 41, 22, , , , 
2023/9/7, 50, 26, , , , 
2023/9/8, 59, 27, , , , 
2023/9/9, 63, 30, , , , 
2023/9/10, 67, 29, , , , 
2023/9/11, 59, 29, , , , 
2023/9/12, 74, , , , , 
2023/9/21, 19, 21, , , , 
2023/9/22, 45, 12, , , , 
2023/9/23, 39, 10, , , , 
2023/9/24, 29, 12, , , , 
2023/9/25, 31, 26, , , , 
2023/9/26, 65, 38, , , , 
2023/9/27, 75, 37, , , , 
2023/9/28, 68, 36, , , , 
2023/9/29, 60, 20, , , , 
2023/9/30, 48, 14, , , , 
2023/4/1, 49, 9, , , , 
2023/4/2, 36, 6, , , , 
2023/4/3, 18, 13, , , , 
2023/4/4, 39, 27, , , , 
2023/4/5, 74, 19, , , , 
2023/4/6, 59, 21, , , , 
2023/4/7, 66, 18, , , , 
2023/4/8, 59, 18, , , , 
2023/4/9, 61, 22, , , , 
2023/4/10, 66, 22, , , , 
2023/4/11, 61, 20, , , , 
2023/4/12, 64, 40, , , , 
2023/4/13, 90, 24, , , , 
2023/4/14, 57, 11, , , , 
2023/4/15, 41, 15, , , , 
2023/4/16, 52, 19, , , , 
2023/4/17, 57, 20, , , , 
2023/4/18, 58, 19, , , , 
2023/4/19, 60, 36, , , , 
2023/4/20, 69, 30, , , , 
2023/4/21, 58, 35, , , , 
2023/4/22, 68, 22, , , , 
2023/4/23, 55, 26, , , , 
2023/4/24, 56, 14, , , , 
2023/4/25, 47, 12, , , , 
2023/4/26, 32, 18, , , , 
2023/4/27, 50, 24, , , , 
2023/4/28, 59, 21, , , , 
2023/4/29, 56, 17, , , , 
2023/4/30, 44, 16, , , , 
2023/5/1, 41, 17, , , , 
2023/5/2, 42, 13, , , , 
2023/5/3, 32, 28, , , , 
2023/5/4, 57, 25, , , , 
2023/5/5, 47, 14, , , , 
2023/5/6, 36, 11, , , , 
2023/5/7, 32, 22, , , , 
2023/5/8, 58, 27, , , , 
2023/5/9, 64, 21, , , , 
2023/5/10, 34, 21, , , , 
2023/5/11, 33, 30, , , , 
2023/5/12, 43, 29, , , , 
2023/5/13, 53, 27, , , , 
2023/5/14, 50, 16, , , , 
2023/5/15, 47, 13, , , , 
2023/5/16, 37, 17, , , , 
2023/5/17, 54, 11, , , , 
2023/5/18, 21, 16, , , , 
2023/5/19, 47, 24, , , , 
2023/5/20, 54, 17, , , , 
2023/5/21, 33, 18, , , , 
2023/5/22, 33, 20, , , , 
2023/5/23, 38, 30, , , , 
2023/5/24, 67, 25, , , , 
2023/5/25, 66, 27, , , , 
2023/5/26, 50, 14, , , , 
2023/5/27, 24, 17, , , , 
2023/5/28, 28, 23, , , , 
2023/5/29, 31, 20, , , , 
2023/5/30, 25, 19, , , , 
2023/5/31, 24, 26, , , , 
2023/6/1, 25, 17, , , , 
2023/6/2, 33, 11, , , , 
2023/6/3, 16, 13, , , , 
2023/6/4, 21, 19, , , , 
2023/6/5, 28, 21, , , , 
2023/6/6, 31, 28, , , , 
2023/6/7, 43, 20, , , , 
2023/6/8, 43, 23, , , , 
2023/6/9, 59, , , , , 
2023/6/12, 18, 10, , , , 
2023/6/13, 25, 15, , , , 
2023/6/14, 38, 16, , , , 
2023/6/15, 48, 21, , , , 
2023/6/16, 56, 19, , , , 
2023/6/17, 60, 17, , , , 
2023/6/18, 54, 16, , , , 
2023/6/19, 44, 19, , , , 
2023/6/20, 48, 27, , , , 
2023/6/21, 68, 21, , , , 
2023/6/22, 48, 17, , , , 
2023/6/23, 49, 11, , , , 
2023/6/24, 29, 13, , , , 
2023/6/25, 36, 11, , , , 
2023/6/26, 26, 13, , , , 
2023/6/27, 30, 8, , , , 
2023/6/28, 19, 15, , , , 
2023/6/29, 36, 12, , , , 
2023/6/30, 31, 17, , , , 
2023/1/2, 56, 10, , , , 
2023/1/3, 34, 19, , , , 
2023/1/4, 64, 3, , , , 
2023/1/5, 12, 15, , , , 
2023/1/6, 51, 29, , , , 
2023/1/7, 89, 25, , , , 
2023/1/8, 79, 27, , , , 
2023/1/9, 84, 29, , , , 
2023/1/10, 87, 23, , , , 
2023/1/11, 73, 16, , , , 
2023/1/12, 59, 10, , , , 
2023/1/13, 38, 11, , , , 
2023/1/14, 42, 9, , , , 
2023/1/15, 35, 14, , , , 
2023/1/16, 50, 20, , , , 
2023/1/17, 67, 24, , , , 
2023/1/18, 79, 31, , , , 
2023/1/19, 93, 29, , , , 
2023/1/20, 87, 15, , , , 
2023/1/21, 52, 26, , , , 
2023/1/22, 79, 34, , , , 
2023/1/23, 93, 38, , , , 
2023/1/24, 107, 27, , , , 
2023/1/25, 83, 38, , , , 
2023/1/26, 104, 39, , , , 
2023/1/27, 104, 20, , , , 
2023/1/28, 69, 15, , , , 
2023/1/29, 56, 13, , , , 
2023/1/30, 54, 10, , , , 
2023/1/31, 34, 5, , , , 
2023/2/1, 20, 7, , , , 
2023/2/2, 31, 16, , , , 
2023/2/3, 52, 15, , , , 
2023/2/4, 57, 21, , , , 
2023/2/5, 73, 51, , , , 
2023/2/6, 141, 34, , , , 
2023/2/7, 102, 39, , , , 
2023/2/8, 103, 40, , , , 
2023/2/9, 112, 29, , , , 
2023/2/10, 87, 23, , , , 
2023/2/11, 77, 11, , , , 
2023/2/12, 37, 12, , , , 
2023/2/13, 48, 18, , , , 
2023/2/14, 62, 26, , , , 
2023/2/15, 80, 37, , , , 
2023/2/16, 106, 29, , , , 
2023/2/17, 89, 7, , , , 
2023/2/18, 20, 7, , , , 
2023/2/19, 26, 7, , , , 
2023/2/20, 24, 6, , , , 
2023/2/21, 20, 16, , , , 
2023/2/22, 50, 25, , , , 
2023/2/23, 72, 26, , , , 
2023/2/24, 80, 10, , , , 
2023/2/25, 39, 6, , , , 
2023/2/26, 21, 17, , , , 
2023/2/27, 47, 50, , , , 
2023/2/28, 123, 36, , , , 
2023/3/1, 101, 55, , , , 
2023/3/2, 136, 32, , , , 
2023/3/3, 96, 14, , , , 
2023/3/4, 49, 18, , , , 
2023/3/5, 61, 24, , , , 
2023/3/6, 78, 22, , , , 
2023/3/7, 70, 14, , , , 
2023/3/8, 47, 17, , , , 
2023/3/9, 62, 25, , , , 
2023/3/10, 76, 11, , , , 
2023/3/11, 42, 10, , , , 
2023/3/12, 35, 12, , , , 
2023/3/13, 46, 12, , , , 
2023/3/14, 41, 13, , , , 
2023/3/15, 41, 23, , , , 
2023/3/16, 67, 34, , , , 
2023/3/17, 85, 23, , , , 
2023/3/18, 60, 36, , , , 
2023/3/19, 87, 37, , , , 
2023/3/20, 100, 22, , , , 
2023/3/21, 69, 27, , , , 
2023/3/22, 81, 18, , , , 
2023/3/23, 50, 12, , , , 
2023/3/24, 43, 12, , , , 
2023/3/25, 42, 12, , , , 
2023/3/26, 39, 15, , , , 
2023/3/27, 47, 12, , , , 
2023/3/28, 42, 12, , , , 
2023/3/29, 35, 21, , , , 
2023/3/30, 59, 15, , , , 
2023/3/31, 52, 14, , , , 
2022/10/1, 70, 9, , , , 
2022/10/2, 32, 6, , , , 
2022/10/3, 20, 9, , , , 
2022/10/4, 28, 16, , , , 
2022/10/5, 48, 15, , , , 
2022/10/6, 40, 21, , , , 
2022/10/7, 54, 25, , , , 
2022/10/8, 66, 22, , , , 
2022/10/9, 65, 23, , , , 
2022/10/10, 66, 19, , , , 
2022/10/11, 53, 31, , , , 
2022/10/12, 79, 34, , , , 
2022/10/13, 90, 38, , , , 
2022/10/14, 96, 31, , , , 
2022/10/15, 84, 19, , , , 
2022/10/16, 58, 28, , , , 
2022/10/17, 71, 20, , , , 
2022/10/18, 54, 11, , , , 
2022/10/19, 34, 23, , , , 
2022/10/20, 62, 22, , , , 
2022/10/21, 67, 23, , , , 
2022/10/22, 71, 30, , , , 
2022/10/23, 83, 22, , , , 
2022/10/24, 66, 17, , , , 
2022/10/25, 55, 30, , , , 
2022/10/26, 81, 34, , , , 
2022/10/27, 94, 27, , , , 
2022/10/28, 79, 20, , , , 
2022/10/29, 58, 28, , , , 
2022/10/30, 73, 33, , , , 
2022/10/31, 89, 28, , , , 
2022/11/1, 78, 28, , , , 
2022/11/2, 76, 19, , , , 
2022/11/3, 53, 19, , , , 
2022/11/4, 60, 25, , , , 
2022/11/5, 74, 28, , , , 
2022/11/6, 79, 17, , , , 
2022/11/7, 60, 16, , , , 
2022/11/8, 56, 23, , , , 
2022/11/9, 72, 20, , , , 
2022/11/10, 66, 17, , , , 
2022/11/11, 58, 22, , , , 
2022/11/12, 70, 20, , , , 
2022/11/13, 67, 16, , , , 
2022/11/14, 52, 26, , , , 
2022/11/15, 78, 12, , , , 
2022/11/16, 48, 18, , , , 
2022/11/17, 57, 24, , , , 
2022/11/18, 74, 25, , , , 
2022/11/19, 79, 40, , , , 
2022/11/20, 116, 45, , , , 
2022/11/21, 126, 41, , , , 
2022/11/22, 114, 27, , , , 
2022/11/23, 86, 27, , , , 
2022/11/24, 85, 47, , , , 
2022/11/25, 121, 39, , , , 
2022/11/26, 106, 43, , , , 
2022/11/27, 124, 38, , , , 
2022/11/28, 111, 28, , , , 
2022/11/29, 82, 32, , , , 
2022/11/30, 93, 26, , , , 
2022/12/1, 82, 30, , , , 
2022/12/2, 86, 42, , , , 
2022/12/3, 116, 28, , , , 
2022/12/4, 89, 30, , , , 
2022/12/5, 90, 34, , , , 
2022/12/6, 97, 13, , , , 
2022/12/7, 51, 18, , , , 
2022/12/8, 62, 41, , , , 
2022/12/9, 114, 35, , , , 
2022/12/10, 101, 21, , , , 
2022/12/11, 72, 14, , , , 
2022/12/12, 54, 22, , , , 
2022/12/13, 75, 45, , , , 
2022/12/14, 133, 57, , , , 
2022/12/15, 148, 45, , , , 
2022/12/16, 127, 33, , , , 
2022/12/17, 99, 30, , , , 
2022/12/18, 94, 31, , , , 
2022/12/19, 93, 25, , , , 
2022/12/20, 81, 27, , , , 
2022/12/21, 85, 25, , , , 
2022/12/22, 80, 20, , , , 
2022/12/23, 69, 28, , , , 
2022/12/24, 87, 38, , , , 
2022/12/25, 106, 16, , , , 
2022/12/26, 60, 7, , , , 
2022/12/27, 27, 13, , , , 
2022/12/28, 51, 12, , , , 
2022/12/29, 45, 19, , , , 
2022/12/30, 59, 14, , , , 
2022/12/31, 51, 12, , , , 
2023/1/1, 39, 16, , , , 
2022/7/1, 48, 12, , , , 
2022/7/2, 37, 9, , , , 
2022/7/3, 23, 13, , , , 
2022/7/4, 38, 17, , , , 
2022/7/5, 45, 16, , , , 
2022/7/6, 34, 9, , , , 
2022/7/7, 17, 10, , , , 
2022/7/8, 31, 9, , , , 
2022/7/9, 20, 5, , , , 
2022/7/10, 11, 5, , , , 
2022/7/11, 11, 8, , , , 
2022/7/12, 13, 9, , , , 
2022/7/13, 13, 14, , , , 
2022/7/14, 25, 11, , , , 
2022/7/15, 14, 8, , , , 
2022/7/16, 14, 3, , , , 
2022/7/17, 5, 11, , , , 
2022/7/18, 20, 17, , , , 
2022/7/19, 30, 18, , , , 
2022/7/20, 36, 18, , , , 
2022/7/21, 27, 24, , , , 
2022/7/22, 48, 22, , , , 
2022/7/23, 57, 14, , , , 
2022/7/24, 33, 9, , , , 
2022/7/25, 23, 16, , , , 
2022/7/26, 41, 11, , , , 
2022/7/27, 20, 12, , , , 
2022/7/28, 21, 14, , , , 
2022/7/29, 24, 10, , , , 
2022/7/30, 27, 5, , , , 
2022/7/31, 15, 13, , , , 
2022/8/1, 30, 23, , , , 
2022/8/2, 55, 22, , , , 
2022/8/3, 53, 23, , , , 
2022/8/4, 50, 24, , , , 
2022/8/5, 45, 19, , , , 
2022/8/6, 49, 7, , , , 
2022/8/7, 16, 10, , , , 
2022/8/8, 19, 16, , , , 
2022/8/9, 32, 14, , , , 
2022/8/10, 32, 13, , , , 
2022/8/11, 29, 16, , , , 
2022/8/12, 45, 17, , , , 
2022/8/13, 51, 17, , , , 
2022/8/14, 51, 21, , , , 
2022/8/15, 55, 27, , , , 
2022/8/16, 62, 29, , , , 
2022/8/17, 66, 31, , , , 
2022/8/18, 69, 28, , , , 
2022/8/19, 56, 27, , , , 
2022/8/20, 54, 15, , , , 
