date, pm10, o3, no2, so2, co
2024/5/1, 16, 42, 7, 1, 
2024/5/2, 19, 45, 6, 1, 
2024/5/3, 20, 55, 4, 1, 
2024/5/4, 15, 47, 7, , 
2024/5/5, 22, 33, 6, , 
2024/5/6, 15, 32, 5, , 
2024/5/7, 13, 36, 6, 1, 
2024/5/8, 11, 43, 8, 1, 
2024/5/9, 17, 44, 8, 1, 
2024/5/10, 19, 35, 10, 1, 
2024/5/11, 29, 41, 5, 2, 
2024/5/12, 14, 43, 6, 2, 
2024/5/13, 11, 44, 6, 2, 
2024/5/14, 12, 41, 3, 1, 
2024/5/15, 13, 39, 5, 1, 
2024/5/16, 13, 31, 4, 1, 
2024/5/17, 17, 39, 5, 1, 
2024/5/18, 15, 38, 5, , 
2024/5/19, 14, 40, 9, 1, 
2024/5/20, 13, 46, 7, , 
2024/5/21, 20, 30, 6, 1, 
2024/5/22, 21, , , , 
2024/4/1, 74, 30, 3, 2, 
2024/4/2, 23, 36, 3, 2, 
2024/4/3, 12, 30, 6, 1, 
2024/4/4, 12, 33, 5, 1, 
2024/4/5, 9, 34, 7, 1, 
2024/4/6, 12, 40, 9, 2, 
2024/4/7, 27, 39, 9, 3, 
2024/4/8, 16, 42, 14, 4, 
2024/4/9, 26, 25, 8, 2, 
2024/4/10, 22, 30, 9, 3, 
2024/4/11, 21, 36, 11, , 
2024/4/12, 30, 33, 9, , 
2024/4/13, 26, 33, 5, 1, 
2024/4/14, 19, 20, 10, 1, 
2024/4/15, 22, 32, 4, 1, 
2024/4/16, 12, 24, 5, 2, 
2024/4/17, 11, 29, 7, 1, 
2024/4/18, 17, 32, 6, 2, 
2024/4/19, 14, 26, 3, 1, 
2024/4/20, 9, 27, 2, 1, 
2024/4/21, 15, 34, 5, 1, 
2024/4/22, 14, 31, 12, 4, 
2024/4/23, 31, 28, 8, 4, 
2024/4/24, 27, 35, 7, 2, 
2024/4/25, 18, 38, 10, 4, 
2024/4/26, 14, 42, 11, 3, 
2024/4/27, 21, 42, 10, 2, 
2024/4/28, 22, 44, 14, 2, 
2024/4/29, 23, 48, 12, 2, 
2024/4/30, 26, 46, 5, 1, 
2024/1/7, 12, 14, 12, 10, 
2024/1/8, 31, 11, 23, 17, 
2024/1/9, 72, 7, 35, 29, 
2024/1/10, 127, 13, 24, 21, 
2024/1/11, 70, 18, 11, 5, 
2024/1/12, 29, 20, 9, 6, 
2024/1/13, 20, 19, 5, 4, 
2024/1/14, 12, 22, 5, 3, 
2024/1/15, 10, 25, 11, 5, 
2024/1/16, 17, 11, 27, 17, 
2024/1/17, 53, 21, 9, 3, 
2024/1/18, 22, 20, 12, 5, 
2024/1/19, 27, 24, 9, 4, 
2024/1/20, 21, 29, 11, 8, 
2024/1/21, 26, 29, 8, 7, 
2024/1/22, 13, 22, 9, 4, 
2024/1/23, 24, 31, 6, 2, 
2024/1/24, 10, 30, 3, 2, 
2024/1/25, 8, 27, 5, 3, 
2024/1/26, 10, 31, 2, 2, 
2024/1/27, 12, 21, 10, 4, 
2024/1/28, 23, 19, 15, 9, 
2024/1/29, 38, 28, 5, 3, 
2024/1/30, 15, 23, 10, 6, 
2024/1/31, 31, 25, 12, 4, 
2024/2/1, 36, 24, 5, 2, 
2024/2/2, 14, 20, 5, 3, 
2024/2/3, 14, 38, 4, 1, 
2024/2/4, 10, 26, 4, 1, 
2024/2/5, 9, 27, 5, 2, 
2024/2/6, 15, 30, 3, 2, 
2024/2/7, 13, 23, 13, 3, 
2024/2/8, 19, 12, 15, 3, 
