date, pm10, o3, no2, so2, co
2021/4/1, 27, 29, 4, 7, 1
2021/4/2, 21, 25, 3, 8, 2
2021/4/3, 26, 26, 2, 7, 1
2021/4/4, 16, 32, , 8, 1
2021/4/5, 14, 26, 2, 8, 1
2021/4/6, 12, 24, 4, 9, 2
2021/4/7, 20, 22, 3, 7, 1
2021/4/8, 13, 31, 1, 6, 1
2021/4/9, 13, 37, 2, 8, 1
2021/4/10, 14, 40, 1, 7, 1
2021/4/12, 20, 21, 2, 6, 1
2021/4/13, 14, 25, 2, 6, 1
2021/4/14, 7, 18, 3, 7, 1
2021/4/15, 11, 8, 9, 9, 2
2021/4/16, 12, 20, 5, 8, 2
2021/4/17, 18, 29, 6, 9, 4
2021/4/18, 32, 13, 8, 9, 4
2021/4/19, 35, 33, 5, 9, 3
2021/4/20, 26, 36, 3, 10, 2
2021/4/21, 19, 31, 3, 8, 1
2021/4/22, 14, 29, 1, 8, 1
2021/4/23, 12, 32, 4, 8, 2
2021/4/24, 19, 32, 3, 9, 2
2021/4/25, 22, 30, 5, 9, 2
2021/4/26, 19, 33, 5, 9, 3
2021/4/27, 27, 39, 4, 9, 2
2021/4/28, 28, 21, 4, 9, 1
2021/4/29, 24, 30, 7, 10, 2
2021/4/30, 19, 20, 3, 9, 1
2021/5/1, 26, 30, , 11, 
2021/5/2, 16, 32, 2, 9, 1
2021/5/3, 10, 40, 2, 10, 1
2021/5/4, 13, 38, 2, 10, 1
2021/5/5, 11, 30, 4, 10, 1
2021/5/6, 9, 28, 2, 10, 1
2021/5/7, 7, 31, 3, 8, 1
2021/5/8, 13, 38, , 8, 1
2021/5/9, 11, 36, 3, 9, 1
2021/5/10, 10, 57, 4, 5, 1
2021/5/11, 18, 39, 1, 4, 1
2021/5/12, 21, 32, 2, 4, 1
2021/5/13, 12, 20, 4, 3, 1
2021/5/14, 9, 34, 4, 3, 1
2021/5/15, 13, 27, 2, 3, 1
2021/5/16, 8, 30, 2, 4, 1
2021/5/17, 8, 20, 1, 4, 1
2021/5/18, 11, 26, 4, 11, 1
2021/5/19, 13, 35, 4, 9, 1
2021/5/20, 14, , , , 
2021/1/4, 31, 5, 7, 1, 2
2021/1/5, 12, 8, 5, 1, 3
2021/1/6, 14, 4, 9, 4, 4
2021/1/7, 22, 5, 11, 7, 6
2021/1/8, 35, 5, 8, 6, 4
2021/1/9, 26, 5, 4, 3, 2
2021/1/10, 17, 7, 7, 7, 5
2021/1/11, 29, 7, 6, 5, 4
2021/1/12, 26, 7, 6, 6, 2
2021/1/13, 16, 6, 7, 6, 3
2021/1/14, 19, 17, 4, 5, 2
2021/1/15, 17, 18, 3, 6, 2
2021/1/16, 18, 17, 2, 5, 3
2021/1/17, 27, 12, 9, 11, 6
2021/1/18, 48, 15, 6, 6, 5
2021/1/19, 33, 20, 4, 4, 3
2021/1/20, 19, 19, 3, 5, 2
2021/1/21, 15, 20, 2, 6, 2
2021/1/22, 13, 22, 2, 7, 2
2021/1/23, 13, 20, 5, 8, 4
2021/1/24, 22, 17, 6, 7, 3
2021/1/25, 19, 18, 5, 6, 2
2021/1/26, 17, 16, 6, 7, 2
2021/1/27, 21, 21, 6, 7, 3
2021/1/28, 18, 19, 10, 9, 5
2021/1/29, 26, 16, 8, 9, 4
2021/1/30, 33, 21, 8, 9, 6
2021/1/31, 34, 12, 11, 13, 10
2021/2/1, 62, 16, 6, 5, 4
2021/2/2, 16, 16, 3, 6, 2
2021/2/3, 9, 13, 3, 6, 2
2021/2/4, 13, 16, 4, 5, 2
2021/2/5, 21, 22, 1, 6, 2
2021/2/6, 19, 17, , 8, 2
2021/2/7, 20, 16, 3, 8, 2
2021/2/8, 18, 19, 10, 10, 5
2021/2/9, 42, 20, 9, 9, 5
2021/2/10, 49, 20, 6, 6, 3
2021/2/11, 38, 24, 3, 5, 2
2021/2/12, 17, 26, 3, 5, 2
2021/2/13, 22, 26, 1, 3, 2
2021/2/14, 18, 20, 9, 7, 5
2021/2/15, 36, 27, 11, 6, 7
2021/2/16, 36, 23, 6, 6, 3
2021/2/17, 20, 25, 8, 5, 4
2021/2/18, 34, 21, 11, 6, 5
2021/2/19, 34, 24, 12, 5, 7
2021/2/20, 36, 28, 2, 3, 2
2021/2/21, 16, 27, 6, 4, 3
2021/2/22, 19, 18, 14, 6, 7
2021/2/23, 39, 16, 16, 8, 7
2021/2/24, 54, 30, 8, 5, 4
2021/2/25, 42, 27, 6, 6, 3
2021/2/26, 38, 22, 1, 3, 1
2021/2/27, 12, 23, 1, 3, 1
2021/2/28, 17, 18, 5, 3, 1
2021/3/1, 21, 18, 10, 6, 4
2021/3/2, 30, 29, 13, 7, 6
2021/3/3, 43, 24, 7, 8, 2
2021/3/4, 39, 20, 6, 5, 1
2021/3/5, 17, 25, 2, 4, 2
2021/3/6, 19, 28, 2, 7, 2
2021/3/7, 21, 24, 5, 5, 1
2021/3/8, 16, 26, 7, 6, 4
2021/3/9, 29, 27, 6, 6, 2
2021/3/10, 25, 32, 5, 7, 3
2021/3/11, 32, 25, 4, 8, 2
2021/3/12, 19, 27, 2, 7, 2
2021/3/13, 15, 25, 1, 8, 1
2021/3/14, 15, 24, 6, 8, 2
2021/3/15, 21, 25, 8, 8, 4
2021/3/16, 31, 18, 5, 6, 1
2021/3/17, 21, 24, 6, 6, 2
2021/3/18, 20, 22, 10, 8, 6
2021/3/19, 39, 21, 5, 7, 3
2021/3/20, 30, 28, 2, 8, 3
2021/3/21, 27, 29, 4, 6, 2
2021/3/22, 17, 22, 4, 7, 2
2021/3/23, 19, 33, 7, 6, 3
2021/3/24, 24, 20, 9, 8, 5
2021/3/25, 46, 33, 11, 7, 5
2021/3/26, 50, 38, 7, 6, 4
2021/3/27, 39, 30, 4, 5, 2
2021/3/28, 16, 28, 6, 5, 3
2021/3/29, 25, 12, 5, 5, 2
2021/3/30, 21, 28, 6, 6, 3
2021/3/31, 33, 42, 4, 8, 1
2020/10/19, 14, 22, 4, 1, 
2020/10/20, 10, 22, 3, 4, 
2020/10/21, 8, 24, 4, 3, 
2020/10/22, 10, 21, 1, 2, 
2020/10/23, 9, , , , 
2020/10/28, 30, 16, 7, 3, 1
2020/10/29, 16, 14, 9, 3, 
2020/10/30, 15, 16, 6, 2, 2
2020/10/31, 18, 10, 5, 2, 2
2020/11/1, 25, 13, 4, 2, 
2020/11/2, 9, 6, 6, 2, 1
2020/11/3, 12, 15, , 1, 
2020/11/4, 9, 15, 4, 1, 2
