date, pm25, pm10, no2, so2, co
2024/5/1, 63, 27, 8, 1, 3
2024/5/2, 56, 27, 9, 1, 3
2024/5/3, 59, 27, 7, 1, 3
2024/5/4, 68, 20, 5, 1, 3
2024/5/5, 61, 12, 2, 1, 2
2024/5/6, 42, 9, 2, 1, 2
2024/5/7, 30, 9, 5, , 2
2024/5/8, 31, 16, 6, , 2
2024/5/9, 43, 11, 4, 1, 2
2024/5/10, 39, 6, 4, 1, 2
2024/5/11, 20, 7, 6, , 2
2024/5/12, 27, 10, 7, 1, 1
2024/5/13, 31, 9, 7, 1, 1
2024/5/14, 26, 22, 7, 1, 1
2024/5/15, 40, 36, 8, 1, 1
2024/5/16, 54, 24, 7, 1, 1
2024/5/17, 51, 22, 9, 1, 1
2024/5/18, 54, 22, 8, 1, 2
2024/5/19, 58, 16, 7, 1, 2
2024/5/20, 52, 18, 6, 1, 1
2024/5/21, 57, 17, 4, 1, 2
2024/5/22, 54, , , , 
2024/4/1, 100, 10, 1, 1, 2
2024/4/2, 34, 5, 3, 1, 2
2024/4/3, 22, 16, 7, 1, 2
2024/4/4, 57, 12, 3, 1, 2
2024/4/5, 43, 15, 3, 1, 2
2024/4/6, 48, 16, 3, , 2
2024/4/7, 49, 15, 8, 1, 2
2024/4/8, 42, 41, 12, 1, 3
2024/4/9, 87, 15, 1, , 1
2024/4/10, 38, 14, 2, , 1
2024/4/11, 35, 12, 1, , 2
2024/4/12, 40, 10, 1, , 1
2024/4/13, 38, 13, , 1, 2
2024/4/14, 37, 8, 2, 1, 2
2024/4/15, 29, 10, 6, 1, 2
2024/4/16, 36, 7, 3, 1, 2
2024/4/17, 25, 7, 4, 1, 2
2024/4/18, 29, 10, 6, 1, 2
2024/4/19, 37, 9, 2, 1, 2
2024/4/20, 33, 7, 2, , 2
2024/4/21, 27, 9, 4, , 2
2024/4/22, 35, 12, 3, 1, 2
2024/4/23, 46, 21, 7, 1, 2
2024/4/24, 66, 17, 6, 1, 2
2024/4/25, 58, 17, 7, 1, 2
2024/4/26, 55, 21, 9, 1, 3
2024/4/27, 58, 24, 10, 2, 3
2024/4/28, 64, 21, 7, 1, 2
2024/4/29, 56, 20, 7, 1, 3
2024/4/30, 52, 29, 11, 1, 3
2024/1/1, 92, 22, 5, 1, 3
2024/1/2, 69, 12, 4, 1, 2
2024/1/3, 52, 10, 4, 1, 3
2024/1/4, 42, 12, 9, 1, 3
