date, pm10, no2, so2
2024/5/1, 20, 4, 
2024/5/2, 19, 4, 
2024/5/3, 18, 7, 
2024/5/4, 23, 4, 
2024/5/5, 24, 6, 
2024/5/6, 16, 3, 
2024/5/7, 11, 3, 
2024/5/8, 12, 5, 
2024/5/9, 24, 7, 
2024/5/10, 23, 8, 
2024/5/11, 24, 2, 
2024/5/12, 12, 5, 
2024/5/13, 15, 5, 
2024/5/14, 20, 2, 
2024/5/15, 19, 3, 
2024/5/16, 20, 3, 
2024/5/17, 20, 5, 
2024/5/18, 19, 3, 
2024/5/19, 14, 8, 
2024/5/20, 14, 5, 
2024/5/21, 22, 4, 
2024/5/22, 18, , 
2024/4/1, 81, 6, 
2024/4/2, 21, 5, 
2024/4/3, 11, 7, 
2024/4/4, 16, 6, 
2024/4/5, 14, 5, 
2024/4/6, 18, 5, 
2024/4/7, 23, 8, 
2024/4/8, 21, 7, 
2024/4/9, 25, 5, 
2024/4/10, 23, 7, 
2024/4/11, 20, 13, 
2024/4/12, 34, 10, 
2024/4/13, 30, 4, 
2024/4/14, 22, 9, 
2024/4/15, 19, 7, 
2024/4/16, 15, 7, 
2024/4/17, 14, 7, 
2024/4/18, 18, 7, 
2024/4/19, 16, 4, 
2024/4/20, 8, 2, 
2024/4/21, 11, 4, 
2024/4/22, 13, 7, 
2024/4/23, 24, 6, 
2024/4/24, 26, 7, 
2024/4/25, 21, 12, 
2024/4/26, 25, 7, 
2024/4/27, 21, 4, 
2024/4/28, 22, 7, 
2024/4/29, 28, 7, 
2024/4/30, 26, 4, 
2024/1/7, 10, 6, 
2024/1/8, 25, 14, 
2024/1/9, 43, 30, 
2024/1/10, 87, 23, 
2024/1/11, 56, 8, 
2024/1/12, 18, 8, 
2024/1/13, 18, 6, 
2024/1/14, 15, 6, 
2024/1/15, 11, 13, 
2024/1/16, 19, 20, 
2024/1/17, 34, 12, 
2024/1/18, 22, 13, 
2024/1/19, 24, 10, 
2024/1/20, 21, 12, 
2024/1/21, 32, 10, 
2024/1/22, 15, 10, 
2024/1/23, 26, 7, 
2024/1/24, 11, 4, 
2024/1/25, 10, 8, 
2024/1/26, 15, 3, 
2024/1/27, 12, 7, 
2024/1/28, 23, 17, 
2024/1/29, 36, 17, 
2024/1/30, 36, 11, 
2024/1/31, 32, 11, 
2024/2/1, 29, 7, 
2024/2/2, 15, 5, 
2024/2/3, 16, 3, 
2024/2/4, 9, 5, 
2024/2/5, 10, 5, 
2024/2/6, 15, 6, 
2024/2/7, 13, 11, 
2024/2/8, 21, 15, 
2024/2/9, 30, 11, 
2024/2/10, 27, 6, 
2024/2/11, 23, 10, 
2024/2/12, 14, 8, 
2024/2/13, 18, 16, 
2024/2/14, 36, 15, 
2024/2/15, 34, 13, 
2024/2/16, 31, 7, 
2024/2/17, 22, 4, 
2024/2/18, 15, 10, 
2024/2/19, 24, 9, 
2024/2/20, 13, 8, 
2024/2/21, 16, 11, 
2024/2/22, 20, 9, 
2024/2/23, 14, 7, 
2024/2/24, 17, 7, 
2024/2/25, 22, 10, 
