date, pm25, pm10, so2
2024/5/1, 42, 20, 4
2024/5/2, 45, 18, 5
2024/5/3, 47, 16, 4
2024/5/4, 50, 21, 4
2024/5/5, 53, 12, 5
2024/5/6, 36, 15, 4
2024/5/7, 51, 17, 4
2024/5/8, 40, 21, 4
2024/5/9, 52, 22, 3
2024/5/10, 53, 23, 4
2024/5/11, 63, 12, 4
2024/5/12, 35, 18, 6
2024/5/13, 38, 19, 6
2024/5/14, 37, 24, 8
2024/5/15, 36, 19, 5
2024/5/16, 37, 22, 6
2024/5/17, 51, 14, 5
2024/5/18, 45, 13, 6
2024/5/19, 47, 12, 6
2024/5/20, 36, 22, 4
2024/5/21, 61, 18, 8
2024/5/22, 57, , 
2024/4/1, 104, 4, 4
2024/4/2, 15, 5, 5
2024/4/3, 17, 7, 5
2024/4/4, 26, 6, 5
2024/4/5, 19, 9, 5
2024/4/6, 29, 20, 6
2024/4/7, 60, 15, 4
2024/4/8, 35, 22, 4
2024/4/9, 45, 12, 1
2024/4/10, 41, 22, 1
2024/4/11, 64, 25, 1
2024/4/12, 63, 22, 1
2024/4/13, 62, 19, 2
2024/4/14, 54, 21, 3
2024/4/15, 68, 15, 3
2024/4/16, 57, 16, 3
2024/4/17, 59, 18, 2
2024/4/18, 61, 13, 3
2024/4/19, 45, 6, 3
2024/4/20, 26, 18, 2
2024/4/21, 64, 17, 1
2024/4/22, 59, 36, 4
2024/4/23, 105, 28, 4
2024/4/24, 86, 16, 3
2024/4/25, 55, 16, 3
2024/4/26, 51, 22, 4
2024/4/27, 63, 20, 4
2024/4/28, 53, 22, 4
2024/4/29, 51, 24, 4
2024/4/30, 53, 17, 4
2024/1/7, 78, 44, 5
2024/1/8, 125, 70, 11
2024/1/9, 169, 108, 20
2024/1/10, 222, 74, 13
2024/1/11, 171, 31, 5
2024/1/12, 97, 24, 5
2024/1/13, 81, 14, 3
2024/1/14, 57, 13, 3
2024/1/15, 51, 17, 4
2024/1/16, 62, 45, 10
2024/1/17, 126, 27, 4
2024/1/18, 87, 33, 6
2024/1/19, 100, 22, 5
2024/1/20, 75, 27, 6
2024/1/21, 87, 17, 9
2024/1/22, 59, 21, 3
2024/1/23, 72, 8, 2
2024/1/24, 36, 7, 2
2024/1/25, 27, 13, 3
2024/1/26, 48, 7, 3
2024/1/27, 28, 25, 4
2024/1/28, 79, 30, 7
2024/1/29, 90, 18, 6
2024/1/30, 62, 36, 7
2024/1/31, 109, 33, 5
2024/2/1, 101, 13, 3
2024/2/2, 49, 12, 3
2024/2/3, 48, 7, 3
2024/2/4, 30, 7, 3
2024/2/5, 24, 14, 3
2024/2/6, 44, 7, 3
2024/2/7, 29, 28, 5
2024/2/8, 89, 26, 5
2024/2/9, 81, 28, 5
2024/2/10, 85, 16, 4
2024/2/11, 57, 13, 4
2024/2/12, 46, 24, 4
2024/2/13, 77, 29, 5
2024/2/14, 89, 21, 5
2024/2/15, 68, 22, 5
2024/2/16, 69, 19, 3
2024/2/17, 68, 22, 4
2024/2/18, 74, 21, 6
2024/2/19, 71, 9, 5
2024/2/20, 38, 16, 5
2024/2/21, 58, 14, 5
2024/2/22, 52, 13, 5
2024/2/23, 50, 14, 4
2024/2/24, 50, 32, 7
2024/2/25, 91, 37, 7
2024/2/26, 101, 48, 7
2024/2/27, 131, 37, 4
2024/2/28, 111, 32, 4
2024/2/29, 99, 56, 8
2024/3/1, 151, 51, 6
2024/3/2, 140, 24, 6
2024/3/3, 75, 30, 5
2024/3/4, 86, 39, 4
2024/3/5, 114, 34, 5
2024/3/6, 104, 33, 6
2024/3/7, 98, 45, 8
2024/3/8, 128, 41, 7
2024/3/9, 112, 17, 6
2024/3/10, 60, 29, 9
2024/3/11, 82, 34, 4
2024/3/12, 104, 40, 4
2024/3/13, 118, 48, 7
2024/3/14, 132, 37, 8
2024/3/15, 102, 15, 5
2024/3/16, 54, 9, 4
2024/3/17, 35, 12, 5
2024/3/18, 45, 30, 6
2024/3/19, 90, 46, 7
2024/3/20, 121, 49, 7
2024/3/21, 122, 21, 5
2024/3/22, 68, 15, 5
2024/3/23, 52, 9, 5
2024/3/24, 39, 10, 5
2024/3/25, 36, 23, 6
2024/3/26, 67, 13, 5
2024/3/27, 34, 15, 5
2024/3/28, 39, 8, 6
2024/3/29, 25, 53, 5
2024/3/30, 89, 63, 6
2024/3/31, 88, 65, 6
2023/10/1, 39, 14, 2
2023/10/2, 44, 17, 3
2023/10/3, 46, 7, 2
2023/10/4, 21, 12, 2
2023/10/5, 40, 10, 2
2023/10/6, 34, 10, 2
2023/10/7, 27, 6, 2
2023/10/8, 19, 11, 2
2023/10/9, 43, 24, 3
2023/10/10, 76, 22, 3
2023/10/11, 65, 18, 3
2023/10/12, 56, 18, 3
2023/10/13, 55, 18, 3
2023/10/14, 52, 5, 2
2023/10/15, 20, 5, 2
2023/10/16, 20, , 4
2023/10/18, 85, 58, 5
2023/10/19, 155, 49, 4
2023/10/20, 137, 28, 4
2023/10/21, 76, 13, 3
2023/10/22, 48, 21, 4
2023/10/23, 66, 38, 4
2023/10/24, 109, 19, 3
2023/10/25, 65, 16, 4
2023/10/26, 54, 22, 3
2023/10/27, 73, 10, 3
2023/10/28, 38, 11, 4
2023/10/29, 41, 17, 4
2023/10/30, 55, 11, 4
2023/10/31, 36, 10, 3
2023/11/1, 39, 18, 4
2023/11/2, 54, 10, 4
2023/11/3, 36, 13, 5
2023/11/4, 44, 8, 5
2023/11/5, 33, 7, 4
2023/11/6, 24, 12, 4
2023/11/7, 41, 11, 3
2023/11/8, 44, 16, 6
2023/11/9, 56, 18, 5
2023/11/10, 62, 21, 4
2023/11/11, 73, 11, 4
2023/11/12, 44, 15, 5
2023/11/13, 57, 8, 5
2023/11/14, 30, 6, 4
2023/11/15, 24, 16, 5
2023/11/16, 59, 21, 4
2023/11/17, 72, 17, 5
2023/11/18, 61, 27, 9
2023/11/19, 86, 11, 5
2023/11/20, 46, 16, 5
2023/11/21, 60, 24, 6
2023/11/22, 80, 18, 6
2023/11/23, 63, 8, 5
2023/11/24, 31, 10, 5
2023/11/25, 41, 16, 6
2023/11/26, 61, 29, 9
2023/11/27, 94, 42, 9
2023/11/28, 125, 28, 9
2023/11/29, 90, 39, 10
2023/11/30, 108, 77, 12
2023/12/1, 177, 36, 8
2023/12/2, 111, 23, 7
2023/12/3, 78, 48, 12
2023/12/4, 134, 55, 15
2023/12/5, 147, 53, 16
2023/12/6, 140, 70, 14
2023/12/7, 170, 76, 16
2023/12/8, 176, 31, 12
2023/12/9, 94, 24, 12
2023/12/10, 80, 15, 10
2023/12/11, 59, 17, 6
2023/12/12, 60, 46, 10
2023/12/13, 131, 41, 4
2023/12/14, 121, 31, 2
2023/12/15, 96, 30, 2
2023/12/16, 95, 21, 1
2023/12/17, 73, 23, 1
2023/12/18, 75, 17, 3
2023/12/19, 57, 15, 1
2023/12/20, 57, 4, 1
2023/12/21, 17, 5, 
2023/12/22, 20, 6, 1
2023/12/23, 28, 8, 1
2023/12/24, 35, 3, 
2023/12/25, 13, 4, 
2023/12/26, 19, 15, 1
2023/12/27, 47, 18, 1
2023/12/28, 66, 31, 2
2023/12/29, 94, , 
2023/9/9, 73, 26, 
2023/9/10, 71, 27, 1
2023/9/11, 65, 31, 1
2023/9/12, 73, 32, 1
2023/9/13, 75, 10, 
2023/9/14, 38, 13, 3
2023/9/15, 42, 13, 2
2023/9/16, 44, 15, 1
2023/9/17, 49, 22, 2
2023/9/18, 61, 13, 1
2023/9/19, 43, 10, 1
2023/9/20, 32, 15, 3
2023/9/21, 41, 16, 2
2023/9/22, 45, 7, 1
2023/9/23, 28, 8, 1
2023/9/24, 31, 15, 2
2023/9/25, 52, 22, 3
2023/9/26, 66, 26, 3
2023/9/27, 66, 29, 4
2023/9/28, 68, 30, 3
2023/9/29, 68, 16, 2
2023/9/30, 51, 11, 2
2024/1/6, , 24, 3
2023/10/17, , 33, 4
2023/9/8, , 27, 2
